"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"97000","Rocky Mountain","7","SA50","10","...","Personal income (thousands of dollars)",4769837,4779446,5343163,6167502,6539394,6570578,6643253,7219888,7864579,8483449,8718172,9200110,9730682,10317776,11118554,11482250,12010432,12900036,13685709,14544114,15795980,17681026,19781320,22014241,24946229,28497043,32098765,35410907,39140516,43634667,50520135,57113131,64817811,73772157,79644087,84859641,91953954,96902167,100406091,103882866,109756816,119199729,127352543,135140768,146514405,158589533,169886195,183629289,197211262,210999331,230362190,246048213,269392776,282517131,288132142,297052625,312466239,336313433,367112638,392944275,410768622,391208750,400125759,433315163,461347229,479685748,513397510,542453905,556451281
"97000","Rocky Mountain","7","SA50","15","...","  Less: Personal current taxes",375870,350166,382137,559313,666191,659754,618454,660367,785804,804839,836143,921112,1026945,1087899,1137087,1200896,1071907,1166746,1307435,1440698,1680804,2099723,2147791,2267026,2729847,3145913,3696875,3698762,4341679,5047350,5920879,7076069,7979926,9433574,10004196,9359009,9811954,10531964,10535491,11271414,11809132,13412485,14804997,15324106,16660552,18238640,20001105,21757455,24494472,27379093,30493141,33267826,37575799,37008216,31647785,29834036,31206760,37410409,43666358,48644865,47998687,36614418,38991192,46149204,49690255,54615307,59430646,64457257,65400820
"97000","Rocky Mountain","7","SA50","16","...","Equals: Disposable personal income",4393967,4429280,4961026,5608189,5873203,5910824,6024799,6559521,7078775,7678610,7882029,8278998,8703737,9229877,9981467,10281354,10938525,11733290,12378274,13103416,14115176,15581303,17633529,19747215,22216382,25351130,28401890,31712145,34798837,38587317,44599256,50037062,56837885,64338583,69639891,75500632,82142000,86370203,89870600,92611452,97947684,105787244,112547546,119816662,129853853,140350893,149885090,161871834,172716790,183620238,199869049,212780387,231816977,245508915,256484357,267218589,281259479,298903024,323446280,344299410,362769935,354594332,361134567,387165959,411656974,425070441,453966864,477996648,491050461
"97000","Rocky Mountain","7","SA50","20","...","Population (persons) 1/",3278000,3382000,3494000,3508000,3571000,3672000,3760000,3890000,4030000,4113000,4139000,4226000,4350000,4497000,4580000,4632000,4673000,4703000,4735000,4783000,4868000,4943000,5037873,5194044,5368407,5527390,5649835,5781745,5915555,6078758,6256862,6438928,6592318,6742612,6903979,7034816,7108977,7167704,7199874,7205624,7202616,7234109,7305119,7477155,7696444,7938748,8171343,8379865,8565452,8745913,8918147,9094461,9268926,9430982,9567277,9675332,9807510,9972107,10189958,10406301,10609537,10793888,10950134,11084173,11223521,11379275,11531525,11710907,11902923
"97000","Rocky Mountain","7","SA50","30","...","Per capita personal income (dollars) 2/",1455,1413,1529,1758,1831,1789,1767,1856,1952,2063,2106,2177,2237,2294,2428,2479,2570,2743,2890,3041,3245,3577,3927,4238,4647,5156,5681,6125,6617,7178,8074,8870,9832,10941,11536,12063,12935,13519,13946,14417,15238,16477,17433,18074,19037,19977,20790,21913,23024,24125,25831,27055,29064,29956,30116,30702,31860,33725,36027,37760,38717,36244,36541,39093,41105,42154,44521,46320,46749
"97000","Rocky Mountain","7","SA50","50","...","Per capita disposable personal income (dollars) 3/",1340,1310,1420,1599,1645,1610,1602,1686,1757,1867,1904,1959,2001,2052,2179,2220,2341,2495,2614,2740,2900,3152,3500,3802,4138,4586,5027,5485,5883,6348,7128,7771,8622,9542,10087,10732,11555,12050,12482,12853,13599,14623,15407,16024,16872,17679,18343,19317,20164,20995,22411,23397,25010,26032,26809,27619,28678,29974,31742,33086,34193,32851,32980,34930,36678,37355,39367,40816,41255
"97000","Rocky Mountain","7","SA50","60","...","Personal current taxes",375870,350166,382137,559313,666191,659754,618454,660367,785804,804839,836143,921112,1026945,1087899,1137087,1200896,1071907,1166746,1307435,1440698,1680804,2099723,2147791,2267026,2729847,3145913,3696875,3698762,4341679,5047350,5920879,7076069,7979926,9433574,10004196,9359009,9811954,10531964,10535491,11271414,11809132,13412485,14804997,15324106,16660552,18238640,20001105,21757455,24494472,27379093,30493141,33267826,37575799,37008216,31647785,29834036,31206760,37410409,43666358,48644865,47998687,36614418,38991192,46149204,49690255,54615307,59430646,64457257,65400820
"97000","Rocky Mountain","7","SA50","70","...","  Federal government 4/",337564,306735,334847,502687,606995,601898,556667,588447,703356,715401,736910,797776,883732,927629,971570,1024200,888713,958843,1073961,1183671,1390560,1742191,1779296,1841392,2209080,2551531,3024958,2923213,3461616,4052921,4829872,5797743,6624560,8002184,8490466,7635433,7852984,8386064,8259788,8821471,9048164,10529603,11517969,11933472,12699820,14041480,15512891,16777712,19248154,21638440,23978688,26668901,30562442,29737483,24416309,22658573,23410790,28616183,33891034,37408659,37008782,26987107,29407627,35769856,38515654,42294513,46547351,50468974,51021152
"97000","Rocky Mountain","7","SA50","80","...","    Income taxes (net of refunds) 4/",337564,306735,334847,502687,606995,601898,556667,588447,703356,715401,736910,797776,883732,927629,971570,1024200,888713,958843,1073961,1183671,1390560,1742191,1779296,1841392,2209080,2551531,3024958,2923213,3461616,4052921,4829872,5797743,6624560,8002184,8490466,7635433,7852984,8386064,8259788,8821471,9048164,10529603,11517969,11933472,12699820,14041480,15512891,16777712,19248154,21638440,23978688,26668901,30562442,29737483,24416309,22658573,23410790,28616183,33891034,37408659,37008782,26987107,29407627,35769856,38515654,42294513,46547351,50468974,51021152
"97000","Rocky Mountain","7","SA50","81","...","      Income taxes (gross) 4/",372160,350826,368281,536817,648908,654244,612350,649473,766042,787530,814560,882237,973298,1030198,1084411,1144997,1018201,1059809,1193816,1342368,1580767,1948228,2059871,2162657,2547580,3079366,3636948,3829427,4197805,4850016,5719029,6779794,7905362,9443809,10190158,9468396,9785163,10338637,10227077,10673650,10758727,12116216,13114951,13636784,14412640,15655920,17276070,18855547,21484987,24066686,26675517,30164979,34297745,33987268,29701681,27920462,28833550,33868974,39591921,43535573,45790914,35796910,37716858,43016248,45864245,49588136,53876013,57873744,59137416
