"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"46000","South Dakota","4","SA50","10","...","Personal income (thousands of dollars)",921458,709088,851673,997477,884664,961613,987358,920371,984328,1154418,1186491,1079852,1323454,1331620,1517169,1471232,1442610,1623335,1755443,1782696,1909887,2080125,2262517,2478189,2860912,3609714,3621033,4000855,3954043,4485097,5164776,5679834,5719001,6647391,7034068,7326712,8291305,8517981,8896433,9364373,9759935,10516247,11513251,11992985,12991533,13585823,14630902,14934328,16504345,16852186,18121187,19027288,20262966,21096085,21170798,23124408,24781741,26189694,27564810,30658501,33012790,31898690,33520714,36791498,37583819,37709126,39150683,40892772,41398241
"46000","South Dakota","4","SA50","15","...","  Less: Personal current taxes",55511,41754,42728,61799,66163,69096,65842,61695,70510,74889,93322,78181,93651,103474,113663,116958,97532,104585,123082,127463,152855,180337,173756,162759,186632,259186,307418,284928,329484,321205,400117,456022,524156,590883,657791,569419,568972,599766,618784,698098,735185,833783,947547,977010,1055211,1167460,1189763,1286516,1370889,1578852,1682663,1855183,1934944,1993435,1718583,1576314,1693218,1960913,2298039,2578434,2710655,2065093,2254464,2770654,3036204,3280972,3567639,3767533,3824191
"46000","South Dakota","4","SA50","16","...","Equals: Disposable personal income",865947,667334,808945,935678,818501,892517,921516,858676,913818,1079529,1093169,1001671,1229803,1228146,1403506,1354274,1345078,1518750,1632361,1655233,1757032,1899788,2088761,2315430,2674280,3350528,3313615,3715927,3624559,4163892,4764659,5223812,5194845,6056508,6376277,6757293,7722333,7918215,8277649,8666275,9024750,9682464,10565704,11015975,11936322,12418363,13441139,13647812,15133456,15273334,16438524,17172105,18328022,19102650,19452215,21548094,23088523,24228781,25266771,28080067,30302135,29833597,31266250,34020844,34547615,34428154,35583044,37125239,37574050
"46000","South Dakota","4","SA50","20","...","Population (persons) 1/",612000,631000,655000,655000,651000,648000,655000,663000,670000,666000,656000,667000,683000,693000,705000,708000,701000,692000,683000,671000,669000,668000,666641,671382,677389,678939,679877,681420,686843,688992,689293,689018,690851,689584,690597,693009,697250,698404,696036,696034,698160,696698,697101,703669,712801,722159,730790,737925,742213,744223,746058,750412,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816325,824398,834441,844922,852561,857919,865454
"46000","South Dakota","4","SA50","30","...","Per capita personal income (dollars) 2/",1506,1124,1300,1523,1359,1484,1507,1388,1469,1733,1809,1619,1938,1922,2152,2078,2058,2346,2570,2657,2855,3114,3394,3691,4223,5317,5326,5871,5757,6510,7493,8243,8278,9640,10185,10572,11891,12196,12782,13454,13980,15094,16516,17044,18226,18813,20021,20238,22237,22644,24289,25356,26808,27832,27856,30278,32168,33772,35203,38729,41311,39524,41063,44628,45041,44630,45921,47665,47834
"46000","South Dakota","4","SA50","50","...","Per capita disposable personal income (dollars) 3/",1415,1058,1235,1429,1257,1377,1407,1295,1364,1621,1666,1502,1801,1772,1991,1913,1919,2195,2390,2467,2626,2844,3133,3449,3948,4935,4874,5453,5277,6043,6912,7582,7519,8783,9233,9751,11075,11338,11893,12451,12926,13898,15157,15655,16746,17196,18393,18495,20390,20523,22034,22884,24248,25202,25594,28214,29970,31243,32268,35472,37919,36965,38301,41267,41402,40747,41737,43274,43415
"46000","South Dakota","4","SA50","60","...","Personal current taxes",55511,41754,42728,61799,66163,69096,65842,61695,70510,74889,93322,78181,93651,103474,113663,116958,97532,104585,123082,127463,152855,180337,173756,162759,186632,259186,307418,284928,329484,321205,400117,456022,524156,590883,657791,569419,568972,599766,618784,698098,735185,833783,947547,977010,1055211,1167460,1189763,1286516,1370889,1578852,1682663,1855183,1934944,1993435,1718583,1576314,1693218,1960913,2298039,2578434,2710655,2065093,2254464,2770654,3036204,3280972,3567639,3767533,3824191
"46000","South Dakota","4","SA50","70","...","  Federal government 4/",51537,37117,37240,55583,59321,61692,57207,52662,61227,65379,83894,66123,81514,91353,98882,101656,82896,90936,110107,114172,139373,169083,162515,151494,173903,245234,292945,268838,313759,304021,380540,436915,503289,568253,634168,546815,546242,570451,589206,671262,709510,805441,911652,936557,1019788,1132234,1150299,1245147,1329862,1535348,1635627,1802584,1876837,1929848,1654353,1512856,1624499,1889275,2228898,2507084,2641519,1984619,2157749,2672247,2930999,3171738,3451680,3642489,3692746
"46000","South Dakota","4","SA50","80","...","    Income taxes (net of refunds) 4/",51537,37117,37240,55583,59321,61692,57207,52662,61227,65379,83894,66123,81514,91353,98882,101656,82896,90936,110107,114172,139373,169083,162515,151494,173903,245234,292945,268838,313759,304021,380540,436915,503289,568253,634168,546815,546242,570451,589206,671262,709510,805441,911652,936557,1019788,1132234,1150299,1245147,1329862,1535348,1635627,1802584,1876837,1929848,1654353,1512856,1624499,1889275,2228898,2507084,2641519,1984619,2157749,2672247,2930999,3171738,3451680,3642489,3692746
"46000","South Dakota","4","SA50","81","...","      Income taxes (gross) 4/",57364,43921,41431,59428,63965,66855,62894,58922,66903,71659,90950,75554,89099,100526,109531,113340,95046,99764,120623,129002,156136,187564,187033,177958,199215,282805,344046,346815,377184,370525,445474,515553,599845,670923,748217,668447,638909,694763,719611,797302,855972,928049,1050181,1075863,1167630,1270257,1294935,1416948,1512507,1725271,1836733,2067207,2163728,2234024,2025522,1890081,2042652,2276349,2646394,2947437,3252506,2591695,2729557,3217713,3521777,3760056,4022949,4192951,4298382
