"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"05000","Arkansas","5","SA5H 1/","10","...","Personal income (thousands of dollars)",560157,416278,381638,278409,283060,341705,386004,460151,481582,439122,479153,502002,676326,973768,1051339,1236417,1324089,1372264,1358169,1611219,1512797,1624744,1848530,1921979,1935830,1914544,2080765,2156658,2226162
"05000","Arkansas","5","SA5H 1/","20","...","Population (persons) 2/",1852000,1859000,1848000,1836000,1854000,1878000,1890000,1892000,1903000,1928000,1948000,1955000,1966000,1983000,1839000,1771000,1758000,1805000,1835000,1825000,1844000,1908000,1901000,1838000,1780000,1734000,1725000,1704000,1733000
"05000","Arkansas","5","SA5H 1/","30","...","Per capita personal income (dollars) 3/",302,224,207,152,153,182,204,243,253,228,246,257,344,491,572,698,753,760,740,883,820,852,972,1046,1088,1104,1206,1266,1285
"05000","Arkansas","5","SA5H 1/","35","...","  Total earnings",478800,345393,310594,223110,232055,287866,331678,388134,426557,386078,419791,441598,612664,903340,981407,1155647,1217766,1184317,1155154,1395135,1286457,1349359,1600493,1672180,1663269,1618901,1768848,1814123,1859436
"05000","Arkansas","5","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",557,531,482,509,404,410,409,386,6425,7002,7672,7942,9798,17373,20248,23731,37103,41937,29475,27589,29957,29949,37582,41211,41123,45005,49357,53308,61003
"05000","Arkansas","5","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",436,425,407,388,344,350,334,356,2201,1955,2187,2399,2970,5430,9832,11729,12689,9492,9743,11185,11107,14312,17039,18467,19100,21409,23542,26743,30995
"05000","Arkansas","5","SA5H 1/","38","...","    Employer contributions for government social insurance",121,106,75,121,60,60,75,30,4224,5047,5485,5543,6828,11943,10416,12002,24414,32445,19732,16404,18850,15637,20543,22744,22023,23596,25815,26565,30008
"05000","Arkansas","5","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-225,-608,36,-302,241,1082,906,1556,2718,3837
"05000","Arkansas","5","SA5H 1/","45","...","  Equals: Net earnings by place of residence",478243,344862,310112,222601,231651,287456,331269,387748,420132,379076,412119,433656,602866,885967,961159,1131916,1180663,1142380,1125679,1367321,1255892,1319446,1562609,1631210,1623228,1574802,1721047,1763533,1802270
"05000","Arkansas","5","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",68772,57744,43914,36005,34235,38351,39779,43144,45942,46306,52215,50363,55229,70029,71071,78759,91909,104831,106480,118134,121905,139943,149842,158265,178282,198022,205637,232768,236500
"05000","Arkansas","5","SA5H 1/","47","...","  Plus: Personal current transfer receipts",13142,13672,27612,19803,17174,15898,14956,29259,15508,13740,14819,17983,18231,17772,19109,25742,51517,125053,126010,125764,135000,165355,136079,132504,134320,141720,154081,160357,187392
"05000","Arkansas","5","SA5H 1/","50","...","  Wages and salaries",250704,227415,182468,145913,144200,172194,182170,215377,227755,217938,236300,248846,319056,490692,586296,677216,743949,601232,633363,716147,734462,787601,949358,1016456,1044495,1029655,1088037,1171448,1227447
"05000","Arkansas","5","SA5H 1/","60","...","  Supplements to wages and salaries",3570,3670,3549,3316,3530,3887,4567,5046,9524,10723,11971,12893,25970,45066,45411,50950,63777,66451,45793,47349,55377,53355,79194,87731,91926,95880,99680,109912,123832
"05000","Arkansas","5","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",3449,3564,3474,3195,3470,3827,4492,5016,5300,5676,6486,7350,19142,33123,34995,38948,39363,34006,26061,30945,36527,37718,58651,64987,69903,72284,73865,83347,93824
"05000","Arkansas","5","SA5H 1/","62","...","    Employer contributions for government social insurance",121,106,75,121,60,60,75,30,4224,5047,5485,5543,6828,11943,10416,12002,24414,32445,19732,16404,18850,15637,20543,22744,22023,23596,25815,26565,30008
"05000","Arkansas","5","SA5H 1/","70","...","  Proprietors' income 8/",224526,114308,124577,73881,84325,111785,144941,167711,189278,157417,171520,179859,267638,367582,349700,427481,410040,516634,475998,631639,496618,508403,571941,567993,526848,493366,581131,532763,508157
"05000","Arkansas","5","SA5H 1/","71","...","    Farm proprietors' income",155508,58458,89361,49844,62997,76381,103963,117816,136513,107355,115501,117363,180696,235206,205236,278903,225000,327451,298688,440601,297903,293668,325299,307570,272151,247740,318437,260633,210710
"05000","Arkansas","5","SA5H 1/","72","...","    Nonfarm proprietors' income",69018,55850,35216,24037,21328,35404,40978,49895,52765,50062,56019,62496,86942,132376,144464,148578,185040,189183,177310,191038,198715,214735,246642,260423,254697,245626,262694,272130,297447
