"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"93000","Great Lakes","3","SA5H 1/","10","...","Personal income (thousands of dollars)",20053465,17173520,14352146,10475420,9674550,11555837,13399556,15431064,17158641,15071818,16477855,17842503,22159995,27410505,33226763,35179181,35930647,38824914,42816348,47854434,46098189,51322613,58289006,61803406,67442685,66784592,72244835,77424089,80615393
"93000","Great Lakes","3","SA5H 1/","20","...","Population (persons) 2/",25187000,25332000,25426000,25535000,25632000,25694000,25824000,25960000,26096000,26243000,26456000,26725000,27042000,27158000,26478000,26511000,26379000,28425000,29153000,29832000,30324000,30530000,30883000,31498000,32166000,33063000,33779000,34404000,34967000
"93000","Great Lakes","3","SA5H 1/","30","...","Per capita personal income (dollars) 3/",796,678,564,410,377,450,519,594,658,574,623,668,819,1009,1255,1327,1362,1366,1469,1604,1520,1681,1887,1962,2097,2020,2139,2250,2305
"93000","Great Lakes","3","SA5H 1/","35","...","  Total earnings",15768093,13375658,10973463,7994005,7639653,9416977,11042010,12503590,14626674,12780819,13861543,15079145,19119352,24161009,29994323,31809753,31894421,33606306,37068756,41763378,39831189,43995192,51296136,54487628,59149628,57908760,62736228,67086178,69480367
"93000","Great Lakes","3","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",13577,13338,12558,12738,11603,15198,19106,66858,392603,426819,438790,473761,610039,658944,782501,896641,960395,1079461,1026766,993989,1059215,1214077,1493372,1591317,1649895,1871555,2115727,2366879,2707590
"93000","Great Lakes","3","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",11917,11884,11521,11083,10779,11374,11080,12203,96734,84452,93232,104192,133709,168818,237582,297252,306579,295395,336198,359045,353428,492777,600170,654352,672513,822755,934040,1033265,1184514
"93000","Great Lakes","3","SA5H 1/","38","...","    Employer contributions for government social insurance",1660,1454,1037,1655,824,3824,8026,54655,295869,342367,345558,369569,476330,490126,544919,599389,653816,784066,690568,634944,705787,721300,893202,936965,977382,1048800,1181687,1333614,1523076
"93000","Great Lakes","3","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-26085,-28368,-26453,-30622,-26820,-27796,-21464,-16903,-4807,10444
"93000","Great Lakes","3","SA5H 1/","45","...","  Equals: Net earnings by place of residence",15754516,13362320,10960905,7981267,7628050,9401779,11022904,12436732,14234071,12354000,13422753,14605384,18509313,23502065,29211822,30913112,30934026,32526845,36041990,40743304,38743606,42754662,49772142,52869491,57471937,56015741,60603598,64714492,66783221
"93000","Great Lakes","3","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",4021374,3531834,2873346,2107540,1662901,1773547,1937386,2342193,2511192,2226249,2525046,2669738,3091741,3305037,3476860,3616039,3802034,4279896,4618525,4995815,5309926,6137846,6415733,6666772,7514974,7872888,8511233,9299376,9850236
"93000","Great Lakes","3","SA5H 1/","47","...","  Plus: Personal current transfer receipts",277575,279366,517895,386613,383599,380511,439266,652139,413378,491569,530056,567381,558941,603403,538081,650030,1194587,2018173,2155833,2115315,2044657,2430105,2101131,2267143,2455774,2895963,3130004,3410221,3981936
"93000","Great Lakes","3","SA5H 1/","50","...","  Wages and salaries",12752588,11013194,9008568,6811729,6502446,7885670,8714666,10134865,11401109,10057631,11016263,12044615,14941854,18643946,23452541,25088196,24476561,25158524,28979342,32177004,31426052,34835346,40400574,43228974,47600079,46078242,50410710,53745118,55421265
"93000","Great Lakes","3","SA5H 1/","60","...","  Supplements to wages and salaries",200903,199829,186414,162836,150819,164791,188871,275258,522966,590783,599222,643630,804707,963146,1177163,1355909,1497881,1679757,1647790,1704059,1856467,2158884,2749457,3002333,3257105,3349849,3784499,4236759,4737319
"93000","Great Lakes","3","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",199243,198375,185377,161181,149995,160967,180845,220603,227097,248416,253664,274061,328377,473020,632244,756520,844065,895691,957222,1069115,1150680,1437584,1856255,2065368,2279723,2301049,2602812,2903145,3214243
"93000","Great Lakes","3","SA5H 1/","62","...","    Employer contributions for government social insurance",1660,1454,1037,1655,824,3824,8026,54655,295869,342367,345558,369569,476330,490126,544919,599389,653816,784066,690568,634944,705787,721300,893202,936965,977382,1048800,1181687,1333614,1523076
"93000","Great Lakes","3","SA5H 1/","70","...","  Proprietors' income 8/",2814602,2162635,1778481,1019440,986388,1366516,2138473,2093467,2702599,2132405,2246058,2390900,3372791,4553917,5364619,5365648,5919979,6768025,6441624,7882315,6548670,7000962,8146105,8256321,8292444,8480669,8541019,9104301,9321783
"93000","Great Lakes","3","SA5H 1/","71","...","    Farm proprietors' income",997532,690193,679332,339849,367017,453063,1059054,769794,1260741,791278,785225,711285,1200012,1833255,2073697,1882844,2251998,2609439,2483264,3458473,2122239,2182224,2751209,2575330,2268156,2303785,1727845,1932480,1786523
"93000","Great Lakes","3","SA5H 1/","72","...","    Nonfarm proprietors' income",1817070,1472442,1099149,679591,619371,913453,1079419,1323673,1441858,1341127,1460833,1679615,2172779,2720662,3290922,3482804,3667981,4158586,3958360,4423842,4426431,4818738,5394896,5680991,6024288,6176884,6813174,7171821,7535260
"93000","Great Lakes","3","SA5H 1/","81","[01-02]","  Farm earnings",1190088,857227,810199,432789,453960,545803,1170577,901729,1408195,936296,930334,863347,1379968,2050148,2337522,2164831,2541650,2932924,2819983,3831584,2471366,2517435,3103202,2912275,2578639,2589279,2009272,2217242,2080896
"93000","Great Lakes","3","SA5H 1/","82","...","  Nonfarm earnings",14578005,12518431,10163264,7561216,7185693,8871174,9871433,11601861,13218479,11844523,12931209,14215798,17739384,22110861,27656801,29644922,29352771,30673382,34248773,37931794,37359823,41477757,48192934,51575353,56570989,55319481,60726956,64868936,67399471
