"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"22000","Louisiana","5","SA5H 1/","10","...","Personal income (thousands of dollars)",852394,742687,669554,512711,491378,579453,643941,737390,795068,793754,838439,864438,1162431,1567765,2075640,2220953,2190370,2148047,2295419,2655958,2850625,3054403,3420131,3723789,3943434,3942783,4192589,4655135,5146833
"22000","Louisiana","5","SA5H 1/","20","...","Population (persons) 2/",2086000,2105000,2124000,2155000,2178000,2202000,2228000,2246000,2257000,2285000,2334000,2370000,2500000,2541000,2560000,2479000,2413000,2540000,2579000,2596000,2634000,2697000,2769000,2842000,2866000,2883000,2946000,3032000,3115000
"22000","Louisiana","5","SA5H 1/","30","...","Per capita personal income (dollars) 3/",409,353,315,238,226,263,289,328,352,347,359,365,465,617,811,896,908,846,890,1023,1082,1133,1235,1310,1376,1368,1423,1535,1652
"22000","Louisiana","5","SA5H 1/","35","...","  Total earnings",695576,590354,514100,389523,386958,467317,529843,592105,666686,659807,696737,724479,1007909,1418719,1930984,2065086,1994945,1860767,1970206,2257911,2320905,2466456,2872447,3156414,3362332,3334476,3535431,3913016,4314011
"22000","Louisiana","5","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",817,791,751,804,706,744,766,804,14480,15713,17761,17993,23600,34439,54892,64589,74254,79783,62501,58984,62529,65190,78532,86265,85276,96042,109102,121657,144475
"22000","Louisiana","5","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",682,673,666,668,637,675,679,769,4984,4871,5074,5483,6039,10708,24833,28658,24555,18197,19017,19098,18535,24971,30044,32967,34804,41909,48375,53262,63089
"22000","Louisiana","5","SA5H 1/","38","...","    Employer contributions for government social insurance",135,118,85,136,69,69,87,35,9496,10842,12687,12510,17561,23731,30059,35931,49699,61586,43484,39886,43994,40219,48488,53298,50472,54133,60727,68395,81386
"22000","Louisiana","5","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",158,-286,-747,-1346,-2080,-3154,-3810,-4621,-6164,-8294
"22000","Louisiana","5","SA5H 1/","45","...","  Equals: Net earnings by place of residence",694759,589563,513349,388719,386252,466573,529077,591301,652206,644094,678976,706486,984309,1384280,1876092,2000497,1920691,1780984,1907705,2199085,2258090,2400519,2792569,3068069,3273902,3234624,3421708,3785195,4161242
"22000","Louisiana","5","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",145861,140904,127037,105019,88194,95969,98764,109231,123223,126685,133521,128069,143847,151935,168555,180707,194415,212951,229078,276055,292353,348174,367717,405460,432412,457994,491983,573777,649072
