"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"25000","Massachusetts","1","SA5H 1/","10","...","Personal income (thousands of dollars)",3852924,3577821,3253120,2646805,2428136,2656958,2835758,3155358,3235135,2980157,3196918,3421601,4053160,4831337,5543523,5800631,5957378,6458659,6695099,7169512,7121839,7911359,8655830,9045084,9592068,9701314,10346617,10981768,11603613
"25000","Massachusetts","1","SA5H 1/","20","...","Population (persons) 2/",4229000,4250000,4248000,4259000,4282000,4305000,4343000,4355000,4358000,4365000,4347000,4318000,4400000,4386000,4277000,4361000,4310000,4536000,4589000,4674000,4741000,4686000,4654000,4650000,4806000,4910000,4882000,4891000,4929000
"25000","Massachusetts","1","SA5H 1/","30","...","Per capita personal income (dollars) 3/",911,842,766,621,567,617,653,725,742,683,735,792,921,1102,1296,1330,1382,1424,1459,1534,1502,1688,1860,1945,1996,1976,2119,2245,2354
"25000","Massachusetts","1","SA5H 1/","35","...","  Total earnings",2807454,2549510,2241318,1750325,1642846,1867904,2056430,2285359,2448415,2271586,2438622,2620342,3288386,4094222,4791421,4999753,5059742,5277684,5480742,5934980,5894245,6440260,7324438,7555818,8014944,7994747,8455928,9083302,9536907
"25000","Massachusetts","1","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",3316,3306,3233,3202,2927,3128,3119,30733,66641,70606,79594,83573,104576,107431,120271,132907,151657,199692,174504,158016,167787,204630,270758,283549,291822,302237,322296,334188,371583
"25000","Massachusetts","1","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",3049,3073,3067,2938,2796,2997,2956,3269,25071,21177,17889,19908,24566,33708,47270,61531,62728,52391,53400,50810,48724,68450,82730,87179,89604,108278,122394,129782,154477
"25000","Massachusetts","1","SA5H 1/","38","...","    Employer contributions for government social insurance",267,233,166,264,131,131,163,27464,41570,49429,61705,63665,80010,73723,73001,71376,88929,147301,121104,107206,119063,136180,188028,196370,202218,193959,199902,204406,217106
"25000","Massachusetts","1","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",42407,45491,42867,41099,35229,29817,24167,14234,6234,-2092
"25000","Massachusetts","1","SA5H 1/","45","...","  Equals: Net earnings by place of residence",2804138,2546204,2238085,1747123,1639919,1864776,2053311,2254626,2381774,2200980,2359028,2536769,3183810,3986791,4671150,4866846,4908085,5077992,5306238,5819371,5771949,6278497,7094779,7307498,7752939,7716677,8147866,8755348,9163232
"25000","Massachusetts","1","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",999197,979240,910702,814041,697462,712381,698577,765705,761765,658667,719858,752476,744996,724629,760188,796816,806741,873409,937188,961182,897465,1118472,1114066,1256197,1323746,1412874,1587905,1586081,1691835
