"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"23000","Maine","1","SA5H 1/","10","...","Personal income (thousands of dollars)",477736,458645,397004,309554,306175,346557,363522,427439,432328,401170,422594,451880,546203,731163,907378,903629,882645,959156,1009987,1103243,1084145,1111266,1232919,1348940,1358229,1382785,1521612,1612286,1676341
"23000","Maine","1","SA5H 1/","20","...","Population (persons) 2/",797000,800000,807000,815000,821000,829000,836000,840000,842000,843000,846000,849000,852000,838000,806000,805000,802000,835000,854000,878000,903000,917000,916000,915000,913000,927000,934000,938000,943000
"23000","Maine","1","SA5H 1/","30","...","Per capita personal income (dollars) 3/",599,573,492,380,373,418,435,509,513,476,500,532,641,873,1126,1123,1101,1149,1183,1257,1201,1212,1346,1474,1488,1492,1629,1719,1778
"23000","Maine","1","SA5H 1/","35","...","  Total earnings",362303,342796,277705,210196,214745,254433,268544,314845,334780,307956,329228,351519,445012,627085,798587,795728,761583,806982,850592,928297,895618,903679,1047363,1145646,1148084,1155363,1278317,1360817,1386639
"23000","Maine","1","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",300,286,272,286,242,246,248,248,6724,7214,8997,9208,12126,17545,23052,22832,23874,29679,26624,25096,25591,27120,31664,33377,33652,39054,43151,46648,51590
"23000","Maine","1","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",248,241,240,234,216,220,216,235,2050,1834,1992,2204,2873,4197,6240,7716,7552,6845,7505,8297,7881,10492,12480,13567,13775,16321,18195,19949,22742
"23000","Maine","1","SA5H 1/","38","...","    Employer contributions for government social insurance",52,45,32,52,26,26,32,13,4674,5380,7005,7004,9253,13348,16812,15116,16322,22834,19119,16799,17710,16628,19184,19810,19877,22733,24956,26699,28848
"23000","Maine","1","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-7703,-7780,-7301,-13674,-16111,-15543,-15301,-15933,-16662,-19301
"23000","Maine","1","SA5H 1/","45","...","  Equals: Net earnings by place of residence",362003,342510,277433,209910,214503,254187,268296,314597,328056,300742,320231,342311,432886,609540,775535,772896,737709,777303,823968,895498,862247,869258,1002025,1096158,1098889,1101008,1219233,1297507,1315748
"23000","Maine","1","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",105557,106169,102941,87118,79699,81540,83708,92302,91754,83236,85865,91603,96876,105518,116217,111200,110662,118893,121882,150746,157540,165942,162638,182184,181806,193447,202247,211555,240907
"23000","Maine","1","SA5H 1/","47","...","  Plus: Personal current transfer receipts",10176,9966,16630,12526,11973,10830,11518,20540,12518,17192,16498,17966,16441,16105,15626,19533,34274,62960,64137,56999,64358,76066,68256,70598,77534,88330,100132,103224,119686
"23000","Maine","1","SA5H 1/","50","...","  Wages and salaries",266347,251666,221430,176135,174308,201601,215527,235032,252541,235502,250460,267249,338861,470620,595536,601498,568975,565573,625920,686329,654091,687143,805355,852140,887999,909949,965624,1043024,1074274
"23000","Maine","1","SA5H 1/","60","...","  Supplements to wages and salaries",4927,4937,4689,4315,3996,4251,5069,5585,10566,11635,13786,14652,19963,29283,37180,37314,39417,45409,43225,44360,47067,48451,63845,71755,76547,84946,92233,101188,111810
"23000","Maine","1","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",4875,4892,4657,4263,3970,4225,5037,5572,5892,6255,6781,7648,10710,15935,20368,22198,23095,22575,24106,27561,29357,31823,44661,51945,56670,62213,67277,74489,82962
"23000","Maine","1","SA5H 1/","62","...","    Employer contributions for government social insurance",52,45,32,52,26,26,32,13,4674,5380,7005,7004,9253,13348,16812,15116,16322,22834,19119,16799,17710,16628,19184,19810,19877,22733,24956,26699,28848
"23000","Maine","1","SA5H 1/","70","...","  Proprietors' income 8/",91029,86193,51586,29746,36441,48581,47948,74228,71673,60819,64982,69618,86188,127182,165871,156916,153191,196000,181447,197608,194460,168085,178163,221751,183538,160468,220460,216605,200555
"23000","Maine","1","SA5H 1/","71","...","    Farm proprietors' income",39826,41487,18255,8157,16434,19880,13602,33947,29111,20361,22355,21340,21312,44524,64008,55583,49000,76269,65738,88365,89123,56363,54868,96350,52855,18500,69518,60055,39800
"23000","Maine","1","SA5H 1/","72","...","    Nonfarm proprietors' income",51203,44706,33331,21589,20007,28701,34346,40281,42562,40458,42627,48278,64876,82658,101863,101333,104191,119731,115709,109243,105337,111722,123295,125401,130683,141968,150942,156550,160755
"23000","Maine","1","SA5H 1/","81","[01-02]","  Farm earnings",50948,51524,27356,14265,21533,25978,20619,41986,38122,28405,30350,31331,33303,59446,83921,77511,74972,102169,93497,115527,114735,83565,82975,120453,77002,38480,93160,87074,74486
"23000","Maine","1","SA5H 1/","82","...","  Nonfarm earnings",311355,291272,250349,195931,193212,228455,247925,272859,296658,279551,298878,320188,411709,567639,714666,718217,686611,704813,757095,812770,780883,820114,964388,1025193,1071082,1116883,1185157,1273743,1312153
"23000","Maine","1","SA5H 1/","90","...","    Private nonfarm earnings",283361,261702,221737,167426,165284,193838,209917,231449,257154,236075,253268,271376,353072,484471,587310,576193,541931,601139,660306,703596,663004,710199,805145,839764,872069,899012,954174,1032064,1050518
"23000","Maine","1","SA5H 1/","100","[07-08]","      Agricultural services, forestry, and fishing",3408,3451,3134,2048,2073,2406,2791,2757,3165,2837,2874,3143,3645,5450,6299,7160,10156,12077,12503,18140,17330,17540,17138,16346,15559,17217,16074,17838,18089
"23000","Maine","1","SA5H 1/","200","B","      Mining",906,807,707,607,307,607,408,510,730,532,430,428,424,321,423,420,525,841,1162,989,1131,1172,1163,1080,1017,1028,1376,1381,1387
"23000","Maine","1","SA5H 1/","300","C","      Construction",23984,21494,11975,6662,5766,6254,8259,10358,9356,11171,11946,10738,23110,27847,29787,17095,17424,35342,49767,50027,40058,41601,60533,54345,63953,86839,94506,89551,82867
"23000","Maine","1","SA5H 1/","400","D","      Manufacturing",100802,88461,76795,53731,62299,74964,79703,87045,100559,83643,97949,108156,154588,255177,328891,315182,263619,262551,290742,319821,289335,319718,370069,388563,394004,372505,396248,437768,436665
