"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"30000","Montana","7","SA5H 1/","10","...","Personal income (thousands of dollars)",310237,269952,208719,180549,161784,198884,261194,264958,284529,284143,294366,315656,384231,469558,557804,557961,578114,673437,784643,888036,814937,994650,1092136,1115826,1134580,1127637,1230507,1293492,1356629
"30000","Montana","7","SA5H 1/","20","...","Population (persons) 2/",524000,539000,540000,540000,541000,545000,550000,554000,554000,552000,555000,558000,543000,521000,483000,471000,477000,514000,530000,542000,569000,593000,596000,602000,616000,624000,636000,656000,667000
"30000","Montana","7","SA5H 1/","30","...","Per capita personal income (dollars) 3/",592,501,387,334,299,365,475,478,514,515,530,566,708,901,1155,1185,1212,1310,1480,1638,1432,1677,1832,1854,1842,1807,1935,1972,2034
"30000","Montana","7","SA5H 1/","35","...","  Total earnings",261150,227315,167628,148958,130764,165528,222542,216939,246207,249117,258395,274594,342907,424028,512926,509651,519474,589585,687594,776992,689045,855366,956655,958224,982525,965099,1051022,1107096,1141307
"30000","Montana","7","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",392,382,363,361,306,305,296,304,5572,6039,6418,6706,7453,8602,9924,10747,12926,20466,18601,18393,20366,21298,24816,27224,26363,29851,33443,38070,42213
"30000","Montana","7","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",354,349,340,324,287,286,273,295,1702,1597,1779,1906,2093,2486,3542,4268,4650,4923,6086,6728,6879,8700,10292,11397,11775,13522,15120,18088,20177
"30000","Montana","7","SA5H 1/","38","...","    Employer contributions for government social insurance",38,33,23,37,19,19,23,9,3870,4442,4639,4800,5360,6116,6382,6479,8276,15543,12515,11665,13487,12598,14524,15827,14588,16329,18323,19982,22036
"30000","Montana","7","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-75,-222,-152,-452,-513,-507,-795,-911,-955,-931
"30000","Montana","7","SA5H 1/","45","...","  Equals: Net earnings by place of residence",260758,226933,167265,148597,130458,165223,222246,216635,240635,243078,251977,267888,335454,415426,503002,498904,506548,569119,668993,758524,668457,833916,931387,930487,955655,934453,1016668,1068071,1098163
"30000","Montana","7","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",44700,37954,30420,23445,22489,24835,28718,34393,33661,30529,31729,35168,36400,42829,44283,46106,50194,64562,76192,91844,105189,106788,113080,122330,123542,135432,149784,157326,175808
