"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"36000","New York","2","SA5H 1/","10","...","Personal income (thousands of dollars)",14065625,13167885,11412227,8916613,8321911,9111842,9790701,11041662,11459702,10826970,11326151,11880725,13431888,15495493,18233533,19904749,21072727,23202222,24538452,25974386,26016787,27905469,30202259,31676251,33737099,34861019,37148463,39476869,41918835
"36000","New York","2","SA5H 1/","20","...","Population (persons) 2/",12171000,12647000,12848000,13001000,13126000,13253000,13375000,13481000,13511000,13512000,13523000,13456000,13270000,13010000,12871000,12683000,12532000,13434000,13993000,14497000,14892000,14865000,14890000,15192000,15527000,15814000,15966000,16112000,16374000
"36000","New York","2","SA5H 1/","30","...","Per capita personal income (dollars) 3/",1156,1041,888,686,634,688,732,819,848,801,838,883,1012,1191,1417,1569,1682,1727,1754,1792,1747,1877,2028,2085,2173,2204,2327,2450,2560
"36000","New York","2","SA5H 1/","35","...","  Total earnings",9692225,9073921,7713255,5822888,5513260,6303598,6931323,7902873,8494136,8157892,8539877,9134830,10660787,12931564,15751657,17316395,18053575,19385901,20444950,22379327,22304965,23892305,26554530,27834545,29556157,30198254,32028660,34177356,36177663
"36000","New York","2","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",15649,15923,16034,16170,15097,15204,15127,113763,228956,256749,266006,289028,340041,406169,506340,574692,602802,741568,754250,585321,633884,859079,976341,985383,982540,1054655,1133149,1203369,1396753
"36000","New York","2","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",14837,15211,15527,15358,14692,14798,14619,16279,72036,68008,73147,80784,91250,109825,154516,194115,200574,176603,193191,171109,166320,233932,282447,304606,313830,379770,429490,465153,542300
"36000","New York","2","SA5H 1/","38","...","    Employer contributions for government social insurance",812,712,507,812,405,406,508,97484,156920,188741,192859,208244,248791,296344,351824,380577,402228,564965,561059,414212,467564,625147,693894,680777,668710,674885,703659,738216,854453
"36000","New York","2","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-523574,-537403,-595514,-684647,-744750,-837464,-882704,-962676,-1069412,-1157443
"36000","New York","2","SA5H 1/","45","...","  Equals: Net earnings by place of residence",9676576,9057998,7697221,5806718,5498163,6288394,6916196,7789110,8265180,7901143,8273871,8845802,10320746,12525395,15245317,16741703,17450773,18644333,19690700,21270432,21133678,22437712,24893542,26104412,27736153,28260895,29932835,31904575,33623467
"36000","New York","2","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",4210526,3924601,3393314,2849231,2555994,2526232,2537655,2788977,2876349,2524186,2652131,2623669,2708562,2585458,2659465,2775363,2953492,3320217,3633927,3394149,3641165,3999043,4055825,4297674,4642412,5039980,5488296,5722203,6184963
"36000","New York","2","SA5H 1/","47","...","  Plus: Personal current transfer receipts",178523,185286,321692,260664,267754,297216,336850,463575,318173,401641,400149,411254,402580,384640,328751,387683,668462,1237672,1213825,1309805,1241944,1468714,1252892,1274165,1358534,1560144,1727332,1850091,2110405
"36000","New York","2","SA5H 1/","50","...","  Wages and salaries",7975535,7595698,6553283,5065068,4774465,5355278,5781894,6472649,6929829,6627883,6962545,7352115,8514920,10176148,12371148,13591158,14069326,15012500,16421698,18484166,18404367,19566947,21756047,22877088,24439312,24898923,26308127,28164523,29593524
"36000","New York","2","SA5H 1/","60","...","  Supplements to wages and salaries",170631,175177,171505,159284,146887,153271,178210,310585,380812,424629,435226,473662,550054,688259,846937,949833,1006264,1181687,1220009,1126365,1234745,1490215,1742494,1852035,1935873,2019984,2158340,2349330,2662888
"36000","New York","2","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",169819,174465,170998,158472,146482,152865,177702,213101,223892,235888,242367,265418,301263,391915,495113,569256,604036,616722,658950,712153,767181,865068,1048600,1171258,1267163,1345099,1454681,1611114,1808435
"36000","New York","2","SA5H 1/","62","...","    Employer contributions for government social insurance",812,712,507,812,405,406,508,97484,156920,188741,192859,208244,248791,296344,351824,380577,402228,564965,561059,414212,467564,625147,693894,680777,668710,674885,703659,738216,854453
"36000","New York","2","SA5H 1/","70","...","  Proprietors' income 8/",1546059,1303046,988467,598536,591908,795049,971219,1119639,1183495,1105380,1142106,1309053,1595813,2067157,2533572,2775404,2977985,3191714,2803243,2768796,2665853,2835143,3055989,3105422,3180972,3279347,3562193,3663503,3921251
"36000","New York","2","SA5H 1/","71","...","    Farm proprietors' income",154561,150861,109540,74314,79429,84754,137969,117816,149562,111057,96872,106694,137144,241982,269245,287837,293000,350841,290741,361753,238203,247520,308181,309204,263345,225000,201534,213604,225076
"36000","New York","2","SA5H 1/","72","...","    Nonfarm proprietors' income",1391498,1152185,878927,524222,512479,710295,833250,1001823,1033933,994323,1045234,1202359,1458669,1825175,2264327,2487567,2684985,2840873,2512502,2407043,2427650,2587623,2747808,2796218,2917627,3054347,3360659,3449899,3696175
"36000","New York","2","SA5H 1/","81","[01-02]","  Farm earnings",214331,217242,162293,113904,112985,121277,175016,158321,195963,162694,147236,160117,203251,318973,360972,388554,401859,476248,420436,482962,352037,362111,428840,429945,375149,327899,295588,309897,329190
"36000","New York","2","SA5H 1/","82","...","  Nonfarm earnings",9477894,8856679,7550962,5708984,5400275,6182321,6756307,7744552,8298173,7995198,8392641,8974713,10457536,12612591,15390685,16927841,17651716,18909653,20024514,21896365,21952928,23530194,26125690,27404600,29181008,29870355,31733072,33867459,35848473
"36000","New York","2","SA5H 1/","90","...","    Private nonfarm earnings",8738769,8062168,6712245,4870192,4525603,5223911,5712087,6471332,7087181,6756283,7172399,7726251,9092118,10855054,12837298,13896328,14512450,16452396,17788995,19548208,19400595,20956888,23015573,23918152,25564072,26117869,27736631,29569169,31198647
"36000","New York","2","SA5H 1/","100","[07-08]","      Agricultural services, forestry, and fishing",8643,8580,9049,7080,6417,5995,7000,7094,9736,9539,9612,9913,11163,14392,16006,18225,18122,29036,36682,39880,44446,49557,54826,60728,63847,70412,68741,72477,72159
"36000","New York","2","SA5H 1/","200","B","      Mining",15832,14363,11063,7173,6359,9081,8657,11945,15504,10860,11856,18177,22066,26912,26832,26086,28048,31541,40040,49065,47005,50141,60369,64023,71024,67422,68787,77078,78629
"36000","New York","2","SA5H 1/","300","C","      Construction",633961,580814,421126,177375,119439,134829,175414,272428,279775,288828,349031,323184,348544,502016,374220,326124,370340,627617,825336,1005312,1038723,1218040,1300162,1253196,1342840,1494616,1595688,1762546,1886787
"36000","New York","2","SA5H 1/","400","D","      Manufacturing",2642839,2364217,1844666,1230360,1238166,1491776,1648844,1870071,2084512,1888530,2045789,2276474,3104616,4239182,5563948,5943989,5841084,5879662,6197846,7012414,6716208,7420738,8408968,8940328,9742871,9548580,9974036,10696699,11081895
"36000","New York","2","SA5H 1/","500","E","      Transportation and public utilities",968014,925100,823770,673319,619774,654906,682091,763329,834902,780877,821033,833624,911024,1023073,1219109,1427111,1489149,1676355,1808156,2108932,2067078,2168176,2452182,2602464,2738780,2723767,2909396,3112571,3293793
"36000","New York","2","SA5H 1/","600","F-G","      Wholesale and retail trade",2013427,1889995,1597515,1134824,1009392,1313124,1461493,1618042,1790927,1788248,1873489,2100608,2432099,2647977,2973168,3206467,3523875,4442816,4829949,4797222,4795503,4982319,5322651,5349222,5586370,5827059,6057055,6419760,6820544
"36000","New York","2","SA5H 1/","700","H","      Finance, insurance, and real estate",893217,774630,674178,561574,554758,541825,573622,652911,698984,675712,694057,705605,722341,768952,831454,876423,985842,1174968,1231104,1389184,1450014,1618511,1730268,1818393,1925632,2118020,2343195,2442733,2596699
"36000","New York","2","SA5H 1/","800","I","      Services",1562836,1504469,1330878,1078487,971298,1072375,1154966,1275512,1372841,1313689,1367532,1458666,1540265,1632550,1832561,2071903,2255990,2590401,2819882,3146199,3241618,3449406,3686147,3829798,4092708,4267993,4719733,4985305,5368141
"36000","New York","2","SA5H 1/","900","...","    Government and government enterprises",739125,794511,838717,838792,874672,958410,1044220,1273220,1210992,1238915,1220242,1248462,1365418,1757537,2553387,3031513,3139266,2457257,2235519,2348157,2552333,2573306,3110117,3486448,3616936,3752486,3996441,4298290,4649826
"36000","New York","2","SA5H 1/","910","...","      Federal, civilian",127139,131810,131658,122572,143881,211751,258418,555647,447070,418539,388047,357124,397996,602303,896623,931269,888912,882388,678834,627950,673765,625302,834153,908766,938094,894875,958019,997692,1062473
"36000","New York","2","SA5H 1/","920","...","      Military",25144,27528,25889,25552,22383,22547,26084,27385,29961,32165,36356,42315,81653,271912,759777,1182067,1282922,482729,237226,221783,249876,233857,410143,514819,504254,518640,515739,488712,448671
"36000","New York","2","SA5H 1/","930","...","      State and local",586842,635173,681170,690668,708408,724112,759718,690188,733961,788211,795839,849023,885769,883322,896987,918177,967432,1092140,1319459,1498424,1628692,1714147,1865821,2062863,2174588,2338971,2522683,2811886,3138682
"Note: See the included footnote file."
"SA5H: Personal Income by Major Component and Earnings by Industry (Historical)"
"Last updated: May 30, 2014-- revised estimates for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
