"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"97000","Rocky Mountain","7","SA5H 1/","10","...","Personal income (thousands of dollars)",1596636,1467539,1173081,926945,885603,1042051,1254068,1462049,1470928,1440938,1495060,1591856,1946080,2719959,3322935,3311727,3481329,3820761,4294426,4769837,4779446,5343163,6167502,6539394,6570578,6643253,7219888,7864579,8483449
"97000","Rocky Mountain","7","SA5H 1/","20","...","Population (persons) 2/",2710000,2761000,2792000,2812000,2826000,2848000,2872000,2906000,2937000,2958000,2987000,3012000,2969000,2966000,3006000,2965000,2916000,3110000,3180000,3278000,3382000,3494000,3508000,3571000,3672000,3760000,3890000,4030000,4113000
"97000","Rocky Mountain","7","SA5H 1/","30","...","Per capita personal income (dollars) 3/",589,532,420,330,313,366,437,503,501,487,501,529,655,917,1105,1117,1194,1229,1350,1455,1413,1529,1758,1831,1789,1767,1856,1952,2063
"97000","Rocky Mountain","7","SA5H 1/","35","...","  Total earnings",1326248,1214604,923755,725009,699266,847874,1040644,1190140,1242533,1221662,1261485,1337907,1669429,2421641,3032056,3014238,3129845,3355645,3737800,4036607,3969953,4382930,5207740,5536129,5520770,5489874,5974689,6520463,7007986
"97000","Rocky Mountain","7","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",1530,1478,1386,1410,1188,1215,1194,3504,25365,27629,31309,32010,37245,53509,71393,76660,95424,142090,118545,98030,102340,104334,124035,139757,141969,160594,179802,197907,230190
"97000","Rocky Mountain","7","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",1344,1315,1270,1224,1094,1121,1077,1176,8172,7623,8091,8989,10465,16804,32091,38482,38978,31452,35335,33802,33939,44328,52796,60228,63909,72246,80776,91578,107078
"97000","Rocky Mountain","7","SA5H 1/","38","...","    Employer contributions for government social insurance",186,163,116,186,94,94,117,2328,17193,20006,23218,23021,26780,36705,39302,38178,56446,110638,83210,64228,68401,60006,71239,79529,78060,88348,99026,106329,123112
"97000","Rocky Mountain","7","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-149,-458,-357,-967,-1062,-890,-1316,-1463,-1857,-1732
"97000","Rocky Mountain","7","SA5H 1/","45","...","  Equals: Net earnings by place of residence",1324718,1213126,922369,723599,698078,846659,1039450,1186636,1217168,1194033,1230176,1305897,1632184,2368132,2960663,2937578,3034421,3213555,3619255,3938428,3867155,4278239,5082738,5395310,5377911,5327964,5793424,6320699,6776064
"97000","Rocky Mountain","7","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",245906,227135,193857,160742,145620,153804,165397,195328,197427,187248,197223,210245,235940,276979,291117,288719,312246,368648,408244,566454,633811,715271,784055,824152,861995,954971,1025977,1116362,1224867
"97000","Rocky Mountain","7","SA5H 1/","47","...","  Plus: Personal current transfer receipts",26012,27278,56855,42604,41905,41588,49221,80085,56333,59657,67661,75714,77956,74848,71155,85430,134662,238558,266927,264955,278480,349653,300709,319932,330672,360318,400487,427518,482518
"97000","Rocky Mountain","7","SA5H 1/","50","...","  Wages and salaries",962210,878470,734690,582426,550726,655450,731825,848919,910539,866221,886643,921119,1071174,1542266,1933321,1960638,2023737,2038053,2296910,2581642,2682003,2893703,3420429,3763713,3884221,3922361,4276949,4715686,4977899
"97000","Rocky Mountain","7","SA5H 1/","60","...","  Supplements to wages and salaries",20265,20654,19741,18024,17523,19263,21192,26230,41316,44825,49587,53123,67162,116931,140983,134797,156451,214122,186316,175326,196789,222349,280426,319894,322118,349920,384121,430223,480087
"97000","Rocky Mountain","7","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",20079,20491,19625,17838,17429,19169,21075,23902,24123,24819,26369,30102,40382,80226,101681,96619,100005,103484,103106,111098,128388,162343,209187,240365,244058,261572,285095,323894,356975
"97000","Rocky Mountain","7","SA5H 1/","62","...","    Employer contributions for government social insurance",186,163,116,186,94,94,117,2328,17193,20006,23218,23021,26780,36705,39302,38178,56446,110638,83210,64228,68401,60006,71239,79529,78060,88348,99026,106329,123112
"97000","Rocky Mountain","7","SA5H 1/","70","...","  Proprietors' income 8/",343773,315480,169324,124559,131017,173161,287627,314991,290678,310616,325255,363665,531093,762444,957752,918803,949657,1103470,1254574,1279639,1091161,1266878,1506885,1452522,1314431,1217593,1313619,1374554,1550000
"97000","Rocky Mountain","7","SA5H 1/","71","...","    Farm proprietors' income",180161,179147,61954,55282,68474,79523,172946,169736,134504,157332,161144,179601,295601,422018,566938,522076,529000,604053,764832,716521,512990,627943,797260,705458,554061,446291,449323,455932,573766
"97000","Rocky Mountain","7","SA5H 1/","72","...","    Nonfarm proprietors' income",163612,136333,107370,69277,62543,93638,114681,145255,156174,153284,164111,184064,235492,340426,390814,396727,420657,499417,489742,563118,578171,638935,709625,747064,760370,771302,864296,918622,976234
"97000","Rocky Mountain","7","SA5H 1/","81","[01-02]","  Farm earnings",265162,255499,116653,92009,104239,119239,220139,224105,189691,216767,217229,233703,368616,519508,689344,652525,665707,746240,930927,887255,673173,772175,951124,862329,699506,591598,596479,598693,731679
