"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"46000","South Dakota","4","SA5H 1/","10","...","Personal income (thousands of dollars)",286119,247224,167675,130823,93854,129188,205575,164816,210441,205687,219860,228852,287866,450631,500710,548370,620624,659409,752267,921458,709088,851673,997477,884664,961613,987358,920371,984328,1154418
"46000","South Dakota","4","SA5H 1/","20","...","Population (persons) 2/",690000,693000,694000,692000,690000,682000,674000,666000,656000,649000,645000,641000,613000,597000,587000,562000,573000,588000,600000,612000,631000,655000,655000,651000,648000,655000,663000,670000,666000
"46000","South Dakota","4","SA5H 1/","30","...","Per capita personal income (dollars) 3/",415,357,242,189,136,189,305,247,321,317,341,357,470,755,853,976,1083,1121,1254,1506,1124,1300,1523,1359,1484,1507,1388,1469,1733
"46000","South Dakota","4","SA5H 1/","35","...","  Total earnings",254230,214219,132001,104059,72075,106360,181213,128566,179185,174856,189825,197924,255538,415906,461146,507912,572730,585848,671060,817286,598695,716405,859770,741201,803881,813064,746925,797338,959862
"46000","South Dakota","4","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",290,280,261,261,211,216,210,205,2193,2358,2779,2882,2691,3752,4977,5776,10235,11492,9993,8858,9743,9945,11386,12763,13555,14541,15578,19517,22019
"46000","South Dakota","4","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",243,239,232,216,189,194,183,194,863,765,860,938,992,1622,3079,3586,4747,3087,3564,3649,3581,4871,5710,6759,7284,7865,8386,11729,12890
"46000","South Dakota","4","SA5H 1/","38","...","    Employer contributions for government social insurance",47,41,29,45,22,22,27,11,1330,1593,1919,1944,1699,2130,1898,2190,5488,8405,6429,5209,6162,5074,5676,6004,6271,6676,7192,7788,9129
"46000","South Dakota","4","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",0,-59,-123,-175,-245,-321,-430,-506,-588,-668
"46000","South Dakota","4","SA5H 1/","45","...","  Equals: Net earnings by place of residence",253940,213939,131740,103798,71864,106144,181003,128361,176992,172498,187046,195042,252847,412154,456169,502136,562495,574356,661067,808428,588893,706337,848209,728193,790005,798093,730841,777233,937175
"46000","South Dakota","4","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",26841,28004,24212,19697,15826,17007,18255,19255,19770,19664,21197,23154,25819,29566,35760,35463,39383,52628,58222,84460,80755,96663,111312,117416,131952,147078,136736,151333,152699
