"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"50000","Vermont","1","SA5H 1/","10","...","Personal income (thousands of dollars)",226157,205847,169035,129752,120254,136030,147911,167564,172590,162779,175892,188214,226091,269849,307476,303030,329764,375025,400787,432111,416483,443938,508867,522074,547418,555674,578601,633086,656812
"50000","Vermont","1","SA5H 1/","20","...","Population (persons) 2/",359000,360000,359000,358000,357000,357000,357000,357000,356000,356000,358000,363000,348000,345000,325000,315000,315000,342000,354000,359000,369000,379000,378000,375000,379000,377000,375000,377000,376000
"50000","Vermont","1","SA5H 1/","30","...","Per capita personal income (dollars) 3/",630,572,471,362,337,381,414,469,485,457,491,518,650,782,946,962,1047,1097,1132,1204,1129,1171,1346,1392,1444,1474,1543,1679,1747
"50000","Vermont","1","SA5H 1/","35","...","  Total earnings",180730,161726,128901,96826,91835,108276,121357,135449,145835,134162,145244,151703,186301,230140,268509,262751,279846,314989,340788,371144,344100,370142,435818,449547,471577,462963,484423,531241,549765
"50000","Vermont","1","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",142,137,126,128,103,105,102,99,2886,3049,3421,3347,4210,4869,6024,5969,6735,9808,9635,8815,8617,9418,11435,12041,12153,13489,14819,16478,18957
"50000","Vermont","1","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",118,116,111,105,91,94,88,93,898,792,871,958,1068,1335,1886,1817,2065,2442,2947,3137,3012,4001,4778,5204,5404,6305,6887,7671,9019
"50000","Vermont","1","SA5H 1/","38","...","    Employer contributions for government social insurance",24,21,15,23,12,11,14,6,1988,2257,2550,2389,3142,3534,4138,4152,4670,7366,6688,5678,5605,5417,6657,6837,6749,7184,7932,8807,9938
"50000","Vermont","1","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-5055,-5553,-6022,-7017,-7265,-7854,-7257,-7447,-8355,-8011
"50000","Vermont","1","SA5H 1/","45","...","  Equals: Net earnings by place of residence",180588,161589,128775,96698,91732,108171,121255,135350,142949,131113,141823,148356,182091,225271,262485,256782,273111,305181,331153,357274,329930,354702,417366,430241,451570,442217,462157,506408,522797
"50000","Vermont","1","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",41152,39998,33557,27973,24123,23937,22636,24425,24785,26216,28521,34017,38304,39072,38898,38309,43004,47663,46952,52538,60717,59953,66081,64163,66220,78909,77870,87425,88143
"50000","Vermont","1","SA5H 1/","47","...","  Plus: Personal current transfer receipts",4417,4260,6703,5081,4399,3922,4020,7789,4856,5450,5548,5841,5696,5506,6093,7939,13649,22181,22682,22299,25836,29283,25420,27670,29628,34548,38574,39253,45872
"50000","Vermont","1","SA5H 1/","50","...","  Wages and salaries",128389,115339,96070,75601,70782,79615,88155,97772,104156,97287,103965,111650,131782,156808,183074,185162,194443,214562,244113,266626,257462,275204,318156,334922,357254,346743,359573,398708,402720
"50000","Vermont","1","SA5H 1/","60","...","  Supplements to wages and salaries",2140,2101,1936,1730,1549,1645,1911,2059,4101,4453,4899,4979,7057,8105,9852,9273,10988,13963,14176,14085,14554,15828,20689,22843,24200,25387,27202,31140,34274
"50000","Vermont","1","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",2116,2080,1921,1707,1537,1634,1897,2053,2113,2196,2349,2590,3915,4571,5714,5121,6318,6597,7488,8407,8949,10411,14032,16006,17451,18203,19270,22333,24336
"50000","Vermont","1","SA5H 1/","62","...","    Employer contributions for government social insurance",24,21,15,23,12,11,14,6,1988,2257,2550,2389,3142,3534,4138,4152,4670,7366,6688,5678,5605,5417,6657,6837,6749,7184,7932,8807,9938
"50000","Vermont","1","SA5H 1/","70","...","  Proprietors' income 8/",50201,44286,30895,19495,19504,27016,31291,35618,37578,32422,36380,35074,47462,65227,75583,68316,74415,86464,82499,90433,72084,79110,96973,91782,90123,90833,97648,101393,112771
"50000","Vermont","1","SA5H 1/","71","...","    Farm proprietors' income",24655,22630,15376,9968,10956,13602,16517,17972,19072,14807,16767,13337,19461,31941,37593,30769,35000,38644,34854,39784,21860,24619,38769,32296,28558,28976,29790,26750,32715
"50000","Vermont","1","SA5H 1/","72","...","    Nonfarm proprietors' income",25546,21656,15519,9527,8548,13414,14774,17646,18506,17615,19613,21737,28001,33286,37990,37547,39415,47820,47645,50649,50224,54491,58204,59486,61565,61857,67858,74643,80056
"50000","Vermont","1","SA5H 1/","81","[01-02]","  Farm earnings",31726,29648,20426,15052,15029,18677,22525,23993,25072,21836,23753,20325,27452,41885,49541,43729,48994,54589,51719,60221,40815,43282,58957,51355,46225,43582,43171,42562,48438
"50000","Vermont","1","SA5H 1/","82","...","  Nonfarm earnings",149004,132078,108475,81774,76806,89599,98832,111456,120763,112326,121491,131378,158849,188255,218968,219022,230852,260400,289069,310923,303285,326860,376861,398192,425352,419381,441252,488679,501327
"50000","Vermont","1","SA5H 1/","90","...","    Private nonfarm earnings",135889,119355,96421,69599,64138,74564,82082,92722,103885,92761,101983,112033,136682,163398,181558,188653,189978,227756,255816,274251,263501,288601,329428,343549,367639,357032,376445,418949,425898
"50000","Vermont","1","SA5H 1/","100","[07-08]","      Agricultural services, forestry, and fishing",0,0,0,0,0,0,0,0,0,0,0,0,103,201,304,402,705,1007,1009,1672,2023,2021,2386,2434,2570,2620,2561,2717,2674
"50000","Vermont","1","SA5H 1/","200","B","      Mining",5303,4498,3481,2366,2052,2148,1952,2357,2836,1922,2015,1892,2199,2194,1680,1566,1569,2206,2650,3212,3436,2868,3956,3054,4183,4902,5321,5792,6269
"50000","Vermont","1","SA5H 1/","300","C","      Construction",15741,13303,6774,4255,3175,4400,3834,5079,4831,5043,5746,5642,6207,4831,3402,3166,4183,10888,14430,19653,19351,22087,19083,19014,20341,20431,25078,30882,35527
"50000","Vermont","1","SA5H 1/","400","D","      Manufacturing",47166,38071,30524,17481,18221,20760,26415,31263,36978,28194,33517,39422,54941,75782,89754,94228,89153,95759,103722,113023,100559,114987,144573,150588,161892,144215,150106,169743,162326
"50000","Vermont","1","SA5H 1/","500","E","      Transportation and public utilities",13827,13207,11550,9974,9001,9651,10112,10674,11966,11584,11517,12440,13509,15213,16684,19440,20211,25076,27826,28412,27703,28418,31308,33434,34698,34933,34121,37317,38972
"50000","Vermont","1","SA5H 1/","600","F-G","      Wholesale and retail trade",28660,26715,22763,17484,15014,19189,20705,23241,25600,25342,27200,29547,34712,37598,38584,38845,43174,55346,60547,62177,63110,64775,70699,74000,76901,79046,82163,87246,89816
"50000","Vermont","1","SA5H 1/","700","H","      Finance, insurance, and real estate",6006,5308,4702,4413,4373,4417,4542,4524,4504,4575,5131,4862,4953,5458,5840,5515,5618,6951,7584,8999,10377,12195,13164,14324,15238,16667,19310,22091,23361
"50000","Vermont","1","SA5H 1/","800","I","      Services",19186,18253,16627,13626,12302,13999,14522,15584,17170,16101,16857,18228,20058,22121,25310,25491,25365,30523,38048,37103,36942,41250,44259,46701,51816,54218,57785,63161,66953
"50000","Vermont","1","SA5H 1/","900","...","    Government and government enterprises",13115,12723,12054,12175,12668,15035,16750,18734,16878,19565,19508,19345,22167,24857,37410,30369,40874,32644,33253,36672,39784,38259,47433,54643,57713,62349,64807,69730,75429
"50000","Vermont","1","SA5H 1/","910","...","      Federal, civilian",3790,3902,3782,3533,4455,5764,6071,9242,7299,8938,8788,8442,7931,7770,9225,7061,8966,12349,11442,12154,13108,11821,13578,15177,15994,16646,17964,19162,20687
"50000","Vermont","1","SA5H 1/","920","...","      Military",1781,1782,1640,1505,1090,1142,1419,1414,1692,1702,1898,1773,4897,7390,17712,12052,16727,5455,3411,3799,4616,4093,9248,12445,12932,14576,14152,15981,16437
"50000","Vermont","1","SA5H 1/","930","...","      State and local",7544,7039,6632,7137,7123,8129,9260,8078,7887,8925,8822,9130,9339,9697,10473,11256,15181,14840,18400,20719,22060,22345,24607,27021,28787,31127,32691,34587,38305
"Note: See the included footnote file."
"SA5H: Personal Income by Major Component and Earnings by Industry (Historical)"
"Last updated: May 30, 2014-- revised estimates for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
