"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"53000","Washington","8","SA5H 1/","10","...","Personal income (thousands of dollars)",1149998,1030198,844183,636976,598403,711943,799446,942178,1009574,989908,1058985,1160586,1586482,2348054,3046474,3328255,3248244,3295214,3408755,3759189,3775527,4263776,4714111,5020152,5305857,5449786,5733651,6022918,6406226
"53000","Washington","8","SA5H 1/","20","...","Population (persons) 2/",1555000,1568000,1581000,1584000,1592000,1610000,1629000,1653000,1681000,1698000,1715000,1740000,1793000,1904000,2022000,2138000,2238000,2300000,2225000,2255000,2294000,2387000,2424000,2448000,2466000,2516000,2604000,2668000,2724000
"53000","Washington","8","SA5H 1/","30","...","Per capita personal income (dollars) 3/",740,657,534,402,376,442,491,570,601,583,617,667,885,1233,1507,1557,1451,1433,1532,1667,1646,1786,1945,2051,2152,2166,2202,2257,2352
"53000","Washington","8","SA5H 1/","35","...","  Total earnings",942556,840970,670318,499951,478522,587592,668887,785045,860241,854823,898562,983901,1370532,2122829,2821135,3091406,2969328,2941162,2977162,3224268,3194775,3495725,3983590,4241021,4430861,4522616,4760164,4999436,5292675
"53000","Washington","8","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",1137,1117,1024,994,846,884,856,11424,21182,24070,22213,25601,35057,59430,87820,104811,118011,166405,121602,100061,116824,124402,134614,137362,142503,163055,184637,193868,218656
"53000","Washington","8","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",1031,1024,957,887,792,830,788,876,5563,5413,6143,6802,9550,17107,30755,40676,42639,31509,28848,24072,23059,32159,38715,43000,44530,53171,59955,66471,78108
"53000","Washington","8","SA5H 1/","38","...","    Employer contributions for government social insurance",106,93,67,107,54,54,68,10548,15619,18657,16070,18799,25507,42323,57065,64135,75372,134896,92754,75989,93765,92243,95899,94362,97973,109884,124682,127397,140548
"53000","Washington","8","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2,951,20493,35874,37956,29818,26604,28762,36474,33195
"53000","Washington","8","SA5H 1/","45","...","  Equals: Net earnings by place of residence",941419,839853,669294,498957,477676,586708,668031,773621,839059,830753,876349,958300,1335475,2063399,2733315,2986595,2851317,2774757,2855560,3124209,3078902,3391816,3884850,4141615,4318176,4386165,4604289,4842042,5107214
"53000","Washington","8","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",191198,172917,140087,112914,95638,100949,102142,119520,136187,125004,141935,155367,196759,229073,258343,273980,281395,303728,335166,436658,455233,527558,581604,618352,706244,757105,795633,820437,893589
"53000","Washington","8","SA5H 1/","47","...","  Plus: Personal current transfer receipts",17381,17428,34802,25105,25089,24286,29273,49037,34328,34151,40701,46919,54248,55582,54816,67680,115532,216729,218029,198322,241392,344402,247657,260185,281437,306516,333729,360439,405423
"53000","Washington","8","SA5H 1/","50","...","  Wages and salaries",727713,664496,536792,411133,382802,451128,495363,588317,654469,646943,693185,755775,1005901,1576378,2129448,2355703,2194225,1979747,2089554,2276758,2313098,2498825,2890671,3095094,3250921,3310673,3509991,3722228,3922997
"53000","Washington","8","SA5H 1/","60","...","  Supplements to wages and salaries",16022,16257,15476,14010,13052,14037,15939,28638,34353,38485,37621,51176,81795,133770,149897,159479,179810,254598,205439,191636,229436,263739,292942,311060,327166,344907,370926,390579,431802
"53000","Washington","8","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",15916,16164,15409,13903,12998,13983,15871,18090,18734,19828,21551,32377,56288,91447,92832,95344,104438,119702,112685,115647,135671,171496,197043,216698,229193,235023,246244,263182,291254
"53000","Washington","8","SA5H 1/","62","...","    Employer contributions for government social insurance",106,93,67,107,54,54,68,10548,15619,18657,16070,18799,25507,42323,57065,64135,75372,134896,92754,75989,93765,92243,95899,94362,97973,109884,124682,127397,140548
"53000","Washington","8","SA5H 1/","70","...","  Proprietors' income 8/",198821,160217,118050,74808,82668,122427,157585,168090,171419,169395,167756,176950,282836,412681,541790,576224,595293,706817,682169,755874,652241,733161,799977,834867,852774,867036,879247,886629,937876
"53000","Washington","8","SA5H 1/","71","...","    Farm proprietors' income",83443,61288,46123,29906,41084,62780,83559,75882,73275,66634,59614,50679,107491,167452,215397,222328,238000,304062,306117,266653,158314,206763,220132,224928,224471,212844,173101,179254,194983
"53000","Washington","8","SA5H 1/","72","...","    Nonfarm proprietors' income",115378,98929,71927,44902,41584,59647,74026,92208,98144,102761,108142,126271,175345,245229,326393,353896,357293,402755,376052,489221,493927,526398,579845,609939,628303,654192,706146,707375,742893
"53000","Washington","8","SA5H 1/","81","[01-02]","  Farm earnings",120015,95578,72580,44285,52425,77126,99717,94122,95448,84876,84726,77782,139546,217228,278115,295022,309845,376637,378297,336808,224408,273314,290835,295413,293470,282870,238991,243844,265077
"53000","Washington","8","SA5H 1/","82","...","  Nonfarm earnings",822541,745392,597738,455666,426097,510466,569170,690923,764793,769947,813836,906119,1230986,1905601,2543020,2796384,2659483,2564525,2598865,2887460,2970367,3222411,3692755,3945608,4137391,4239746,4521173,4755592,5027598
"53000","Washington","8","SA5H 1/","90","...","    Private nonfarm earnings",724330,643427,495899,361390,334227,402908,454584,550613,622364,609124,650939,714764,953218,1428141,1880315,2070113,1860455,1857109,2040837,2350442,2342960,2511682,2866270,3028955,3194737,3285206,3539703,3728756,3955439
"53000","Washington","8","SA5H 1/","100","[07-08]","      Agricultural services, forestry, and fishing",4775,4726,4040,2898,3666,3833,4079,3918,5195,4938,5013,5454,7771,11454,11973,12232,15547,19900,21752,31126,32301,33616,32854,31723,31577,35959,32375,35457,35227
