"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"18000","Indiana","3","SA5N 1/","10","...","Personal income (thousands of dollars)",154164390,160634031,171538788,175890307,178158904,182215699,189976741,195121894,207376568,215098965,225759917,220157359,227692069,242797724,253770962,257170310,266902076,276730346,285863662
"18000","Indiana","3","SA5N 1/","20","...","Population (persons) 2/",5998880,6044969,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490528,6516480,6537743,6569102,6595233,6612768,6633053
"18000","Indiana","3","SA5N 1/","30","...","Per capita personal income (dollars) 3/",25699,26573,28159,28704,28941,29406,30479,31077,32747,33717,35139,34084,35081,37259,38816,39148,40469,41848,43097
"18000","Indiana","3","SA5N 1/","35","...","  Earnings by place of work",116646873,123292642,130628661,132758773,135275966,139120066,145571063,149433215,156453878,159841327,164149612,156371757,162394016,172459850,179928705,185459674,190749520,195872273,204293236
"18000","Indiana","3","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",13175751,13815048,14396263,14582080,14955286,15468453,16252557,16985936,17860742,18373593,18798554,18032124,18452287,17103042,17797812,20639324,21426973,22409934,22962267
"18000","Indiana","3","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",6858453,7205553,7500371,7634928,7864575,8080178,8482712,8843808,9391185,9713245,9990775,9627696,9853237,8046023,8345316,10946266,11391461,11960901,12342814
"18000","Indiana","3","SA5N 1/","38","...","    Employer contributions for government social insurance",6317298,6609495,6895892,6947152,7090711,7388275,7769845,8142128,8469557,8660348,8807779,8404428,8599050,9057019,9452496,9693058,10035512,10449033,10619453
"18000","Indiana","3","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",2583911,2836228,3123855,3384392,2869053,2772297,2859402,2677280,2922457,3646003,3871134,4478792,4276873,4454696,4397094,4753330,4682492,5466880,5219022
"18000","Indiana","3","SA5N 1/","45","...","  Equals: Net earnings by place of residence",106055033,112313822,119356253,121561085,123189733,126423910,132177908,135124559,141515593,145113737,149222192,142818425,148218602,159811504,166527987,169573680,174005039,178929219,186549991
"18000","Indiana","3","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",28804588,28117778,30447006,30308646,29482704,29284157,29730751,29432745,32856476,35380055,36465507,33064941,32168690,35605260,38321031,38275085,40564884,43017215,43429004
"18000","Indiana","3","SA5N 1/","47","...","  Plus: Personal current transfer receipts",19304769,20202431,21735529,24020576,25486467,26507632,28068082,30564590,33004499,34605173,40072218,44273993,47304777,47380960,48921944,49321545,52332153,54783912,55884667
"18000","Indiana","3","SA5N 1/","50","...","  Wages and salaries",87044130,91587831,95775772,96496186,98009747,100524218,105582202,108670096,113132985,116663683,118169279,111500175,114449316,119250104,124676083,127567645,132309103,138703704,142978048
"18000","Indiana","3","SA5N 1/","60","...","  Supplements to wages and salaries",18636725,19991679,21742235,22313001,23020230,24271968,25474034,26920951,28154083,29087459,29682333,27252157,28406325,29176021,30765760,30446059,33067843,32135097,35152719
"18000","Indiana","3","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",12319427,13382184,14846343,15365849,15929519,16883693,17704189,18778823,19684526,20427111,20874554,18847729,19807275,20119002,21313264,20753001,23032331,21686064,24533266
"18000","Indiana","3","SA5N 1/","62","...","    Employer contributions for government social insurance",6317298,6609495,6895892,6947152,7090711,7388275,7769845,8142128,8469557,8660348,8807779,8404428,8599050,9057019,9452496,9693058,10035512,10449033,10619453
"18000","Indiana","3","SA5N 1/","70","...","  Proprietors' income 8/",10966018,11713132,13110654,13949586,14245989,14323880,14514827,13842168,15166810,14090185,16298000,17619425,19538375,24033725,24486862,27445970,25372574,25033472,26162469
"18000","Indiana","3","SA5N 1/","71","...","    Farm proprietors' income",493306,209889,611639,781050,205437,961946,1708761,1011551,834451,1156416,1928068,1127988,1190413,2334721,1888764,4766556,2484456,764441,1509500
"18000","Indiana","3","SA5N 1/","72","...","    Nonfarm proprietors' income",10472712,11503243,12499015,13168536,14040552,13361934,12806066,12830617,14332359,12933769,14369932,16491437,18347962,21699004,22598098,22679414,22888118,24269031,24652969
"18000","Indiana","3","SA5N 1/","81","111-112","  Farm earnings",769300,473182,873210,1067919,473981,1265943,2051601,1332248,1136397,1507443,2259469,1494023,1580650,2698377,2319854,5207434,2961009,1156738,1922493
"18000","Indiana","3","SA5N 1/","82","...","  Nonfarm earnings",115877573,122819460,129755451,131690854,134801985,137854123,143519462,148100967,155317481,158333884,161890143,154877734,160813366,169761473,177608851,180252240,187788511,194715535,202370743
"18000","Indiana","3","SA5N 1/","90","113-814","    Private nonfarm earnings",101433645,107412995,113309128,114549902,116937434,118940282,123503503,127243042,134110012,136273513,138822246,131248950,136925963,145608069,153598710,156645757,163353360,169823317,176745814
"18000","Indiana","3","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",513127,506294,621417,685247,642612,520337,302554,345653,452819,448287,431665,388653,472012,378933,433730,503893,575833,667230,708065
"18000","Indiana","3","SA5N 1/","101","113","        Forestry and logging",33605,33986,40519,"(D)",39973,40983,49913,54213,58553,53018,50142,44625,56773,"(D)","(D)","(D)",80175,"(D)","(D)"
"18000","Indiana","3","SA5N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)",981,886,-533,-1319,-1259,-1822,-1935,-1398,-629,"(D)","(D)","(D)",-603,"(D)","(D)"
"18000","Indiana","3","SA5N 1/","103","115","        Support activities for agriculture and forestry",477748,470536,579010,642920,601658,478468,253174,292759,395525,397091,383458,345426,415868,326602,367286,433748,496261,571791,601395
"18000","Indiana","3","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",445654,439992,460163,463190,462037,461388,491436,503146,567485,527175,582158,491654,577749,746147,685856,661906,655445,605442,512412
"18000","Indiana","3","SA5N 1/","201","211","        Oil and gas extraction",23177,21148,30311,42339,41871,48681,57224,95036,116240,79113,132088,45562,81770,167135,163784,164252,143954,90469,19350
"18000","Indiana","3","SA5N 1/","202","212","        Mining (except oil and gas)",414556,411892,422447,412154,410144,404620,423782,397880,442995,437434,430425,430833,474463,541804,494762,468108,472382,481440,460141
"18000","Indiana","3","SA5N 1/","203","213","        Support activities for mining","(T)","(T)","(T)",8697,10022,8087,10430,10230,8250,10628,19645,15259,21516,37208,27310,29546,39109,33533,32921
"18000","Indiana","3","SA5N 1/","300","22","      Utilities",996691,1037527,1048063,1259944,1262227,1230230,1300249,1328500,1496177,1488516,1632079,1644531,1702384,1766386,1705762,1777486,1846165,1844584,1947378
"18000","Indiana","3","SA5N 1/","400","23","      Construction",7811397,8465293,9001464,9149177,9353008,9677816,10047604,10158933,10505813,10680307,10448252,8928156,9065164,10087174,11788669,11356164,11259154,11425372,12068425
"18000","Indiana","3","SA5N 1/","401","236","        Construction of buildings",2190539,2452692,2582754,2704116,2830416,2897961,2839741,2790846,2855393,2956286,2789465,2120848,2080946,2606198,3625863,3384849,3263255,3109322,3206690
"18000","Indiana","3","SA5N 1/","402","237","        Heavy and civil engineering construction",887160,941300,1009321,955078,954950,1013812,1087186,1102994,1164573,1263715,1373476,1458605,1475623,1580515,1547031,1320205,1312918,1355261,1470939
"18000","Indiana","3","SA5N 1/","403","238","        Specialty trade contractors",4733698,5071301,5409389,5489983,5567642,5766043,6120677,6265093,6485847,6460306,6285311,5348703,5508595,5900461,6615775,6651110,6682981,6960789,7390796
"18000","Indiana","3","SA5N 1/","500","31-33","      Manufacturing",32609447,33864695,34680026,33246249,33505270,34025779,35476389,36065069,37079128,36918410,36073615,30518887,31878419,33713631,35805189,36673113,39245367,40896777,41730439
"18000","Indiana","3","SA5N 1/","510","321,327-339","        Durable goods manufacturing",24688433,25465692,26241457,24617014,24873508,25225013,26290254,26626682,27256566,27039939,25823894,20790762,21777007,23486568,25483331,25674357,27173863,28658689,29263767
"18000","Indiana","3","SA5N 1/","511","321","          Wood product manufacturing",893889,986929,950601,858150,846715,840329,866931,890988,860416,800952,717765,520259,500828,545002,616328,651762,705613,760866,819564
