"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"20000","Kansas","4","SA5N 1/","10","...","Personal income (thousands of dollars)",70029330,72401435,76512050,79087763,79737565,82089882,83860092,88583966,97677245,105406658,115633816,111052352,112083904,122014751,129292297,132683659,135017710,136598008,137305437
"20000","Kansas","4","SA5N 1/","20","...","Population (persons) 2/",2660598,2678338,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858850,2869503,2885262,2892821,2899360,2906721,2907289
"20000","Kansas","4","SA5N 1/","30","...","Per capita personal income (dollars) 3/",26321,27032,28404,29268,29385,30147,30669,32268,35353,37865,41179,39204,39206,42521,44811,45867,46568,46994,47228
"20000","Kansas","4","SA5N 1/","35","...","  Earnings by place of work",51415742,54064072,56565519,58705017,59422314,61538055,62955508,66407901,72013928,76739910,83270008,79873980,81234974,87319365,92344279,97891853,97739362,98794455,98537303
"20000","Kansas","4","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",6067756,6342550,6655173,6869934,7007808,7172007,7552161,7906311,8405170,8801746,9191301,8995216,9228378,8512072,8808218,10204440,10598579,11044023,10930544
"20000","Kansas","4","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",3124975,3275804,3431740,3537223,3619219,3681136,3855117,4063758,4353037,4653746,4853684,4775032,4808515,3945338,4067539,5343780,5597049,5755769,5849411
"20000","Kansas","4","SA5N 1/","38","...","    Employer contributions for government social insurance",2942781,3066746,3223433,3332711,3388589,3490871,3697044,3842553,4052133,4148000,4337617,4220184,4419863,4566734,4740679,4860660,5001530,5288254,5081133
"20000","Kansas","4","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",1067728,1022023,1125335,1110410,1027750,1024224,1079498,1157491,1160789,1354932,1445245,1801435,1804176,1401750,1862594,1549541,1387011,1406314,1478989
"20000","Kansas","4","SA5N 1/","45","...","  Equals: Net earnings by place of residence",46415714,48743545,51035681,52945493,53442256,55390272,56482845,59659081,64769547,69293096,75523952,72680199,73810772,80209043,85398655,89236954,88527794,89156746,89085748
"20000","Kansas","4","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",15069389,14755729,15825534,15592972,15091474,14990180,15336693,16242451,19271923,21446291,23552474,20352369,19100033,22175707,24519909,23786270,26148227,26174774,26299264
"20000","Kansas","4","SA5N 1/","47","...","  Plus: Personal current transfer receipts",8544227,8902161,9650835,10549298,11203835,11709430,12040554,12682434,13635775,14667271,16557390,18019784,19173099,19630001,19373733,19660435,20341689,21266488,21920425
"20000","Kansas","4","SA5N 1/","50","...","  Wages and salaries",37317819,39438463,41766878,43269734,43922702,44528950,46698084,48529288,52067815,55404970,57582460,55603680,56102260,58121170,60590986,61872549,64442235,66672484,67216593
"20000","Kansas","4","SA5N 1/","60","...","  Supplements to wages and salaries",8165675,8610205,9108885,9532152,9812865,10372872,11136116,11654023,11786499,12758122,13764978,13119349,13959412,14462795,14321526,15393185,15691585,16147621,16247753
"20000","Kansas","4","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",5222894,5543459,5885452,6199441,6424276,6882001,7439072,7811470,7734366,8610122,9427361,8899165,9539549,9896061,9580847,10532525,10690055,10859367,11166620
"20000","Kansas","4","SA5N 1/","62","...","    Employer contributions for government social insurance",2942781,3066746,3223433,3332711,3388589,3490871,3697044,3842553,4052133,4148000,4337617,4220184,4419863,4566734,4740679,4860660,5001530,5288254,5081133
"20000","Kansas","4","SA5N 1/","70","...","  Proprietors' income 8/",5932248,6015404,5689756,5903131,5686747,6636233,5121308,6224590,8159614,8576818,11922570,11150951,11173302,14735400,17431767,20626119,17605542,15974350,15072957
"20000","Kansas","4","SA5N 1/","71","...","    Farm proprietors' income",966637,1085436,668539,779473,150137,1309803,1190232,1575919,770704,1095000,1756207,1557257,2046492,3398205,2582318,5133350,2853455,2008627,2021374
"20000","Kansas","4","SA5N 1/","72","...","    Nonfarm proprietors' income",4965611,4929968,5021217,5123658,5536610,5326430,3931076,4648671,7388910,7481818,10166363,9593694,9126810,11337195,14849449,15492769,14752087,13965723,13051583
"20000","Kansas","4","SA5N 1/","81","111-112","  Farm earnings",1309284,1403128,1013654,1163595,497388,1678567,1607953,1930884,1139332,1591064,2254848,1966587,2438238,3873347,3113412,5566234,3407430,2520051,2622006
