"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"34000","New Jersey","2","SA5N 1/","10","...","Personal income (thousands of dollars)",287666867,301576276,332255755,344672849,353295773,363070991,379117636,392400318,418875514,438838772,455850397,442746079,451895490,473742591,490610937,494040279,514382313,538220307,549835795
"34000","New Jersey","2","SA5N 1/","20","...","Population (persons) 2/",8287418,8359592,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8803729,8841243,8873211,8899162,8925001,8935421,8944469
"34000","New Jersey","2","SA5N 1/","30","...","Per capita personal income (dollars) 3/",34711,36075,39411,40585,41308,42211,43907,45354,48360,50570,52330,50567,51330,53583,55291,55515,57634,60234,61472
"34000","New Jersey","2","SA5N 1/","35","...","  Earnings by place of work",202374021,214248554,235375597,243399106,250713076,257790115,268633800,277552973,290690885,300060266,307912230,302609047,305338615,311896121,323911299,331726527,342841746,356293724,364380598
"34000","New Jersey","2","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",22686630,23765637,25555863,26592891,27295761,27721331,29096063,30532497,31790200,33658914,34560937,33759926,34238812,31490450,32137513,37376350,38515975,40040725,40784192
"34000","New Jersey","2","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",11449282,12065862,12939109,13490987,14005453,14367417,15127285,15982023,16883606,17733924,18190517,17776120,17925457,14537956,14658933,19402796,20144976,21074567,21725906
"34000","New Jersey","2","SA5N 1/","38","...","    Employer contributions for government social insurance",11237348,11699775,12616754,13101904,13290308,13353914,13968778,14550474,14906594,15924990,16370420,15983806,16313355,16952494,17478580,17973554,18370999,18966158,19058286
"34000","New Jersey","2","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",19634120,21539707,24593451,26546611,27469391,29103916,31313945,33305396,35669476,37919809,39384902,31986946,35987018,39775441,39867082,40378253,43131045,45886242,46229591
"34000","New Jersey","2","SA5N 1/","45","...","  Equals: Net earnings by place of residence",199321511,212022624,234413185,243352826,250886706,259172700,270851682,280325872,294570161,304321161,312736195,300836067,307086821,320181112,331640868,334728430,347456816,362139241,369825997
"34000","New Jersey","2","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",56630478,56514377,62580949,62129709,60035879,61041758,64822781,66343257,74637209,82499657,84368628,76652295,74120091,82070627,88717062,88403399,93222286,99647248,100929556
"34000","New Jersey","2","SA5N 1/","47","...","  Plus: Personal current transfer receipts",31714878,33039275,35261621,39190314,42373188,42856533,43443173,45731189,49668144,52017954,58745574,65257717,70688578,71490852,70253007,70908450,73703211,76433818,79080242
"34000","New Jersey","2","SA5N 1/","50","...","  Wages and salaries",150785679,159052400,174304126,177042075,179841170,184583153,192465013,199878257,210426497,219786983,224109424,214843730,217259794,221689298,228107102,234043196,240561950,251064917,256477965
"34000","New Jersey","2","SA5N 1/","60","...","  Supplements to wages and salaries",31499608,32647798,35396077,37086226,39688844,41867445,44713901,47935469,48022270,49658776,50327677,51328862,51540358,52678650,54848230,56081470,58088196,57345584,57462731
"34000","New Jersey","2","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",20262260,20948023,22779323,23984322,26398536,28513531,30745123,33384995,33115676,33733786,33957257,35345056,35227003,35726156,37369650,38107916,39717197,38379426,38404445
"34000","New Jersey","2","SA5N 1/","62","...","    Employer contributions for government social insurance",11237348,11699775,12616754,13101904,13290308,13353914,13968778,14550474,14906594,15924990,16370420,15983806,16313355,16952494,17478580,17973554,18370999,18966158,19058286
"34000","New Jersey","2","SA5N 1/","70","...","  Proprietors' income 8/",20088734,22548356,25675394,29270805,31183062,31339517,31454886,29739247,32242118,30614507,33475129,36436455,36538463,37528173,40955967,41601861,44191600,47883223,50439902
"34000","New Jersey","2","SA5N 1/","71","...","    Farm proprietors' income",88170,65867,127646,62303,30067,73065,93926,144772,154367,120646,92824,115027,96829,145986,132612,93947,27623,120436,-468
"34000","New Jersey","2","SA5N 1/","72","...","    Nonfarm proprietors' income",20000564,22482489,25547748,29208502,31152995,31266452,31360960,29594475,32087751,30493861,33382305,36321428,36441634,37382187,40823355,41507914,44163977,47762787,50440370
"34000","New Jersey","2","SA5N 1/","81","111-112","  Farm earnings",264964,231525,323075,269060,288351,308354,329707,340142,379779,394520,350553,360087,330565,348887,404971,367214,320492,366044,284006
"34000","New Jersey","2","SA5N 1/","82","...","  Nonfarm earnings",202109057,214017029,235052522,243130046,250424725,257481761,268304093,277212831,290311106,299665746,307561677,302248960,305008050,311547234,323506328,331359313,342521254,355927680,364096592
"34000","New Jersey","2","SA5N 1/","90","113-814","    Private nonfarm earnings",171953989,182501939,201890152,207770747,212905797,217400213,225489868,232298040,244010347,251153613,257114409,250141199,252535213,260137237,272024189,278074001,288087559,300786847,308896503
"34000","New Jersey","2","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",113058,118661,147185,137008,136684,135374,133449,119862,129815,118976,106375,117287,168341,169241,198905,185701,204504,240476,302019
"34000","New Jersey","2","SA5N 1/","101","113","        Forestry and logging","(T)","(T)","(T)",4069,3935,3965,2983,3026,2652,4379,6582,9416,13173,16862,22801,24648,24673,34199,46243
"34000","New Jersey","2","SA5N 1/","102","114","        Fishing, hunting and trapping",52709,56938,71025,61970,58706,57646,54249,54777,52397,40352,34433,39909,58086,68886,77801,76844,69162,84525,102665
"34000","New Jersey","2","SA5N 1/","103","115","        Support activities for agriculture and forestry",54839,56216,69929,70969,74043,73763,76217,62059,74766,74245,65360,67962,97082,83493,98303,84209,110669,121752,153111
"34000","New Jersey","2","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",244422,238417,243177,233361,212628,216355,191960,182472,173136,149838,319688,248594,624282,2349596,3156874,778820,337212,598160,1866821
"34000","New Jersey","2","SA5N 1/","201","211","        Oil and gas extraction",15132,14203,23120,"(D)",40185,33713,20799,12061,7120,"(D)","(D)",129174,523088,2262483,2999887,534789,10429,220936,1469682
"34000","New Jersey","2","SA5N 1/","202","212","        Mining (except oil and gas)",224898,220189,216070,189254,165988,177122,164990,162004,158200,139916,135664,104108,89540,70626,140728,223733,306285,347024,372212
"34000","New Jersey","2","SA5N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)",6455,5520,6171,8407,7816,"(D)","(D)",15312,11654,16487,16259,20298,20498,30200,24927
"34000","New Jersey","2","SA5N 1/","300","22","      Utilities",1353566,1395633,1611303,1714750,1714813,1809747,2318207,2075335,2112556,2101318,2510614,2440988,2130807,2137102,2045131,2291303,2745647,2861879,2693277
"34000","New Jersey","2","SA5N 1/","400","23","      Construction",10267816,11587522,13335355,14466884,15208198,15336429,16094872,16660621,17950434,17741884,17110048,14914820,13725001,13895204,15450683,16836682,18267774,19205292,19909488
"34000","New Jersey","2","SA5N 1/","401","236","        Construction of buildings",2998122,3420410,3964198,4340476,4736552,4860358,4860345,5032905,5265585,5101349,4734538,3665595,2584630,2464100,3404511,3996624,4720350,4772729,4856717
"34000","New Jersey","2","SA5N 1/","402","237","        Heavy and civil engineering construction",1080161,1174428,1312077,1410007,1478379,1305876,1397461,1425751,1565443,1687765,1941497,2071387,2190248,2246935,2324030,2481416,2476878,2526416,2309427
"34000","New Jersey","2","SA5N 1/","403","238","        Specialty trade contractors",6189533,6992684,8059080,8716401,8993267,9170195,9837066,10201965,11119406,10952770,10434013,9177838,8950123,9184169,9722142,10358642,11070546,11906147,12743344
"34000","New Jersey","2","SA5N 1/","500","31-33","      Manufacturing",24441936,24793255,26587885,26085117,25103892,25504455,26349951,26697836,27140213,26914056,26901341,25117005,25776466,25889443,25666925,25575171,26987849,26656961,27822640
"34000","New Jersey","2","SA5N 1/","510","321,327-339","        Durable goods manufacturing",10237083,10365687,11226968,11139733,10459002,10483599,10832502,10868762,11215789,11215737,11118468,10360885,10773146,10775319,10464896,10207564,10514419,10915555,11215930
"34000","New Jersey","2","SA5N 1/","511","321","          Wood product manufacturing",206987,227192,239785,231833,231184,238888,260775,250454,225499,209766,187613,137756,121859,115170,115489,121648,130805,129803,132621
"34000","New Jersey","2","SA5N 1/","512","327","          Nonmetallic mineral product manufacturing",796129,829066,946868,924568,911996,899360,899722,923819,898383,903330,856113,658105,644178,664820,769440,735521,767255,762556,791186
"34000","New Jersey","2","SA5N 1/","513","331","          Primary metal manufacturing",613307,635147,622478,646191,586277,554563,597577,521587,510478,457405,439710,350632,341907,374902,430410,400722,391856,383199,388374
"34000","New Jersey","2","SA5N 1/","514","332","          Fabricated metal product manufacturing",1655921,1685077,1780338,1681318,1535434,1486718,1503239,1579763,1642575,1679775,1706467,1498121,1500340,1558357,1556780,1548778,1507078,1555578,1596671
"34000","New Jersey","2","SA5N 1/","515","333","          Machinery manufacturing",1527019,1496853,1474718,1444659,1335143,1245090,1228995,1225914,1335156,1430202,1484709,1605145,1467658,1325122,1242047,1489808,1551694,1685418,1735507
"34000","New Jersey","2","SA5N 1/","516","334","          Computer and electronic product manufacturing",2405620,2446576,2841586,2914993,2638740,2611382,2668033,2725339,2883516,2951861,2928045,2766216,2711009,2721763,2643593,2542689,2541571,2583817,2619539
"34000","New Jersey","2","SA5N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",508055,496430,516019,496458,489190,513439,509351,573328,590221,630986,616149,576118,550833,577330,617533,607936,634150,654258,687490
"34000","New Jersey","2","SA5N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",557083,494549,536341,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",172220,116698,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"34000","New Jersey","2","SA5N 1/","519","3364-3369","          Other transportation equipment manufacturing",174558,187633,236090,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",223664,171456,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"34000","New Jersey","2","SA5N 1/","521","337","          Furniture and related product manufacturing",348860,371750,424996,403960,385264,387542,398542,392628,417120,417539,420901,342181,305242,316817,304652,311862,344115,361147,415460
"34000","New Jersey","2","SA5N 1/","522","339","          Miscellaneous manufacturing",1443544,1495414,1607749,1607816,1641296,1900513,2227145,2172849,2206409,2055376,2082877,2138457,2836928,2776325,2428652,2090504,2276613,2383070,2405924
"34000","New Jersey","2","SA5N 1/","530","311-316,322-326","        Nondurable goods manufacturing",14204853,14427568,15360917,14945384,14644890,15020856,15517449,15829074,15924424,15698319,15782873,14756120,15003320,15114124,15202029,15367607,16473430,15741406,16606710
"34000","New Jersey","2","SA5N 1/","531","311","          Food manufacturing",1802391,1828419,1914411,1745019,1753600,1851624,1924676,1832708,1777137,1852175,1717124,1804065,1849959,1873108,1958304,1894200,1997781,2111470,2268381
"34000","New Jersey","2","SA5N 1/","532","312","          Beverage and tobacco product manufacturing",271982,230809,216007,172385,167442,180293,131624,138174,135929,95952,135352,120156,140768,150644,134787,140666,158150,148913,218541
"34000","New Jersey","2","SA5N 1/","533","313","          Textile mills",453422,406566,392973,336437,305188,254124,247032,222168,209172,173932,149860,112918,101957,94303,92500,93089,94741,89876,99780
"34000","New Jersey","2","SA5N 1/","534","314","          Textile product mills",196471,211459,225815,209527,222369,224625,222833,208981,189507,189040,157372,161320,155238,162328,167123,162408,180794,163211,154612
"34000","New Jersey","2","SA5N 1/","535","315","          Apparel manufacturing",589030,538144,550540,466475,406161,445474,481872,462799,460115,445556,398508,292395,263341,252904,245362,227841,233984,241760,275930
"34000","New Jersey","2","SA5N 1/","536","316","          Leather and allied product manufacturing",128868,115466,111187,117660,91516,86872,85622,79833,71690,66079,40199,37936,36200,36826,44246,44245,41320,44420,40651
"34000","New Jersey","2","SA5N 1/","537","322","          Paper manufacturing",1162448,1233783,1230755,1166701,1099701,1115390,1077751,1053458,1039279,1123801,1153461,1173038,1067569,1079025,1027260,1033457,1041631,1029397,956593
"34000","New Jersey","2","SA5N 1/","538","323","          Printing and related support activities",1565339,1614549,1703808,1617169,1489593,1413042,1431102,1463469,1475109,1490935,1447495,1178355,1098877,1116568,1098373,1053999,1031547,1005717,999008
"34000","New Jersey","2","SA5N 1/","539","324","          Petroleum and coal products manufacturing",459464,520823,529627,605479,472694,501182,409035,493816,602761,542721,538383,533526,503893,775396,1242032,999521,538536,524783,569084
"34000","New Jersey","2","SA5N 1/","541","325","          Chemical manufacturing",6392920,6517772,7277544,7345293,7468167,7779191,8314572,8660634,8811199,8606117,8960278,8296246,8697211,8556312,8218836,8689613,10045484,9225051,9872757
"34000","New Jersey","2","SA5N 1/","542","326","          Plastics and rubber products manufacturing",1182518,1209778,1208250,1163239,1168459,1169039,1191330,1213034,1152526,1112011,1084841,1046165,1088307,1016710,973206,1028568,1109462,1156808,1151373
"34000","New Jersey","2","SA5N 1/","600","42","      Wholesale trade",15515657,16076393,18762136,19255767,18953742,19862717,19629763,20078611,20663451,21996650,22267431,21164128,21278690,21877367,22793496,23243373,24483401,25516663,25205570
"34000","New Jersey","2","SA5N 1/","700","44-45","      Retail trade",14750099,15691475,17204102,17133620,17852271,18486215,18231894,18524674,18953420,19122332,18106079,17715642,18149607,19034011,19431275,19771976,20323892,21381124,22004438
"34000","New Jersey","2","SA5N 1/","701","441","        Motor vehicle and parts dealers",2276899,2459583,2737754,2878382,3084817,3098670,2831012,2917770,2929219,2999692,2725946,2412272,2578978,2825807,2949099,3141762,3272733,3421964,3538929
"34000","New Jersey","2","SA5N 1/","702","442","        Furniture and home furnishings stores",593503,688104,789527,789626,802822,925080,863413,883402,949514,841639,792206,682790,676704,684716,695392,692917,694058,698841,734055
"34000","New Jersey","2","SA5N 1/","703","443","        Electronics and appliance stores",847272,892263,926449,930934,912696,905852,879595,930502,995392,1024301,1055745,1022728,1082666,1157462,1138371,1134592,1121997,1177383,1172124
"34000","New Jersey","2","SA5N 1/","704","444","        Building material and garden equipment and supplies dealers",994725,1112584,1254441,1261141,1343191,1453982,1559006,1662698,1679121,1618689,1505301,1400622,1408585,1442307,1466897,1504131,1538858,1553734,1559620
"34000","New Jersey","2","SA5N 1/","705","445","        Food and beverage stores",2578128,2789288,3083867,3195170,3375473,3484542,3453863,3514952,3523553,3471338,3377823,3352721,3481518,3659064,3761791,3893722,4002377,4259773,4303091
"34000","New Jersey","2","SA5N 1/","706","446","        Health and personal care stores",1274277,1352782,1498315,1514654,1622347,1664482,1622318,1708165,1693718,1895570,1723609,1679578,1637026,1613558,1628643,1646155,1703205,1785733,1912729
