"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"53000","Washington","8","SA5N 1/","10","...","Personal income (thousands of dollars)",169763415,181382731,194093106,198547288,202782060,210413123,226511608,236271199,257104210,279088841,293949341,278991093,284523758,301567633,326408854,333168842,358988169,379950931,397772297
"53000","Washington","8","SA5N 1/","20","...","Population (persons) 2/",5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6743226,6822520,6895226,6968006,7054196,7160290,7288000
"53000","Washington","8","SA5N 1/","30","...","Per capita personal income (dollars) 3/",29424,31045,32839,33170,33505,34471,36660,37759,40357,43192,44794,41844,42194,44202,47338,47814,50890,53064,54579
"53000","Washington","8","SA5N 1/","35","...","  Earnings by place of work",128814952,139834336,148913049,151243855,153890089,158729185,167762290,177317079,190723716,203409049,210053082,199095886,202844516,212203841,228667022,238880790,251652030,265267263,279909495
"53000","Washington","8","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",16246199,17002548,18407665,18148607,18548365,19317401,20546648,21862179,23188776,24430835,25013166,24789343,25472700,23974809,24800353,28993258,30508530,32171271,33536406
"53000","Washington","8","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",7369567,7848154,8401194,8318550,8580981,8832812,9297507,9953945,10821667,11590001,12065669,11882741,11983275,9814994,10239026,13813504,14532072,15391772,16216353
"53000","Washington","8","SA5N 1/","38","...","    Employer contributions for government social insurance",8876632,9154394,10006471,9830057,9967384,10484589,11249141,11908234,12367109,12840834,12947497,12906602,13489425,14159815,14561327,15179754,15976458,16779499,17320053
"53000","Washington","8","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",1905810,1971737,2296989,2409621,2493068,2473253,2918770,3140915,3175085,3550226,3457895,3252695,3074234,3332341,3379391,3273032,3203285,3535744,3716515
"53000","Washington","8","SA5N 1/","45","...","  Equals: Net earnings by place of residence",114474563,124803525,132802373,135504869,137834792,141885037,150134412,158595815,170710025,182528440,188497811,177559238,180446050,191561373,207246060,213160564,224346785,236631736,250089604
"53000","Washington","8","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",35495109,35593467,38875833,37847608,38222511,40568428,47973871,47683328,54149548,61634910,65186871,56041557,53935994,60007170,69036260,69074290,79126985,86816116,88021174
"53000","Washington","8","SA5N 1/","47","...","  Plus: Personal current transfer receipts",19793743,20985739,22414900,25194811,26724757,27959658,28403325,29992056,32244637,34925491,40264659,45390298,50141714,49999090,50126534,50933988,55514399,56503079,59661519
"53000","Washington","8","SA5N 1/","50","...","  Wages and salaries",93722306,103080733,109279037,109689454,110416725,113070544,118020292,124542645,134850708,145238170,150162581,146352093,147985400,154979490,164187779,170690069,181723231,191879026,203612887
