"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"55000","Wisconsin","3","SA5N 1/","10","...","Personal income (thousands of dollars)",142917963,149267176,159511065,167125085,171731780,175771213,183318375,189528086,201536159,210810973,219283413,215498897,219627970,232664321,243576466,245382484,255074816,265094105,270225982
"55000","Wisconsin","3","SA5N 1/","20","...","Population (persons) 2/",5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5690263,5709640,5726177,5742854,5758377,5767891,5778708
"55000","Wisconsin","3","SA5N 1/","30","...","Per capita personal income (dollars) 3/",26978,27991,29682,30910,31538,32080,33246,34173,36133,37573,38873,38012,38597,40749,42537,42728,44296,45960,46762
"55000","Wisconsin","3","SA5N 1/","35","...","  Earnings by place of work",107007893,113651750,120642646,126356008,130935141,134617337,140755218,144905663,151369752,156431141,160249356,154798741,156853472,165587904,172310321,176530978,182259049,188419743,193200963
"55000","Wisconsin","3","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",12475865,13251549,13900556,14201539,14588449,15069893,15872703,16516902,17407080,17981134,18532672,18012711,18399129,17248761,17762937,20507546,21178220,21973297,22455505
"55000","Wisconsin","3","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",6287117,6722710,7040555,7250837,7499471,7731182,8137937,8489691,9021241,9403558,9683946,9395977,9521612,7818057,8043506,10553849,10963316,11418785,11860990
"55000","Wisconsin","3","SA5N 1/","38","...","    Employer contributions for government social insurance",6188748,6528839,6860001,6950702,7088978,7338711,7734766,8027211,8385839,8577576,8848726,8616734,8877517,9430704,9719431,9953697,10214904,10554512,10594515
"55000","Wisconsin","3","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",2308788,2479867,2710600,2850866,2652908,2570663,2915058,3090766,3366456,3696256,3769024,3387347,3428994,3641984,3669695,3772937,3968131,4128462,4199764
"55000","Wisconsin","3","SA5N 1/","45","...","  Equals: Net earnings by place of residence",96840816,102880068,109452690,115005335,118999600,122118107,127797573,131479527,137329128,142146263,145485708,140173377,141883337,151981127,158217079,159796369,165048960,170574908,174945222
"55000","Wisconsin","3","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",28830179,28432950,30764215,30591111,29575160,29799662,30965941,31737282,36285660,38425221,39908295,36138794,35707452,40003782,43882417,43124389,45808806,48561033,48973659
"55000","Wisconsin","3","SA5N 1/","47","...","  Plus: Personal current transfer receipts",17246968,17954158,19294160,21528639,23157020,23853444,24554861,26311277,27921371,30239489,33889410,39186726,42037181,40679412,41476970,42461726,44217050,45958164,46307101
"55000","Wisconsin","3","SA5N 1/","50","...","  Wages and salaries",78957245,83730825,88456938,90654202,93036148,96079286,100949253,103862533,108721948,113090028,115979713,110679810,112526318,117021337,121277538,124749031,129448751,135392138,139096434
"55000","Wisconsin","3","SA5N 1/","60","...","  Supplements to wages and salaries",18809527,19807905,21159977,22444279,23475608,24842116,26479108,27853000,28532385,29542520,30567398,31701658,31152785,32785652,33906154,33916519,34561809,34374885,35685698
"55000","Wisconsin","3","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",12620779,13279066,14299976,15493577,16386630,17503405,18744342,19825789,20146546,20964944,21718672,23084924,22275268,23354948,24186723,23962822,24346905,23820373,25091183
"55000","Wisconsin","3","SA5N 1/","62","...","    Employer contributions for government social insurance",6188748,6528839,6860001,6950702,7088978,7338711,7734766,8027211,8385839,8577576,8848726,8616734,8877517,9430704,9719431,9953697,10214904,10554512,10594515
"55000","Wisconsin","3","SA5N 1/","70","...","  Proprietors' income 8/",9241121,10113020,11025731,13257527,14423385,13695935,13326857,13190130,14115419,13798593,13702245,12417273,13174369,15780915,17126629,17865428,18248489,18652720,18418831
"55000","Wisconsin","3","SA5N 1/","71","...","    Farm proprietors' income",736152,731117,209012,532108,400243,901256,1152294,971380,667217,1139206,714444,-125589,706495,2157080,1781358,2241669,2046804,1959820,1159790
"55000","Wisconsin","3","SA5N 1/","72","...","    Nonfarm proprietors' income",8504969,9381903,10816719,12725419,14023142,12794679,12174563,12218750,13448202,12659387,12987801,12542862,12467874,13623835,15345271,15623759,16201685,16692900,17259041
"55000","Wisconsin","3","SA5N 1/","81","111-112","  Farm earnings",1375509,1331223,898763,1192471,1097186,1572412,1895044,1669171,1358859,2084606,1684068,781247,1472936,2868806,2708771,3179963,3071932,2829880,2227899
"55000","Wisconsin","3","SA5N 1/","82","...","  Nonfarm earnings",105632384,112320527,119743883,125163537,129837955,133044925,138860174,143236492,150010893,154346535,158565288,154017494,155380536,162719098,169601550,173351015,179187117,185589863,190973064
"55000","Wisconsin","3","SA5N 1/","90","113-814","    Private nonfarm earnings",90149157,95881741,102311620,106749406,110417659,112380887,117436844,121132420,127230427,130774139,133910727,127961833,128877041,136092960,142160329,146467012,151470582,157770751,162651303
"55000","Wisconsin","3","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",239003,240439,280627,305743,299947,308947,337264,361999,390297,357196,345572,326800,388816,381842,494398,515724,565898,639548,717321
"55000","Wisconsin","3","SA5N 1/","101","113","        Forestry and logging",70434,69780,82854,85678,85012,93562,116403,152701,152704,123466,98046,77939,100290,108655,160280,171004,203041,250125,293865
"55000","Wisconsin","3","SA5N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",2985,2883,2471,1779,857,1126,222,-716,89,1863,828,"(L)",-835,-1464,-53,1110
"55000","Wisconsin","3","SA5N 1/","103","115","        Support activities for agriculture and forestry",165879,167810,194411,217080,212052,212914,219082,208441,236467,233508,248242,248772,286663,272359,334123,345555,364321,389476,422346
"55000","Wisconsin","3","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",154208,154498,155017,181791,174696,181904,205038,209948,255000,272648,396535,261237,292949,549955,486963,495798,420648,341761,264847
"55000","Wisconsin","3","SA5N 1/","201","211","        Oil and gas extraction",10055,"(T)",14874,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"55000","Wisconsin","3","SA5N 1/","202","212","        Mining (except oil and gas)",140103,141249,135957,156118,148304,154924,173774,174460,185856,176210,172607,149349,155916,162812,193306,205254,261642,270339,243722
"55000","Wisconsin","3","SA5N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"55000","Wisconsin","3","SA5N 1/","300","22","      Utilities",869970,933071,1023140,1167978,1141955,1125461,1191990,1177937,1312774,1333426,1686898,1478437,1434893,1502389,1428869,1549523,1703123,1733875,1698183
"55000","Wisconsin","3","SA5N 1/","400","23","      Construction",6537740,7378209,8035084,8433149,8617774,8991695,9556734,9751998,10060916,10054246,9832188,8815793,8184176,8120280,8715292,9321589,10173967,10963827,11594113
"55000","Wisconsin","3","SA5N 1/","401","236","        Construction of buildings",1690243,1937580,2123205,2263405,2387693,2435561,2475605,2511694,2585300,2565660,2629607,2298634,1985486,1926359,2249470,2395781,2604470,2833674,3037138
"55000","Wisconsin","3","SA5N 1/","402","237","        Heavy and civil engineering construction",772283,830015,874475,889795,888592,961845,1023721,1039135,1124179,1355068,1416446,1335739,1102433,1045992,1082969,1184828,1376231,1440734,1365115
"55000","Wisconsin","3","SA5N 1/","403","238","        Specialty trade contractors",4075214,4610614,5037404,5279949,5341489,5594289,6057408,6201169,6351437,6133518,5786135,5181420,5096257,5147929,5382853,5740980,6193266,6689419,7191860
"55000","Wisconsin","3","SA5N 1/","500","31-33","      Manufacturing",27347838,28107259,29277842,29314299,29228265,28598624,29506733,29820446,31117725,31714741,32022939,28539268,29070043,31151506,32360449,32947670,33753534,34376023,34065110
"55000","Wisconsin","3","SA5N 1/","510","321,327-339","        Durable goods manufacturing",17850035,18194737,18926753,18891817,18668078,18206735,18636210,19148755,19891314,20028924,20224962,17656220,17952561,19340734,20179001,20395462,20576053,20964320,20606467
"55000","Wisconsin","3","SA5N 1/","511","321","          Wood product manufacturing",892127,947671,974109,984073,977036,1025947,1102656,1134800,1119003,1065280,989097,757656,698739,740493,763055,799217,841371,870657,893346
"55000","Wisconsin","3","SA5N 1/","512","327","          Nonmetallic mineral product manufacturing",450392,480961,498818,517269,524820,541191,575005,605604,604520,592769,576046,490354,493406,514021,512200,527445,566263,612818,633835
"55000","Wisconsin","3","SA5N 1/","513","331","          Primary metal manufacturing",1062476,1105190,1092609,1084282,1104141,1086257,1182621,1220492,1242192,1247951,1231703,902049,1037370,1215644,1276741,1199152,1238348,1246568,1183566
"55000","Wisconsin","3","SA5N 1/","514","332","          Fabricated metal product manufacturing",3417158,3498003,3635312,3457987,3403540,3453693,3663205,3903182,4079743,4280248,4469263,3810651,3873583,4375667,4689095,4708225,4929281,5017018,5015007
"55000","Wisconsin","3","SA5N 1/","515","333","          Machinery manufacturing",5323615,5351284,5481408,5725704,5597176,4834065,4386032,4537870,4686873,4783976,5031361,4661610,4680026,4970114,5134889,5104932,5243678,5384543,5263477
"55000","Wisconsin","3","SA5N 1/","516","334","          Computer and electronic product manufacturing",1381504,1468751,1566549,1587151,1511911,1536446,1559544,1637354,1685087,1805776,1807486,1649795,1639924,1733848,1772301,1758160,1721866,1770896,1757565
"55000","Wisconsin","3","SA5N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",1627870,1658070,1714902,1651948,1564176,1587679,1679806,1756491,2026001,1859827,1862915,1727023,1892167,2026261,2083982,2203822,2249143,2272937,2247152
"55000","Wisconsin","3","SA5N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",1815649,1716677,1785334,1542211,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",997700,"(D)"
"55000","Wisconsin","3","SA5N 1/","519","3364-3369","          Other transportation equipment manufacturing",482829,546764,678580,791391,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",875149,"(D)"
"55000","Wisconsin","3","SA5N 1/","521","337","          Furniture and related product manufacturing",626074,659615,716886,714912,737731,751547,792716,787728,812004,874216,884666,767371,765077,789615,784661,810921,842255,890093,906393
"55000","Wisconsin","3","SA5N 1/","522","339","          Miscellaneous manufacturing",770341,761751,782246,834889,855661,876199,962911,981556,972944,941861,955460,904661,911837,958128,987987,989906,1000095,1025941,1050446
"55000","Wisconsin","3","SA5N 1/","530","311-316,322-326","        Nondurable goods manufacturing",9497803,9912522,10351089,10422482,10560187,10391889,10870523,10671691,11226411,11685817,11797977,10883048,11117482,11810772,12181448,12552208,13177481,13411703,13458643
"55000","Wisconsin","3","SA5N 1/","531","311","          Food manufacturing",2316089,2466847,2611312,2729253,2923881,2783887,3023748,2935216,2920620,3059530,3266589,3442704,3452019,3538815,3809748,3950642,4256096,4396803,4477522
"55000","Wisconsin","3","SA5N 1/","532","312","          Beverage and tobacco product manufacturing",129915,131251,111486,140629,153402,154289,182088,174317,177839,178186,179626,184538,187157,182245,180590,179796,192093,233135,272680
"55000","Wisconsin","3","SA5N 1/","533","313","          Textile mills",70635,64478,63126,58339,64012,77988,96560,102367,99016,100008,98433,91611,102235,109535,108719,96180,97196,87899,88594
"55000","Wisconsin","3","SA5N 1/","534","314","          Textile product mills",90742,89223,103650,94476,91820,85128,86502,84884,89012,82484,68538,67907,65337,64793,77012,71607,75144,76997,81462
"55000","Wisconsin","3","SA5N 1/","535","315","          Apparel manufacturing",95640,90320,87096,80811,78688,79406,53919,52119,48693,39782,35139,28442,28917,31678,35319,36257,40002,39735,35055
"55000","Wisconsin","3","SA5N 1/","536","316","          Leather and allied product manufacturing",170247,162584,140751,112455,62203,65098,62837,65776,80112,73318,72519,64567,63774,59087,65596,76096,69104,66588,67928
"55000","Wisconsin","3","SA5N 1/","537","322","          Paper manufacturing",2738924,2793289,2866063,2758891,2750586,2650711,2589655,2580068,2527158,2631512,2622666,2337626,2413735,2454160,2449303,2612953,2650031,2632362,2535126
"55000","Wisconsin","3","SA5N 1/","538","323","          Printing and related support activities",1626852,1686641,1790018,1774346,1711120,1703531,1740367,1735757,1748926,1789887,1770660,1570105,1566527,1655147,1700438,1706923,1733155,1789331,1834905
"55000","Wisconsin","3","SA5N 1/","539","324","          Petroleum and coal products manufacturing",43887,37537,43474,70269,49194,46781,52777,33748,90454,104597,82258,69528,85235,191246,69144,90536,71536,73213,63032
"55000","Wisconsin","3","SA5N 1/","541","325","          Chemical manufacturing",880919,920254,982106,1064912,1119137,1183344,1381305,1260439,1766732,1915558,1879371,1500302,1524142,1815861,1886583,1872746,2026487,1966109,1955451
"55000","Wisconsin","3","SA5N 1/","542","326","          Plastics and rubber products manufacturing",1333953,1470098,1552007,1538101,1556144,1561726,1600765,1647000,1677849,1710955,1722178,1525718,1628404,1708205,1798996,1858472,1966637,2049531,2046888
"55000","Wisconsin","3","SA5N 1/","600","42","      Wholesale trade",5866132,6115568,6515161,7044540,7457803,7133080,7255076,7625517,8067332,8490866,8705814,8238608,8134067,8592522,9035595,9349162,9725758,10157147,10440273
"55000","Wisconsin","3","SA5N 1/","700","44-45","      Retail trade",7973141,8664015,9409255,8918520,9310926,9533876,9502989,9602442,9931055,10020400,9818406,9553062,9492994,9859135,9858117,10364921,10826674,11379834,11697027
"55000","Wisconsin","3","SA5N 1/","701","441","        Motor vehicle and parts dealers",1404300,1527501,1593567,1678853,1738830,1798382,1771843,1751403,1693147,1707697,1712874,1579903,1686084,1750693,1811924,1903492,2023461,2099485,2192031
"55000","Wisconsin","3","SA5N 1/","702","442","        Furniture and home furnishings stores",286645,310971,329823,331105,346177,376950,416440,431963,416621,379368,315070,256608,265183,261333,247490,267828,285648,305878,327585
"55000","Wisconsin","3","SA5N 1/","703","443","        Electronics and appliance stores",289640,319717,317686,324457,337393,333926,338917,341170,368458,376715,379684,360572,377386,382617,359784,367801,379402,382741,380414
"55000","Wisconsin","3","SA5N 1/","704","444","        Building material and garden equipment and supplies dealers",808061,883258,969512,873754,856133,903524,961395,951758,966284,945534,902814,868180,829376,824664,843577,952190,1028124,1099467,1112338
"55000","Wisconsin","3","SA5N 1/","705","445","        Food and beverage stores",1207312,1248262,1339067,1268399,1323618,1304078,1308167,1301189,1380769,1406823,1350640,1344443,1349528,1465182,1516830,1567125,1593659,1673063,1747047
"55000","Wisconsin","3","SA5N 1/","706","446","        Health and personal care stores",420420,457445,552563,515624,541561,575936,602874,629043,661240,644912,683392,686889,671445,681071,679438,701191,709783,709521,743367
"55000","Wisconsin","3","SA5N 1/","707","447","        Gasoline stations",599966,646583,701951,729323,718840,678010,545336,555851,648067,630537,593073,557766,547812,537565,530207,616959,729307,806532,865918
"55000","Wisconsin","3","SA5N 1/","708","448","        Clothing and clothing accessories stores",321251,332014,347016,321856,333880,363091,413680,425988,438735,438805,426665,409519,419135,420449,432391,444886,442961,425855,428577
"55000","Wisconsin","3","SA5N 1/","709","451","        Sporting goods, hobby, musical instrument, and book stores",252937,267461,294981,291463,302374,320751,320712,331543,332133,328714,304867,298046,291670,306239,299862,313554,317406,336972,333752
"55000","Wisconsin","3","SA5N 1/","711","452","        General merchandise stores",1067614,1267053,1494601,1091968,1171019,1276918,1342273,1421590,1595415,1699741,1771582,1811055,1697743,1736710,1641667,1687855,1707598,1787681,1827539
"55000","Wisconsin","3","SA5N 1/","712","453","        Miscellaneous store retailers",508427,553782,572098,556875,557725,552103,450918,420147,405074,411597,352404,355967,332623,416542,457549,500269,501614,535161,536739
"55000","Wisconsin","3","SA5N 1/","713","454","        Nonstore retailers",806568,849968,896390,934843,1083376,1050207,1030434,1040797,1025112,1049957,1025341,1024114,1025009,1076070,1037398,1041771,1107711,1217478,1201720
"55000","Wisconsin","3","SA5N 1/","800","48-49","      Transportation and warehousing",3940392,4242111,4541424,4784878,4843067,5023785,5259795,5450411,5618070,5521459,5263694,5033581,5210679,5639509,5870529,5946176,6238951,6518868,6824840
"55000","Wisconsin","3","SA5N 1/","801","481","        Air transportation",182952,222427,248018,268770,268873,261340,252751,261745,252929,295043,301305,193012,141130,158180,147510,126055,110688,115712,118937
"55000","Wisconsin","3","SA5N 1/","802","482","        Rail transportation",271899,290801,286794,283059,283446,287192,287299,299177,307032,319668,321514,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"55000","Wisconsin","3","SA5N 1/","803","483","        Water transportation","(T)","(T)","(T)","(D)","(D)","(D)",5624,4434,"(D)","(D)","(D)",5920,5841,5821,5857,6931,5809,6491,8024
"55000","Wisconsin","3","SA5N 1/","804","484","        Truck transportation",2325290,2514262,2690849,2754183,2824053,2948977,3102781,3242395,3354747,3073277,2780622,2614435,2831421,3127456,3219683,3295072,3464890,3618937,3776230
"55000","Wisconsin","3","SA5N 1/","805","485","        Transit and ground passenger transportation",295262,337806,370316,388637,396427,425429,441433,446654,461312,462733,464531,477158,483121,503347,516528,529802,553476,576150,572398
"55000","Wisconsin","3","SA5N 1/","806","486","        Pipeline transportation",14834,10666,12073,25813,4858,11823,16430,19257,21986,24890,31684,37893,39986,44943,50734,"(D)","(D)","(D)","(D)"
"55000","Wisconsin","3","SA5N 1/","807","487","        Scenic and sightseeing transportation",48179,27964,37483,44267,"(D)",26475,27242,11555,12113,10819,9903,9303,9526,6534,6784,7050,9497,11588,14028
"55000","Wisconsin","3","SA5N 1/","808","488","        Support activities for transportation",198912,188866,205377,233913,217627,202048,224062,235174,257485,288107,290752,286328,297760,344222,362076,386903,407244,413595,413030
"55000","Wisconsin","3","SA5N 1/","809","492","        Couriers and messengers",309668,334334,344834,"(D)","(D)","(D)",415299,421163,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",474475,500658
"55000","Wisconsin","3","SA5N 1/","811","493","        Warehousing and storage",288047,309980,338629,405475,439066,473637,486874,508857,535991,612625,620860,660105,680809,684654,762639,748376,759142,835614,965785
"55000","Wisconsin","3","SA5N 1/","900","51","      Information",2210708,2291629,2460780,2710839,2710393,2786699,2973882,3080295,3157374,3367711,3398411,3501211,3316499,3521419,3688743,3872825,4177076,4373119,4375993
"55000","Wisconsin","3","SA5N 1/","901","511","        Publishing industries (except Internet)",802380,797067,837493,892785,868128,911954,1026813,1072131,1110509,1195719,1270882,1253617,1245575,1395040,1512431,1661214,1893576,2039686,2167892
"55000","Wisconsin","3","SA5N 1/","902","512","        Motion picture and sound recording industries",107997,117703,107547,125097,122359,127766,112387,103286,103685,113316,102030,160793,99206,97186,141890,144459,157602,162720,154024
"55000","Wisconsin","3","SA5N 1/","903","515","        Broadcasting (except Internet)",196675,202081,211920,233384,235039,261050,294451,326106,342056,303929,282365,302397,272886,277143,314186,330500,354840,339923,341611
"55000","Wisconsin","3","SA5N 1/","904","516","        Internet publishing and broadcasting 9/","(T)","(T)","(T)",10128,10231,11177,11224,14602,16094,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"55000","Wisconsin","3","SA5N 1/","905","517","        Telecommunications",665652,688950,737517,857371,869021,867348,921659,933116,931665,1041043,1022974,1051318,977193,989270,959968,944238,927523,891645,836945
"55000","Wisconsin","3","SA5N 1/","906","518","        Data processing, hosting, and related services",429574,476734,557457,588770,601163,601632,600964,621169,642521,685902,694315,709082,697343,737014,723717,746987,791221,869151,792667
"55000","Wisconsin","3","SA5N 1/","907","519","        Other information services 9/","(T)","(T)","(T)",3304,4452,5772,6384,9885,10844,27802,25845,24004,24296,25766,36551,45427,52314,69994,82854
"55000","Wisconsin","3","SA5N 1/","1000","52","      Finance and insurance",5592607,6204706,6756767,7694407,8067229,8302415,8711386,9069184,9531329,9949681,10305408,10230061,10348871,10455233,11404723,11259545,10905345,11371493,11757199
"55000","Wisconsin","3","SA5N 1/","1001","521","        Monetary Authorities-central bank",0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",490,"(D)",1570,1745
"55000","Wisconsin","3","SA5N 1/","1002","522","        Credit intermediation and related activities",1852539,1960585,1974284,2245426,2423234,2677229,2726816,2877745,2955516,3195211,3472071,3585417,3376330,3165891,3392561,3255808,3302815,3438951,3542727
"55000","Wisconsin","3","SA5N 1/","1003","523","        Securities, commodity contracts, and other financial investments and related activities",965411,1098204,1327704,1618839,1636012,1418835,1300524,1368240,1543802,1470844,1378673,1332145,1651211,1727330,2250048,2095447,1777438,1783618,1869939
"55000","Wisconsin","3","SA5N 1/","1004","524","        Insurance carriers and related activities",2741183,3108671,3407050,3763147,3984392,4161300,4521639,4662308,4930851,5154619,5352332,5271122,5250641,5478867,5702872,5831218,5761147,6067701,6256675
"55000","Wisconsin","3","SA5N 1/","1005","525","        Funds, trusts, and other financial vehicles",33474,37246,47729,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",76582,"(D)",79653,86113
"55000","Wisconsin","3","SA5N 1/","1100","53","      Real estate and rental and leasing",1192723,1281412,1337936,1450006,1507795,1605292,1704906,1709361,1622240,1380528,1627864,1743888,1724702,2175170,2525481,2544393,2547915,2815977,3065314
"55000","Wisconsin","3","SA5N 1/","1101","531","        Real estate",927498,965576,1012578,1121379,1172005,1264105,1353358,1347610,1249293,997302,1278274,1350983,1265890,1617097,2017600,2170347,2162687,2367756,2519348
"55000","Wisconsin","3","SA5N 1/","1102","532","        Rental and leasing services",253710,302510,310202,311462,315016,315120,323886,329043,338843,346540,312201,355585,420982,522428,470256,332369,343055,396181,489181
