"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"06000","California","8","SA5 1/","10","...","Personal income (thousands of dollars)",40102616,43838806,46333262,49147467,52938918,56604947,61292036,65445747,71123305,76481751,83786947,92173937,99440680,106005497,116355563,127636686,142322040,157355533,174492789,193587811,220523113,250027116,283852405,318833657,340836724,368675480,409989187,443346410,476271961,513636748,558066083,601183746,643954932,665001713,701387002,718212128,740997699,779582479,828822422,881903762,957671894,1020864222,1124844038,1160964629
"06000","California","8","SA5 1/","20","...","Population (persons) 2/",14880000,15467000,15870000,16497000,17072000,17668000,18151000,18585000,18858000,19176000,19394000,19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458
"06000","California","8","SA5 1/","30","...","Per capita personal income (dollars) 3/",2695,2834,2920,2979,3101,3204,3377,3521,3772,3988,4320,4676,4966,5210,5653,6116,6722,7306,7955,8662,9656,10752,11926,13128,13732,14538,15864,16767,17573,18491,19606,20576,21494,21824,22644,22964,23535,24595,25885,27147,29031,30474,33095,33671
"06000","California","8","SA5 1/","35","...","  Earnings by place of work",32602971,36112403,38018985,40118162,43501715,46561666,50156992,53168231,58537702,62436209,68722327,74596842,78652837,82923696,91785799,101273856,111546517,120788434,135218030,151620482,173858217,198135895,220242675,241216098,255410267,276139806,308687441,335729989,364128449,399651401,437466113,463747587,496059684,512257042,537636254,547328483,563637833,587778009,623807878,669623723,730421067,792289380,882511189,905963223
"06000","California","8","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",1112587,1424158,1720096,1831831,2248656,2624627,2730542,2846239,3739949,4099715,4586882,4827173,5017584,5449349,6333131,7973075,9013253,9599500,10977857,12559939,14805558,17663050,19262450,23092685,24994425,27640681,32061047,35322704,38688097,42355341,47729280,51064568,54273221,56411496,58517025,59531314,61692079,63538516,65645276,69727637,75084912,81356074,90069271,94914950
"06000","California","8","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",511334,609631,747533,794000,883489,1076541,1147914,1237536,1698615,1921761,2134087,2446044,2541798,2732443,3122697,3914710,4443540,4740718,5268060,5992773,6954800,8366363,9028018,11044947,12090375,13268189,15150668,17068687,19008777,21221505,24108686,25910909,27483761,28893512,29993022,30712701,31993237,33264352,34421894,36254621,39102919,42473103,47153058,49335714
"06000","California","8","SA5 1/","38","...","    Employer contributions for government social insurance",601253,814527,972563,1037831,1365167,1548086,1582628,1608703,2041334,2177954,2452795,2381129,2475786,2716906,3210434,4058365,4569713,4858782,5709797,6567166,7850758,9296687,10234432,12047738,12904050,14372492,16910379,18254017,19679320,21133836,23620594,25153659,26789460,27517984,28524003,28818613,29698842,30274164,31223382,33473016,35981993,38882971,42916213,45579236
"06000","California","8","SA5 1/","42","...","  Plus: Adjustment for residence 5/",-3415,-4434,-4775,-5377,-5668,-5703,-6878,-8220,-10753,-12340,-14231,-142108,-108367,-118595,-121283,-104877,-102222,14342,117598,-22089,-22442,624,-72559,292509,301901,306766,250019,199382,160253,82243,42801,23372,-35287,-25284,-32212,35084,48705,37361,27970,-57256,-59488,-68807,-240981,-226412
"06000","California","8","SA5 1/","45","...","  Equals: Net earnings by place of residence",31486969,34683811,36294114,38280954,41247391,43931336,47419572,50313772,54787000,58324154,64121214,69627561,73526886,77355752,85331385,93195904,102431042,111203276,124357771,139038454,159030217,180473469,200907666,218415922,230717743,248805891,276876413,300606667,325600605,357378303,389779634,412706391,441751176,455820262,479087017,487832253,501994459,524276854,558190572,599838830,655276667,710864499,792200937,810821861
"06000","California","8","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",6392342,6882051,7454661,7867356,8512385,9156868,10060004,10919434,11683326,12402958,13022429,14930172,16613093,17954198,19502628,21682411,24773407,27158041,29123453,32242751,37387404,43067961,52160556,64206748,70431411,77493890,88896470,94936868,99318320,102679254,110935678,125663011,133030864,132456533,133664524,136775568,143179491,154962205,165367567,176239739,190669879,192614245,210465558,214567129
