"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"11000","District of Columbia","2","SA5 1/","10","...","Personal income (thousands of dollars)",2283800,2351421,2379382,2502266,2691249,2860578,3034510,3269109,3409074,3647808,3829372,3724835,4129474,4597223,4990553,5251389,5697134,6186537,6550200,7032458,7490915,7905250,8355120,8971160,9567530,9977198,10899046,11548191,12133514,12781025,14041999,14970581,15575579,16272212,17188128,17910334,18319858,18434325,19195399,20209086,21456211,22342023,24542346,25709919
"11000","District of Columbia","2","SA5 1/","20","...","Population (persons) 2/",757000,761000,765000,778000,788000,798000,798000,797000,791000,791000,778000,762000,755087,750641,743775,733674,720755,710308,696305,681768,670046,655616,638284,636893,634174,632433,633382,634549,638269,636930,630432,624168,605321,600870,597565,595301,589239,580517,572377,567736,565230,570213,572046,574504
"11000","District of Columbia","2","SA5 1/","30","...","Per capita personal income (dollars) 3/",3017,3090,3110,3216,3415,3585,3803,4102,4310,4612,4922,4888,5469,6124,6710,7158,7904,8710,9407,10315,11180,12058,13090,14086,15087,15776,17208,18199,19010,20067,22274,23985,25731,27081,28764,30086,31091,31755,33536,35596,37960,39182,42903,44752
"11000","District of Columbia","2","SA5 1/","35","...","  Earnings by place of work",2912793,3062943,3252919,3450206,3715701,4000934,4291510,4628142,4991291,5646543,6074928,6453210,7056568,7737086,8380855,8902916,9611571,10580657,11442580,12386551,13557664,14694164,15982504,17086800,18017001,18895374,20602762,22030349,23231899,24718373,27352535,28961380,30956448,32639859,34493021,35622868,36413117,36690266,37287863,38594162,40626437,43950332,46575437,49825291
"11000","District of Columbia","2","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",78920,89838,101536,107530,114846,138772,135505,140796,186235,215123,236870,254009,276097,301451,345639,416941,474974,524390,576423,612062,674022,776557,865872,1009963,1076921,1297790,1471649,1687392,1867109,2031306,2320034,2555526,2758903,2939792,3124110,3273252,3414461,3484101,3521402,3665926,3743049,4082936,4309020,4922142
"11000","District of Columbia","2","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",29870,35422,42236,44284,47611,59228,58221,61384,87867,101919,113710,115263,122341,128815,145104,176347,199230,213216,225844,241073,266208,310833,349015,417066,456881,561533,628351,747155,835389,917183,1058180,1178868,1274427,1354904,1421843,1502275,1584502,1634850,1662215,1735668,1784383,1956288,2066899,2343655
"11000","District of Columbia","2","SA5 1/","38","...","    Employer contributions for government social insurance",49050,54416,59300,63246,67235,79544,77284,79412,98368,113204,123160,138746,153756,172636,200535,240594,275744,311174,350579,370989,407814,465724,516857,592897,620040,736257,843298,940237,1031720,1114123,1261854,1376658,1484476,1584888,1702267,1770977,1829959,1849251,1859187,1930258,1958666,2126648,2242121,2578487
"11000","District of Columbia","2","SA5 1/","42","...","  Plus: Adjustment for residence 5/",-1111193,-1203188,-1390347,-1481376,-1576242,-1701487,-1845976,-1989635,-2185220,-2614589,-2888509,-3357908,-3698803,-4073599,-4431673,-4733194,-5107437,-5722347,-6268778,-6825161,-7669101,-8542235,-9648281,-10363532,-10896901,-11205984,-12134065,-12869738,-13445976,-14207980,-15704390,-16783948,-17946180,-18881358,-20060672,-20623216,-20993348,-21043008,-21038281,-21669953,-22780474,-24864090,-25472845,-26898068
"11000","District of Columbia","2","SA5 1/","45","...","  Equals: Net earnings by place of residence",1722680,1769917,1761036,1861300,2024613,2160675,2310029,2497711,2619836,2816831,2949549,2841293,3081668,3362036,3603543,3752781,4029160,4333920,4597379,4949328,5214541,5375372,5468351,5713305,6043179,6391600,6997048,7473219,7918814,8479087,9328111,9621906,10251365,10818709,11308239,11726400,12005308,12163157,12728180,13258283,14102914,15003306,16793572,18005081
"11000","District of Columbia","2","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",454908,472577,506082,517590,539830,565375,584663,620927,629356,638712,650313,649046,745978,860294,940248,986517,1072845,1111716,1182365,1293334,1464398,1623889,1855772,2119306,2253056,2257477,2485770,2656943,2742537,2785517,3083715,3714591,3580591,3508323,3695939,3786018,3875997,3902809,3891237,4380614,4614519,4602731,4932194,4790076
"11000","District of Columbia","2","SA5 1/","47","...","  Plus: Personal current transfer receipts",106212,108927,112264,123376,126806,134528,139818,150471,159882,192265,229510,234496,301828,374893,446762,512091,595129,740901,770456,789796,811976,905989,1030997,1138549,1271295,1328121,1416228,1418029,1472163,1516421,1630173,1634084,1743623,1945180,2183950,2397916,2438553,2368359,2575982,2570189,2738778,2735986,2816580,2914762
"11000","District of Columbia","2","SA5 1/","50","...","  Wages and salaries",2427784,2546180,2715663,2869053,3085243,3300914,3541004,3864112,4158313,4721807,5086951,5348208,5790966,6194407,6697358,7135622,7666720,8310882,8916570,9538562,10446028,11313188,12332590,13173517,13912083,14553616,15866062,16925061,17929974,19343419,21322191,22655270,24096961,25075002,26294408,27105328,27827082,28122827,28467443,29254140,30716053,33322139,35400343,37606349
"11000","District of Columbia","2","SA5 1/","60","...","  Supplements to wages and salaries",335957,352099,374366,399239,433683,483995,516048,521726,575356,652953,699482,793566,939189,1184653,1313573,1416638,1557297,1822243,2017918,2211429,2426932,2676506,2942657,3202593,3376552,3553038,3832222,4134450,4291276,4261320,4724201,5196212,5576461,6021089,6530393,6638556,6689496,6655073,6747386,7002032,7192202,7776648,8222354,8838219
