"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"98000","Far West","8","SA5 1/","10","...","Personal income (thousands of dollars)",53060264,57734574,60982224,64546216,69551271,74000134,79846854,85529968,93233448,100395153,110329943,121614128,131426091,140460901,154141482,170172717,190690590,212219107,235796974,261469941,298380888,338429909,383701003,429247487,458008109,494014766,545001484,586907512,628744627,674634044,733923275,796053804,857059080,892213369,946821359,977869636,1016044964,1071607247,1141289142,1216589265,1318818557,1403755746,1536971987,1586350068
"98000","Far West","8","SA5 1/","20","...","Population (persons) 2/",20469000,21159000,21659000,22378000,23114000,23811000,24389000,24908000,25311000,25779000,26151000,26635000,27101402,27570486,27918162,28327835,28800911,29346033,29929494,30553208,31285112,31964927,32779936,33433990,34086401,34716476,35321190,36037077,36815133,37640660,38542275,39534189,40610409,41427985,42225887,42797622,43271002,43744822,44314342,45053779,45798042,46505506,47188420,47891178
"98000","Far West","8","SA5 1/","30","...","Per capita personal income (dollars) 3/",2592,2729,2816,2884,3009,3108,3274,3434,3684,3894,4219,4566,4849,5095,5521,6007,6621,7232,7878,8558,9537,10588,11705,12839,13437,14230,15430,16286,17078,17923,19042,20136,21104,21536,22423,22849,23481,24497,25754,27003,28796,30185,32571,33124
"98000","Far West","8","SA5 1/","35","...","  Earnings by place of work",43376252,47735430,50223209,52835450,57294197,61057536,65572236,69806312,77178217,82466658,90983496,99229315,104641738,110597327,122336166,135822308,150695207,164981326,185379507,206871761,237352537,270307864,299864231,327238089,344405937,370901601,410588258,443802293,479444497,522425211,573040122,612273378,660131780,687109396,727273206,747033641,774064212,808482445,859858594,923647617,1006536619,1088644461,1200526348,1232852038
"98000","Far West","8","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",1585206,1984498,2357292,2495650,2978485,3460559,3581840,3731522,4926486,5451979,6122714,6625545,6894440,7515490,8728854,11057687,12600108,13655654,15727116,17861855,21059107,25060430,27353696,32526354,34874994,38249396,43877087,48005557,52251170,56780817,64107101,69059505,74731449,78399395,82246991,84533695,88381485,91651093,95355333,101059082,108701310,116479950,127413400,132590111
"98000","Far West","8","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",681092,814072,989153,1045131,1157514,1396600,1479087,1584424,2199612,2510530,2795118,3204677,3337415,3601963,4114270,5199269,5949890,6438528,7188578,8120075,9442587,11326015,12311850,14925646,16207127,17643513,19905183,22396591,24803682,27453807,31287268,33988729,36702084,38849110,40609305,41816824,43923647,45955071,47874859,50730196,54616515,58928218,64693800,67203475
"98000","Far West","8","SA5 1/","38","...","    Employer contributions for government social insurance",904114,1170426,1368139,1450519,1820971,2063959,2102753,2147098,2726874,2941449,3327596,3420868,3557025,3913527,4614584,5858418,6650218,7217126,8538538,9741780,11616520,13734415,15041846,17600708,18667867,20605883,23971904,25608966,27447488,29327010,32819833,35070776,38029365,39550285,41637686,42716871,44457838,45696022,47480474,50328886,54084795,57551732,62719600,65386636
"98000","Far West","8","SA5 1/","42","...","  Plus: Adjustment for residence 5/",69,-238,-879,-1511,-2639,-4909,-6123,-7026,-8395,-9772,-12261,-210959,-197213,-212464,-215454,-214926,-296046,-486233,-598126,-401756,-319904,-296509,-417504,-169497,-204712,-229906,-303052,-362542,-375362,-447849,-540001,-638379,-752377,-749064,-736701,-729090,-755714,-787907,-857779,-935447,-1026284,-1095983,-1198350,-1181361
"98000","Far West","8","SA5 1/","45","...","  Equals: Net earnings by place of residence",41791115,45750694,47865038,50338289,54313073,57592068,61984273,66067764,72243336,77004907,84848521,92392811,97550085,102869373,113391858,124549695,137799053,150839439,169054265,188608150,215973526,244950925,272093031,294542238,309326231,332422299,366408119,395434194,426817965,465196545,508393020,542575494,584647954,607960937,644289514,661770856,684927013,716043445,763645482,821653088,896809025,971068528,1071914598,1099080566
"98000","Far West","8","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",8193315,8835551,9603850,10158612,10988425,11767649,12870536,13988534,14994372,16020128,16985724,19528522,21909226,23747474,25776189,28771108,32958282,36325450,39098858,43484587,50606224,58392454,70476506,86418444,95053586,104364814,118801778,126895501,132880950,137331723,148155146,168528408,178900492,180012669,183238648,189612130,200787263,217766415,232868717,248111700,267503242,269689569,294207069,297249660
