"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"93000","Great Lakes","3","SA5 1/","10","...","Personal income (thousands of dollars)",80490362,85719800,89057472,91255939,96745163,101264358,108845257,118836426,129264268,135967661,148308674,161928782,170494196,183426586,200394486,223874628,243199998,262731562,288823117,320538980,355697068,391884653,424667539,463297006,484667635,510529363,563598206,598790765,631279472,663817850,711154163,765358368,808452883,828074860,889435929,929374734,985774043,1038939784,1096974637,1158529116,1232322421,1284847578,1370321856,1409803336
"93000","Great Lakes","3","SA5 1/","20","...","Population (persons) 2/",35578000,35928000,36290000,36616000,36927000,37357000,37868000,38405000,38951000,39347000,39645000,39904000,40319722,40622322,40824274,40946800,41036791,41105385,41186726,41353165,41510152,41610978,41693671,41647869,41492474,41366046,41393218,41417995,41455030,41589687,41720866,41872543,42091157,42495903,42902625,43274741,43589980,43923694,44239468,44493603,44727877,44969225,45216019,45401564
"93000","Great Lakes","3","SA5 1/","30","...","Per capita personal income (dollars) 3/",2262,2386,2454,2492,2620,2711,2874,3094,3319,3456,3741,4058,4229,4515,4909,5467,5926,6392,7013,7751,8569,9418,10185,11124,11681,12342,13616,14457,15228,15961,17046,18278,19207,19486,20732,21476,22615,23653,24796,26038,27552,28572,30306,31052
"93000","Great Lakes","3","SA5 1/","35","...","  Earnings by place of work",67935579,73121438,75850146,76470234,81372585,85315165,91726222,100135259,110585181,115362691,125717914,137972990,142407825,151881047,166710393,187620491,200328940,209653961,233488467,261647298,292387517,320769465,331540116,353627997,357064316,374141608,418462856,448158562,475270281,505658025,547063376,583745571,614746125,629170478,677812442,710285330,756031829,791398352,832487650,880415706,940470363,995749472,1057972481,1086039084
"93000","Great Lakes","3","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",2492273,3046012,3656635,3617986,4043709,4562420,4762816,4946905,6742403,7274026,7989293,9311388,9503175,10424212,12095358,15630524,17399800,17668699,20241954,22758332,26286274,29932237,30927698,35438743,36376870,38845049,44259971,48192425,51647010,54317960,60614448,64605490,68950461,72224951,76663048,81158164,87641581,92241911,95305482,99863961,104858104,110200040,114562258,116267169
"93000","Great Lakes","3","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",1092054,1300105,1549871,1542443,1658786,1918462,2006620,2135247,3078524,3513565,3917590,4484988,4603171,5036430,5696107,7320868,8193468,8382799,9320800,10356527,11804658,13608438,14319775,16606407,17147407,18009321,20068969,22522082,24312345,25870499,29032043,31526056,33604117,35384048,37359171,39531661,42831361,45362833,47118714,49799462,52543735,55485800,57926227,58987173
"93000","Great Lakes","3","SA5 1/","38","...","    Employer contributions for government social insurance",1400219,1745907,2106764,2075543,2384923,2643958,2756196,2811658,3663879,3760461,4071703,4826400,4900004,5387782,6399251,8309656,9206332,9285900,10921154,12401805,14481616,16323799,16607923,18832336,19229463,20835728,24191002,25670343,27334665,28447461,31582405,33079434,35346344,36840903,39303877,41626503,44810220,46879078,48186768,50064499,52314369,54714240,56636031,57279996
"93000","Great Lakes","3","SA5 1/","42","...","  Plus: Adjustment for residence 5/",-112405,-126108,-123515,-111621,-116095,-114150,-121944,-133187,-145921,-134457,-143815,271950,243443,317300,366743,417995,512974,590954,722846,903684,1110245,1326154,1594541,1331928,1206750,1202063,1327601,1390497,1465879,1523154,1644556,1665689,1926714,1913165,2029549,2102123,2279468,2437963,2683144,2985906,3024564,3453256,3794669,4008059
"93000","Great Lakes","3","SA5 1/","45","...","  Equals: Net earnings by place of residence",65330901,69949318,72069996,72740627,77212781,80638595,86841462,95055167,103696857,107954208,117584806,128933552,133148093,141774135,154981778,172407962,183442114,192576216,213969359,239792650,267211488,292163382,302206959,319521182,321894196,336498622,375530486,401356634,425089150,452863219,488093484,520805770,547722378,558858692,603178943,631229289,670669716,701594404,739865312,783537651,838636823,889002688,947204892,973779974
"93000","Great Lakes","3","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",10100334,10827749,11730122,12385275,13378387,14282437,15529443,16846438,18038259,19004226,20311050,21661403,23798162,25550009,27440321,30528906,34825960,38124254,40605458,44977017,50043964,56256765,67857291,83072992,94660152,101261472,113535459,119180745,124256016,126771305,135146826,150241163,157672434,156949614,162260493,167832576,180740887,195689510,208927612,221906290,238146213,234185586,251887485,248093814
