"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"23000","Maine","1","SA5 1/","10","...","Personal income (thousands of dollars)",1747120,1824506,1935513,1961797,2039643,2106111,2274177,2456536,2612437,2741660,2921436,3217148,3530087,3790516,4151378,4663075,5177766,5579554,6378036,6931931,7663100,8517303,9584669,10586283,11464150,12294408,13639159,14708268,15970626,17383822,19127295,20817675,21654835,21995830,23022871,23767774,24763124,25878824,27358122,28858308,30876061,32458107,34921210,36849361
"23000","Maine","1","SA5 1/","20","...","Population (persons) 2/",944000,957000,975000,995000,994000,993000,993000,997000,999000,1004000,994000,992000,996784,1015677,1034817,1046420,1060050,1073280,1089960,1105369,1115457,1124927,1126860,1133033,1136683,1144772,1155634,1162935,1170126,1184577,1203840,1219961,1231719,1237081,1238508,1242302,1242662,1243480,1249060,1254774,1259127,1266808,1277072,1285692
"23000","Maine","1","SA5 1/","30","...","Per capita personal income (dollars) 3/",1851,1906,1985,1972,2052,2121,2290,2464,2615,2731,2939,3243,3541,3732,4012,4456,4884,5199,5852,6271,6870,7571,8506,9343,10086,10740,11802,12648,13649,14675,15889,17064,17581,17780,18589,19132,19927,20812,21903,22999,24522,25622,27345,28661
"23000","Maine","1","SA5 1/","35","...","  Earnings by place of work",1427532,1501693,1611783,1617568,1677554,1721810,1858989,1992789,2141857,2234188,2412317,2613574,2816280,2975985,3263105,3669333,3999514,4166823,4878206,5283683,5873385,6500249,7134767,7709863,8152786,8814393,9791652,10633540,11575986,12737320,14161941,15271944,15816828,15738791,16443496,16963814,17622989,18073502,18885584,19931208,21445582,23029140,24627304,26056021
"23000","Maine","1","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",52127,60454,69615,72701,78434,87409,91987,92517,118522,137641,157295,180898,193312,210923,241501,301519,337683,357085,422343,461329,531086,606699,668035,770546,831194,909957,1042971,1131501,1238971,1356049,1542866,1649797,1788092,1803220,1905000,2015561,2130058,2207592,2272931,2398631,2543851,2683629,2815354,2949232
"23000","Maine","1","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",23225,26699,31070,32735,33909,38225,41290,42550,56921,68571,76865,81303,86803,94247,105432,132408,149508,157630,179411,195958,224332,257560,288514,337141,369500,399177,445641,506284,566213,628045,724996,799882,871738,893709,944556,996885,1055330,1106010,1141504,1205515,1278702,1357390,1419981,1518398
"23000","Maine","1","SA5 1/","38","...","    Employer contributions for government social insurance",28902,33755,38545,39966,44525,49184,50697,49967,61601,69070,80430,99595,106509,116676,136069,169111,188175,199455,242932,265371,306754,349139,379521,433405,461694,510780,597330,625217,672758,728004,817870,849915,916354,909511,960444,1018676,1074728,1101582,1131427,1193116,1265149,1326239,1395373,1430834
"23000","Maine","1","SA5 1/","42","...","  Plus: Adjustment for residence 5/",-22570,-27578,-31652,-32922,-33649,-34114,-34415,-32310,-35961,-37613,-41164,-24462,-20027,-19222,-22024,-12541,-7736,-21147,-24347,-25956,-24508,-17213,-13590,-48139,-46036,-33051,-26188,-4777,35148,59131,72767,72208,70876,88175,132117,191402,251041,318080,371529,445208,519225,585061,702037,744514
"23000","Maine","1","SA5 1/","45","...","  Equals: Net earnings by place of residence",1352835,1413661,1510516,1511945,1565471,1600287,1732587,1867962,1987374,2058934,2213858,2408214,2602941,2745840,2999580,3355273,3654095,3788591,4431516,4796398,5317791,5876337,6453142,6891178,7275556,7871385,8722493,9497262,10372163,11440402,12691842,13694355,14099612,14023746,14670613,15139655,15743972,16183990,16984182,17977785,19420956,20930572,22513987,23851303
"23000","Maine","1","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",253078,263295,273161,283152,301993,325159,357768,396205,414939,434395,428889,497143,556524,606226,661501,724271,820549,891864,969233,1094611,1228774,1379013,1656322,2014118,2345927,2430942,2815500,2988471,3292028,3583768,3928959,4422963,4541331,4501726,4519812,4586601,4789903,5233727,5601611,5887165,6314259,6236147,6785263,6942171
