"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"28000","Mississippi","5","SA5 1/","10","...","Personal income (thousands of dollars)",2470880,2737371,2774532,3005878,3136382,3445900,3566493,3876351,4229277,4572377,4998486,5534346,6064385,6718511,7653682,8743228,9609803,10424635,11820319,13153529,14647559,16553596,17998291,20205005,21340298,22336974,24400947,25725576,26678772,28202012,30162096,32651634,34267522,36072135,38903231,41442376,44847540,47381736,50290838,53121279,56289949,58160798,61339361,64911727
"28000","Mississippi","5","SA5 1/","20","...","Population (persons) 2/",2086000,2138000,2182000,2206000,2243000,2244000,2241000,2246000,2245000,2228000,2219000,2220000,2221128,2265529,2307291,2349802,2378603,2399924,2430324,2459810,2488033,2507967,2525342,2539032,2556776,2567719,2578053,2588103,2593596,2588545,2580349,2574272,2578897,2598733,2623734,2655100,2688992,2722659,2748085,2777004,2804834,2828408,2848353,2852994
"28000","Mississippi","5","SA5 1/","30","...","Per capita personal income (dollars) 3/",1185,1280,1272,1363,1398,1536,1591,1726,1884,2052,2253,2493,2730,2966,3317,3721,4040,4344,4864,5347,5887,6600,7127,7958,8347,8699,9465,9940,10286,10895,11689,12684,13288,13881,14827,15609,16678,17403,18300,19129,20069,20563,21535,22752
"28000","Mississippi","5","SA5 1/","35","...","  Earnings by place of work",2072664,2300428,2315789,2479542,2578714,2859129,2962961,3231900,3572379,3834022,4196186,4581440,4892473,5366833,6162803,7065383,7549200,7914563,9131633,10229652,11358597,12790507,13226143,14567942,15044010,15503606,17145740,18032007,18714773,20020496,21538449,22823139,24181258,25342901,27403910,29400117,32112592,33452015,35275702,37190790,39722094,41474665,43082725,44865543
"28000","Mississippi","5","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",72440,87406,100700,104281,114885,136342,143292,151834,196786,226218,252967,290831,310203,351085,421301,538239,615467,653112,756504,850173,981797,1128894,1210227,1421451,1497310,1593803,1773270,1913772,2032083,2125070,2373612,2541703,2803227,2988565,3192126,3452582,3779262,3946158,4069038,4283603,4578797,4782557,4925724,5012801
"28000","Mississippi","5","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",33806,39667,47257,49220,52080,61208,65053,69169,96593,116681,129650,146492,157094,176026,208537,265411,304493,323748,364519,404132,462266,535924,585132,693349,741378,781705,855215,953028,1024282,1080501,1217452,1330058,1455746,1560413,1662182,1792909,1969227,2074902,2137189,2253689,2397615,2516136,2590458,2653737
"28000","Mississippi","5","SA5 1/","38","...","    Employer contributions for government social insurance",38634,47739,53443,55061,62805,75134,78239,82665,100193,109537,123317,144339,153109,175059,212764,272828,310974,329364,391985,446041,519531,592970,625095,728102,755932,812098,918055,960744,1007801,1044569,1156160,1211645,1347481,1428152,1529944,1659673,1810035,1871256,1931849,2029914,2181182,2266421,2335266,2359064
"28000","Mississippi","5","SA5 1/","42","...","  Plus: Adjustment for residence 5/",9203,10500,12062,13178,15102,16840,19699,21887,22834,24728,31433,35523,36846,58695,74171,93938,122755,149128,179508,218240,272165,327827,413070,440296,457636,513398,572418,603504,592040,630187,672096,715258,749499,804345,823464,840225,838439,921104,962756,1113441,1189394,1288456,1480091,1643371
"28000","Mississippi","5","SA5 1/","45","...","  Equals: Net earnings by place of residence",2009427,2223522,2227151,2388439,2478931,2739627,2839368,3101953,3398427,3632532,3974652,4326132,4619116,5074443,5815673,6621082,7056488,7410579,8554637,9597719,10648965,11989440,12428986,13586787,14004336,14423201,15944888,16721739,17274730,18525613,19836933,20996694,22127530,23158681,25035248,26787760,29171769,30426961,32169420,34020628,36332691,37980564,39637092,41496113
"28000","Mississippi","5","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",257316,294633,314764,355419,384650,416175,424452,446833,470685,508374,534964,656548,756304,830057,919851,1057160,1240958,1383005,1479938,1646171,1898880,2167802,2690029,3355029,3747841,3963189,4370575,4723936,4869404,4955528,5296371,6159858,6177748,6205627,6353106,6642943,7176224,7663928,8162647,8766443,9538106,9449011,10176325,10548410
