"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"97000","Rocky Mountain","7","SA5 1/","10","...","Personal income (thousands of dollars)",8718172,9200110,9730682,10317776,11118554,11482250,12010432,12900036,13685709,14544114,15795980,17681026,19781320,22014241,24946229,28497043,32098765,35410907,39140516,43634667,50520135,57113131,64817811,73772157,79644087,84859641,91953954,96902167,100406091,103882866,109756816,119199729,127352543,135140768,146514405,158589533,169886195,183629289,197211262,210999331,230362190,246048213,269392776,282517131
"97000","Rocky Mountain","7","SA5 1/","20","...","Population (persons) 2/",4139000,4226000,4350000,4497000,4580000,4632000,4673000,4703000,4735000,4783000,4868000,4943000,5037873,5194044,5368407,5527390,5649835,5781745,5915555,6078758,6256862,6438928,6592318,6742612,6903979,7034816,7108977,7167704,7199874,7205624,7202616,7234109,7305119,7477155,7696444,7938748,8171343,8379865,8565452,8745913,8918147,9094461,9268926,9430982
"97000","Rocky Mountain","7","SA5 1/","30","...","Per capita personal income (dollars) 3/",2106,2177,2237,2294,2428,2479,2570,2743,2890,3041,3245,3577,3927,4238,4647,5156,5681,6125,6617,7178,8074,8870,9832,10941,11536,12063,12935,13519,13946,14417,15238,16477,17433,18074,19037,19977,20790,21913,23024,24125,25831,27055,29064,29956
"97000","Rocky Mountain","7","SA5 1/","35","...","  Earnings by place of work",7143305,7508299,7973992,8434314,9103227,9412604,9806460,10505497,11236917,11870026,12952655,14363526,15843243,17561511,20115980,23139942,25887213,28038642,31218462,34976616,40830186,46215487,51492772,57733875,61055496,64620934,70160024,73772766,76270846,78928578,83981278,89922533,96811348,103393202,112892212,122764010,130943729,139571203,149731336,160930238,176675449,191768986,210392767,220343192
"97000","Rocky Mountain","7","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",252604,291671,354392,382046,411979,477976,491039,498868,645816,721791,804519,880811,961534,1101556,1320255,1728388,2001949,2178501,2511602,2869996,3410716,4089662,4595844,5563547,6032847,6396984,7175122,7730439,8019360,8209134,9123011,9869686,10975691,12004362,12992267,14206002,15409838,16397204,17263182,18380407,19324664,20640960,22509364,23609045
"97000","Rocky Mountain","7","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",114128,132894,165013,172162,183282,214708,221779,225331,304266,356868,394902,433331,471084,533417,629704,826048,954978,1035919,1158546,1317970,1551929,1881389,2135343,2609595,2849302,2982511,3282304,3648617,3814906,3932812,4404575,4821925,5338909,5852415,6317004,6853429,7462182,8016982,8521706,9139980,9833330,10565556,11498248,12074469
"97000","Rocky Mountain","7","SA5 1/","38","...","    Employer contributions for government social insurance",138476,158777,189379,209884,228697,263268,269260,273537,341550,364923,409617,447480,490450,568139,690551,902340,1046971,1142582,1353056,1552026,1858787,2208273,2460501,2953952,3183545,3414473,3892818,4081822,4204454,4276322,4718436,5047761,5636782,6151947,6675263,7352573,7947656,8380222,8741476,9240427,9491334,10075404,11011116,11534576
"97000","Rocky Mountain","7","SA5 1/","42","...","  Plus: Adjustment for residence 5/",-2488,-2635,-2496,-2553,-2620,-2093,-1779,-1854,-1339,-1027,-1117,16664,16441,18036,21839,22103,23566,35292,39981,42113,52354,52944,77828,50532,51805,53895,73836,91111,111880,134661,173419,209479,245070,274508,306920,341921,393646,453560,526086,602727,701005,800537,860245,943916
"97000","Rocky Mountain","7","SA5 1/","45","...","  Equals: Net earnings by place of residence",6888213,7213993,7617104,8049715,8688628,8932535,9313642,10004775,10589762,11147208,12147019,13499379,14898150,16477991,18817564,21433657,23908830,25895433,28746841,32148733,37471824,42178769,46974756,52220860,55074454,58277845,63058738,66133438,68363366,70854105,75031686,80262326,86080727,91663348,100206865,108899929,115927537,123627559,132994240,143152558,158051790,171928563,188743648,197678063
"97000","Rocky Mountain","7","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",1298616,1392102,1489604,1578043,1709052,1792136,1919792,2055305,2194174,2327745,2434025,2836604,3281788,3665719,4038512,4621584,5352397,5985951,6505114,7331470,8506490,9777745,11786616,14477044,16521874,17736672,19663850,20979625,21534755,21881652,22970562,25960928,27239581,28007448,29086755,31150384,34466258,38540290,41753244,44814432,48559982,49147464,53851314,55486823
"97000","Rocky Mountain","7","SA5 1/","47","...","  Plus: Personal current transfer receipts",531343,594015,623974,690018,720874,757579,776998,839956,901773,1069161,1214936,1345043,1601382,1870531,2090153,2441802,2837538,3529523,3888561,4154464,4541821,5156617,6056439,7074253,8047759,8845124,9231366,9789104,10507970,11147109,11754568,12976475,14032235,15469972,17220785,18539220,19492400,21461440,22463778,23032341,23750418,24972186,26797814,29352245
"97000","Rocky Mountain","7","SA5 1/","50","...","  Wages and salaries",5111353,5483741,5889012,6275377,6656422,6957725,7311912,7703984,8287323,8820082,9635773,10643245,11735136,12982849,14633658,16657000,18624012,20457511,23046483,26011835,30170971,34622169,38895825,44048744,46951516,48706109,52726166,55511425,56683026,58193433,61558884,65211457,70256393,75102871,80840620,86717633,93418833,100454703,107892233,116870012,127635125,138045340,152762071,158114221
"97000","Rocky Mountain","7","SA5 1/","60","...","  Supplements to wages and salaries",496834,539837,602184,666762,717717,793110,848166,887115,1012684,1099159,1228109,1372289,1566655,1860927,2201032,2522726,2887221,3342649,3780567,4383036,5086722,5890021,6651216,7675853,8399444,9170372,10085457,10927691,11493987,11844478,12707901,14100185,15567413,17081065,19469674,21163503,22467667,23217844,24153366,25464174,27027924,29081623,32135038,34282283
"97000","Rocky Mountain","7","SA5 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",358358,381060,412805,456878,489020,529842,578906,613578,671134,734236,818492,924809,1076205,1292788,1510481,1620386,1840250,2200067,2427511,2831010,3227935,3681748,4190715,4721901,5215899,5755899,6192639,6845869,7289533,7568156,7989465,9052424,9930631,10929118,12794411,13810930,14520011,14837622,15411890,16223747,17536590,19006219,21123922,22747707
"97000","Rocky Mountain","7","SA5 1/","62","...","    Employer contributions for government social insurance",138476,158777,189379,209884,228697,263268,269260,273537,341550,364923,409617,447480,490450,568139,690551,902340,1046971,1142582,1353056,1552026,1858787,2208273,2460501,2953952,3183545,3414473,3892818,4081822,4204454,4276322,4718436,5047761,5636782,6151947,6675263,7352573,7947656,8380222,8741476,9240427,9491334,10075404,11011116,11534576
"97000","Rocky Mountain","7","SA5 1/","70","...","  Proprietors' income 8/",1535118,1484721,1482796,1492175,1729088,1661769,1646382,1914398,1936910,1950785,2088773,2347992,2541452,2717735,3281290,3960216,4375980,4238482,4391412,4581745,5572493,5703297,5945731,6009278,5704536,6744453,7348401,7333650,8093833,8890667,9714493,10610891,10987542,11209266,12581918,14882874,15057229,15898656,17685737,18596052,22012400,24642023,25495658,27946688
"97000","Rocky Mountain","7","SA5 1/","71","...","    Farm proprietors' income",548630,420328,417273,356706,535625,441694,320797,532499,483013,479651,533156,646399,751038,717670,1002799,1427678,1461865,998201,593514,233874,461571,209466,404360,502097,243545,596125,509428,319154,762993,1105518,1100076,1655772,1868135,1845053,1925536,2517597,1205592,1061668,1305435,1026118,1379023,1706538,1232151,1874524
"97000","Rocky Mountain","7","SA5 1/","72","...","    Nonfarm proprietors' income",986488,1064393,1065523,1135469,1193463,1220075,1325585,1381899,1453897,1471134,1555617,1701593,1790414,2000065,2278491,2532538,2914115,3240281,3797898,4347871,5110922,5493831,5541371,5507181,5460991,6148328,6838973,7014496,7330840,7785149,8614417,8955119,9119407,9364213,10656382,12365277,13851637,14836988,16380302,17569934,20633377,22935485,24263507,26072164
"97000","Rocky Mountain","7","SA5 1/","81","[01-02]","  Farm earnings",709782,581146,589926,536152,721148,635935,519552,736418,705768,716924,754176,888828,1002692,966181,1268803,1751473,1836362,1384925,1025853,684908,956023,747518,963550,1053030,824282,1143653,1042401,843908,1242003,1577839,1625328,2216447,2514285,2465899,2543471,3220485,2094221,1994576,2189795,2052777,2397520,2745785,2387447,3060363
"97000","Rocky Mountain","7","SA5 1/","82","...","  Nonfarm earnings",6433523,6927153,7384066,7898162,8382079,8776669,9286908,9769079,10531149,11153102,12198479,13474698,14840551,16595330,18847177,21388469,24050851,26653717,30192609,34291708,39874163,45467969,50529222,56680845,60231214,63477281,69117623,72928858,75028843,77350739,82355950,87706086,94297063,100927303,110348741,119543525,128849508,137576627,147541541,158877461,174277929,189023201,208005320,217282829
"97000","Rocky Mountain","7","SA5 1/","90","...","    Private nonfarm earnings",5016207,5448043,5772463,6157680,6486205,6713687,7046914,7388981,7901597,8252216,9003370,9990388,10897358,12100137,13896118,15978837,18094741,19939604,22881750,26368995,31199043,36017748,40074531,45050316,47680713,49994482,54693700,57328799,58632180,60303229,64331090,68636975,73826542,78824154,86231679,94433699,102657698,110345518,119387695,129471698,143541618,156388325,173098235,179765964
"97000","Rocky Mountain","7","SA5 1/","100","[07-08]","      Agricultural services, forestry, and fishing",21460,24980,28051,31745,38112,38215,40669,44878,48998,52068,59050,71280,74784,87118,105318,121110,140985,149123,171310,156367,191597,230886,270351,296724,322772,385665,439242,469282,459902,534349,555077,554988,607129,649598,718430,778155,859818,893422,974921,1037167,"(D)",1335680,1420336,1612847
"97000","Rocky Mountain","7","SA5 1/","110","07","        Agricultural services",19284,22752,25874,29515,35615,35703,37907,41948,45548,46861,53634,66158,68203,79539,94430,107556,125376,134279,149011,143032,177484,213812,247306,271776,312484,343597,389430,420345,407866,495922,514057,516200,565975,604090,668948,725891,799338,835140,911380,972931,"(D)",1251344,1340622,"(NA)"
"97000","Rocky Mountain","7","SA5 1/","120","...","        Forestry and fishing",2176,2228,2177,2230,2497,2512,2762,2930,3450,5207,5416,5122,6581,7579,10888,13554,15609,14844,22299,13335,14113,17074,23045,24948,10288,42068,49812,48937,52036,38427,41020,38788,41154,45508,49482,52264,60480,58282,63541,64236,80885,84336,79714,"(NA)"
"97000","Rocky Mountain","7","SA5 1/","121","08","          Forestry",1863,1923,1910,1965,2186,2231,2448,2595,3050,4755,4721,4726,6015,7000,9864,12307,13640,12995,18878,9283,8994,9542,13752,19178,7508,37803,46243,36092,28918,11247,18675,19623,23107,25801,29352,30637,37374,28010,23774,22598,"(D)",42725,44465,"(NA)"
"97000","Rocky Mountain","7","SA5 1/","122","...","          Fishing",313,305,267,265,311,281,314,335,400,452,695,396,566,579,1024,1247,1969,1849,3421,4052,5119,7532,9293,5770,2780,4265,3569,12845,23118,27180,22345,19165,18047,19707,20130,21627,23106,30272,39767,41638,"(D)",41611,35249,"(NA)"
"97000","Rocky Mountain","7","SA5 1/","200","B","      Mining",319464,322347,335574,343598,328007,335944,346534,360455,382619,382096,433681,481685,539582,542652,591601,717454,1040529,1304622,1296893,1749923,2174353,2683688,3375622,4253068,4269954,3772040,3865669,3621210,2993226,2576548,2805746,3116355,3125702,2783838,2812265,2977373,3026474,3016832,3334410,3573650,"(D)",3622879,4072545,4651611
"97000","Rocky Mountain","7","SA5 1/","210","10","        Metal mining",141943,140091,151618,163687,154659,163212,167436,174694,190321,176336,187765,220455,250129,250309,251305,267903,340623,377779,404108,546526,674940,815281,918019,1037663,832065,668927,581046,423749,405150,446594,569372,650943,626172,548133,520452,531649,540798,606269,628905,656382,733463,820588,756448,"(NA)"
"97000","Rocky Mountain","7","SA5 1/","220","12","        Coal mining",34162,31597,33722,30535,26982,24871,27465,28222,28396,29239,30810,36297,56458,57393,68182,90452,157992,203535,225914,362596,439322,534359,600297,683308,745823,666830,693312,708616,506395,399181,698203,642298,679818,742026,727101,721560,726881,735183,739915,788816,780264,"(D)","(D)","(NA)"
