"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"46000","South Dakota","4","SA5 1/","10","...","Personal income (thousands of dollars)",1186491,1079852,1323454,1331620,1517169,1471232,1442610,1623335,1755443,1782696,1909887,2080125,2262517,2478189,2860912,3609714,3621033,4000855,3954043,4485097,5164776,5679834,5719001,6647391,7034068,7326712,8291305,8517981,8896433,9364373,9759935,10516247,11513251,11992985,12991533,13585823,14630902,14934328,16504345,16852186,18121187,19027288,20262966,21096085
"46000","South Dakota","4","SA5 1/","20","...","Population (persons) 2/",656000,667000,683000,693000,705000,708000,701000,692000,683000,671000,669000,668000,666641,671382,677389,678939,679877,681420,686843,688992,689293,689018,690851,689584,690597,693009,697250,698404,696036,696034,698160,696698,697101,703669,712801,722159,730790,737925,742213,744223,746058,750412,755844,757972
"46000","South Dakota","4","SA5 1/","30","...","Per capita personal income (dollars) 3/",1809,1619,1938,1922,2152,2078,2058,2346,2570,2657,2855,3114,3394,3691,4223,5317,5326,5871,5757,6510,7493,8243,8278,9640,10185,10572,11891,12196,12782,13454,13980,15094,16516,17044,18226,18813,20021,20238,22237,22644,24289,25356,26808,27832
"46000","South Dakota","4","SA5 1/","35","...","  Earnings by place of work",971755,861442,1076328,1074536,1246374,1189185,1148581,1298702,1424776,1429770,1537548,1646355,1763289,1923417,2250481,2926828,2807048,3027689,2907460,3319894,3883030,4251281,3948092,4493135,4543772,4739232,5566638,5693999,5989519,6494176,6832517,7282121,8166492,8542509,9376653,9818868,10743907,10644217,11930154,12094999,13105285,13850528,14729021,15129287
"46000","South Dakota","4","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",26016,34140,34813,38955,44939,50975,50400,51202,64386,77180,83630,89609,95455,106383,121081,158103,183198,200384,224598,237574,274402,322079,341848,388087,407801,440472,491235,529535,573922,618159,691582,750314,851322,916344,976305,1034719,1117340,1171370,1224403,1292030,1385217,1481938,1567507,1617184
"46000","South Dakota","4","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",14878,20615,19388,21355,24415,28067,28661,29226,36309,45741,48188,53291,56213,61052,68529,90693,104603,114118,122871,125191,143866,172383,184170,208129,220719,236208,260313,288802,314032,345339,386995,426320,477650,512621,542154,570847,617803,644488,671764,708562,763480,814927,858554,878499
"46000","South Dakota","4","SA5 1/","38","...","    Employer contributions for government social insurance",11138,13525,15425,17600,20524,22908,21739,21976,28077,31439,35442,36318,39242,45331,52552,67410,78595,86266,101727,112383,130536,149696,157678,179958,187082,204264,230922,240733,259890,272820,304587,323994,373672,403723,434151,463872,499537,526882,552639,583468,621737,667011,708953,738685
"46000","South Dakota","4","SA5 1/","42","...","  Plus: Adjustment for residence 5/",233,402,480,364,577,978,1367,1705,2198,2700,3253,6114,6123,6362,7076,7289,8082,10351,11798,12514,14334,15188,16353,12826,10216,3722,-2261,-5050,-11599,-19256,-26786,-37308,-54310,-67799,-85088,-100475,-130581,-150066,-188986,-185866,-232820,-249571,-267437,-255899
"46000","South Dakota","4","SA5 1/","45","...","  Equals: Net earnings by place of residence",945972,827704,1041995,1035945,1202012,1139188,1099548,1249205,1362588,1355290,1457171,1562860,1673957,1823396,2136476,2776014,2631932,2837656,2694660,3094834,3622962,3944390,3622597,4117874,4146187,4302482,5073142,5159414,5403998,5856761,6114149,6494499,7260860,7558366,8315260,8683674,9495986,9322781,10516765,10617103,11487248,12119019,12894077,13256204
"46000","South Dakota","4","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",167026,170469,195738,201286,215420,226381,234176,255343,263805,273173,275461,323061,366695,399575,442077,506316,606518,706855,756557,860263,966742,1086201,1335670,1657890,1919136,1982011,2116346,2187388,2272715,2247993,2328143,2576939,2712671,2778343,2876078,3007315,3130294,3469567,3725571,3913714,4245051,4424857,4711093,4965863
