"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"55000","Wisconsin","3","SA5 1/","10","...","Personal income (thousands of dollars)",7998093,8663702,8954993,9244954,9768533,10104244,10888858,11792611,12895782,13616395,14889700,16412939,17608648,18906602,20672925,23063852,25336188,27780259,30473081,34051662,38047473,42628337,47052952,51320993,54102808,56952258,62644454,66041717,69705474,73574026,78143063,85276226,90143238,93632279,101190913,106442538,113017540,118778601,125662960,133284392,142917963,149267176,159511065,167125085
"55000","Wisconsin","3","SA5 1/","20","...","Population (persons) 2/",3843000,3891000,3962000,4009000,4049000,4112000,4165000,4232000,4274000,4303000,4345000,4378000,4425944,4459968,4498433,4518461,4538173,4569616,4584688,4613299,4631944,4665911,4712045,4726345,4728862,4721438,4735571,4747765,4755625,4777923,4822391,4856568,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5332666,5373999,5406835
"55000","Wisconsin","3","SA5 1/","30","...","Per capita personal income (dollars) 3/",2081,2227,2260,2306,2413,2457,2614,2787,3017,3164,3427,3749,3979,4239,4596,5104,5583,6079,6647,7381,8214,9136,9986,10858,11441,12062,13228,13910,14657,15399,16204,17559,18379,18861,20136,20933,22015,22909,24027,25309,26978,27991,29682,30910
"55000","Wisconsin","3","SA5 1/","35","...","  Earnings by place of work",6607495,7220634,7451793,7602029,8065399,8339105,8997026,9707626,10775170,11273790,12197412,13320717,14020577,14910098,16395519,18491305,20021849,21409402,23759238,26830102,30163886,33772555,35842246,37905179,38832028,40355635,44888541,47256099,50234922,53942853,57942578,62661883,66667231,69449686,75633043,79932361,85292882,88863354,93740793,99736153,107007893,113651750,120642646,126356008
"55000","Wisconsin","3","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",233264,282445,340868,348050,374001,432768,449261,479224,668380,759572,815017,933625,974256,1070283,1247624,1614201,1840400,1927419,2187518,2442939,2842775,3302232,3496524,3999202,4156475,4359358,4904193,5208452,5503388,5810842,6548673,7004271,7800998,8259129,8871655,9408488,10145854,10657062,11099560,11779779,12475865,13251549,13900556,14201539
"55000","Wisconsin","3","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",110051,133826,159530,163638,174267,202543,212753,224967,320059,375395,398825,460996,484445,529788,604625,773766,887603,938179,1031205,1137940,1306169,1531310,1646621,1901966,1988449,2056329,2258356,2483961,2649713,2834812,3225180,3539547,3928939,4177873,4470227,4706869,5080947,5375891,5596132,5956544,6287117,6722710,7040555,7250837
"55000","Wisconsin","3","SA5 1/","38","...","    Employer contributions for government social insurance",123213,148619,181338,184412,199734,230225,236508,254257,348321,384177,416192,472629,489811,540495,642999,840435,952797,989240,1156313,1304999,1536606,1770922,1849903,2097236,2168026,2303029,2645837,2724491,2853675,2976030,3323493,3464724,3872059,4081256,4401428,4701619,5064907,5281171,5503428,5823235,6188748,6528839,6860001,6950702
"55000","Wisconsin","3","SA5 1/","42","...","  Plus: Adjustment for residence 5/",52515,59789,63895,67169,74702,81485,91655,104454,123991,137722,158744,250077,254847,267640,291350,316915,343444,345840,383372,423616,476348,511211,536373,580343,600041,651024,760498,848710,930203,1033080,1194482,1234198,1343296,1363297,1462953,1519862,1657189,1776594,1920221,2123164,2308788,2479867,2710600,2850866
"55000","Wisconsin","3","SA5 1/","45","...","  Equals: Net earnings by place of residence",6426746,6997978,7174820,7321148,7766100,7987822,8639420,9332856,10230781,10651940,11541139,12637169,13301168,14107455,15439245,17194019,18524893,19827823,21955092,24810779,27797459,30981534,32882095,34486320,35275594,36647301,40744846,42896357,45661737,49165091,52588387,56891810,60209529,62553854,68224341,72043735,76804217,79982886,84561454,90079538,96840816,102880068,109452690,115005335
"55000","Wisconsin","3","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",1061609,1141933,1222717,1277693,1344235,1421227,1525186,1680700,1802510,1901739,2111160,2416680,2708603,2929222,3154451,3504855,4000112,4424776,4695383,5187353,5775102,6513211,7913887,9719737,10890774,11777693,13167907,13870303,14475489,14624899,15418784,17442668,18198385,18343236,19164914,20018327,21383069,23073859,24818201,26386575,28830179,28432950,30764215,30591111
"55000","Wisconsin","3","SA5 1/","47","...","  Plus: Personal current transfer receipts",509738,523791,557456,646113,658198,695195,724252,779055,862491,1062716,1237401,1359090,1598877,1869925,2079229,2364978,2811183,3527660,3822606,4053530,4474912,5133592,6256970,7114936,7936440,8527264,8731701,9275057,9568248,9784036,10135892,10941748,11735324,12735189,13801658,14380476,14830254,15721856,16283305,16818279,17246968,17954158,19294160,21528639
"55000","Wisconsin","3","SA5 1/","50","...","  Wages and salaries",4894772,5384421,5626431,5682208,6062234,6342466,6830290,7369480,8084985,8587576,9327779,10263716,10888896,11500741,12581850,14147113,15549819,16374838,18136613,20103517,22776723,25423133,27066120,28897999,29720603,30891723,33709778,35380075,37363175,39948025,43400732,45830271,49178597,51313090,55271573,58315533,62134477,65647138,69123659,74003002,78957245,83730825,88456938,90654202
"55000","Wisconsin","3","SA5 1/","60","...","  Supplements to wages and salaries",408739,461219,509369,523368,571696,611670,660689,731004,871405,939697,1027960,1190888,1280844,1421408,1657937,1919951,2154751,2564440,2925917,3426466,3947750,4521669,4958279,5453967,5846266,6364659,7011032,7561009,8146632,8767842,9681368,10580291,11753806,12685712,14370396,15499359,16425584,16560808,16962132,17770096,18809527,19807905,21159977,22444279
"55000","Wisconsin","3","SA5 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",285526,312600,328031,338956,371962,381445,424181,476747,523084,555520,611768,718259,791033,880913,1014938,1079516,1201954,1575200,1769604,2121467,2411144,2750747,3108376,3356731,3678240,4061630,4365195,4836518,5292957,5791812,6357875,7115567,7881747,8604456,9968968,10797740,11360677,11279637,11458704,11946861,12620779,13279066,14299976,15493577
"55000","Wisconsin","3","SA5 1/","62","...","    Employer contributions for government social insurance",123213,148619,181338,184412,199734,230225,236508,254257,348321,384177,416192,472629,489811,540495,642999,840435,952797,989240,1156313,1304999,1536606,1770922,1849903,2097236,2168026,2303029,2645837,2724491,2853675,2976030,3323493,3464724,3872059,4081256,4401428,4701619,5064907,5281171,5503428,5823235,6188748,6528839,6860001,6950702
"55000","Wisconsin","3","SA5 1/","70","...","  Proprietors' income 8/",1303984,1374994,1315993,1396453,1431469,1384969,1506047,1607142,1818780,1746517,1841673,1866113,1850837,1987949,2155732,2424241,2317279,2470124,2696708,3300119,3439413,3827753,3817847,3553213,3265159,3099253,4167731,4315015,4725115,5226986,4860478,6251321,5734828,5450884,5991074,6117469,6732821,6655408,7655002,7963055,9241121,10113020,11025731,13257527
"55000","Wisconsin","3","SA5 1/","71","...","    Farm proprietors' income",401530,419486,372507,436547,429492,369837,408677,475025,603587,490664,568679,553737,548958,600548,631006,802978,658055,707303,598366,968835,902289,1147105,1162550,883908,683975,154316,693068,724616,1028271,1145628,528950,1369446,934849,539090,761606,431830,701198,278389,831501,417659,736152,731117,209012,532108
"55000","Wisconsin","3","SA5 1/","72","...","    Nonfarm proprietors' income",902454,955508,943486,959906,1001977,1015132,1097370,1132117,1215193,1255853,1272994,1312376,1301879,1387401,1524726,1621263,1659224,1762821,2098342,2331284,2537124,2680648,2655297,2669305,2581184,2944937,3474663,3590399,3696844,4081358,4331528,4881875,4799979,4911794,5229468,5685639,6031623,6377019,6823501,7545396,8504969,9381903,10816719,12725419
"55000","Wisconsin","3","SA5 1/","81","[01-02]","  Farm earnings",456610,474211,427988,495925,491604,439171,477810,544786,670081,563668,644935,637803,639203,692932,729400,915875,805944,866757,762305,1144483,1127767,1407154,1445781,1172452,1024265,472847,1003483,1030926,1306770,1417999,854638,1741000,1397155,1017869,1276357,956037,1223701,797062,1371968,1000097,1375509,1331223,898763,1192471
"55000","Wisconsin","3","SA5 1/","82","...","  Nonfarm earnings",6150885,6746423,7023805,7106104,7573795,7899934,8519216,9162840,10105089,10710122,11552477,12682914,13381374,14217166,15666119,17575430,19215905,20542645,22996933,25685619,29036119,32365401,34396465,36732727,37807763,39882788,43885058,46225173,48928152,52524854,57087940,60920883,65270076,68431817,74356686,78976324,84069181,88066292,92368825,98736056,105632384,112320527,119743883,125163537
"55000","Wisconsin","3","SA5 1/","90","...","    Private nonfarm earnings",5435576,5998091,6227046,6235639,6633272,6905856,7421639,7968092,8753334,9254157,9933970,10837401,11269445,11863501,13100287,14767554,16211271,17172520,19336934,21783488,24709014,27719953,29314303,31244099,31688486,33431560,36989624,38770303,41065596,44319720,48281310,51552870,55090074,57496621,62304066,66190681,70681980,74192731,78045912,83881470,90149157,95881741,102311620,106749406
"55000","Wisconsin","3","SA5 1/","100","[07-08]","      Agricultural services, forestry, and fishing",18391,19517,23408,24444,28994,28795,31441,32160,35242,37951,44175,51418,53114,59312,63358,70867,79360,85271,105874,95706,121644,146518,170445,180129,186704,219429,259405,249495,246842,314811,321995,332033,372252,395268,421806,441130,442770,446582,456866,482163,550154,637254,673785,728194
"55000","Wisconsin","3","SA5 1/","110","07","        Agricultural services",16274,17409,21489,22374,26684,26606,29017,29621,32411,34357,40656,48398,48422,54545,57833,63352,70646,78119,95228,89263,114086,136974,157247,168417,184214,195088,228798,220255,220600,306444,305803,316600,355035,376869,404390,421090,417678,424976,438790,462338,524784,604382,639447,"(NA)"
"55000","Wisconsin","3","SA5 1/","120","...","        Forestry and fishing",2117,2108,1919,2070,2310,2189,2424,2539,2831,3594,3519,3020,4692,4767,5525,7515,8714,7152,10646,6443,7558,9544,13198,11712,2490,24341,30607,29240,26242,8367,16192,15433,17217,18399,17416,20040,25092,21606,18076,19825,25370,32872,34338,"(NA)"
"55000","Wisconsin","3","SA5 1/","121","08","          Forestry",505,583,700,875,1067,1044,1189,1241,1380,2027,2255,1877,2881,3262,3756,5327,5587,5014,7172,3549,4366,5221,7670,9669,1100,21641,29470,22444,16487,2336,7806,8431,10404,11575,10208,12718,17238,12854,9158,10347,16448,23701,25074,"(NA)"
"55000","Wisconsin","3","SA5 1/","122","...","          Fishing",1612,1525,1219,1195,1243,1145,1235,1298,1451,1567,1264,1143,1811,1505,1769,2188,3127,2138,3474,2894,3192,4323,5528,2043,1390,2700,1137,6796,9755,6031,8386,7002,6813,6824,7208,7322,7854,8752,8918,9478,8922,9171,9264,"(NA)"
"55000","Wisconsin","3","SA5 1/","200","B","      Mining",21964,22230,25440,25002,24203,21597,23458,24028,24702,28096,31287,32985,35845,31591,40630,46118,68902,79515,85706,108764,101314,120641,163181,177615,153080,90374,103381,121648,55402,100105,102455,95935,97487,96036,109236,115302,126380,129434,139808,151915,170603,173854,178212,186333
"55000","Wisconsin","3","SA5 1/","210","10","        Metal mining",6816,5473,7453,6263,5796,2243,2672,2014,1626,1773,1815,2703,3888,3959,2894,3435,6812,4707,1086,13138,13957,15359,7848,13746,6157,1435,"(D)",-4784,6651,7624,11481,5439,3107,4429,3931,4657,6617,5227,4919,6515,5711,2912,"(D)","(NA)"
"55000","Wisconsin","3","SA5 1/","220","12","        Coal mining","(L)",0,"(L)","(L)","(L)",0,"(L)","(L)","(L)",52,66,106,998,209,828,1238,2664,2461,917,3429,3808,5094,1574,1391,1447,1617,3070,3793,-5858,-8311,12884,5921,6421,9918,9079,8398,8017,7525,6933,6178,7377,9139,5430,"(NA)"
"55000","Wisconsin","3","SA5 1/","230","13","        Oil and gas extraction","(L)",301,631,1016,744,1191,1435,1814,1158,3826,8446,7338,6347,2095,10044,10411,24599,35609,47993,53905,40044,51849,102368,113790,104235,38723,"(D)",72105,4636,45932,13389,8620,7106,710,2616,3960,3403,3187,6619,7930,6556,5574,"(D)","(NA)"
"55000","Wisconsin","3","SA5 1/","240","14","        Nonmetallic minerals, except fuels",15144,16456,17353,17720,17657,18163,19348,20198,21914,22445,20960,22838,24612,25328,26864,31034,34827,36738,35710,38292,43505,48339,51391,48688,41241,48599,49575,50534,49973,54860,64701,75955,80853,80979,93610,98287,108343,113495,121337,131292,150959,156229,158168,"(NA)"
"55000","Wisconsin","3","SA5 1/","300","C","      Construction",400058,433686,456325,474812,475888,512565,562847,618972,713152,752145,820170,887068,882958,929278,1021497,1154676,1210148,1209945,1439928,1673267,1911096,2096223,2016146,1928070,1790826,1894899,2209266,2314260,2623404,2868627,3211601,3478223,3910049,4077104,4519753,4758120,5097215,5239901,5669838,6079486,6640036,7422212,8161721,8618322
"55000","Wisconsin","3","SA5 1/","310","15","        General building contractors",107622,116301,121979,126843,129644,133919,145786,166239,192350,199788,211967,240946,233451,239200,254212,292846,305035,299400,377156,458016,526785,576641,530586,499543,437369,485930,570943,576654,690600,738504,814571,836512,936536,986636,1061626,1110074,1187759,1251944,1370821,1456417,1588354,1744844,1868299,"(NA)"
"55000","Wisconsin","3","SA5 1/","320","16","        Heavy construction contractors",64059,69013,72082,73288,73712,80612,85533,95826,115141,121217,146251,133009,133844,145383,148073,161693,161197,161730,170728,191744,233170,293580,278309,232172,229990,255773,268981,276880,304876,341320,359319,414756,447826,441881,511035,519329,527396,530431,584634,638268,739073,767677,807586,"(NA)"
"55000","Wisconsin","3","SA5 1/","330","17","        Special trade contractors",228377,248372,262264,274681,272532,298034,331528,356907,405661,431140,461952,513113,515663,544695,619212,700137,743916,748815,892044,1023507,1151141,1226002,1207251,1196355,1123467,1153196,1369342,1460726,1627928,1788803,2037711,2226955,2525687,2648587,2947092,3128717,3382060,3457526,3714383,3984801,4312609,4909691,5485836,"(NA)"
