"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"04000","Arizona","6","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",77329254,83139885,91445796,95404135,97915537,102539113,110963085,121693365,134568795,142582929,143934001,135299866,134940167,140189939,145915295,150409412,156543545,163566200,170268502
"04000","Arizona","6","SA6N","5","...","  Wages and salaries",64289238,69372454,76583262,79484246,81188497,85029446,92180211,101142343,111494574,117280222,117203207,109729610,109289454,113662613,119041447,122681869,127825664,134092102,139320661
"04000","Arizona","6","SA6N","6","...","  Supplements to wages and salaries",13040016,13767431,14862534,15919889,16727040,17509667,18782874,20551022,23074221,25302707,26730794,25570256,25650713,26527326,26873848,27727543,28717881,29474098,30947841
"04000","Arizona","6","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",8283953,8711558,9350273,10125557,10739932,11321713,12104931,13284086,15130649,16840301,18155890,17501212,17537779,18112793,18153596,18724279,19524329,19800231,20901006
"04000","Arizona","6","SA6N","8","...","    Employer contributions for government social insurance",4756063,5055873,5512261,5794332,5987108,6187954,6677943,7266936,7943572,8462406,8574904,8069044,8112934,8414533,8720252,9003264,9193552,9673867,10046835
"04000","Arizona","6","SA6N","9","...","Average compensation per job (dollars) 3/",35497,36870,39213,40562,41548,42801,44677,46543,49038,51283,53006,53543,54499,56004,56984,57426,58581,59520,60413
"04000","Arizona","6","SA6N","81","111-112","  Farm compensation",333119,335103,368691,374163,422118,373320,399032,441095,421793,484602,474094,518451,452735,443805,519552,574459,553556,473883,561101
"04000","Arizona","6","SA6N","82","...","  Nonfarm compensation",76996135,82804782,91077105,95029972,97493419,102165793,110564053,121252270,134147002,142098327,143459907,134781415,134487432,139746134,145395743,149834953,155989989,163092317,169707401
"04000","Arizona","6","SA6N","90","113-814","    Private nonfarm compensation",62712785,67618958,74844362,77254766,78347734,81657391,88848851,97950032,109107076,115140901,114970984,106234073,105679100,110699220,115964713,120203228,126099931,132296927,138363608
"04000","Arizona","6","SA6N","100","113-115","      Forestry, fishing, and related activities",252591,254655,253077,269523,280944,278727,320798,312820,371214,376158,338973,352283,356489,372005,376745,368979,411222,442572,466421
"04000","Arizona","6","SA6N","101","113","        Forestry and logging",9132,"(T)","(T)","(D)","(D)","(D)",4598,"(D)","(D)","(D)","(D)",4791,"(D)",4796,"(D)",5270,"(D)","(D)","(D)"
"04000","Arizona","6","SA6N","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)","(D)",0,"(D)","(D)","(D)","(D)",165,"(D)",254,"(D)",209,"(D)","(D)","(D)"
"04000","Arizona","6","SA6N","103","115","        Support activities for agriculture and forestry",243255,247439,244968,265191,276035,274324,316200,308021,366163,371123,333992,347327,351012,366955,371500,363500,402676,430594,455460
"04000","Arizona","6","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",675022,630500,540835,539613,479795,478489,531081,571692,703381,865820,1100872,860394,873661,1005388,1140853,1184000,1153934,1138281,1056168
"04000","Arizona","6","SA6N","201","211","        Oil and gas extraction","(T)","(T)","(T)",226,186,"(D)","(D)",231,220,509,1137,"(D)",2218,8249,11119,9190,8776,7320,7320
"04000","Arizona","6","SA6N","202","212","        Mining (except oil and gas)",656974,611851,519605,530498,468329,468841,521137,558685,682335,840840,1053786,804410,820905,950933,1078250,1129390,1093818,1082417,1012214
"04000","Arizona","6","SA6N","203","213","        Support activities for mining",15412,16466,18240,8889,11280,"(D)","(D)",12776,20826,24471,45949,"(D)",50538,46206,51484,45420,51340,48544,36634
