"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"08000","Colorado","7","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",83852615,91845578,103510460,107338030,106645011,108804459,114167414,120837157,128147094,135574052,140513148,136837226,138679399,143539533,151287414,156966017,167945341,176609051,182165726
"08000","Colorado","7","SA6N","5","...","  Wages and salaries",69857397,76636393,86411500,89129887,88089377,89280694,93569091,98787261,105664224,112506406,116677545,112297127,113786263,118558239,125014182,129597052,138677835,146634879,151322380
"08000","Colorado","7","SA6N","6","...","  Supplements to wages and salaries",13995218,15209185,17098960,18208143,18555634,19523765,20598323,22049896,22482870,23067646,23835603,24540099,24893136,24981294,26273232,27368965,29267506,29974172,30843346
"08000","Colorado","7","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",9374451,10201323,11532323,12348859,12272520,13095478,13639082,14643725,14724342,15010241,15475250,16578495,16804524,16246854,17099287,18060379,19187315,19338484,19873680
"08000","Colorado","7","SA6N","8","...","    Employer contributions for government social insurance",4620767,5007862,5566637,5859284,6283114,6428287,6959241,7406171,7758528,8057405,8360353,7961604,8088612,8734440,9173945,9308586,10080191,10635688,10969666
"08000","Colorado","7","SA6N","9","...","Average compensation per job (dollars) 3/",38592,40860,44392,45734,46248,47777,49597,51392,53286,55228,56608,57535,59034,60128,62033,62563,64693,66085,66751
"08000","Colorado","7","SA6N","81","111-112","  Farm compensation",343406,356197,395231,407443,451458,402245,423883,464108,440624,499887,487454,530337,466273,457529,534270,585813,567952,485550,573304
"08000","Colorado","7","SA6N","82","...","  Nonfarm compensation",83509209,91489381,103115229,106930587,106193553,108402214,113743531,120373049,127706470,135074165,140025694,136306889,138213126,143082004,150753144,156380204,167377389,176123501,181592422
"08000","Colorado","7","SA6N","90","113-814","    Private nonfarm compensation",68610080,75643945,86195917,88701054,86486876,87617365,91979124,97353867,103854472,110344529,113662983,108639611,109486409,114027008,121391252,126430565,136155250,143442385,147689771
"08000","Colorado","7","SA6N","100","113-115","      Forestry, fishing, and related activities",70037,78330,83114,89690,92418,99659,111666,113306,127358,132140,142523,168138,174048,182333,202465,213367,230079,244053,252343
"08000","Colorado","7","SA6N","101","113","        Forestry and logging",4704,4947,7507,5491,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",7241,5448,5825,5735,6189,"(D)",6616
"08000","Colorado","7","SA6N","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",544,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",360,338,323,333,268,"(D)",407
"08000","Colorado","7","SA6N","103","115","        Support activities for agriculture and forestry",64571,72087,74441,83655,86129,94103,105926,108049,121551,126129,137245,161935,166447,176547,196317,207299,223622,237251,245320
"08000","Colorado","7","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",882830,932779,900809,1150588,979073,1043326,1419507,1640811,2052337,2526037,3195908,2584689,2835004,3377839,3721779,3927183,4481973,4142434,3251851
"08000","Colorado","7","SA6N","201","211","        Oil and gas extraction",353976,334682,366986,532515,381074,458501,710896,717476,849456,1023551,1337447,1240514,1396408,1607249,1677012,1910343,2120061,2150516,1831731
"08000","Colorado","7","SA6N","202","212","        Mining (except oil and gas)",384499,462223,368772,390451,386686,337196,361973,390800,444475,475033,514302,457463,481425,510691,554390,533731,502804,473184,418239
"08000","Colorado","7","SA6N","203","213","        Support activities for mining",144355,135874,165051,227622,211313,247629,346638,532535,758406,1027453,1344159,886712,957171,1259899,1490377,1483109,1859108,1518734,1001881
"08000","Colorado","7","SA6N","300","22","      Utilities",519619,540699,553762,718786,733243,701742,786527,786427,1034374,864700,917404,940844,988291,1028013,1061182,978100,1047717,1065019,1123080
"08000","Colorado","7","SA6N","400","23","      Construction",5720669,6584877,7808145,8100282,7822764,7452328,7730539,8372689,8973524,9433315,9527949,7888860,7002759,6895291,7305448,8225666,9650485,10265563,11016545
"08000","Colorado","7","SA6N","401","236","        Construction of buildings",1310841,1511551,1796720,1863092,1786217,1754245,1844730,1989783,2184866,2255997,2169442,1756942,1514024,1461795,1524677,1728122,2055772,2243796,2469298
"08000","Colorado","7","SA6N","402","237","        Heavy and civil engineering construction",894208,1006924,1120845,1252181,1230238,1121523,1146373,1252690,1393792,1492656,1634548,1354853,1234698,1309198,1356512,1593196,1836954,1849932,1786669
"08000","Colorado","7","SA6N","403","238","        Specialty trade contractors",3515620,4066402,4890580,4985009,4806309,4576560,4739436,5130216,5394866,5684662,5723959,4777065,4254037,4124298,4424259,4904348,5757759,6171835,6760578
"08000","Colorado","7","SA6N","500","31-33","      Manufacturing",9215375,9719034,10479065,10708799,10163190,9774630,10033111,10331076,10413096,10442370,10529232,9704484,9692018,10075540,10460434,10571169,11342162,11856158,11974093
"08000","Colorado","7","SA6N","510","321,327-339","        Durable goods manufacturing",6760926,7179532,7747754,7879529,7405344,6956730,7203281,7424907,7545513,7586309,7454193,6833990,6827114,7174210,7508825,7503258,7958776,8385142,8425023
"08000","Colorado","7","SA6N","511","321","          Wood product manufacturing",155419,175834,189065,192601,185984,190093,220790,239032,254287,253295,227518,152444,129621,127377,138231,152170,167363,174526,176177
"08000","Colorado","7","SA6N","512","327","          Nonmetallic mineral product manufacturing",437423,470894,523920,538804,509451,484321,505171,527866,564953,587714,565256,437251,451714,443431,477085,490626,536336,559063,576481
"08000","Colorado","7","SA6N","513","331","          Primary metal manufacturing",112816,102178,104855,108921,108050,108994,169027,134187,135285,149156,160680,142019,146817,169104,182881,175661,181463,168230,143326
"08000","Colorado","7","SA6N","514","332","          Fabricated metal product manufacturing",751263,786327,832721,826636,793574,752336,790555,782221,820521,866638,877086,768843,739443,791666,848924,907688,984195,987842,968701
"08000","Colorado","7","SA6N","515","333","          Machinery manufacturing",549558,531006,562837,564362,531679,504459,533427,561685,601613,675068,742170,716916,729643,823554,893312,863282,921940,997225,1010099
"08000","Colorado","7","SA6N","516","334","          Computer and electronic product manufacturing",3076275,3409453,3754759,3785712,3460931,3028943,2984514,3035373,2953125,2786774,2640401,2465526,2520653,2641889,2727959,2568708,2667398,2813475,2744703
"08000","Colorado","7","SA6N","517","335","          Electrical equipment, appliance, and component manufacturing",77022,86698,106291,159477,141399,140280,145102,136366,147389,140889,136142,126770,143359,160643,200783,202295,197021,195817,204720
"08000","Colorado","7","SA6N","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",184982,178765,229392,"(D)",142166,140009,116705,127110,116555,"(D)",115677,105034,100172,104706,110918,113473,123129,"(D)","(D)"
"08000","Colorado","7","SA6N","519","3364-3369","          Other transportation equipment manufacturing",685045,652647,619949,"(D)",695876,733723,820751,904546,905796,"(D)",914451,924745,916465,917066,908362,970998,1045075,"(D)","(D)"
"08000","Colorado","7","SA6N","521","337","          Furniture and related product manufacturing",250704,278717,306137,306720,305773,308828,315206,332937,338423,352701,341797,272432,244764,238158,253966,267099,299174,319044,336705
"08000","Colorado","7","SA6N","522","339","          Miscellaneous manufacturing",480419,507013,517828,535956,530461,564744,602033,643584,707566,719188,733015,722010,704463,756616,766404,791258,835682,851822,914746
"08000","Colorado","7","SA6N","530","311-316,322-326","        Nondurable goods manufacturing",2454449,2539502,2731311,2829270,2757846,2817900,2829830,2906169,2867583,2856061,3075039,2870494,2864904,2901330,2951609,3067911,3383386,3471016,3549070
"08000","Colorado","7","SA6N","531","311","          Food manufacturing",659759,671406,710866,758490,761520,759203,792043,767677,798294,836784,873483,918643,925424,928114,961992,1025374,1128956,1232601,1261237
"08000","Colorado","7","SA6N","532","312","          Beverage and tobacco product manufacturing",415542,414320,461808,448932,441996,459240,473722,503104,468761,417902,536943,459675,459385,447574,455040,470276,509100,535630,572199
"08000","Colorado","7","SA6N","533","313","          Textile mills",10214,9681,"(T)",7339,6701,5931,5941,6004,5528,6038,5801,5316,5647,5757,6059,6377,6866,6975,3176
"08000","Colorado","7","SA6N","534","314","          Textile product mills",44937,46324,50464,48974,55581,65649,69531,69923,72546,80587,84577,73238,68552,61072,62862,61333,64332,67655,77589
"08000","Colorado","7","SA6N","535","315","          Apparel manufacturing",58796,55551,50746,41642,36399,38495,36425,47200,41248,32607,32403,26446,22583,24172,27291,30903,33871,34218,35050
"08000","Colorado","7","SA6N","536","316","          Leather and allied product manufacturing",25293,30776,39409,44872,36674,30190,15600,10843,11354,12477,12759,7989,6266,6559,6721,6021,6374,6707,6672
"08000","Colorado","7","SA6N","537","322","          Paper manufacturing",108954,154921,145805,163993,168282,189397,154504,169219,136074,119865,121197,110571,112528,103059,102944,102252,105915,101097,100442
"08000","Colorado","7","SA6N","538","323","          Printing and related support activities",395452,427623,453184,444605,402947,381703,371686,378560,376561,373072,375220,308040,287882,277321,287355,287483,301706,306893,313713
"08000","Colorado","7","SA6N","539","324","          Petroleum and coal products manufacturing",50496,45885,51274,67124,83294,92417,99014,112615,132996,121829,157355,142164,125325,126546,121205,114818,122723,119351,125194
"08000","Colorado","7","SA6N","541","325","          Chemical manufacturing",387551,391235,448892,486689,477096,503819,521454,526116,516429,549190,581401,564750,557813,578511,569212,589917,627097,618404,608811
"08000","Colorado","7","SA6N","542","326","          Plastics and rubber products manufacturing",297455,291780,310447,316610,287356,291856,289910,314908,307792,305710,293900,253662,293499,342645,350928,373157,476446,441485,444987
"08000","Colorado","7","SA6N","600","42","      Wholesale trade",4744424,5000329,5958071,6130101,5891979,5893845,6128250,6460945,6994792,7666238,7897502,7214942,7328329,7730211,8182440,8494915,9169410,9667365,9867640
"08000","Colorado","7","SA6N","700","44-45","      Retail trade",6032237,6555586,7116283,7118145,7211330,7352508,7552586,7852270,8027499,8383177,8409523,7958559,7930366,8107939,8427225,8801983,9264089,9763139,10175440
"08000","Colorado","7","SA6N","701","441","        Motor vehicle and parts dealers",1194548,1326754,1464325,1540230,1562370,1567947,1572095,1583820,1595753,1668458,1598519,1400483,1435261,1508755,1639003,1777258,1905234,2027150,2108213
"08000","Colorado","7","SA6N","702","442","        Furniture and home furnishings stores",296211,334480,374303,385139,374870,365168,379872,397426,411473,412213,393834,315271,309235,326173,334854,357970,387376,415217,439664
"08000","Colorado","7","SA6N","703","443","        Electronics and appliance stores",303451,351003,368558,305364,298243,287358,300238,329965,338989,362257,363074,353645,382612,379110,385675,375453,398765,414261,416876
"08000","Colorado","7","SA6N","704","444","        Building material and garden equipment and supplies dealers",559303,633969,695150,722388,764327,768203,811403,857268,889957,892535,864690,774357,745871,724269,746177,786241,843080,875422,936137
"08000","Colorado","7","SA6N","705","445","        Food and beverage stores",1223075,1297117,1331468,1318134,1287780,1329961,1347017,1387638,1374403,1411959,1484934,1481801,1476567,1476885,1543575,1588949,1686830,1792388,1878467
"08000","Colorado","7","SA6N","706","446","        Health and personal care stores",234993,250943,274786,277487,304190,326368,340353,362767,386614,413121,422534,429705,440994,457469,478673,508007,525730,547339,594687
"08000","Colorado","7","SA6N","707","447","        Gasoline stations",296250,304838,323772,320303,307346,301739,294891,289073,285212,301819,303161,295806,295683,294077,305832,314334,318900,332899,347828
"08000","Colorado","7","SA6N","708","448","        Clothing and clothing accessories stores",345834,365878,398303,386159,394283,407927,428062,444643,464911,474463,465131,421665,429259,442793,462608,486749,498280,519761,531662
"08000","Colorado","7","SA6N","709","451","        Sporting goods, hobby, musical instrument, and book stores",342058,319679,348885,343383,321910,325414,332369,345319,358620,368299,371266,354676,346484,353328,356505,382097,406901,419278,413149
"08000","Colorado","7","SA6N","711","452","        General merchandise stores",738939,822599,912242,927649,1003396,1068545,1115557,1197135,1239072,1352527,1399417,1427341,1378741,1412344,1413575,1415681,1435676,1487568,1550268
"08000","Colorado","7","SA6N","712","453","        Miscellaneous store retailers",336626,375876,417798,396652,396437,398422,405767,407785,412277,422611,421752,402385,388679,409004,424525,444118,466181,512186,546832
"08000","Colorado","7","SA6N","713","454","        Nonstore retailers",160949,172450,206693,195257,196178,205456,224962,249431,270218,302915,321211,301424,300980,323732,336223,365126,391136,419670,411657
"08000","Colorado","7","SA6N","800","48-49","      Transportation and warehousing",2715833,2907116,3225908,3410480,3344744,3284700,3423483,3455759,3678233,3802284,3791019,3584723,3555513,3672009,3984099,4349021,4678372,4928006,5093527
"08000","Colorado","7","SA6N","801","481","        Air transportation",729086,849585,1002797,1108961,1061824,955999,933356,862125,989547,951735,951641,859837,833218,850580,983501,1234945,1325259,1351802,1526118
"08000","Colorado","7","SA6N","802","482","        Rail transportation",284828,282315,270962,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",336605,371241,363361,380727,383344,374205
"08000","Colorado","7","SA6N","803","483","        Water transportation","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",0,0,0,"(D)",0,0
"08000","Colorado","7","SA6N","804","484","        Truck transportation",715856,721287,760127,744677,754623,754942,797890,879460,946035,1021855,1020573,958820,970323,1043245,1117427,1172262,1291061,1343006,1291765
"08000","Colorado","7","SA6N","805","485","        Transit and ground passenger transportation",120265,126717,128862,143475,145907,145239,156163,166056,176903,188941,192102,184842,186586,196538,200545,209054,231462,255327,256863
"08000","Colorado","7","SA6N","806","486","        Pipeline transportation",76301,82561,69231,101294,86732,81349,86512,91512,115281,120290,106976,120203,125233,109242,107393,149347,177832,201244,179134
"08000","Colorado","7","SA6N","807","487","        Scenic and sightseeing transportation","(T)","(T)","(T)",9771,9243,10850,12441,12414,13546,14665,15159,15915,18631,19178,22212,21574,22837,25166,26726
"08000","Colorado","7","SA6N","808","488","        Support activities for transportation",201527,231290,262789,276593,281499,284993,329904,354068,352450,372344,378074,350376,348289,368216,392012,405862,411855,462821,475416
"08000","Colorado","7","SA6N","809","492","        Couriers and messengers",294147,320196,360052,392228,382479,394409,426232,437126,426368,462781,"(D)",435779,"(D)",425631,446340,454941,"(D)",528010,564435
"08000","Colorado","7","SA6N","811","493","        Warehousing and storage",285494,283437,358528,363103,358892,391428,400275,357959,350247,341399,338609,347940,329474,322774,343428,337675,356669,377286,398865
"08000","Colorado","7","SA6N","900","51","      Information",5730848,6843681,8643266,8286992,7082311,6982471,6612777,6573390,7005443,7226345,7156463,7302199,7279145,7501802,7620020,7771538,8334749,8189269,8306704
"08000","Colorado","7","SA6N","901","511","        Publishing industries (except Internet)",2033270,2021667,2527391,2489381,2248896,2303382,2341725,2382648,2498550,2515591,2482178,2360814,2273802,2350477,2368306,2329214,2388254,2457115,2480275
"08000","Colorado","7","SA6N","902","512","        Motion picture and sound recording industries",133883,195953,422423,544646,157159,149383,129408,133270,144106,147816,136701,147219,141848,149177,161030,170451,175066,179763,185138
"08000","Colorado","7","SA6N","903","515","        Broadcasting (except Internet)",641517,811091,642855,582218,679820,520084,458746,445177,469388,514584,504506,508204,495161,521468,536209,561280,577185,580507,551330
"08000","Colorado","7","SA6N","904","516","        Internet publishing and broadcasting 4/",48495,64426,89681,91447,81677,85973,91231,97958,98323,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"08000","Colorado","7","SA6N","905","517","        Telecommunications",2482525,3279440,4049513,3704782,3245718,3311733,2955261,2868143,3119720,3329144,3189003,3460191,3503348,3449991,3396035,3455503,3743679,3484506,3520038
