"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"93000","Great Lakes","3","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",857699639,905107723,956699082,973400097,987444936,1013369610,1057014252,1092145428,1134307267,1172284832,1185463925,1124672107,1142362558,1190817772,1237234828,1262725551,1309739383,1364796439,1402488414
"93000","Great Lakes","3","SA6N","5","...","  Wages and salaries",703086091,742124523,782688148,791356051,798649033,815205134,847365841,872337369,906517166,939294422,949484540,894538281,909557082,949850030,989787305,1012058171,1054598066,1104145084,1131176425
"93000","Great Lakes","3","SA6N","6","...","  Supplements to wages and salaries",154613548,162983200,174010934,182044046,188795903,198164476,209648411,219808059,227790101,232990410,235979385,230133826,232805476,240967742,247447523,250667380,255141317,260651355,271311989
"93000","Great Lakes","3","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",102299179,108268960,117374903,124764050,131291243,138517837,146364373,153994512,159821332,163678204,165731163,163138742,164738332,168812291,172079277,174958984,177727297,180693092,190199573
"93000","Great Lakes","3","SA6N","8","...","    Employer contributions for government social insurance",52314369,54714240,56636031,57279996,57504660,59646639,63284038,65813547,67968769,69312206,70248222,66995084,68067144,72155451,75368246,75708396,77414020,79958263,81112416
"93000","Great Lakes","3","SA6N","9","...","Average compensation per job (dollars) 3/",38755,40250,41975,43323,44600,46164,48038,49487,51217,52879,54096,54207,55544,57107,58440,58983,60297,61893,62871
"93000","Great Lakes","3","SA6N","81","111-112","  Farm compensation",2238123,2124107,2278036,2322336,2311560,2383677,2701188,2444744,2363908,3197605,3004651,2938182,2574015,2825007,3373411,3227478,3464292,3442408,3928444
"93000","Great Lakes","3","SA6N","82","...","  Nonfarm compensation",855461516,902983616,954421046,971077761,985133376,1010985933,1054313064,1089700684,1131943359,1169087227,1182459274,1121733925,1139788543,1187992765,1233861417,1259498073,1306275091,1361354031,1398559970
"93000","Great Lakes","3","SA6N","90","113-814","    Private nonfarm compensation",727201868,767309979,810702946,819305440,825160168,843099977,878241697,907781816,945500540,976822963,983532971,917641050,928520528,977869507,1022832729,1048807001,1092722407,1142935137,1176444611
"93000","Great Lakes","3","SA6N","100","113-115","      Forestry, fishing, and related activities",546692,548442,576594,588195,580204,595852,698161,675332,741054,763539,784528,853406,843082,883035,975832,991918,1176608,1228416,1307615
"93000","Great Lakes","3","SA6N","101","113","        Forestry and logging",127945,127332,132244,"(D)",136462,135134,162414,152202,157120,151591,142296,135292,136886,"(D)","(D)","(D)",154462,"(D)","(D)"
"93000","Great Lakes","3","SA6N","102","114","        Fishing, hunting and trapping",14161,15172,16212,"(D)",13949,11706,13971,12284,13668,14021,13377,15484,16341,"(D)","(D)","(D)",14851,"(D)","(D)"
"93000","Great Lakes","3","SA6N","103","115","        Support activities for agriculture and forestry",404586,405938,428138,438919,429793,449012,521776,510846,570266,597927,628855,702630,689855,728314,812714,835545,1007295,1043791,1116875
"93000","Great Lakes","3","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",2195387,2208750,2165760,2336362,2152949,2183593,2320678,2410122,2645599,2688691,2768248,2615850,2767152,2943727,3259610,3175673,3595554,3402942,2953916
"93000","Great Lakes","3","SA6N","201","211","        Oil and gas extraction",216497,242673,230818,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"93000","Great Lakes","3","SA6N","202","212","        Mining (except oil and gas)",1781978,1782908,1734498,1822778,1661833,1675309,1741260,1801912,1912291,1905188,1908418,1791687,1919776,1998143,2122919,2139374,2276168,2212462,2014908
"93000","Great Lakes","3","SA6N","203","213","        Support activities for mining",196912,183169,200444,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"93000","Great Lakes","3","SA6N","300","22","      Utilities",7372054,7821394,8034242,9439247,9340945,8926416,9138702,9414885,10339202,10558068,11266540,11252750,11116421,11632400,11343610,11752853,12100761,12427379,12920489
"93000","Great Lakes","3","SA6N","400","23","      Construction",43276272,47893727,51551137,51538891,51652769,52056746,53441327,54833724,56491412,57699001,57095102,48801478,45919684,47520329,49164016,51021522,55127542,59110321,62089263
"93000","Great Lakes","3","SA6N","401","236","        Construction of buildings",10025025,11101686,11887215,11981411,12304366,12505199,12933529,13375561,13575646,13561151,13266061,11054934,10707084,10780891,10715239,11007658,11990212,12740922,13609099
"93000","Great Lakes","3","SA6N","402","237","        Heavy and civil engineering construction",5517593,6080206,6637611,6562856,6449635,6629122,6742855,7062732,7490829,7999220,8383833,7907910,7031973,7332791,7716982,8367413,9139737,9840269,9731268
"93000","Great Lakes","3","SA6N","403","238","        Specialty trade contractors",27733654,30711835,33026311,32994624,32898768,32922425,33764943,34395431,35424937,36138630,35445208,29838634,28180627,29406647,30731795,31646451,33997593,36529130,38748896
"93000","Great Lakes","3","SA6N","500","31-33","      Manufacturing",206060555,210175977,216397285,208222956,202884093,203829456,207645889,209596521,212902436,214386601,208547960,177893560,182155592,194317268,203672732,205327196,214683647,222834311,225053086
"93000","Great Lakes","3","SA6N","510","321,327-339","        Durable goods manufacturing",151403368,153091075,157852482,149107688,143956096,144176537,147366288,148748900,151195808,151598786,145591284,119524057,121618347,132373804,139753447,139753276,145534102,151297349,152372501
"93000","Great Lakes","3","SA6N","511","321","          Wood product manufacturing",3256170,3518705,3565110,3444452,3361791,3418158,3515762,3597009,3548148,3412680,3149420,2409086,2325315,2444114,2501337,2620723,2855659,3035836,3145362
"93000","Great Lakes","3","SA6N","512","327","          Nonmetallic mineral product manufacturing",5180017,5509828,5752554,5613400,5480038,5435512,5394187,5531754,5583439,5490209,5184235,4353931,4449704,4609180,4640177,4774984,5033197,5211235,5429466
