"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"16000","Idaho","7","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",17332266,18608275,20532727,21031752,21673893,22478130,24109290,25914798,28567731,30136477,30142633,28837746,29175244,29579730,30361110,31937383,33193661,35054191,37136396
"16000","Idaho","7","SA6N","5","...","  Wages and salaries",14010223,15090399,16650453,16997504,17448657,17990895,19246327,20655363,22715701,24012576,23954785,22820540,22973575,23495046,24162542,25274195,26671760,27881452,29443921
"16000","Idaho","7","SA6N","6","...","  Supplements to wages and salaries",3322043,3517876,3882274,4034248,4225236,4487235,4862963,5259435,5852030,6123901,6187848,6017206,6201669,6084684,6198568,6663188,6521901,7172739,7692475
"16000","Idaho","7","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",2020526,2162097,2406112,2543105,2698921,2897524,3178592,3438355,3826013,4024271,4107836,3970611,3984215,3856336,3920889,4348998,4153721,4705654,5120962
"16000","Idaho","7","SA6N","8","...","    Employer contributions for government social insurance",1301517,1355779,1476162,1491143,1526315,1589711,1684371,1821080,2026017,2099630,2080012,2046595,2217454,2228348,2277679,2314190,2368180,2467085,2571513
"16000","Idaho","7","SA6N","9","...","Average compensation per job (dollars) 3/",30694,32049,33983,34435,35360,36408,38046,39523,41778,43018,43486,44187,45354,45704,46526,47801,48403,49786,51087
"16000","Idaho","7","SA6N","81","111-112","  Farm compensation",352739,357081,397933,407335,458316,419860,466875,534845,534723,642313,618182,677188,599525,592741,677352,741450,765263,611007,719539
"16000","Idaho","7","SA6N","82","...","  Nonfarm compensation",16979527,18251194,20134794,20624417,21215577,22058270,23642415,25379953,28033008,29494164,29524451,28160558,28575719,28986989,29683758,31195933,32428398,34443184,36416857
"16000","Idaho","7","SA6N","90","113-814","    Private nonfarm compensation",13127314,14133509,15755605,15971229,16320573,16925082,18116573,19646533,22039693,23284561,23046038,21515151,21856099,22371374,22932207,24357460,25569988,27126038,28853859
"16000","Idaho","7","SA6N","100","113-115","      Forestry, fishing, and related activities",229113,224663,223254,208398,219594,224193,257298,256202,276949,273582,264880,256695,268282,278727,284413,304372,326627,354841,365676
"16000","Idaho","7","SA6N","101","113","        Forestry and logging",95053,95476,90691,86586,89963,82713,102131,99372,100304,102397,83392,61920,69430,75888,72402,82205,85147,90380,88664
"16000","Idaho","7","SA6N","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",779,1054,1264,1657,2242,2937,2630,2351,2231,1958,1979,2021,2374,3074,3295,2695
"16000","Idaho","7","SA6N","103","115","        Support activities for agriculture and forestry",133184,127917,131091,121033,128577,140216,153510,154588,173708,168555,179137,192544,196894,200860,209990,219793,238406,261166,274317
"16000","Idaho","7","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",127772,114925,114655,96698,85557,96833,108160,121888,150786,181294,202018,151643,185393,209872,228234,232160,217860,201046,211549
"16000","Idaho","7","SA6N","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",1599,2450,"(D)",4355,4922,4863,5735,4726,5674,6289,5207
"16000","Idaho","7","SA6N","202","212","        Mining (except oil and gas)",125003,112159,110880,93329,82044,92675,102378,115480,141003,164647,174262,136598,159578,176733,187854,192189,174533,158881,177778
"16000","Idaho","7","SA6N","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",8184,14197,"(D)",10690,20893,28276,34645,35245,37653,35876,28564
"16000","Idaho","7","SA6N","300","22","      Utilities",90250,91548,95783,119410,178100,140780,142531,146793,169875,174459,195807,191159,279918,292979,288805,306583,321212,340970,358590
"16000","Idaho","7","SA6N","400","23","      Construction",1150737,1275143,1390803,1490661,1433614,1454112,1594201,1850447,2221388,2465382,2144455,1647329,1554723,1470767,1490775,1604472,1706980,1859341,2103144
"16000","Idaho","7","SA6N","401","236","        Construction of buildings",251585,270189,301270,351593,339456,349115,363372,440715,554468,581899,505322,375868,342870,332915,331732,369102,405126,449426,504556
