"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"26000","Michigan","3","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",191482462,202533352,214959662,213828290,214702033,219180017,225340613,230201757,231988415,234807627,232889820,215541487,218909258,228574274,236552710,241749547,251429285,265350021,276115593
"26000","Michigan","3","SA6N","5","...","  Wages and salaries",156280307,165325888,174162418,171959344,172329724,175567690,179133746,182334908,183863921,186761034,185408259,170084980,172826424,182145241,189698282,195041662,204357402,214758816,222822763
"26000","Michigan","3","SA6N","6","...","  Supplements to wages and salaries",35202155,37207464,40797244,41868946,42372309,43612327,46206867,47866849,48124494,48046593,47481561,45456507,46082834,46429033,46854428,46707885,47071883,50591205,53292830
"26000","Michigan","3","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",22931368,24329076,27284439,28615732,29109779,30122101,32238556,33522536,33522496,33357964,32879672,31939355,32425401,32150675,31914246,31390415,31389591,34303152,36669842
"26000","Michigan","3","SA6N","8","...","    Employer contributions for government social insurance",12270787,12878388,13512805,13253214,13262530,13490226,13968311,14344313,14601998,14688629,14601889,13517152,13657433,14278358,14940182,15317470,15682292,16288053,16622988
"26000","Michigan","3","SA6N","9","...","Average compensation per job (dollars) 3/",41557,43104,44955,45807,46815,48518,50060,51310,52432,53710,54713,54430,55551,56695,57638,57813,59057,61284,62642
"26000","Michigan","3","SA6N","81","111-112","  Farm compensation",571256,533900,617067,593164,628322,523435,591299,537295,536382,784461,657504,675687,538429,675392,866997,808344,947531,950792,1093995
"26000","Michigan","3","SA6N","82","...","  Nonfarm compensation",190911206,201999452,214342595,213235126,214073711,218656582,224749314,229664462,231452033,234023166,232232316,214865800,218370829,227898882,235685713,240941203,250481754,264399229,275021598
"26000","Michigan","3","SA6N","90","113-814","    Private nonfarm compensation",163246779,172528086,182941940,180161926,179578320,182782061,187530988,191124485,192324477,194156351,191229934,173395383,175848386,186666063,194942110,200156066,209963661,221792715,231308194
"26000","Michigan","3","SA6N","100","113-115","      Forestry, fishing, and related activities",156506,161400,173703,176495,164749,168275,207900,196596,204603,202980,210338,235037,243771,254682,278526,281815,324487,340086,360939
"26000","Michigan","3","SA6N","101","113","        Forestry and logging",62352,61848,64999,66215,64225,63399,76953,72989,73777,71078,68657,69534,71488,74030,78444,79000,86943,96067,101118
"26000","Michigan","3","SA6N","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",6528,6306,4492,5193,4792,5454,5850,5626,6591,6868,7097,7627,7896,8287,8066,8246
"26000","Michigan","3","SA6N","103","115","        Support activities for agriculture and forestry",89391,94224,102895,103752,94218,100384,125754,118815,125372,126052,136055,158912,165415,173555,192455,194919,229257,235953,251575
"26000","Michigan","3","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",404680,418735,420440,429908,366291,383418,414362,437369,467022,470803,505874,429522,501544,527104,563675,573750,609888,550063,495874
"26000","Michigan","3","SA6N","201","211","        Oil and gas extraction",38053,47062,37676,36125,27925,33794,41753,42771,47621,50706,50771,52820,63746,57038,60216,59479,69801,58845,53444
"26000","Michigan","3","SA6N","202","212","        Mining (except oil and gas)",289126,300059,308162,311033,266551,276256,281934,299944,307303,295078,320800,263148,327380,344613,342877,346334,360154,346799,325639
