"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"30000","Montana","7","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",11043263,11517879,12311000,12921933,13626491,14357112,15257199,16378878,17648476,18939277,19605920,19223786,19762436,20731025,21757132,22247436,23122842,24072734,24699996
"30000","Montana","7","SA6N","5","...","  Wages and salaries",8912587,9298852,9890097,10389840,10866692,11397884,12088634,12958920,13980604,15050340,15583735,15269672,15523646,16189535,17121727,17628791,18385278,19258155,19853667
"30000","Montana","7","SA6N","6","...","  Supplements to wages and salaries",2130676,2219027,2420903,2532093,2759799,2959228,3168565,3419958,3667872,3888937,4022185,3954114,4238790,4541490,4635405,4618645,4737564,4814579,4846329
"30000","Montana","7","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",1307222,1377016,1520754,1586969,1744990,1884898,2034375,2187901,2333948,2453377,2563565,2531888,2773301,2987117,3038644,2975076,3020211,3063457,3086986
"30000","Montana","7","SA6N","8","...","    Employer contributions for government social insurance",823454,842011,900149,945124,1014809,1074330,1134190,1232057,1333924,1435560,1458620,1422226,1465489,1554373,1596761,1643569,1717353,1751122,1759343
"30000","Montana","7","SA6N","9","...","Average compensation per job (dollars) 3/",27902,28663,30088,31212,32607,33902,35142,36933,38678,40527,41874,42523,44140,45873,47235,47629,49112,50193,50937
"30000","Montana","7","SA6N","81","111-112","  Farm compensation",143235,143180,157206,157974,174948,155751,168451,187512,181284,214129,203915,222359,195056,192885,270913,298658,289103,246624,290598
"30000","Montana","7","SA6N","82","...","  Nonfarm compensation",10900028,11374699,12153794,12763959,13451543,14201361,15088748,16191366,17467192,18725148,19402005,19001427,19567380,20538140,21486219,21948778,22833739,23826110,24409398
"30000","Montana","7","SA6N","90","113-814","    Private nonfarm compensation",8043231,8398377,8947854,9402933,9884353,10335961,11037180,11941238,13044563,14076807,14523372,13941443,14358279,15211112,16058342,16590042,17339994,18231080,18568803
"30000","Montana","7","SA6N","100","113-115","      Forestry, fishing, and related activities",68575,72121,76687,74375,86648,83962,91364,89303,99736,102826,102072,96174,101785,113377,130460,133866,146222,162119,171566
"30000","Montana","7","SA6N","101","113","        Forestry and logging",41115,40459,44737,39078,48362,43448,49050,47612,48773,47486,41068,"(D)",29554,28967,32760,31932,33895,35749,34130
"30000","Montana","7","SA6N","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",547,461,306,410,133,150,138,93,"(D)",117,162,149,129,141,137,123
"30000","Montana","7","SA6N","103","115","        Support activities for agriculture and forestry",26628,30665,30976,34750,37825,40208,41904,41558,50813,55202,60911,66740,72114,84248,97551,101805,112186,126233,137313
"30000","Montana","7","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",258439,263805,280439,330916,316895,313790,396392,459188,561487,593455,642082,538931,605003,712295,846824,869661,880731,784813,672689
"30000","Montana","7","SA6N","201","211","        Oil and gas extraction",30169,28485,29310,34662,28038,21238,34643,41028,55187,58847,53276,47140,57731,60343,80518,87524,97497,103406,120022
"30000","Montana","7","SA6N","202","212","        Mining (except oil and gas)",188108,201005,213344,239430,235042,233256,268456,298009,338593,366344,386178,350833,380540,426692,463496,483307,470461,456069,422923
"30000","Montana","7","SA6N","203","213","        Support activities for mining",40162,34315,37785,56824,53815,59296,93293,120151,167707,168264,202628,140958,166732,225260,302810,298830,312773,225338,129744
"30000","Montana","7","SA6N","300","22","      Utilities",185394,199466,201700,226567,224268,222516,229135,240099,267067,277505,302898,307332,318194,347649,330995,343697,351028,362810,359240
"30000","Montana","7","SA6N","400","23","      Construction",697526,740124,772489,817977,835987,940934,1022209,1187084,1339434,1542011,1444959,1205657,1183514,1234458,1278682,1359014,1454262,1588427,1632788
"30000","Montana","7","SA6N","401","236","        Construction of buildings",188554,201968,218341,223917,237560,262452,289872,327643,377501,455388,395039,304871,280199,278246,286043,299151,329354,362998,394346
"30000","Montana","7","SA6N","402","237","        Heavy and civil engineering construction",182960,198795,199358,216342,203419,224649,252606,280705,326089,368311,345878,319918,361305,385291,394192,417852,423198,436871,436334
"30000","Montana","7","SA6N","403","238","        Specialty trade contractors",326012,339361,354790,377718,395008,453833,479731,578736,635844,718312,704042,580868,542010,570921,598447,642011,701710,788558,802108
