"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"38000","North Dakota","4","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",9308456,9685499,10233340,10791911,11249758,11871623,12722297,13379199,14263051,15238934,16473372,16971350,18357194,20967807,24444336,26282627,29118475,28646681,27120911
"38000","North Dakota","4","SA6N","5","...","  Wages and salaries",7635944,7968517,8359598,8782468,9111234,9560774,10268897,10791970,11510473,12346874,13389549,13635020,14761631,16997597,20195149,21708814,24009571,23457372,21718921
"38000","North Dakota","4","SA6N","6","...","  Supplements to wages and salaries",1672512,1716982,1873742,2009443,2138524,2310849,2453400,2587229,2752578,2892060,3083823,3336330,3595563,3970210,4249187,4573813,5108904,5189309,5401990
"38000","North Dakota","4","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",909724,943134,1057120,1201093,1294301,1422734,1516563,1621022,1761673,1888817,2025958,2142853,2381346,2498007,2680769,2839118,3128588,3219516,3448125
"38000","North Dakota","4","SA6N","8","...","    Employer contributions for government social insurance",762788,773848,816622,808350,844223,888115,936837,966207,990905,1003243,1057865,1193477,1214217,1472203,1568418,1734695,1980316,1969793,1953865
"38000","North Dakota","4","SA6N","9","...","Average compensation per job (dollars) 3/",27660,28487,29888,31310,32511,34143,35729,36931,38567,40540,42880,44225,46773,50704,54614,56710,60534,60741,60127
"38000","North Dakota","4","SA6N","81","111-112","  Farm compensation",137958,130121,143486,161568,148296,117405,169460,166828,160762,229391,261616,194669,197041,215881,313933,298691,346270,211739,223907
"38000","North Dakota","4","SA6N","82","...","  Nonfarm compensation",9170498,9555378,10089854,10630343,11101462,11754218,12552837,13212371,14102289,15009543,16211756,16776681,18160153,20751926,24130403,25983936,28772205,28434942,26897004
"38000","North Dakota","4","SA6N","90","113-814","    Private nonfarm compensation",6927539,7243265,7664182,8031761,8266440,8688537,9324910,9851894,10628068,11393206,12407989,12705179,13777720,16254257,19525602,21225779,23767681,23118842,21369698
"38000","North Dakota","4","SA6N","100","113-115","      Forestry, fishing, and related activities",31633,32827,42971,31001,31130,32476,38398,39641,42348,43565,50892,62327,67050,75213,84052,86890,93011,97843,107109
"38000","North Dakota","4","SA6N","101","113","        Forestry and logging","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"38000","North Dakota","4","SA6N","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"38000","North Dakota","4","SA6N","103","115","        Support activities for agriculture and forestry",26613,27826,37587,29884,30009,31425,37197,38472,41130,42547,49812,61134,65918,74122,82956,86146,92377,97238,106271
"38000","North Dakota","4","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",173120,165235,178315,207242,183661,199550,222833,270603,351955,405565,581888,587260,962727,1660057,2608632,2847092,3459349,2653091,1737923
"38000","North Dakota","4","SA6N","201","211","        Oil and gas extraction",31302,29393,32260,33843,24837,28622,30753,34201,37071,41064,59457,71867,98696,137342,221139,268431,360451,440063,419001
"38000","North Dakota","4","SA6N","202","212","        Mining (except oil and gas)",92560,100707,97124,104648,101115,100865,104015,109695,116582,121880,133192,142668,153329,167935,197502,209527,229411,235039,234252
"38000","North Dakota","4","SA6N","203","213","        Support activities for mining",49258,35135,48931,68751,57709,70063,88065,126707,198302,242621,389239,372725,710702,1354780,2189991,2369134,2869487,1977989,1084670
"38000","North Dakota","4","SA6N","300","22","      Utilities",217473,206873,212521,258005,265197,275238,274324,281499,306095,323355,345502,355617,370212,390173,381777,419066,453871,486624,522245
"38000","North Dakota","4","SA6N","400","23","      Construction",574565,682803,647160,620925,597787,650061,735762,768376,854927,945951,1109963,1166331,1234862,1549143,2029317,2374366,2767591,2706450,2469114
"38000","North Dakota","4","SA6N","401","236","        Construction of buildings",163200,170795,172693,171964,"(D)",181451,212971,210013,250567,268168,274319,318849,310708,358594,399449,516235,547046,533584,523576
"38000","North Dakota","4","SA6N","402","237","        Heavy and civil engineering construction",128706,191225,154214,143494,"(D)",144419,158864,168549,171682,212719,325526,295147,357826,477035,681960,736320,888726,829876,739537
"38000","North Dakota","4","SA6N","403","238","        Specialty trade contractors",282659,320783,320253,305467,303089,324191,363927,389814,432678,465064,510118,552335,566328,713514,947908,1121811,1331819,1342990,1206001
"38000","North Dakota","4","SA6N","500","31-33","      Manufacturing",759255,761867,827499,943604,960671,999291,1101736,1173681,1237199,1303784,1364430,1233595,1227423,1329418,1450553,1504351,1606661,1627930,1601155
"38000","North Dakota","4","SA6N","510","321,327-339","        Durable goods manufacturing",520172,518953,571789,641387,657188,678893,759267,824330,870288,916438,966384,828841,807906,899415,991377,1026999,1086411,1080765,1042428
"38000","North Dakota","4","SA6N","511","321","          Wood product manufacturing",45450,50649,55111,55019,59935,64543,69359,73771,74395,75900,73799,63899,65278,68364,71009,83633,88390,97750,99014
"38000","North Dakota","4","SA6N","512","327","          Nonmetallic mineral product manufacturing",28356,33266,35589,42686,45167,46594,52929,54025,57354,59631,59718,60710,65305,79818,104745,111676,122595,124810,115128
"38000","North Dakota","4","SA6N","513","331","          Primary metal manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)",4014,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"38000","North Dakota","4","SA6N","514","332","          Fabricated metal product manufacturing",50388,47097,47419,57012,59078,58810,65817,71034,77216,84271,95933,93337,90995,105156,108084,118970,131708,120866,112653
"38000","North Dakota","4","SA6N","515","333","          Machinery manufacturing",224123,225829,244544,236050,234328,258739,303187,336247,354645,376107,407557,333015,307164,344450,377221,373669,382195,369054,334711
"38000","North Dakota","4","SA6N","516","334","          Computer and electronic product manufacturing",39818,39310,45021,81250,92071,94973,105075,106122,113360,115254,111855,93195,94968,105022,111698,116694,119815,119452,115260
"38000","North Dakota","4","SA6N","517","335","          Electrical equipment, appliance, and component manufacturing","(T)","(T)","(T)",1891,2235,852,948,3317,3368,4046,4519,2891,3596,4876,5441,5186,6152,6353,5701
"38000","North Dakota","4","SA6N","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",58705,56246,69419,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"38000","North Dakota","4","SA6N","519","3364-3369","          Other transportation equipment manufacturing",18584,15751,17793,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",46794,"(D)","(D)",55389
"38000","North Dakota","4","SA6N","521","337","          Furniture and related product manufacturing",21962,20597,25832,33435,34259,34283,37194,36765,40159,43055,45570,39826,39570,38629,37267,39535,40914,43677,45332
"38000","North Dakota","4","SA6N","522","339","          Miscellaneous manufacturing",23832,20116,21352,22369,21737,22807,23294,22783,23476,25642,25941,26339,26056,26717,33570,34958,36495,37570,37913
"38000","North Dakota","4","SA6N","530","311-316,322-326","        Nondurable goods manufacturing",239083,242914,255710,302217,303483,320398,342469,349351,366911,387346,398046,404754,419517,430003,459176,477352,520250,547165,558727
"38000","North Dakota","4","SA6N","531","311","          Food manufacturing",155952,154616,165517,180728,184860,189614,207306,207216,212177,225279,227454,235967,244342,254859,261289,269457,293421,294072,303321
"38000","North Dakota","4","SA6N","532","312","          Beverage and tobacco product manufacturing",14354,15548,15207,15893,14342,16256,17509,18859,14659,15460,15708,15783,16081,9348,9313,9506,11043,13227,13117
"38000","North Dakota","4","SA6N","533","313","          Textile mills","(T)","(T)","(T)",0,0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"38000","North Dakota","4","SA6N","534","314","          Textile product mills","(T)","(T)","(T)",3527,3928,4845,5242,5826,6326,7009,7667,7828,8582,9507,10100,11012,12318,11679,12540
"38000","North Dakota","4","SA6N","535","315","          Apparel manufacturing","(T)","(T)","(T)",1203,1198,1335,1330,1317,1031,971,901,752,721,706,663,645,680,660,674
