"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"33000","New Hampshire","1","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",22055459,23482348,26003804,27013110,27495180,28646434,30509973,31948991,33669394,34975439,35833727,35115244,36027192,37041057,37761094,38720037,40656736,42436659,43605156
"33000","New Hampshire","1","SA6N","5","...","  Wages and salaries",18348810,19560012,21673479,22310997,22565486,23377194,24861228,25963958,27444014,28496230,29097474,28036362,28491292,29496301,30490101,31239215,33033729,34490386,35730974
"33000","New Hampshire","1","SA6N","6","...","  Supplements to wages and salaries",3706649,3922336,4330325,4702113,4929694,5269240,5648745,5985033,6225380,6479209,6736253,7078882,7535900,7544756,7270993,7480822,7623007,7946273,7874182
"33000","New Hampshire","1","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",2435319,2578244,2848747,3166270,3378316,3640159,3884297,4165068,4344352,4536338,4731118,5056921,5425944,5323776,4991670,5209903,5306179,5575549,5434613
"33000","New Hampshire","1","SA6N","8","...","    Employer contributions for government social insurance",1271330,1344092,1481578,1535843,1551378,1629081,1764448,1819965,1881028,1942871,2005135,2021961,2109956,2220980,2279323,2270919,2316828,2370724,2439569
"33000","New Hampshire","1","SA6N","9","...","Average compensation per job (dollars) 3/",36511,37846,40792,42165,43217,44912,47316,49155,51250,52958,54378,55223,57132,58364,58920,59805,61968,63627,64370
"33000","New Hampshire","1","SA6N","81","111-112","  Farm compensation",35918,32346,36441,36851,44154,39610,38509,31053,34118,40220,38320,36452,34603,29732,52255,52767,56315,46763,54030
"33000","New Hampshire","1","SA6N","82","...","  Nonfarm compensation",22019541,23450002,25967363,26976259,27451026,28606824,30471464,31917938,33635276,34935219,35795407,35078792,35992589,37011325,37708839,38667270,40600421,42389896,43551126
"33000","New Hampshire","1","SA6N","90","113-814","    Private nonfarm compensation",19017265,20258920,22586938,23313583,23517467,24246359,25859073,27093842,28574494,29609449,30205985,29313073,29710570,31085442,31788210,32634554,34328522,36098653,37143215
"33000","New Hampshire","1","SA6N","100","113-115","      Forestry, fishing, and related activities",28985,32507,35719,34062,32410,32441,36857,35838,37370,38624,35308,35864,35384,35989,42548,40492,47427,49524,44813
"33000","New Hampshire","1","SA6N","101","113","        Forestry and logging",17217,18368,21836,19540,17940,17716,21692,22224,23086,22639,21535,21979,22489,22285,23096,22722,26352,27202,26363
"33000","New Hampshire","1","SA6N","102","114","        Fishing, hunting and trapping","(T)","(T)",598,465,561,372,347,102,111,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"33000","New Hampshire","1","SA6N","103","115","        Support activities for agriculture and forestry",11230,13552,13285,14057,13909,14353,14818,13512,14173,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"33000","New Hampshire","1","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",9669,10975,10441,25442,26308,25932,30432,33519,35926,41789,38163,32970,33805,33673,35488,35542,36038,38177,40669
"33000","New Hampshire","1","SA6N","201","211","        Oil and gas extraction","(T)","(T)","(T)",0,0,0,0,0,0,0,0,0,0,"(D)",0,0,0,0,0
"33000","New Hampshire","1","SA6N","202","212","        Mining (except oil and gas)",7283,8517,8192,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",26260,28764,28565,30146,32089,34245
"33000","New Hampshire","1","SA6N","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",6724,6977,5892,6088,6424
"33000","New Hampshire","1","SA6N","300","22","      Utilities",212101,206001,211757,241909,252626,245272,276763,259224,263064,268547,305045,309149,310505,340221,308706,321403,319972,305063,302259
"33000","New Hampshire","1","SA6N","400","23","      Construction",1006680,1094945,1203353,1398937,1489624,1494747,1572224,1628119,1671772,1614220,1589037,1384266,1327828,1390546,1420444,1480121,1559777,1712823,1825177
"33000","New Hampshire","1","SA6N","401","236","        Construction of buildings",263486,289343,325384,395146,444963,422445,444567,459572,462511,438356,414306,334357,317522,325191,321407,333812,347970,391325,429857
"33000","New Hampshire","1","SA6N","402","237","        Heavy and civil engineering construction",167398,157845,150389,182006,186599,199362,194578,203159,207342,204246,210106,187790,200615,205513,233390,241028,259813,282516,272906
"33000","New Hampshire","1","SA6N","403","238","        Specialty trade contractors",575796,647757,727580,821785,858062,872940,933079,965388,1001919,971618,964625,862119,809691,859842,865647,905281,951994,1038982,1122414
