"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"50000","Vermont","1","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",9477171,10136829,10944795,11540523,11916094,12429864,13137661,13645227,14096901,14703961,15249113,14857326,15132680,15818116,16286753,16817556,17130417,17861173,18348472
"50000","Vermont","1","SA6N","5","...","  Wages and salaries",7750545,8247312,8892966,9346529,9562295,9875081,10383822,10723977,11224891,11663959,12066713,11812026,12032882,12383122,12799748,13209635,13647332,14117781,14389571
"50000","Vermont","1","SA6N","6","...","  Supplements to wages and salaries",1726626,1889517,2051829,2193994,2353799,2554783,2753839,2921250,2872010,3040002,3182400,3045300,3099798,3434994,3487005,3607921,3483085,3743392,3958901
"50000","Vermont","1","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",1119802,1249939,1366175,1472080,1625951,1796353,1958850,2092402,2009299,2135390,2238878,2108125,2137769,2413186,2408036,2497585,2333848,2544256,2740161
"50000","Vermont","1","SA6N","8","...","    Employer contributions for government social insurance",606824,639578,685654,721914,727848,758430,794989,828848,862711,904612,943522,937175,962029,1021808,1078969,1110336,1149237,1199136,1218740
"50000","Vermont","1","SA6N","9","...","Average compensation per job (dollars) 3/",31714,33017,34744,36471,37674,39459,41228,42644,43746,45659,47489,47777,48719,50436,51148,52509,52931,54761,56219
"50000","Vermont","1","SA6N","81","111-112","  Farm compensation",55551,53014,63125,68330,87093,78634,76958,62220,68878,83230,76860,72931,68935,59277,93115,95078,101400,84493,97618
"50000","Vermont","1","SA6N","82","...","  Nonfarm compensation",9421620,10083815,10881670,11472193,11829001,12351230,13060703,13583007,14028023,14620731,15172253,14784395,15063745,15758839,16193638,16722478,17029017,17776680,18250854
"50000","Vermont","1","SA6N","90","113-814","    Private nonfarm compensation",7685589,8232613,8908593,9336694,9542865,9844852,10347880,10725059,11035203,11523001,11928351,11476758,11676543,12200921,12646605,13018974,13295539,13866824,14235451
"50000","Vermont","1","SA6N","100","113-115","      Forestry, fishing, and related activities",19994,20776,21921,21969,22767,23150,25490,24448,26733,27030,28916,32469,32668,34462,33604,34034,37245,38805,39202
"50000","Vermont","1","SA6N","101","113","        Forestry and logging",5742,5612,5794,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",8343,9769,9404
"50000","Vermont","1","SA6N","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",0,0,0
"50000","Vermont","1","SA6N","103","115","        Support activities for agriculture and forestry",14044,14782,15865,16614,17479,17794,18972,19104,21161,21575,22596,26354,26052,27664,25508,"(D)",28902,29036,29798
"50000","Vermont","1","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",31841,35662,35916,41419,39289,39970,38633,35774,51771,53567,49633,43719,40425,40709,43105,42525,41455,46371,48132
"50000","Vermont","1","SA6N","201","211","        Oil and gas extraction","(T)","(T)","(T)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50000","Vermont","1","SA6N","202","212","        Mining (except oil and gas)",31447,35240,35809,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"50000","Vermont","1","SA6N","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"50000","Vermont","1","SA6N","300","22","      Utilities",119706,120131,120960,145710,164804,161090,181476,183771,190972,206286,209183,210291,226605,234102,232970,237926,239239,248217,195894
"50000","Vermont","1","SA6N","400","23","      Construction",480628,546340,597236,622084,611667,653211,734012,772791,815727,837081,804738,720354,729440,770029,787271,810284,862969,900147,937699
"50000","Vermont","1","SA6N","401","236","        Construction of buildings",135036,149192,166659,179181,"(D)",203953,227010,235468,245454,253594,237398,194395,188264,211465,219009,223310,237687,242894,257876
"50000","Vermont","1","SA6N","402","237","        Heavy and civil engineering construction",79341,86910,93850,101898,"(D)",90355,100346,105124,107559,105225,98879,100282,115449,104901,106412,107950,117148,113752,109828
"50000","Vermont","1","SA6N","403","238","        Specialty trade contractors",266251,310238,336727,341005,328547,358903,406656,432199,462714,478262,468461,425677,425727,453663,461850,479024,508134,543501,569995
"50000","Vermont","1","SA6N","500","31-33","      Manufacturing",1895565,1985523,2153264,2337410,2187194,2099550,2127181,2170406,2156138,2238986,2237310,2025544,2050418,2103053,2202824,2190747,2158600,2185144,2138972
"50000","Vermont","1","SA6N","510","321,327-339","        Durable goods manufacturing",1419767,1475758,1605697,1836591,1704278,1612590,1640517,1674949,1678463,1753066,1738500,1559687,1563999,1592241,1621436,1576939,1498697,1488739,1427567
"50000","Vermont","1","SA6N","511","321","          Wood product manufacturing",100973,104651,111843,105092,100124,107636,99499,101899,97792,103635,102276,76389,78983,86868,86854,94799,91777,89827,90127
"50000","Vermont","1","SA6N","512","327","          Nonmetallic mineral product manufacturing",84665,82785,89237,95409,98023,99895,102895,105144,104483,103282,101354,89180,91984,86644,90741,90201,99029,96098,99248
"50000","Vermont","1","SA6N","513","331","          Primary metal manufacturing",11464,15857,17280,24023,23684,21590,22183,18769,15978,15843,13646,8932,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"50000","Vermont","1","SA6N","514","332","          Fabricated metal product manufacturing",142870,144969,162475,154946,150960,158177,162602,169711,160836,167505,163333,154154,152740,152040,154441,154353,156641,142404,116691
"50000","Vermont","1","SA6N","515","333","          Machinery manufacturing",198450,202920,220353,209366,171967,167468,174637,173263,171674,179439,189296,185637,185742,198331,195511,190328,194871,214391,209417
"50000","Vermont","1","SA6N","516","334","          Computer and electronic product manufacturing",497724,530459,587675,818553,755310,669476,649776,659362,670402,703601,698208,629896,627586,654480,652298,609451,512709,504624,483549
