"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"04000","Arizona","6","SA6","1","...","Compensation of employees (thousands of dollars) 1/",1622367,1794993,1985860,2128693,2303817,2450707,2613410,2763615,3112639,3345975,3782477,4349123,4915981,5620455,6526399,7603803,8374833,8711712,9635947,11031158,13116785,15679642,17723350,19943043,20793731,22764871,25863661,28986045,31927396,34387438,37006715,39091892,41335552,43167072,46268890,49567058,54510570,59044769,64580202,70072195,77329254,83139885,91445796,95404135
"04000","Arizona","6","SA6","5","...","  Wages and salaries",1470881,1626140,1798738,1925003,2082247,2201386,2344084,2474558,2770229,2956800,3330036,3863152,4351301,4934857,5694159,6628614,7274621,7482455,8260652,9417097,11198622,13363534,15072724,16924481,17591417,19180334,21793197,24365477,26738095,28839334,30948514,32442342,34117763,35414927,37592188,40176494,44288999,48586786,53177988,58055584,64289238,69372454,76583262,79484246
"04000","Arizona","6","SA6","6","...","  Supplements to wages and salaries",151486,168853,187122,203690,221570,249321,269326,289057,342410,389175,452441,485971,564680,685598,832240,975189,1100212,1229257,1375295,1614061,1918163,2316108,2650626,3018562,3202314,3584537,4070464,4620568,5189301,5548104,6058201,6649550,7217789,7752145,8676702,9390564,10221571,10457983,11402214,12016611,13040016,13767431,14862534,15919889
"04000","Arizona","6","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",102141,110472,116541,130074,137939,153792,171571,187229,210464,238889,275313,324178,382623,466899,562032,618562,696041,810940,897670,1061231,1239431,1477044,1704093,1889620,2019139,2252845,2490160,2868118,3250333,3482486,3758807,4221260,4575747,4939086,5664933,6152816,6661045,6934435,7278540,7631275,8283953,8711558,9350273,10125557
"04000","Arizona","6","SA6","8","...","    Employer contributions for government social insurance",49345,58381,70581,73616,83631,95529,97755,101828,131946,150286,177128,161793,182057,218699,270208,356627,404171,418317,477625,552830,678732,839064,946533,1128942,1183175,1331692,1580304,1752450,1938968,2065618,2299394,2428290,2642042,2813059,3011769,3237748,3560526,3523548,4123674,4385336,4756063,5055873,5512261,5794332
"04000","Arizona","6","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6990,7546,8204,8820,9421,10058,10778,11442,12211,13178,14547,16004,17594,18571,19434,20309,21110,22230,23097,24202,24993,25967,27220,28600,29249,30360,31021,32237,33614,35497,36870,39213,40562
"04000","Arizona","6","SA6","81","[01-02]","  Farm compensation",68605,62433,64959,57769,52274,52531,58009,60857,66482,72088,76718,86307,82799,82212,87093,90554,100343,100033,102297,115201,155344,167400,171784,164483,178802,174178,174503,179678,170006,174858,183398,184114,200318,183084,172493,202478,266250,289668,283874,337256,333119,335103,368691,374163
"04000","Arizona","6","SA6","82","...","  Nonfarm compensation",1553762,1732560,1920901,2070924,2251543,2398176,2555401,2702758,3046157,3273887,3705759,4262816,4833182,5538243,6439306,7513249,8274490,8611679,9533650,10915957,12961441,15512242,17551566,19778560,20614929,22590693,25689158,28806367,31757390,34212580,36823317,38907778,41135234,42983988,46096397,49364580,54244320,58755101,64296328,69734939,76996135,82804782,91077105,95029972
"04000","Arizona","6","SA6","90","...","    Private nonfarm compensation",1126885,1274242,1438102,1543914,1683497,1771655,1874897,1964749,2238105,2376067,2687142,3149428,3551954,4030607,4728622,5563544,6092419,6190521,6868305,8003181,9738990,11943492,13575996,15314013,15734583,17356276,20081298,22647706,25023250,26947438,28928543,30437920,32050376,33315857,35825009,38596752,42772702,46790545,51572913,56307879,62712785,67618958,74844362,77254766
"04000","Arizona","6","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",5092,6127,8262,9718,11708,13774,15476,17922,18846,21819,25340,30725,33201,36844,41429,47738,53887,59379,68061,79003,96438,115691,130947,134506,132902,143571,170880,192420,228024,245184,261972,274823,298272,329696,353502,378720,400555,433269,472631,500242,558879,635865,658162,720350
