"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"09000","Connecticut","1","SA6","1","...","Compensation of employees (thousands of dollars) 1/",4563735,4939381,5187367,5421323,5811115,6136370,6546413,7038369,7919085,8556081,9219536,10146382,10747480,11086543,12104747,13450475,14659180,15242734,16432870,18214011,20519273,23266403,26108563,28767108,30987759,33387542,37319196,40724995,44415492,49094766,53936196,56731209,58585643,59175704,61536348,63412608,65108068,68053255,71397114,77004698,82151835,86970781,93817693,97495092
"09000","Connecticut","1","SA6","5","...","  Wages and salaries",4204450,4526772,4733604,4940781,5288697,5563682,5935051,6376432,7123015,7701506,8259442,9056945,9580507,9836242,10652406,11802804,12819275,13184953,14169047,15580560,17496135,19762686,22147341,24267534,26032828,27949151,31253757,34056346,37073889,41055175,45115703,47170117,48671206,48935033,50576294,51894304,53432964,56049223,59094922,64087294,68510384,72496956,78195987,80744831
"09000","Connecticut","1","SA6","6","...","  Supplements to wages and salaries",359285,412609,453763,480542,522418,572688,611362,661937,796070,854575,960094,1089437,1166973,1250301,1452341,1647671,1839905,2057781,2263823,2633451,3023138,3503717,3961222,4499574,4954931,5438391,6065439,6668649,7341603,8039591,8820493,9561092,9914437,10240671,10960054,11518304,11675104,12004032,12302192,12917404,13641451,14473825,15621706,16750261
"09000","Connecticut","1","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",257575,279384,293236,314437,335523,362782,397557,439643,495525,538306,604250,698731,762866,818073,944117,999334,1111928,1321889,1424849,1672244,1896017,2194225,2542193,2847105,3171491,3475611,3755452,4199702,4671282,5157246,5593352,6227481,6530340,6783413,7373606,7789032,7781577,7943787,8061435,8447434,8969212,9628374,10460354,11444510
"09000","Connecticut","1","SA6","8","...","    Employer contributions for government social insurance",101710,133225,160527,166105,186895,209906,213805,222294,300545,316269,355844,390706,404107,432228,508224,648337,727977,735892,838974,961207,1127121,1309492,1419029,1652469,1783440,1962780,2309987,2468947,2670321,2882345,3227141,3333611,3384097,3457258,3586448,3729272,3893527,4060245,4240757,4469970,4672239,4845451,5161352,5305751
"09000","Connecticut","1","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7938,8459,8939,9575,10203,10887,11716,12433,13325,14355,15695,17311,18923,20519,21886,23363,24842,26410,28450,30763,32454,34314,36319,38659,39649,40444,41803,43307,45833,48059,50188,53400,55606
"09000","Connecticut","1","SA6","81","[01-02]","  Farm compensation",26441,28175,29618,30264,31968,31973,33693,36697,35611,32759,34007,33509,34017,35127,39413,44196,48298,51956,54627,64399,47559,51420,52719,50349,52272,52593,55250,58351,57045,59916,67253,72797,85754,84593,81924,92847,93119,106457,112060,119021,121748,113802,132961,140593
"09000","Connecticut","1","SA6","82","...","  Nonfarm compensation",4537294,4911206,5157749,5391059,5779147,6104397,6512720,7001672,7883474,8523322,9185529,10112873,10713463,11051416,12065334,13406279,14610882,15190778,16378243,18149612,20471714,23214983,26055844,28716759,30935487,33334949,37263946,40666644,44358447,49034850,53868943,56658412,58499889,59091111,61454424,63319761,65014949,67946798,71285054,76885677,82030087,86856979,93684732,97354499
"09000","Connecticut","1","SA6","90","...","    Private nonfarm compensation",4005504,4348139,4557755,4741761,5092348,5378411,5716189,6135684,6903611,7455295,7943007,8726474,9162622,9322310,10137874,11319747,12354356,12722156,13829167,15434390,17490751,20001192,22531738,24913158,26788050,28838171,32270912,35131801,38399174,42478224,46616506,48697299,49981703,50140814,52051583,53432921,54600056,57278070,60229906,65476587,70161007,74192472,80125310,82831071
"09000","Connecticut","1","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",12293,11037,11534,12240,13023,13259,14678,17170,18146,20205,20638,22387,24277,26582,27813,31518,33989,32417,36125,39341,54256,61949,71944,66046,77616,88675,105055,119635,144731,178049,207801,218348,219388,205373,206452,223923,236913,247136,264808,281148,307897,346472,368292,405285
"09000","Connecticut","1","SA6","110","07","        Agricultural services",11142,9975,10746,11372,12100,12267,13796,16222,17338,19545,20135,21789,23741,26098,27407,31119,33541,30509,34291,37352,51949,59219,68533,61551,73392,84463,100778,117665,142644,175827,205402,215103,216118,201703,203309,220508,233460,243925,261474,277333,303522,342565,364160,"(NA)"
"09000","Connecticut","1","SA6","120","...","        Forestry and fishing",1151,1062,788,868,923,992,882,948,808,660,503,598,536,484,406,399,448,1908,1834,1989,2307,2730,3411,4495,4224,4212,4277,1970,2087,2222,2399,3245,3270,3670,3143,3415,3453,3211,3334,3815,4375,3907,4132,"(NA)"
"09000","Connecticut","1","SA6","121","08","          Forestry","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",652,698,632,"(D)","(D)","(D)",540,475,870,"(NA)"
