"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"10000","Delaware","2","SA6","1","...","Compensation of employees (thousands of dollars) 1/",857305,901284,948713,968816,1024368,1112526,1200558,1329793,1462323,1555291,1690052,1821433,1959652,2167913,2397998,2683592,2891372,3063084,3342910,3629375,4041382,4458949,4971354,5364059,5807400,6255007,6825421,7457427,7939611,8726355,9563925,10473312,11047487,11433943,11899593,12314483,12885314,13670622,14613029,15633614,16900055,17997270,19148863,20029444
"10000","Delaware","2","SA6","5","...","  Wages and salaries",784392,819268,856796,876900,923626,999999,1078484,1196408,1306943,1387037,1512134,1626974,1750835,1911246,2102230,2346413,2523755,2627756,2856618,3078991,3423178,3760229,4171765,4491713,4835452,5165344,5632472,6124157,6472639,7162142,7847776,8555778,9023751,9296435,9571809,9882167,10354187,11065117,11879058,12751712,13830613,14764643,15656198,16379849
"10000","Delaware","2","SA6","6","...","  Supplements to wages and salaries",72913,82016,91917,91916,100742,112527,122074,133385,155380,168254,177918,194459,208817,256667,295768,337179,367617,435328,486292,550384,618204,698720,799589,872346,971948,1089663,1192949,1333270,1466972,1564213,1716149,1917534,2023736,2137508,2327784,2432316,2531127,2605505,2733971,2881902,3069442,3232627,3492665,3649595
"10000","Delaware","2","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",56184,57691,60629,62173,66054,72384,82845,94256,103575,109112,118855,122108,132649,169174,191382,202426,218572,280347,310748,360560,398714,449567,526001,559526,630628,715547,770953,874064,977316,1035314,1124079,1275231,1357149,1440530,1605541,1683656,1738199,1776931,1869440,1959861,2076868,2176575,2385983,2524327
"10000","Delaware","2","SA6","8","...","    Employer contributions for government social insurance",16729,24325,31288,29743,34688,40143,39229,39129,51805,59142,59063,72351,76168,87493,104386,134753,149045,154981,175544,189824,219490,249153,273588,312820,341320,374116,421996,459206,489656,528899,592070,642303,666587,696978,722243,748660,792928,828574,864531,922041,992574,1056052,1106682,1125268
"10000","Delaware","2","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7473,7937,8585,9108,9744,10620,11679,12545,13601,14775,15894,17724,19085,20601,21625,22545,23582,24307,25370,26842,28517,29830,31427,32771,33290,34212,35286,36968,38501,40442,41882,43807,45962
"10000","Delaware","2","SA6","81","[01-02]","  Farm compensation",10189,7194,8459,8348,9087,9109,8466,9870,8977,8232,9012,9272,10173,9809,10016,9815,10859,10672,11221,11737,18733,20316,20893,20463,21853,20803,20719,20960,19614,19834,21875,23128,26489,25363,24219,26796,27022,30613,32358,35041,34223,30358,34533,35207
"10000","Delaware","2","SA6","82","...","  Nonfarm compensation",847116,894090,940254,960468,1015281,1103417,1192092,1319923,1453346,1547059,1681040,1812161,1949479,2158104,2387982,2673777,2880513,3052412,3331689,3617638,4022649,4438633,4950461,5343596,5785547,6234204,6804702,7436467,7919997,8706521,9542050,10450184,11020998,11408580,11875374,12287687,12858292,13640009,14580671,15598573,16865832,17966912,19114330,19994237
"10000","Delaware","2","SA6","90","...","    Private nonfarm compensation",719657,763771,804688,813530,860086,932143,1001046,1121900,1230097,1292393,1398126,1517780,1603878,1749988,1934548,2185902,2346970,2458727,2695258,2931086,3279230,3633950,4080518,4395385,4774012,5166183,5666839,6207372,6606423,7301465,8011140,8810711,9251780,9523478,9893416,10203238,10677036,11345433,12183217,13122895,14254966,15189006,16160568,16872053
"10000","Delaware","2","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",2546,2469,2203,2480,2583,2913,3006,3574,3720,3924,3677,3901,4530,4692,5058,6095,6756,7090,7932,7301,10585,11100,12052,11277,12476,15648,18010,20051,23160,27171,29882,30814,33429,34715,34529,37446,40262,43591,47383,51360,57861,"(D)","(D)","(D)"
"10000","Delaware","2","SA6","110","07","        Agricultural services",1631,1603,1553,1713,1789,2248,2440,2959,3264,3478,3334,3314,3580,3869,4593,5828,6512,6835,7692,7171,10456,10956,11998,11138,12312,15306,17697,19747,22862,27108,29855,30775,33355,"(D)",34453,37376,40199,43510,"(D)","(D)",57781,65454,69855,"(NA)"
"10000","Delaware","2","SA6","120","...","        Forestry and fishing",915,866,650,767,794,665,566,615,456,446,343,587,950,823,465,267,244,255,240,130,129,144,54,139,164,342,313,304,298,63,"(L)","(L)",74,"(D)",76,70,63,81,"(D)","(D)",80,"(D)","(D)","(NA)"
"10000","Delaware","2","SA6","121","08","          Forestry","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"10000","Delaware","2","SA6","122","...","          Fishing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",74,"(D)",76,"(D)","(D)","(D)","(D)","(D)","(D)",81,67,"(NA)"
"10000","Delaware","2","SA6","200","B","      Mining",463,564,410,387,400,436,434,510,665,750,519,516,720,717,1712,2931,4496,4595,5242,6375,6967,3924,2160,1766,3266,4740,4927,4557,3556,2531,3559,4701,5478,5751,5500,3275,3632,3783,3967,4410,4290,"(D)","(D)","(D)"
"10000","Delaware","2","SA6","210","10","        Metal mining",0,"(L)","(L)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(L)",0,0,0,0,0,702,1141,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",0,0,"(NA)"
"10000","Delaware","2","SA6","220","12","        Coal mining",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(NA)"
