"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"42000","Pennsylvania","2","SA6","1","...","Compensation of employees (thousands of dollars) 1/",17741105,18825676,19647526,19731595,20720873,21471598,22961501,24660948,27165544,28792245,31189139,34347040,36423585,38205438,41829062,46152131,50332372,53376940,57916748,63473716,70323610,77877560,83792508,90399478,92751204,96123284,103809810,110004880,116398072,125475804,135409152,144260548,152453176,157218615,167231757,173252939,179881276,185897858,193362780,203831163,216027090,227983004,242485739,251231592
"42000","Pennsylvania","2","SA6","5","...","  Wages and salaries",16173410,17060844,17718808,17753825,18592678,19233484,20539012,22069892,24139795,25577795,27790305,30357033,32144348,33503376,36396877,40020341,43492107,45533186,49339840,53549103,59060320,65035319,69778363,74897159,76486821,78815808,84930838,89666307,94611155,102111463,110242677,116804300,123198183,126114149,132610854,136841782,142194189,148313207,155293512,164911456,175755250,184861731,195893879,201372357
"42000","Pennsylvania","2","SA6","6","...","  Supplements to wages and salaries",1567695,1764832,1928718,1977770,2128195,2238114,2422489,2591056,3025749,3214450,3398834,3990007,4279237,4702062,5432185,6131790,6840265,7843754,8576908,9924613,11263290,12842241,14014145,15502319,16264383,17307476,18878972,20338573,21786917,23364341,25166475,27456248,29254993,31104466,34620903,36411157,37687087,37584651,38069268,38919707,40271840,43121273,46591860,49859235
"42000","Pennsylvania","2","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",1063900,1125849,1196493,1231470,1297294,1350333,1502522,1635704,1803037,1943730,2141074,2457439,2688569,2967311,3403237,3544388,3923973,4845036,5168428,6151759,6925386,7925415,8831210,9603753,10184058,10854186,11467198,12633724,13709765,14873422,15810770,17804251,19038372,20550990,23407755,24552815,25129500,24702083,25001521,25303325,26126412,28488094,31211033,34035190
"42000","Pennsylvania","2","SA6","8","...","    Employer contributions for government social insurance",503795,638983,732225,746300,830901,887781,919967,955352,1222712,1270720,1257760,1532568,1590668,1734751,2028948,2587402,2916292,2998718,3408480,3772854,4337904,4916826,5182935,5898566,6080325,6453290,7411774,7704849,8077152,8490919,9355705,9651997,10216621,10553476,11213148,11858342,12557587,12882568,13067747,13616382,14145428,14633179,15380827,15824045
"42000","Pennsylvania","2","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7385,7879,8386,9040,9687,10526,11463,12310,13292,14311,15551,16932,18429,19439,20353,21381,22337,23320,24474,25826,27011,28416,29771,31666,32533,33418,34231,35346,36540,38079,39499,41267,42750
"42000","Pennsylvania","2","SA6","81","[01-02]","  Farm compensation",78975,82263,82954,84129,83935,86838,86958,87809,88573,96590,94831,95210,109302,103682,108807,146111,179516,186916,224426,227397,209653,228509,237529,229208,256578,251706,258569,269266,257971,265972,299361,323776,381187,379310,368348,406263,399633,447990,461491,483516,474305,432374,493377,505272
"42000","Pennsylvania","2","SA6","82","...","  Nonfarm compensation",17662130,18743413,19564572,19647466,20636938,21384760,22874543,24573139,27076971,28695655,31094308,34251830,36314283,38101756,41720255,46006020,50152856,53190024,57692322,63246319,70113957,77649051,83554979,90170270,92494626,95871578,103551241,109735614,116140101,125209832,135109791,143936772,152071989,156839305,166863409,172846676,179481643,185449868,192901289,203347647,215552785,227550630,241992362,250726320
"42000","Pennsylvania","2","SA6","90","...","    Private nonfarm compensation",15374224,16369440,17052399,16961962,17824391,18447084,19728260,21172682,23277195,24468499,26435668,29023887,30471552,31674875,34576475,38253833,41904087,43934887,47944439,52885502,58863284,65616547,70586770,76112905,77558418,80068454,86724830,91745351,97501117,105338656,114053910,121297767,127779582,131053805,139214484,144001546,149618451,154786611,161322011,170939840,182173426,192588156,204982375,211433034
"42000","Pennsylvania","2","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",22152,21248,21373,22426,23940,25153,27279,30724,32720,35793,39665,43654,48404,56029,64021,73830,81960,89596,98796,112347,144264,171585,195701,194670,217885,234727,262866,295071,352527,394565,439884,485548,535861,549455,565797,574768,594476,604771,625315,645634,704177,802000,881128,974542
"42000","Pennsylvania","2","SA6","110","07","        Agricultural services",21812,21040,21137,22166,23788,24989,27013,30320,32176,35141,39108,43133,47788,55418,63452,73254,81433,88801,97967,111475,142812,169417,193423,191979,214957,231316,258425,290655,348058,388937,433339,480008,529039,539783,555654,562924,581879,592581,614645,632862,690054,786102,864752,"(NA)"
