"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"31000","Nebraska","4","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",24000636,25470909,27013847,27997991,28858335,29917777,31279692,32454045,34294664,36259301,37597411,37063170,37521655,38612677,40478765,41546866,43442201,45791673,47003072
"31000","Nebraska","4","SA7N 1/","81","111-112","  Farm wages and salaries",310553,294119,331114,375677,347930,416932,389857,350983,380275,455693,481752,483528,442561,482837,506982,500620,517727,590731,585774
"31000","Nebraska","4","SA7N 1/","82","...","  Nonfarm wages and salaries",23690083,25176790,26682733,27622314,28510405,29500845,30889835,32103062,33914389,35803608,37115659,36579642,37079094,38129840,39971783,41046246,42924474,45200942,46417298
"31000","Nebraska","4","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",19301221,20694419,22004959,22654874,23196601,23905483,25062785,26088194,27642849,29333686,30349535,29529248,29814409,30757111,32512961,33463693,35139495,37154226,38153404
"31000","Nebraska","4","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",48690,50578,53803,52624,49074,53810,56286,65990,67978,80129,93081,100754,108387,124639,136926,155003,160862,162002,172615
"31000","Nebraska","4","SA7N 1/","101","113","        Forestry and logging","(T)","(T)","(T)","(D)","(D)",706,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",338,516
"31000","Nebraska","4","SA7N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)",108,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",0,0
"31000","Nebraska","4","SA7N 1/","103","115","        Support activities for agriculture and forestry",42785,43219,45369,51825,48168,52996,55354,65025,67128,79730,92865,100631,108243,124430,136606,154622,160580,161664,172099
"31000","Nebraska","4","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",43843,44784,45066,45030,44698,52192,55763,57039,55840,40618,43594,41029,43096,48887,58184,54562,60266,58080,55727
"31000","Nebraska","4","SA7N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",4763,3287,3511,3650,4395,3717,3977,4469,3770,3059,3080,3966,3070,2961,2350,1873
"31000","Nebraska","4","SA7N 1/","202","212","        Mining (except oil and gas)",31710,34777,34791,36563,37990,44690,47501,47289,46393,31046,32881,31858,33352,37987,41481,41455,44080,45762,46921
"31000","Nebraska","4","SA7N 1/","203","213","        Support activities for mining",3773,2900,3729,3704,3421,3991,4612,5355,5730,5595,6244,5401,6685,7820,12737,10037,13225,9968,6933
"31000","Nebraska","4","SA7N 1/","300","22","      Utilities",94099,92833,89044,91354,113345,139976,153755,142529,149938,193391,231226,185544,146511,147599,146694,111033,140839,117675,104037
"31000","Nebraska","4","SA7N 1/","400","23","      Construction",1259408,1403302,1475362,1501540,1561459,1637634,1718422,1722568,1810072,2038421,2074302,2001078,1801773,1753099,1889456,2009485,2214994,2427765,2556235
"31000","Nebraska","4","SA7N 1/","401","236","        Construction of buildings",276100,308578,331407,329047,336594,344265,353702,366226,404017,487683,496166,413629,384944,372051,391511,406905,448915,494656,534767
"31000","Nebraska","4","SA7N 1/","402","237","        Heavy and civil engineering construction",231820,258179,255431,259295,262145,268515,295082,299184,325327,394221,347188,371534,295872,294278,332149,340229,410366,408836,392762
"31000","Nebraska","4","SA7N 1/","403","238","        Specialty trade contractors",751488,836545,888524,913198,962720,1024854,1069638,1057158,1080728,1156517,1230948,1215915,1120957,1086770,1165796,1262351,1355713,1524273,1628706
"31000","Nebraska","4","SA7N 1/","500","31-33","      Manufacturing",3437209,3546957,3733622,3707956,3671782,3678374,3733195,3836565,4039671,4144293,4275216,3922227,4010019,4166632,4289724,4411484,4627079,4734227,4782454
"31000","Nebraska","4","SA7N 1/","510","321,327-339","        Durable goods manufacturing",1837127,1883624,1993252,1866255,1803947,1779156,1852201,1922508,2077810,2127629,2176623,1884002,1913243,2047909,2116078,2198198,2320145,2325123,2276381
"31000","Nebraska","4","SA7N 1/","511","321","          Wood product manufacturing",51004,57617,62414,55649,61043,58937,63809,68447,68923,66522,62341,56172,52243,51674,59311,67235,73332,75071,79347
"31000","Nebraska","4","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",88017,94108,105337,102817,103952,98764,106483,109152,116509,121477,119624,108797,101770,103059,112624,126133,138816,148453,152252
"31000","Nebraska","4","SA7N 1/","513","331","          Primary metal manufacturing",58519,55302,57744,67166,61283,59853,66123,71029,77388,77138,78992,62051,66269,73189,77801,73731,88764,84283,79804
"31000","Nebraska","4","SA7N 1/","514","332","          Fabricated metal product manufacturing",293953,300288,318897,304498,297802,295602,300914,318835,352945,380305,374622,309124,308961,331267,372451,397017,421607,422810,411131
"31000","Nebraska","4","SA7N 1/","515","333","          Machinery manufacturing",420916,392740,430625,398807,384335,383447,378666,401836,450973,471108,522223,439002,449126,510640,545753,576743,579417,543200,497976
"31000","Nebraska","4","SA7N 1/","516","334","          Computer and electronic product manufacturing",344426,379186,390145,324600,276038,261300,275344,259822,281062,239128,239836,209995,223496,235032,214456,212246,222406,233085,235256
"31000","Nebraska","4","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",92861,98736,104128,96943,87978,80672,80017,78359,74117,86882,83030,68090,69255,76549,75088,73225,76881,75969,78859
"31000","Nebraska","4","SA7N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",206832,208714,216891,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"31000","Nebraska","4","SA7N 1/","519","3364-3369","          Other transportation equipment manufacturing",58418,64441,68993,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",102002,108658,106120
"31000","Nebraska","4","SA7N 1/","521","337","          Furniture and related product manufacturing",89360,90563,92070,98320,96777,99906,106442,112913,115441,114003,107912,98409,88746,93674,69165,61502,"(D)","(D)","(D)"
"31000","Nebraska","4","SA7N 1/","522","339","          Miscellaneous manufacturing",132821,141929,146008,149857,155877,160577,166583,177751,198077,215859,223121,225930,219320,217071,223674,235053,246583,256917,260752
"31000","Nebraska","4","SA7N 1/","530","311-316,322-326","        Nondurable goods manufacturing",1600082,1663333,1740370,1841701,1867835,1899218,1880994,1914057,1961861,2016664,2098593,2038225,2096776,2118723,2173646,2213286,2306934,2409104,2506073
"31000","Nebraska","4","SA7N 1/","531","311","          Food manufacturing",963747,1005529,1050397,1122709,1141569,1178759,1144523,1157563,1183217,1226983,1267825,1259751,1300960,1305749,1313766,1355143,1416972,1493364,1581033
"31000","Nebraska","4","SA7N 1/","532","312","          Beverage and tobacco product manufacturing",21014,20663,20574,35659,34737,32922,29345,29328,27768,28118,28165,28714,29176,28337,28543,24050,25447,27717,30372
"31000","Nebraska","4","SA7N 1/","533","313","          Textile mills","(T)","(T)","(T)",8094,8143,7195,6076,5062,6112,5569,5749,5910,6516,6735,5771,5934,6364,4894,5212
"31000","Nebraska","4","SA7N 1/","534","314","          Textile product mills",9840,10144,10736,9047,10126,9846,10495,10680,11091,11653,10803,11757,12449,11049,13231,12726,10168,10944,17400
"31000","Nebraska","4","SA7N 1/","535","315","          Apparel manufacturing",12953,10938,10306,10752,8887,8680,6762,6656,6259,3979,3905,3690,3697,4219,4348,4312,4589,4533,4207
"31000","Nebraska","4","SA7N 1/","536","316","          Leather and allied product manufacturing","(T)","(T)","(T)",3665,3339,3072,3756,3897,4161,3362,3596,3174,4312,14624,14556,15327,15503,16151,17261
"31000","Nebraska","4","SA7N 1/","537","322","          Paper manufacturing",66194,67230,75427,76314,67139,67812,70594,69474,72385,74388,77543,72887,79585,80844,78498,82084,86023,88102,78722
"31000","Nebraska","4","SA7N 1/","538","323","          Printing and related support activities",167877,172881,185867,190042,188148,186207,184776,189626,192635,183870,174289,162988,154232,145281,143599,138345,136083,137691,143494
"31000","Nebraska","4","SA7N 1/","539","324","          Petroleum and coal products manufacturing",370,382,394,134,194,318,245,210,332,943,1082,391,386,730,692,717,827,876,901
"31000","Nebraska","4","SA7N 1/","541","325","          Chemical manufacturing",131036,136967,141401,162608,184587,189826,198473,223540,237967,257475,299179,295457,301443,311276,337986,340639,362546,382380,380042
"31000","Nebraska","4","SA7N 1/","542","326","          Plastics and rubber products manufacturing",216473,227539,234203,222677,220966,214581,225949,218021,219934,220324,226457,193506,204020,209879,232656,234009,242412,242452,247429
"31000","Nebraska","4","SA7N 1/","600","42","      Wholesale trade",1407124,1485836,1580606,1623506,1645803,1649205,1739292,1784696,1874334,1970833,2113931,2067530,2088154,2162552,2292626,2371194,2533226,2576674,2585056
"31000","Nebraska","4","SA7N 1/","700","44-45","      Retail trade",1860777,1976796,2088784,2157919,2166485,2208631,2288618,2305755,2374895,2456915,2506966,2444197,2515919,2527477,2638603,2697580,2793292,2935037,3059645
"31000","Nebraska","4","SA7N 1/","701","441","        Motor vehicle and parts dealers",356509,390961,398451,424963,434234,437529,444757,439067,447332,468169,464628,444261,479280,515204,545400,568201,604094,640619,663355
"31000","Nebraska","4","SA7N 1/","702","442","        Furniture and home furnishings stores",76915,85190,93973,95051,96730,99748,106891,108775,109982,107403,108468,102217,102223,104344,112720,120776,130526,139939,144624
"31000","Nebraska","4","SA7N 1/","703","443","        Electronics and appliance stores",82265,91476,95138,94730,88155,88412,94933,102889,113320,115072,116588,113047,139820,98003,105323,104375,105993,107291,103980
"31000","Nebraska","4","SA7N 1/","704","444","        Building material and garden equipment and supplies dealers",203038,209673,219124,211679,222731,225508,238503,249493,244742,248057,251900,255144,248998,255082,263796,271479,279659,292033,301455
"31000","Nebraska","4","SA7N 1/","705","445","        Food and beverage stores",298281,310223,327071,332234,325157,314457,319893,308119,310002,317388,332557,335364,339247,344744,358894,366222,393160,419706,429091
"31000","Nebraska","4","SA7N 1/","706","446","        Health and personal care stores",99342,108609,120662,133237,147865,153695,155682,159048,169783,177242,189334,192732,202286,214902,227330,226948,224294,229401,237782
"31000","Nebraska","4","SA7N 1/","707","447","        Gasoline stations",121134,127383,132046,139657,139231,142947,144892,142657,143032,146354,148281,149770,154082,154483,158019,165460,172010,184249,206853
"31000","Nebraska","4","SA7N 1/","708","448","        Clothing and clothing accessories stores",84921,89437,95579,95879,96239,97034,103093,103591,104165,107873,103297,97611,99914,101114,100549,104231,112392,116797,117753
"31000","Nebraska","4","SA7N 1/","709","451","        Sporting goods, hobby, musical instrument, and book stores",50907,54851,65115,68311,69272,70086,74367,76055,77441,83689,85042,82140,80742,80403,88822,94598,89202,95485,103076
"31000","Nebraska","4","SA7N 1/","711","452","        General merchandise stores",251288,260939,281915,299141,302510,324310,343154,364939,379214,404695,426636,430711,424594,421032,432003,427028,437239,450004,480858
"31000","Nebraska","4","SA7N 1/","712","453","        Miscellaneous store retailers",156020,166176,174972,166726,141476,142340,136011,129141,115373,118127,118134,114965,113063,107269,106590,106784,103662,110635,113693
"31000","Nebraska","4","SA7N 1/","713","454","        Nonstore retailers",80157,81878,84738,96311,102885,112565,126442,121981,160509,162846,162101,126235,131670,130897,139157,141478,141061,148878,157125
"31000","Nebraska","4","SA7N 1/","800","48-49","      Transportation and warehousing",1665892,1753193,1803985,1879917,1923701,2036343,2199307,2358837,2485064,2615077,2645468,2435482,2434327,2581677,2769124,2730407,2896003,3043514,3011881
"31000","Nebraska","4","SA7N 1/","801","481","        Air transportation",24539,26744,29945,32091,20139,18959,19275,19421,22305,22158,23845,22121,20989,21634,26009,23313,23488,25338,23617
"31000","Nebraska","4","SA7N 1/","802","482","        Rail transportation",695793,695523,677538,"(D)","(D)",736978,823344,889227,980472,1062709,1108901,992960,977589,1062653,1181101,1097949,1188648,1207699,1192316
"31000","Nebraska","4","SA7N 1/","803","483","        Water transportation","(T)","(T)","(T)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31000","Nebraska","4","SA7N 1/","804","484","        Truck transportation",682954,746029,798841,834770,883122,919097,962062,1023326,1049564,1084292,1040332,957691,965691,1012542,1045079,1074968,1123267,1215356,1184917
"31000","Nebraska","4","SA7N 1/","805","485","        Transit and ground passenger transportation",26577,26147,23503,24788,25530,27151,29938,31611,34762,35947,37875,38760,45638,45295,45924,49907,48214,49184,51746
"31000","Nebraska","4","SA7N 1/","806","486","        Pipeline transportation",17231,16952,19029,19213,"(D)",14737,15757,18346,25081,18359,15478,16777,17150,14493,14072,15571,17339,16162,14908
"31000","Nebraska","4","SA7N 1/","807","487","        Scenic and sightseeing transportation","(T)","(T)","(T)",2560,2075,2505,2438,2094,2585,3219,2962,"(D)",271,210,268,297,"(D)",277,308
"31000","Nebraska","4","SA7N 1/","808","488","        Support activities for transportation",80087,93783,104283,101953,111808,126568,149842,150591,136312,144066,153811,144401,140799,156236,169036,167016,174411,190970,190935
"31000","Nebraska","4","SA7N 1/","809","492","        Couriers and messengers",50406,52593,52925,"(D)",54383,86098,89272,111763,113664,116850,119357,"(D)",122047,121675,123693,127672,"(D)",143198,140589
"31000","Nebraska","4","SA7N 1/","811","493","        Warehousing and storage",87499,94281,96495,82540,96385,104250,107379,112458,120319,127477,142907,143207,144153,146939,163942,173714,185149,195330,212545
"31000","Nebraska","4","SA7N 1/","900","51","      Information",904678,1066178,1103817,977038,949400,954474,957772,966998,939154,1139232,960538,886701,868007,926830,942028,972887,982831,1054923,1157495
"31000","Nebraska","4","SA7N 1/","901","511","        Publishing industries (except Internet)",144461,149428,163716,168446,165325,171690,181381,189095,198281,210727,215266,180477,179196,196950,207102,224940,222519,227762,287314
"31000","Nebraska","4","SA7N 1/","902","512","        Motion picture and sound recording industries",10614,11461,12248,12544,11901,12610,13520,13623,11814,11918,11787,11343,11761,11553,12404,12808,14402,15280,14466
"31000","Nebraska","4","SA7N 1/","903","515","        Broadcasting (except Internet)",78739,90845,101281,111890,112845,116619,122171,124313,129589,131763,134825,139723,136408,139196,141937,138858,139904,141309,144215
"31000","Nebraska","4","SA7N 1/","904","516","        Internet publishing and broadcasting 2/","(T)",8097,"(T)",9363,9897,9526,10706,9509,4347,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
