"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"36000","New York","2","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",339066583,360177591,394830380,404771436,395049132,401331388,426400159,446776361,481693076,523001969,534261389,496999509,518423361,538194838,553894438,565156056,600987485,627391960,639447704
"36000","New York","2","SA7N 1/","81","111-112","  Farm wages and salaries",391064,357207,415862,429573,540275,495207,491109,403456,450059,543007,517023,476996,473757,414679,611066,622634,666922,558728,651239
"36000","New York","2","SA7N 1/","82","...","  Nonfarm wages and salaries",338675519,359820384,394414518,404341863,394508857,400836181,425909050,446372905,481243017,522458962,533744366,496522513,517949604,537780159,553283372,564533422,600320563,626833232,638796465
"36000","New York","2","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",284751987,303155863,335354331,343418714,331263074,335723144,358417261,376863235,409600506,448127035,455996444,416910640,436364024,456979521,472381142,482907546,516443291,540607959,552008738
"36000","New York","2","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",102515,104610,112356,108392,108204,106765,112258,118074,124539,129165,142289,145813,152441,154639,151992,157391,169160,186901,191216
"36000","New York","2","SA7N 1/","101","113","        Forestry and logging",27372,28304,32713,28844,27299,26034,28270,29530,30237,27503,25870,22945,24645,22292,22177,23673,23785,27423,26248
"36000","New York","2","SA7N 1/","102","114","        Fishing, hunting and trapping",6390,6654,6683,3961,4039,3210,4487,3228,3506,3991,3782,3866,3959,4040,4232,3679,3553,3946,3664
"36000","New York","2","SA7N 1/","103","115","        Support activities for agriculture and forestry",68753,69652,72960,75587,76866,77521,79501,85316,90796,97671,112637,119002,123837,128307,125583,130039,141822,155532,161304
"36000","New York","2","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",187748,186510,192838,190370,185641,208252,224688,240756,265882,297009,338449,264922,269878,315227,296761,265899,301222,302306,282366
"36000","New York","2","SA7N 1/","201","211","        Oil and gas extraction",7212,7423,7400,9350,7773,10100,6124,12580,16840,22231,31827,30268,42046,83594,58121,45099,51215,42768,22233
"36000","New York","2","SA7N 1/","202","212","        Mining (except oil and gas)",167698,167264,169921,163574,160431,179149,197071,202139,216191,234457,234889,195660,190244,193757,189274,194454,220370,232232,235994
"36000","New York","2","SA7N 1/","203","213","        Support activities for mining",12838,11823,15517,17446,17437,19003,21493,26037,32851,40321,71733,38994,37588,37876,49366,26346,29637,27306,24139
"36000","New York","2","SA7N 1/","300","22","      Utilities",2954979,2831735,2964018,3008077,3296909,3259211,3261004,3276826,3418944,3578472,3651385,3643254,3751929,3838012,3921921,3838324,4064667,4235045,4305656
"36000","New York","2","SA7N 1/","400","23","      Construction",11959649,13243160,14947911,15912466,15881341,16146188,16449136,16900223,18382827,20285515,21831841,20028573,19129876,19557212,20197622,21360869,23002873,25079987,27160924
"36000","New York","2","SA7N 1/","401","236","        Construction of buildings",2659890,3023872,3457687,3700977,3730596,3781320,3878873,4110916,4565864,5130221,5519158,4922033,4679334,4713118,4824446,5106107,5600794,6236959,6951140
"36000","New York","2","SA7N 1/","402","237","        Heavy and civil engineering construction",1406236,1412590,1570037,1678110,1761774,1832069,1793733,1754818,1889807,2026458,2312352,2311364,2382065,2385216,2442128,2485167,2608109,2887792,3074394
"36000","New York","2","SA7N 1/","403","238","        Specialty trade contractors",7893523,8806698,9920187,10533379,10388971,10532799,10776530,11034489,11927156,13128836,14000331,12795176,12068477,12458878,12931048,13769595,14793970,15955236,17135390
"36000","New York","2","SA7N 1/","500","31-33","      Manufacturing",31094305,30630131,32033575,31871778,30211243,29668093,29975025,30240541,30449444,30851453,30466422,27237719,27188492,27537278,27985652,27936436,28146382,29819572,28988779
"36000","New York","2","SA7N 1/","510","321,327-339","        Durable goods manufacturing",18171444,17960746,19087941,19581774,18299982,17770391,17996908,18255436,18836879,19211726,19151757,17028798,16838585,17458888,17789353,17695977,17739848,18716614,18226851
"36000","New York","2","SA7N 1/","511","321","          Wood product manufacturing",287533,307497,332406,317072,312675,298413,321268,347070,345202,337575,313325,258560,250786,246137,268603,294529,325378,366986,364848
"36000","New York","2","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",979168,836702,929234,905803,839815,805311,827329,842556,869505,892703,899988,792074,792384,796173,816174,837354,852903,901704,935956
"36000","New York","2","SA7N 1/","513","331","          Primary metal manufacturing",756603,745181,771836,741343,662659,635873,652378,665236,695266,695590,729337,592119,588651,644580,663884,633471,675165,659245,656937
"36000","New York","2","SA7N 1/","514","332","          Fabricated metal product manufacturing",2473594,2497393,2621777,2555944,2398099,2333371,2423982,2438835,2556846,2675346,2751757,2421488,2438174,2544353,2690482,2738169,2808725,2838999,2879454
"36000","New York","2","SA7N 1/","515","333","          Machinery manufacturing",3575563,3461419,3427623,3413677,3109659,2873449,2917497,2914989,2978747,3051323,3158986,2841858,2862858,3098475,3021181,3051179,3086333,3339903,2945939
"36000","New York","2","SA7N 1/","516","334","          Computer and electronic product manufacturing",4156632,4066737,4830036,5894057,5342178,5261895,5384726,5654339,5791285,5798106,5832186,5504557,5434180,5560698,5768745,5456118,5309729,5775403,5655085
"36000","New York","2","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",898921,877252,874837,837996,786549,761844,710550,715352,764645,793920,827870,754479,767550,790076,823802,811029,862428,851925,878441
"36000","New York","2","SA7N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",1955567,2043849,2082899,1839928,1897237,1861821,1739813,1578899,1630228,1503466,1198400,859370,808604,841128,715214,715610,"(D)","(D)",835635
"36000","New York","2","SA7N 1/","519","3364-3369","          Other transportation equipment manufacturing",535258,520080,518452,534882,551485,543824,603616,648919,674361,741145,740707,723089,695487,687825,689995,647843,"(D)","(D)",587261
"36000","New York","2","SA7N 1/","521","337","          Furniture and related product manufacturing",623550,658349,703891,663581,628243,627043,639202,647213,681894,709506,678882,550220,527177,545552,552882,582308,607041,624369,637154
"36000","New York","2","SA7N 1/","522","339","          Miscellaneous manufacturing",1929055,1946287,1994950,1877491,1771383,1767547,1776547,1802028,1848900,2013046,2020319,1730984,1672734,1703891,1778391,1928367,1802582,1927792,1850141
"36000","New York","2","SA7N 1/","530","311-316,322-326","        Nondurable goods manufacturing",12922861,12669385,12945634,12290004,11911261,11897702,11978117,11985105,11612565,11639727,11314665,10208921,10349907,10078390,10196299,10240459,10406534,11102958,10761928
