"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"97000","Rocky Mountain","7","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",127635125,138045340,152762071,158114221,158951711,162403345,171596818,182615417,198157405,212644885,219729731,211472655,214307987,223192173,234944920,243601766,258728916,272688213,282361800
"97000","Rocky Mountain","7","SA7N 1/","81","111-112","  Farm wages and salaries",891775,876112,1003506,1023830,1176035,1031673,1109269,1272496,1224772,1416210,1347963,1510780,1328712,1342319,1575844,1778899,1752302,1487146,1747908
"97000","Rocky Mountain","7","SA7N 1/","82","...","  Nonfarm wages and salaries",126743350,137169228,151758565,157090391,157775676,161371672,170487549,181342921,196932633,211228675,218381768,209961875,212979275,221849854,233369076,241822867,256976614,271201067,280613892
"97000","Rocky Mountain","7","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",103798081,113027354,125857994,129489552,128052777,130240264,138026243,147262635,161379703,173780232,178504535,168414358,170518526,178830296,189782394,197319509,211167980,223594369,231119802
"97000","Rocky Mountain","7","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",342062,357055,357178,357178,371993,380536,396650,411713,430682,450148,464531,452629,489673,514259,538688,582911,627263,677671,711363
"97000","Rocky Mountain","7","SA7N 1/","101","113","        Forestry and logging",126219,127709,127165,114296,"(D)","(D)","(D)",121328,121329,122747,105816,77466,"(D)","(D)","(D)",97682,"(D)",108884,"(D)"
"97000","Rocky Mountain","7","SA7N 1/","102","114","        Fishing, hunting and trapping",12782,14119,12273,8350,"(D)","(D)","(D)",5138,7388,8889,9779,9325,"(D)","(D)","(D)",13890,"(D)",14995,"(D)"
"97000","Rocky Mountain","7","SA7N 1/","103","115","        Support activities for agriculture and forestry",203061,215227,217740,234532,245406,265133,270020,285247,301965,318512,348936,365838,392287,414365,438727,471339,510698,553792,588566
"97000","Rocky Mountain","7","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",2198219,2216659,2344708,2679069,2501214,2591265,3207704,3790532,4771160,5574345,6626325,5361162,5752050,6763636,7318685,7471564,8145897,7285922,5751024
"97000","Rocky Mountain","7","SA7N 1/","201","211","        Oil and gas extraction",494113,474761,573528,"(D)","(D)","(D)","(D)","(D)",1160700,1369018,"(D)",1554900,1756570,1995940,2102824,2340181,2574125,2566100,2159590
"97000","Rocky Mountain","7","SA7N 1/","202","212","        Mining (except oil and gas)",1259814,1329200,1245689,1252851,1266880,1215585,1318593,1439807,1675268,1820577,1967361,1847672,1937777,2102306,2169977,2140420,2097007,2066548,1886490
"97000","Rocky Mountain","7","SA7N 1/","203","213","        Support activities for mining",444292,412698,525491,"(D)","(D)","(D)","(D)","(D)",1935192,2384750,"(D)",1958590,2057703,2665390,3045884,2990963,3474765,2653274,1704944
"97000","Rocky Mountain","7","SA7N 1/","300","22","      Utilities",1059874,1071795,1103218,"(D)","(D)",1188551,1271953,1319079,1571990,1475985,1551320,1587042,1697809,1762989,1829385,1745085,1828211,1911914,1926348
"97000","Rocky Mountain","7","SA7N 1/","400","23","      Construction",8605193,9677049,10910094,11657023,"(D)",11055938,11677802,13022558,15068577,16596221,16158985,13106806,12056532,11977383,12671241,13741938,15531976,16776303,18015373
"97000","Rocky Mountain","7","SA7N 1/","401","236","        Construction of buildings",2001526,2236730,2544900,2738591,"(D)",2615863,2778253,3102465,3637611,3890220,3623462,2900935,2507835,2448657,2590893,2859459,3265731,3641936,4016681
