,ds,yhat,target,state,actual data
0,1992-09-30,19671.59744515785,end_establish,Alabama,13841.0
1,1992-12-31,19215.168188808995,end_establish,Alabama,19382.0
2,1993-03-31,19020.464189342845,end_establish,Alabama,22587.0
3,1993-06-30,19115.19907018612,end_establish,Alabama,14841.0
4,1993-09-30,19290.917909361022,end_establish,Alabama,22680.0
5,1993-12-31,19162.127557034655,end_establish,Alabama,19584.0
6,1994-03-31,18968.991777774885,end_establish,Alabama,22733.0
7,1994-06-30,19378.480448636456,end_establish,Alabama,19560.0
8,1994-09-30,18908.373149279658,end_establish,Alabama,16295.0
9,1994-12-31,19105.052354471543,end_establish,Alabama,19639.0
10,1995-03-31,18912.875524787225,end_establish,Alabama,20350.0
11,1995-06-30,19639.605477665318,end_establish,Alabama,22314.0
12,1995-09-30,18524.11352061367,end_establish,Alabama,16668.0
13,1995-12-31,19043.994769002416,end_establish,Alabama,20761.0
14,1996-03-31,18646.240698149886,end_establish,Alabama,15504.0
15,1996-06-30,18428.719245280805,end_establish,Alabama,17617.0
16,1996-09-30,19249.197437937633,end_establish,Alabama,17676.0
17,1996-12-31,18792.68218584529,end_establish,Alabama,14487.0
18,1997-03-31,18597.89406010865,end_establish,Alabama,14978.0
19,1997-06-30,18692.543879947043,end_establish,Alabama,14256.0
20,1997-09-30,18868.11034022759,end_establish,Alabama,19967.0
21,1997-12-31,18739.167609009426,end_establish,Alabama,20256.0
22,1998-03-31,18545.88276344166,end_establish,Alabama,13608.0
23,1998-06-30,18951.798250182113,end_establish,Alabama,26201.0
24,1998-09-30,18478.07850094398,end_establish,Alabama,24146.0
25,1998-12-31,18671.1452562536,end_establish,Alabama,19340.0
26,1999-03-31,18475.434508208327,end_establish,Alabama,18705.0
27,1999-06-30,19178.74179855408,end_establish,Alabama,24044.0
28,1999-09-30,18039.56978707349,end_establish,Alabama,15611.0
29,1999-12-31,18535.77098103517,end_establish,Alabama,18910.0
30,2000-03-31,18094.66619499832,end_establish,Alabama,17193.0
31,2000-06-30,17833.794026942334,end_establish,Alabama,19735.0
32,2000-09-30,18610.445122935045,end_establish,Alabama,21814.0
33,2000-12-31,18090.04445447114,end_establish,Alabama,18721.0
34,2001-03-31,17832.7597257648,end_establish,Alabama,20292.0
35,2001-06-30,17864.218535929722,end_establish,Alabama,24232.0
36,2001-09-30,17964.728300522453,end_establish,Alabama,17003.0
37,2001-12-31,17760.728873610176,end_establish,Alabama,21243.0
38,2002-03-31,17494.018999647396,end_establish,Alabama,19493.0
39,2002-06-30,17829.04329339351,end_establish,Alabama,17280.0
40,2002-09-30,17283.65332707148,end_establish,Alabama,15202.0
