,ds,yhat,target,state,actual data
0,1992-09-30,23279.285473816028,open_establish,Alabama,15976.0
1,1992-12-31,22034.88797490881,open_establish,Alabama,20597.0
2,1993-03-31,22309.98276342151,open_establish,Alabama,22017.0
3,1993-06-30,22565.20156468936,open_establish,Alabama,20179.0
4,1993-09-30,23110.79227960541,open_establish,Alabama,23387.0
5,1993-12-31,22357.7298244161,open_establish,Alabama,23297.0
6,1994-03-31,23198.75663269754,open_establish,Alabama,27307.0
7,1994-06-30,23025.922025358228,open_establish,Alabama,23998.0
8,1994-09-30,22939.392529339755,open_establish,Alabama,25797.0
9,1994-12-31,22672.639231029356,open_establish,Alabama,21165.0
10,1995-03-31,24083.266990358887,open_establish,Alabama,25402.0
11,1995-06-30,23487.12152221588,open_establish,Alabama,26457.0
12,1995-09-30,22765.23873651995,open_establish,Alabama,23882.0
13,1995-12-31,22979.140945965697,open_establish,Alabama,19914.0
14,1996-03-31,21826.776055787195,open_establish,Alabama,21794.0
15,1996-06-30,22510.68168508062,open_establish,Alabama,20832.0
16,1996-09-30,23680.771702308914,open_establish,Alabama,27821.0
17,1996-12-31,22407.773288795044,open_establish,Alabama,21897.0
18,1997-03-31,22654.888921715727,open_establish,Alabama,19366.0
19,1997-06-30,22881.817687888186,open_establish,Alabama,20508.0
20,1997-09-30,23360.230458891056,open_establish,Alabama,24577.0
21,1997-12-31,22539.990059789336,open_establish,Alabama,22928.0
22,1998-03-31,23315.299314245338,open_establish,Alabama,24975.0
23,1998-06-30,23008.480989617266,open_establish,Alabama,31485.0
24,1998-09-30,22786.495427768117,open_establish,Alabama,24475.0
25,1998-12-31,22384.28606362519,open_establish,Alabama,21565.0
26,1999-03-31,23662.402454209812,open_establish,Alabama,28286.0
27,1999-06-30,22888.30781412815,open_establish,Alabama,22089.0
28,1999-09-30,21986.52037109004,open_establish,Alabama,17745.0
29,1999-12-31,22020.517923195763,open_establish,Alabama,20279.0
30,2000-03-31,20693.863150321573,open_establish,Alabama,18496.0
31,2000-06-30,21203.47889692306,open_establish,Alabama,20777.0
32,2000-09-30,22197.363758027557,open_establish,Alabama,24421.0
33,2000-12-31,20772.979782146744,open_establish,Alabama,19485.0
34,2001-03-31,20872.000843178033,open_establish,Alabama,20551.0
35,2001-06-30,20949.18954223006,open_establish,Alabama,27526.0
36,2001-09-30,21314.7937979988,open_establish,Alabama,22319.0
37,2001-12-31,20381.74488366222,open_establish,Alabama,20194.0
38,2002-03-31,21046.69798190478,open_establish,Alabama,21839.0
39,2002-06-30,20695.83367710909,open_establish,Alabama,17773.0
40,2002-09-30,20429.31811333533,open_establish,Alabama,21172.0
41,2002-12-31,19982.578747258598,open_establish,Alabama,19392.0
42,2003-03-31,21217.13317943192,open_establish,Alabama,20672.0
43,2003-06-30,20443.039025383292,open_establish,Alabama,16799.0
44,2003-09-30,19541.25207372112,open_establish,Alabama,18360.0
45,2003-12-31,19575.250117193784,open_establish,Alabama,18109.0
46,2004-03-31,18248.638749961116,open_establish,Alabama,19973.0
47,2004-06-30,18758.29790220118,open_establish,Alabama,17711.0
48,2004-09-30,19752.226645923292,open_establish,Alabama,16940.0
49,2004-12-31,18333.90309182537,open_establish,Alabama,18591.0
50,2005-03-31,18438.852826350074,open_establish,Alabama,18972.0
51,2005-06-30,18522.036073031668,open_establish,Alabama,19105.0
52,2005-09-30,18893.725093611745,open_establish,Alabama,20263.0
53,2005-12-31,17966.760944094985,open_establish,Alabama,18511.0
54,2006-03-31,18637.666529665577,open_establish,Alabama,16161.0
55,2006-06-30,18293.88653851507,open_establish,Alabama,15624.0
56,2006-09-30,18034.533137983148,open_establish,Alabama,16432.0
57,2006-12-31,17594.95593516164,open_establish,Alabama,19321.0
58,2007-03-31,18836.516831381705,open_establish,Alabama,17548.0
59,2007-06-30,18071.02196125444,open_establish,Alabama,17707.0
60,2007-09-30,17177.928791137398,open_establish,Alabama,18644.0
61,2007-12-31,17220.620616156022,open_establish,Alabama,20287.0
62,2008-03-31,15902.666557123272,open_establish,Alabama,16539.0
63,2008-06-30,16420.98301756345,open_establish,Alabama,16883.0
64,2008-09-30,17423.664204742316,open_establish,Alabama,17927.0
65,2008-12-31,16016.374766032653,open_establish,Alabama,15685.0
66,2009-03-31,16132.118743864685,open_establish,Alabama,14192.0
67,2009-06-30,16226.216169894982,open_establish,Alabama,15687.0
68,2009-09-30,16632.98702025257,open_establish,Alabama,15676.0
69,2009-12-31,15741.104700516713,open_establish,Alabama,15775.0
70,2010-03-31,16446.329467390573,open_establish,Alabama,15029.0
71,2010-06-30,16161.715804157142,open_establish,Alabama,18016.0
72,2010-09-30,15962.178910969818,open_establish,Alabama,16219.0
73,2010-12-31,15582.418215495574,open_establish,Alabama,19193.0
74,2011-03-31,16882.495260209038,open_establish,Alabama,14344.0
75,2011-06-30,16202.001775540939,open_establish,Alabama,15502.0
76,2011-09-30,15394.844072047632,open_establish,Alabama,15569.0
77,2011-12-31,15523.471363687402,open_establish,Alabama,14677.0
78,2012-03-31,14322.361576701122,open_establish,Alabama,15364.0
79,2012-06-30,14957.522309193848,open_establish,Alabama,14843.0
80,2012-09-30,16078.331771413512,open_establish,Alabama,14110.0
81,2012-12-31,14812.153128626289,open_establish,Alabama,15036.0
82,2013-03-31,15065.940276387697,open_establish,Alabama,14957.0
83,2013-06-30,15299.614685348131,open_establish,Alabama,16673.0
84,2013-09-30,15823.424273361255,open_establish,Alabama,13567.0
85,2013-12-31,15048.58069127435,open_establish,Alabama,14407.0
86,2014-03-31,15868.299875423947,open_establish,Alabama,15326.0
87,2014-06-30,15673.921284322014,open_establish,Alabama,14603.0
88,2014-09-30,15565.611057468952,open_establish,Alabama,15060.0
89,2014-12-31,15277.077028322274,open_establish,Alabama,15206.0
90,2015-03-31,16666.397550971946,open_establish,Alabama,14736.0
91,2015-06-30,16048.788617520098,open_establish,Alabama,15178.0
92,2015-09-30,15305.206504259815,open_establish,Alabama,14933.0
93,2015-12-31,15497.409386142434,open_establish,Alabama,17429.0
94,2016-03-31,14327.240322406145,open_establish,Alabama,14968.0
95,2016-06-30,14993.341778143516,open_establish,Alabama,15573.0
96,2016-09-30,16145.431971556693,open_establish,Alabama,18866.0
97,2016-12-31,14879.253328771496,open_establish,Alabama,16184.0
98,2017-03-31,15133.040476533792,open_establish,Alabama,16952.0
99,2017-06-30,15366.714885488711,open_establish,Alabama,13095.0
100,2017-09-30,15890.524473506453,open_establish,Alabama,17307.0
101,2017-12-31,15115.680891419466,open_establish,Alabama,15562.0
102,2018-03-31,15935.400075560829,open_establish,Alabama,
103,2018-06-30,15741.021484462843,open_establish,Alabama,
104,2018-09-30,15632.711257609923,open_establish,Alabama,
105,2018-12-31,15344.17722846663,open_establish,Alabama,
106,2019-03-31,16733.49775111071,open_establish,Alabama,
107,2019-06-30,16115.888817660676,open_establish,Alabama,
108,2019-09-30,15372.30670440041,open_establish,Alabama,
109,2019-12-31,15564.509586283611,open_establish,Alabama,
110,2020-03-31,14394.340522547891,open_establish,Alabama,
111,2020-06-30,15060.441978285122,open_establish,Alabama,
112,2020-09-30,16212.532171696963,open_establish,Alabama,
113,2020-12-31,14946.353528915877,open_establish,Alabama,
0,1992-09-30,5215.382859641842,open_establish,Alaska,6264.0
1,1992-12-31,5347.8308420539,open_establish,Alaska,5761.0
2,1993-03-31,5209.98654239887,open_establish,Alaska,4218.0
3,1993-06-30,5208.691438126188,open_establish,Alaska,4220.0
4,1993-09-30,5226.20341951636,open_establish,Alaska,5252.0
5,1993-12-31,5294.94808598237,open_establish,Alaska,6434.0
6,1994-03-31,5308.489473441801,open_establish,Alaska,5295.0
7,1994-06-30,5130.97053090943,open_establish,Alaska,4635.0
8,1994-09-30,5237.508418943483,open_establish,Alaska,5195.0
9,1994-12-31,5241.9486150026005,open_establish,Alaska,6989.0
10,1995-03-31,5407.4930661079625,open_establish,Alaska,4023.0
