,ds,yhat,actual data
0,1992-09-30,10662520.952980094,10614590.0
1,1992-12-31,10745970.802288989,11053280.0
2,1993-03-31,10718936.928220946,10803492.0
3,1993-06-30,10832834.983131876,10371136.0
4,1993-09-30,10869357.323864639,10521498.0
5,1993-12-31,10930716.260847539,10918146.0
6,1994-03-31,10999046.37607593,10887918.0
7,1994-06-30,11064732.141878206,10681310.0
8,1994-09-30,11075870.171696635,10829702.0
9,1994-12-31,11117607.338007338,11358250.0
10,1995-03-31,11277437.392474035,11400848.0
11,1995-06-30,11297443.596769728,11788862.0
12,1995-09-30,11282149.573398106,11270054.0
13,1995-12-31,11306792.077766202,11919308.0
14,1996-03-31,11703731.384262752,12024732.0
15,1996-06-30,11868341.100526359,11924890.0
16,1996-09-30,11929189.35906046,11878302.0
17,1996-12-31,12012639.124365775,11830174.0
18,1997-03-31,11985605.168118967,11896218.0
19,1997-06-30,12099503.139938999,11987984.0
20,1997-09-30,12136025.396401124,11848440.0
21,1997-12-31,12197384.249113169,12161320.0
22,1998-03-31,12265714.281902965,12278426.0
23,1998-06-30,12331399.965219492,12568734.0
24,1998-09-30,12342537.911646603,12163320.0
25,1998-12-31,12384274.9945663,12156100.0
26,1999-03-31,12544104.967454515,12924126.0
27,1999-06-30,12564111.094206791,12555304.0
28,1999-09-30,12548816.992439982,12472040.0
29,1999-12-31,12573459.418411948,12229570.0
30,2000-03-31,12970398.713883355,12806848.0
31,2000-06-30,13135008.41912083,12949724.0
32,2000-09-30,13195856.666506678,12938222.0
33,2000-12-31,13279306.409613166,12960576.0
34,2001-03-31,13252272.431650925,13539230.0
35,2001-06-30,13366170.381513555,14265710.0
36,2001-09-30,13199622.36217874,13954722.0
37,2001-12-31,13057910.939092986,13838964.0
38,2002-03-31,12927585.267298201,12982564.0
39,2002-06-30,12792407.909675382,12689654.0
40,2002-09-30,12600475.52899858,12477320.0
41,2002-12-31,12439142.284814883,12427266.0
42,2003-03-31,12400316.502926338,12732786.0
43,2003-06-30,12219459.588647936,12181754.0
44,2003-09-30,12001095.159685213,11635934.0
45,2003-12-31,11822667.258462159,11649164.0
46,2004-03-31,12019448.126440521,11703002.0
47,2004-06-30,11983899.40418642,11402954.0
48,2004-09-30,11842389.680922564,11752264.0
49,2004-12-31,11858406.215228053,11361204.0
50,2005-03-31,11765404.967785876,11728602.0
51,2005-06-30,11812602.67850733,11706452.0
52,2005-09-30,11837246.915422779,11661562.0
53,2005-12-31,11886727.74858834,11945868.0
54,2006-03-31,11943437.979647562,11396760.0
55,2006-06-30,11997392.11760576,12114314.0
56,2006-09-30,11996669.600593464,12180636.0
57,2006-12-31,12026546.220073827,11969344.0
58,2007-03-31,12174773.565685607,11884494.0
59,2007-06-30,12183048.11448848,12171140.0
60,2007-09-30,12155893.516333502,12419866.0
61,2007-12-31,12168675.44591935,12115998.0
62,2008-03-31,12553883.160184657,12315102.0
63,2008-06-30,12706761.284217766,12745118.0
64,2008-09-30,12755749.031923965,12908418.0
65,2008-12-31,12601817.412395185,14144582.0
66,2009-03-31,12342562.536204059,14394718.0
67,2009-06-30,12221659.35563394,13383582.0
68,2009-09-30,11959226.210552577,11721736.0
69,2009-12-31,11721629.661720365,11201644.0
70,2010-03-31,11497503.323434664,10719576.0
71,2010-06-30,11267483.122617746,10223874.0
72,2010-09-30,10979665.669701045,10471940.0
73,2010-12-31,10722447.353275064,10408206.0
74,2011-03-31,10589820.9572399,10122854.0
75,2011-06-30,10454368.135356283,10267928.0
76,2011-09-30,10281906.744858587,10354618.0
77,2011-12-31,10149381.882101625,10520890.0
78,2012-03-31,10495698.91792357,10096616.0
79,2012-06-30,10609686.36351241,10546370.0
80,2012-09-30,10619356.062682213,10877516.0
81,2012-12-31,10680176.314643016,10435582.0
82,2013-03-31,10631004.790994812,10468728.0
83,2013-06-30,10722519.222440375,10582746.0
84,2013-09-30,10736411.96661755,10874440.0
85,2013-12-31,10775141.307044702,10658688.0
86,2014-03-31,10821333.77346705,10800854.0
87,2014-06-30,10864635.91871493,10737022.0
88,2014-09-30,10853144.354127504,11046474.0
89,2014-12-31,10872251.926031986,10615384.0
90,2015-03-31,11009944.333795639,11285672.0
91,2015-06-30,11007566.926258124,11167790.0
92,2015-09-30,10969643.317298075,11407174.0
93,2015-12-31,10971656.236075982,11127942.0
94,2016-03-31,11346211.998157304,11454942.0
95,2016-06-30,11488438.170004943,11732388.0
96,2016-09-30,11526656.911106663,11538108.0
97,2016-12-31,11587477.163068054,11502040.0
98,2017-03-31,11538305.639419565,11122634.0
99,2017-06-30,11629820.070866473,11771682.0
100,2017-09-30,11643712.815042157,12180120.0
101,2017-12-31,11682442.155469654,11061870.0
102,2018-03-31,11728634.62189311,
103,2018-06-30,11771936.767140936,
104,2018-09-30,11760445.202553391,
105,2018-12-31,11779552.77445701,
106,2019-03-31,11917245.182221469,
107,2019-06-30,11914867.774684181,
108,2019-09-30,11876944.165723896,
109,2019-12-31,11878957.084502209,
110,2020-03-31,12253512.846583553,
111,2020-06-30,12395739.018431198,
112,2020-09-30,12433957.759533102,
113,2020-12-31,12494778.011492766,
