,ds,yhat,actual data
0,1992-09-30,1374225.0064786659,1452245.0
1,1992-12-31,1361230.1695113704,1370242.0
2,1993-03-31,1369091.7469405613,1501153.0
3,1993-06-30,1380692.6347818028,1385611.0
4,1993-09-30,1407755.294326195,1330040.0
5,1993-12-31,1408212.7341532276,1355881.0
6,1994-03-31,1428250.823109157,1464119.0
7,1994-06-30,1434113.2897523472,1490308.0
8,1994-09-30,1441338.341116931,1320234.0
9,1994-12-31,1455101.3079261812,1422406.0
10,1995-03-31,1487214.376560875,1410984.0
11,1995-06-30,1490627.5162953401,1472724.0
12,1995-09-30,1481014.7864020886,1514104.0
13,1995-12-31,1510944.8672567147,1506903.0
14,1996-03-31,1566577.1121255164,1545140.0
15,1996-06-30,1587203.6985643595,1518739.0
16,1996-09-30,1637080.5951749298,1554920.0
17,1996-12-31,1627108.67876072,1490999.0
18,1997-03-31,1637927.4610786145,1586147.0
19,1997-06-30,1652518.41164085,1553220.0
20,1997-09-30,1682603.9912884948,1712659.0
21,1997-12-31,1686084.3512188233,1869506.0
22,1998-03-31,1709079.6446236337,1910584.0
23,1998-06-30,1710145.3103476486,1797942.0
24,1998-09-30,1712520.8486951678,1692311.0
25,1998-12-31,1721434.3024874094,1673322.0
26,1999-03-31,1748803.2823011258,1885544.0
27,1999-06-30,1732947.6964931441,1693518.0
28,1999-09-30,1703854.4968207933,1774502.0
29,1999-12-31,1714304.1078962393,1660581.0
30,2000-03-31,1745384.8729294485,1721987.0
31,2000-06-30,1741459.979532612,1635102.0
32,2000-09-30,1766515.5998257245,1748481.0
33,2000-12-31,1728056.3905519824,1655663.0
34,2001-03-31,1711007.1689857733,1945714.0
35,2001-06-30,1697420.4711761435,1769271.0
36,2001-09-30,1692955.3273876188,1819945.0
37,2001-12-31,1661884.9638814488,1691938.0
38,2002-03-31,1651080.6365333304,1686906.0
39,2002-06-30,1625757.9760538344,1653601.0
40,2002-09-30,1601455.2065913505,1564434.0
41,2002-12-31,1583690.3525733172,1551046.0
42,2003-03-31,1584960.9877899736,1592005.0
43,2003-06-30,1554199.5232734275,1480498.0
44,2003-09-30,1510036.6440276932,1404801.0
45,2003-12-31,1505416.5755296322,1435921.0
46,2004-03-31,1530021.672800608,1493611.0
47,2004-06-30,1519621.1116417574,1503882.0
48,2004-09-30,1538129.902988696,1573592.0
49,2004-12-31,1499656.2799454925,1446103.0
50,2005-03-31,1482592.9579523995,1479596.0
51,2005-06-30,1468992.0030445,1449112.0
52,2005-09-30,1473149.7683297542,1473427.0
53,2005-12-31,1450702.3138977664,1389379.0
54,2006-03-31,1448333.4410785737,1330588.0
55,2006-06-30,1431557.6913993857,1406820.0
56,2006-09-30,1415895.7548337078,1402412.0
57,2006-12-31,1406771.7337128834,1378151.0
58,2007-03-31,1416495.3576334117,1340953.0
59,2007-06-30,1394280.8038443392,1439627.0
60,2007-09-30,1358758.7574218814,1407264.0
61,2007-12-31,1362779.5217474317,1384478.0
62,2008-03-31,1392783.5511715566,1412558.0
63,2008-06-30,1387781.9221658965,1512336.0
64,2008-09-30,1411748.9745905395,1429456.0
65,2008-12-31,1372977.6263434188,1531727.0
66,2009-03-31,1355623.0514337192,1464274.0
67,2009-06-30,1341727.6074655068,1419191.0
68,2009-09-30,1342158.0143563487,1400127.0
69,2009-12-31,1315983.2015298733,1325434.0
70,2010-03-31,1309967.9998465623,1253949.0
71,2010-06-30,1289487.6771399146,1212192.0
72,2010-09-30,1270080.4579531157,1278643.0
73,2010-12-31,1257211.1542108343,1265747.0
74,2011-03-31,1263270.9146974536,1180663.0
75,2011-06-30,1237351.788016938,1273791.0
76,2011-09-30,1198084.4591108523,1200016.0
77,2011-12-31,1198359.9409526968,1258005.0
78,2012-03-31,1225850.6004365254,1129140.0
79,2012-06-30,1218335.6014904585,1172650.0
80,2012-09-30,1239761.6645249072,1208912.0
81,2012-12-31,1214069.0884971886,1192205.0
82,2013-03-31,1209508.9646715175,1183820.0
83,2013-06-30,1208550.1323549966,1207702.0
84,2013-09-30,1222915.0525596216,1157919.0
85,2013-12-31,1210674.7530470586,1202316.0
86,2014-03-31,1218291.1404748654,1146455.0
87,2014-06-30,1211593.869269166,1221131.0
88,2014-09-30,1206121.1636878026,1194707.0
89,2014-12-31,1207186.3735510483,1237552.0
90,2015-03-31,1226877.7234340515,1202409.0
91,2015-06-30,1214741.648108272,1199920.0
92,2015-09-30,1189408.8326597556,1226849.0
93,2015-12-31,1203618.8279589103,1269249.0
94,2016-03-31,1243701.3358999877,1198147.0
95,2016-06-30,1248778.1854110921,1311606.0
96,2016-09-30,1282934.4688637655,1257768.0
97,2016-12-31,1257241.8928361086,1305955.0
98,2017-03-31,1252681.769010452,1149223.0
99,2017-06-30,1251722.9366940425,1251579.0
100,2017-09-30,1266087.856898544,1326908.0
101,2017-12-31,1253847.557385976,1304191.0
102,2018-03-31,1261463.944813856,
103,2018-06-30,1254766.673608233,
104,2018-09-30,1249293.968026871,
105,2018-12-31,1250359.177889966,
106,2019-03-31,1270050.5277730594,
107,2019-06-30,1257914.4524473157,
108,2019-09-30,1232581.6369988068,
109,2019-12-31,1246791.6322979801,
110,2020-03-31,1286874.1402391081,
111,2020-06-30,1291950.9897501823,
112,2020-09-30,1326107.2732028344,
113,2020-12-31,1300414.6971749936,
