,ds,yhat,actual data
0,1992-09-30,5668456.204256942,5775769.0
1,1992-12-31,5648422.679902787,5415390.0
2,1993-03-31,5796089.820830396,5582138.0
3,1993-06-30,5798074.597383683,5753582.0
4,1993-09-30,5855062.440386557,6025898.0
5,1993-12-31,5877395.141571955,5788924.0
6,1994-03-31,5949814.033006772,5978233.0
7,1994-06-30,5975759.618137069,5993157.0
8,1994-09-30,6043064.362522468,6369600.0
9,1994-12-31,6106422.845803406,5945244.0
10,1995-03-31,6105999.554085098,6320580.0
11,1995-06-30,6153656.169031635,5971253.0
12,1995-09-30,6232461.182417837,6424290.0
13,1995-12-31,6335435.299378033,6112085.0
14,1996-03-31,6361826.829093165,6367058.0
15,1996-06-30,6337629.299229626,6253776.0
16,1996-09-30,6385481.84092201,6455525.0
17,1996-12-31,6365265.476403425,6380165.0
18,1997-03-31,6512753.751952957,6606815.0
19,1997-06-30,6514557.675734811,6292079.0
20,1997-09-30,6570919.852955206,6803679.0
21,1997-12-31,6592626.888358269,6671552.0
22,1998-03-31,6664433.715440546,6805941.0
23,1998-06-30,6675826.842931332,6531484.0
24,1998-09-30,6728419.212560255,6693676.0
25,1998-12-31,6777065.3210846195,6709453.0
26,1999-03-31,6762249.48884358,6832309.0
27,1999-06-30,6768207.179908764,6626711.0
28,1999-09-30,6804855.039480638,6817705.0
29,1999-12-31,6865672.002626831,6924730.0
30,2000-03-31,6793474.342205261,7148554.0
31,2000-06-30,6670687.622205228,6778778.0
32,2000-09-30,6618867.57606737,6807689.0
33,2000-12-31,6499159.772428092,6667632.0
34,2001-03-31,6549319.466230005,6895312.0
35,2001-06-30,6452713.37957739,6274553.0
36,2001-09-30,6410026.941057843,5991759.0
37,2001-12-31,6332685.360720583,5903119.0
38,2002-03-31,6307596.802840292,6449589.0
39,2002-06-30,6235020.101958668,6112455.0
40,2002-09-30,6202719.897848602,6088441.0
41,2002-12-31,6166473.432633417,5927047.0
42,2003-03-31,6068610.517387417,6044898.0
43,2003-06-30,6084782.889804705,5891429.0
44,2003-09-30,6131757.67997423,5967033.0
45,2003-12-31,6202901.573717703,5998024.0
46,2004-03-31,6197808.921069251,6346496.0
47,2004-06-30,6142127.208841886,6217504.0
48,2004-09-30,6158149.588144404,6103292.0
49,2004-12-31,6106284.211509089,6233434.0
50,2005-03-31,6222811.496944381,6256802.0
51,2005-06-30,6193310.419610895,6205120.0
52,2005-09-30,6218466.39989633,6427023.0
53,2005-12-31,6208967.238364141,6252310.0
54,2006-03-31,6250246.264096887,6420293.0
55,2006-06-30,6191913.131871631,6246029.0
56,2006-09-30,6174013.019150291,6090143.0
57,2006-12-31,6152166.645324578,6239359.0
58,2007-03-31,6068390.776001427,6364263.0
59,2007-06-30,5989056.277635822,6212184.0
60,2007-09-30,5939474.670969848,5883347.0
61,2007-12-31,5914062.16787786,6194656.0
62,2008-03-31,5813462.595860751,5897653.0
63,2008-06-30,5662273.964264697,5832561.0
64,2008-09-30,5581739.89761259,5544759.0
65,2008-12-31,5433318.084813215,5359270.0
66,2009-03-31,5455387.987044333,4707300.0
67,2009-06-30,5330380.000026521,5056563.0
68,2009-09-30,5367595.572196216,5150504.0
69,2009-12-31,5370156.00254832,5306365.0
70,2010-03-31,5423232.455124342,5154763.0
71,2010-06-30,5432028.775186944,5660129.0
72,2010-09-30,5481995.801042391,5451498.0
73,2010-12-31,5528016.565793611,5650205.0
74,2011-03-31,5510632.462469603,5352920.0
75,2011-06-30,5541141.45988662,5613796.0
76,2011-09-30,5602610.42038536,5819485.0
77,2011-12-31,5688248.484458053,5524654.0
78,2012-03-31,5697492.4186594905,5795150.0
79,2012-06-30,5656147.293281902,5725731.0
80,2012-09-30,5686663.804344999,5582941.0
81,2012-12-31,5649292.562684287,5772147.0
82,2013-03-31,5779998.893203218,5741848.0
83,2013-06-30,5764834.405898784,5821941.0
84,2013-09-30,5804484.5307776015,5712058.0
85,2013-12-31,5809479.513839168,5956681.0
86,2014-03-31,5864937.594065583,5702298.0
87,2014-06-30,5873733.91543135,6106485.0
88,2014-09-30,5923700.942604081,5903222.0
89,2014-12-31,5969721.708672482,6290964.0
90,2015-03-31,5952337.606637611,5749929.0
91,2015-06-30,5982846.604978239,6232419.0
92,2015-09-30,6044315.566410914,5963183.0
93,2015-12-31,6129953.63141804,6399651.0
94,2016-03-31,6139197.567395959,5895005.0
95,2016-06-30,6097852.443795708,6078802.0
96,2016-09-30,6128368.956655276,6235154.0
97,2016-12-31,6090997.714994221,6058965.0
98,2017-03-31,6221704.045513387,6054962.0
99,2017-06-30,6206539.558208787,6242963.0
100,2017-09-30,6246189.683087865,5923298.0
101,2017-12-31,6251184.666149175,6390195.0
102,2018-03-31,6306642.746375693,
103,2018-06-30,6315439.06774145,
104,2018-09-30,6365406.094914189,
105,2018-12-31,6411426.860982526,
106,2019-03-31,6394042.758947702,
107,2019-06-30,6424551.757288253,
108,2019-09-30,6486020.718720974,
109,2019-12-31,6571658.7837278815,
110,2020-03-31,6580902.7197060585,
111,2020-06-30,6539557.596105443,
112,2020-09-30,6570074.108965183,
113,2020-12-31,6532702.867304511,
