,ds,yhat,actual data
0,1992-09-30,1583935.5817367972,1644210.0
1,1992-12-31,1574945.467035791,1521158.0
2,1993-03-31,1621801.4344438058,1779976.0
3,1993-06-30,1602591.8862153026,1501651.0
4,1993-09-30,1626647.3109452298,1614011.0
5,1993-12-31,1632497.2564357922,1539644.0
6,1994-03-31,1675043.819382746,1657227.0
7,1994-06-30,1664306.8141068276,1679450.0
8,1994-09-30,1669445.358735836,1728925.0
9,1994-12-31,1690070.6136287288,1554573.0
10,1995-03-31,1728311.1889088778,1740994.0
11,1995-06-30,1726033.1168043895,1659924.0
12,1995-09-30,1712345.490319259,1645895.0
13,1995-12-31,1747660.9758741206,1681895.0
14,1996-03-31,1791581.4211403993,1835197.0
15,1996-06-30,1763900.5106883796,1773114.0
16,1996-09-30,1806938.4435398602,1796783.0
17,1996-12-31,1797948.328942302,1798055.0
18,1997-03-31,1844804.2964514883,1881725.0
19,1997-06-30,1825594.7483253498,1745957.0
20,1997-09-30,1847789.0010411027,1807304.0
21,1997-12-31,1851777.7745175713,1907469.0
22,1998-03-31,1892503.6257115607,2144006.0
23,1998-06-30,1865570.810085643,2111645.0
24,1998-09-30,1854335.5684267664,1907450.0
25,1998-12-31,1858587.0370317402,1734157.0
26,1999-03-31,1880809.7778998509,2050866.0
27,1999-06-30,1852174.0453049873,1911147.0
28,1999-09-30,1811839.1137086933,1818702.0
29,1999-12-31,1820507.2941524382,1804039.0
30,2000-03-31,1838070.078989426,1953204.0
31,2000-06-30,1784031.508108024,1708888.0
32,2000-09-30,1800422.1359102156,1784053.0
33,2000-12-31,1764784.7164810337,1689552.0
34,2001-03-31,1785572.6683942853,1826883.0
35,2001-06-30,1740005.46005425,1712708.0
36,2001-09-30,1737413.5797968204,1710139.0
37,2001-12-31,1716616.2202998337,1645935.0
38,2002-03-31,1733094.767498208,1848789.0
39,2002-06-30,1696000.1018276124,1756127.0
40,2002-09-30,1674491.3414425023,1614892.0
41,2002-12-31,1668469.2913208858,1561633.0
42,2003-03-31,1680641.850826241,1618827.0
43,2003-06-30,1652217.410773156,1494897.0
44,2003-09-30,1612096.0936148884,1489930.0
45,2003-12-31,1620977.8884964446,1587310.0
46,2004-03-31,1639092.3210178823,1577116.0
47,2004-06-30,1585605.3978210299,1542772.0
48,2004-09-30,1602553.7353700153,1606822.0
49,2004-12-31,1567476.4900050643,1615906.0
50,2005-03-31,1588812.438285239,1577681.0
51,2005-06-30,1543799.315160845,1584975.0
52,2005-09-30,1541767.6091899357,1614669.0
53,2005-12-31,1521530.4239797734,1571565.0
54,2006-03-31,1538556.96776298,1511242.0
55,2006-06-30,1502016.387601709,1547991.0
56,2006-09-30,1481067.801577351,1466488.0
57,2006-12-31,1475605.9258169783,1548129.0
58,2007-03-31,1488326.481979799,1494116.0
59,2007-06-30,1460244.8348989745,1455425.0
60,2007-09-30,1420470.0776685376,1511008.0
61,2007-12-31,1429698.4324781348,1500984.0
62,2008-03-31,1447815.3023857346,1472641.0
63,2008-06-30,1394330.816575067,1458302.0
64,2008-09-30,1411281.618294704,1411147.0
65,2008-12-31,1376204.3798075286,1391234.0
66,2009-03-31,1397540.3348160298,1255559.0
67,2009-06-30,1352527.2184946588,1341724.0
68,2009-09-30,1353759.2890408877,1264126.0
69,2009-12-31,1336785.8803478598,1358861.0
70,2010-03-31,1357005.2489847902,1228199.0
71,2010-06-30,1330042.8018086925,1316335.0
72,2010-09-30,1318777.6029781937,1304909.0
73,2010-12-31,1322999.1144115932,1412947.0
74,2011-03-31,1345192.5493509239,1228462.0
75,2011-06-30,1330341.0162582796,1333319.0
76,2011-09-30,1303941.7588840388,1397643.0
77,2011-12-31,1326545.6135497792,1356963.0
78,2012-03-31,1357936.592079964,1353780.0
79,2012-06-30,1317726.2148918645,1328094.0
80,2012-09-30,1348096.9945596198,1314765.0
81,2012-12-31,1326499.5659631442,1355241.0
82,2013-03-31,1361022.2915168859,1244025.0
83,2013-06-30,1329342.4654135378,1318407.0
84,2013-09-30,1340790.5760677485,1342676.0
85,2013-12-31,1334033.2074827878,1328004.0
86,2014-03-31,1364246.5283992374,1273842.0
87,2014-06-30,1341039.2451013017,1336943.0
88,2014-09-30,1333570.4756861175,1327787.0
89,2014-12-31,1341588.416534785,1376338.0
90,2015-03-31,1367495.749815187,1320190.0
91,2015-06-30,1352747.3996127862,1342910.0
92,2015-09-30,1326452.459006695,1361046.0
93,2015-12-31,1349160.630440587,1466064.0
94,2016-03-31,1380610.7976924435,1293053.0
95,2016-06-30,1340459.6092261358,1377407.0
96,2016-09-30,1370890.228041065,1455879.0
97,2016-12-31,1349292.7994446089,1417533.0
98,2017-03-31,1383815.524998362,1323193.0
99,2017-06-30,1352135.6988949613,1365292.0
100,2017-09-30,1363583.8095492402,1314840.0
101,2017-12-31,1356826.4409642634,1435013.0
102,2018-03-31,1387039.761880699,
103,2018-06-30,1363832.4785827855,
104,2018-09-30,1356363.7091676076,
105,2018-12-31,1364381.6500162412,
106,2019-03-31,1390288.9832966274,
107,2019-06-30,1375540.6330942097,
108,2019-09-30,1349245.6924881467,
109,2019-12-31,1371953.8639220397,
110,2020-03-31,1403404.031173994,
111,2020-06-30,1363252.8427075937,
112,2020-09-30,1393683.4615225287,
113,2020-12-31,1372086.0329260635,
