date,net_change,total_expand,expand_establish,open_establish,total_contract,contract_establish,end_establish,industry
9/30/92,42,746,566,180,704,548,156,Construction
12/31/92,18,727,559,168,709,551,158,Construction
3/31/93,-43,665,507,158,708,553,155,Construction
6/30/93,103,742,576,166,639,489,150,Construction
9/30/93,109,770,594,176,661,520,141,Construction
12/31/93,88,769,599,170,681,534,147,Construction
3/31/94,17,730,572,158,713,556,157,Construction
6/30/94,119,787,607,180,668,517,151,Construction
9/30/94,134,822,634,188,688,543,145,Construction
12/31/94,51,770,602,168,719,563,156,Construction
3/31/95,12,745,580,165,733,580,153,Construction
6/30/95,42,756,586,170,714,564,150,Construction
9/30/95,79,807,630,177,728,569,159,Construction
12/31/95,55,797,621,176,742,581,161,Construction
3/31/96,51,781,605,176,730,576,154,Construction
6/30/96,100,809,628,181,709,551,158,Construction
9/30/96,75,814,634,180,739,588,151,Construction
12/31/96,69,811,627,184,742,585,157,Construction
3/31/97,70,806,633,173,736,584,152,Construction
6/30/97,55,788,619,169,733,578,155,Construction
9/30/97,88,842,663,179,754,587,167,Construction
12/31/97,52,828,647,181,776,594,182,Construction
3/31/98,45,816,628,188,771,597,174,Construction
6/30/98,131,857,660,197,726,566,160,Construction
9/30/98,87,842,663,179,755,590,165,Construction
12/31/98,177,884,713,171,707,556,151,Construction
3/31/99,50,855,668,187,805,639,166,Construction
6/30/99,74,850,673,177,776,608,168,Construction
9/30/99,43,850,671,179,807,634,173,Construction
12/31/99,134,881,703,178,747,588,159,Construction
3/31/00,146,915,725,190,769,606,163,Construction
6/30/00,7,827,657,170,820,642,178,Construction
9/30/00,-7,845,665,180,852,665,187,Construction
12/31/00,35,841,667,174,806,641,165,Construction
3/31/01,115,906,709,197,791,614,177,Construction
6/30/01,-14,825,658,167,839,671,168,Construction
9/30/01,-84,786,623,163,870,691,179,Construction
12/31/01,-26,795,629,166,821,664,157,Construction
3/31/02,-17,823,647,176,840,670,170,Construction
6/30/02,-47,792,623,169,839,673,166,Construction
9/30/02,-18,792,627,165,810,644,166,Construction
12/31/02,-7,787,618,169,794,634,160,Construction
3/31/03,-52,784,613,171,836,666,170,Construction
6/30/03,25,814,652,162,789,624,165,Construction
9/30/03,40,802,643,159,762,606,156,Construction
12/31/03,56,810,649,161,754,597,157,Construction
3/31/04,77,840,662,178,763,603,160,Construction
6/30/04,49,822,653,169,773,607,166,Construction
9/30/04,32,818,646,172,786,619,167,Construction
