GeoFIPS,GeoName,Region,Description,2014,2015,2016
" ""00000"" ",United States,,RPPs: All items,100,100,100
" ""00000"" ",United States,,  RPPs: Goods,99.4,99.4,99.4
" ""00000"" ",United States,,  RPPs: Services: Rents,101.1,101.1,101.2
" ""00000"" ",United States,,  RPPs: Services: Other,100.1,100,100
" ""01000"" ",Alabama,5,RPPs: All items,87.1,86.7,86.6
" ""01000"" ",Alabama,5,  RPPs: Goods,96.2,96.2,96.2
" ""01000"" ",Alabama,5,  RPPs: Services: Rents,63.8,62.8,63.2
" ""01000"" ",Alabama,5,  RPPs: Services: Other,93.3,93.3,93.3
" ""02000"" ",Alaska,8,RPPs: All items,106.3,105.6,105.4
" ""02000"" ",Alaska,8,  RPPs: Goods,101.3,101.2,101.1
" ""02000"" ",Alaska,8,  RPPs: Services: Rents,144.4,139.4,137.5
" ""02000"" ",Alaska,8,  RPPs: Services: Other,96.7,96.7,96.6
" ""04000"" ",Arizona,6,RPPs: All items,96,96,95.9
" ""04000"" ",Arizona,6,  RPPs: Goods,97.5,97.5,97.4
" ""04000"" ",Arizona,6,  RPPs: Services: Rents,91.4,91.4,91.8
" ""04000"" ",Arizona,6,  RPPs: Services: Other,97.3,97.3,97.2
" ""05000"" ",Arkansas,5,RPPs: All items,86.9,87.3,86.9
" ""05000"" ",Arkansas,5,  RPPs: Goods,94.7,94.7,94.7
" ""05000"" ",Arkansas,5,  RPPs: Services: Rents,62.9,63.9,63.8
" ""05000"" ",Arkansas,5,  RPPs: Services: Other,93.3,93.4,93.3
" ""06000"" ",California,8,RPPs: All items,113.7,113.6,114.4
" ""06000"" ",California,8,  RPPs: Goods,103.7,103.7,103.6
" ""06000"" ",California,8,  RPPs: Services: Rents,147.4,147.3,148.4
" ""06000"" ",California,8,  RPPs: Services: Other,106.6,106.7,106.8
" ""08000"" ",Colorado,7,RPPs: All items,102,102.6,103
" ""08000"" ",Colorado,7,  RPPs: Goods,99.6,99.6,99.8
" ""08000"" ",Colorado,7,  RPPs: Services: Rents,111.3,114.7,117.6
" ""08000"" ",Colorado,7,  RPPs: Services: Other,99.1,99.1,98.5
" ""09000"" ",Connecticut,1,RPPs: All items,108.6,108.7,108.7
" ""09000"" ",Connecticut,1,  RPPs: Goods,104.2,104.2,104.5
" ""09000"" ",Connecticut,1,  RPPs: Services: Rents,116.4,116.8,115.3
" ""09000"" ",Connecticut,1,  RPPs: Services: Other,109.1,109,109.1
" ""10000"" ",Delaware,2,RPPs: All items,101.1,100.1,100.2
" ""10000"" ",Delaware,2,  RPPs: Goods,99.1,99.1,99.1
" ""10000"" ",Delaware,2,  RPPs: Services: Rents,101.8,97.6,97.1
" ""10000"" ",Delaware,2,  RPPs: Services: Other,103,103,103.2
" ""11000"" ",District of Columbia,2,RPPs: All items,118.2,117.3,115.9
" ""11000"" ",District of Columbia,2,  RPPs: Goods,105.9,105.9,105.4
" ""11000"" ",District of Columbia,2,  RPPs: Services: Rents,161.6,154.3,145.3
" ""11000"" ",District of Columbia,2,  RPPs: Services: Other,110.2,110.3,110.6
" ""12000"" ",Florida,5,RPPs: All items,99.4,99.5,99.7
" ""12000"" ",Florida,5,  RPPs: Goods,98.2,98.2,98.3
" ""12000"" ",Florida,5,  RPPs: Services: Rents,105,105.4,106.1
" ""12000"" ",Florida,5,  RPPs: Services: Other,97,97,97
" ""13000"" ",Georgia,5,RPPs: All items,92,92.6,92.1
" ""13000"" ",Georgia,5,  RPPs: Goods,96.9,96.8,96.7
" ""13000"" ",Georgia,5,  RPPs: Services: Rents,79,81.1,81.2
" ""13000"" ",Georgia,5,  RPPs: Services: Other,95.1,95.1,94.7
" ""15000"" ",Hawaii,8,RPPs: All items,118.4,118.9,118.4
" ""15000"" ",Hawaii,8,  RPPs: Goods,109.5,109.6,110.5
" ""15000"" ",Hawaii,8,  RPPs: Services: Rents,159,163.4,157.4
" ""15000"" ",Hawaii,8,  RPPs: Services: Other,104.5,104.2,103.5
" ""16000"" ",Idaho,7,RPPs: All items,93.6,93.4,93
" ""16000"" ",Idaho,7,  RPPs: Goods,98.2,98.2,98.1
" ""16000"" ",Idaho,7,  RPPs: Services: Rents,79.6,78.7,77.6
" ""16000"" ",Idaho,7,  RPPs: Services: Other,97.2,97.2,97.5
" ""17000"" ",Illinois,3,RPPs: All items,99.3,99.2,98.9
" ""17000"" ",Illinois,3,  RPPs: Goods,99,99,98.9
" ""17000"" ",Illinois,3,  RPPs: Services: Rents,99.5,99.4,98.4
" ""17000"" ",Illinois,3,  RPPs: Services: Other,99.4,99.4,99.2
" ""18000"" ",Indiana,3,RPPs: All items,90.8,90.6,90.3
" ""18000"" ",Indiana,3,  RPPs: Goods,96.9,96.9,96.8
" ""18000"" ",Indiana,3,  RPPs: Services: Rents,75.6,74.9,73.9
" ""18000"" ",Indiana,3,  RPPs: Services: Other,93.6,93.6,93.5
" ""19000"" ",Iowa,4,RPPs: All items,90.3,90.4,90.2
" ""19000"" ",Iowa,4,  RPPs: Goods,95.4,95.4,95.2
" ""19000"" ",Iowa,4,  RPPs: Services: Rents,75.1,75.3,75.1
" ""19000"" ",Iowa,4,  RPPs: Services: Other,91.9,91.8,91.8
