,state,irp,RPP,gdp,personal income,person consumption expenditure,ending_establishments,expanding_establish,gross_contracting_establishment,net_change,opening_establish,total_contract,total_expanding
0,Alabama,95.6,86.6,819445.0,189161974.0,152397.0,56172,304532,301686,12265,65591,357858,370123
1,Alaska,116.4,105.4,202852.0,41283275.0,36758.0,16926,79348,88035,-7847,17766,104961,97114
2,Arizona,106.0,95.9,1211807.0,280120037.0,239680.0,97941,466729,417798,61663,110673,515739,577402
3,Arkansas,96.0,86.9,482755.0,118697988.0,92984.0,35274,187209,185821,7161,41047,221095,228256
4,California,126.4,114.4,10410688.0,2212691221.0,1641724.0,749289,3071572,2869798,277254,824769,3619087,3896341
5,Colorado,113.7,103.0,1294767.0,288103337.0,236296.0,99674,468236,445303,42614,119355,544977,587591
6,Connecticut,120.1,108.7,1053515.0,247886635.0,173447.0,35418,260935,264121,450,39054,299539,299989
7,Delaware,110.7,100.2,281548.0,45574410.0,40813.0,19214,75989,78486,-397,21314,97700,97303
8,District of Columbia,128.0,115.9,507261.0,51842801.0,38720.0,23824,90150,92312,1325,27311,116136,117461
9,Florida,110.2,99.7,3707267.0,947207472.0,796537.0,417000,1475209,1297054,222339,461184,1714054,1936393
10,Georgia,101.8,92.1,2101442.0,434677178.0,357332.0,187327,754618,674145,94526,201380,861472,955998
11,Hawaii,130.8,118.4,335666.0,71946077.0,64460.0,19243,92243,89300,5422,21722,108543,113965
12,Idaho,102.8,93.0,269101.0,66433410.0,56642.0,29544,142346,127318,18707,33223,156862,175569
13,Illinois,109.3,98.9,3166429.0,663338023.0,534750.0,229214,949969,938363,23121,240729,1167577,1190698
14,Indiana,99.8,90.3,1367635.0,285863662.0,236353.0,76881,491314,467154,28565,81286,544035,572600
15,Iowa,99.6,90.2,715061.0,144195709.0,115999.0,44983,254616,258617,2736,51720,303600,306336
16,Kansas,100.0,90.5,613030.0,137305437.0,104615.0,47549,215812,217834,1620,51191,265383,267003
17,Kentucky,96.9,87.8,788174.0,172713808.0,147697.0,60212,322950,315686,15208,68156,375898,391106
18,Louisiana,99.8,90.4,940435.0,198025102.0,160025.0,69283,324473,356381,-29954,71237,425664,395710
