GeoFIPS,GeoName,Region,ComponentName,Line,Description,2014,2015,2016
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),1,Personal consumption expenditures,11858228,12327828,12816386
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),2, Goods,3965012,4028728,4117111
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),3,  Durable goods,1296383,1367137,1411006
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),4,   Motor vehicles and parts,441874,472169,480792
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),5,   Furnishings and durable household equipment,294270,311516,325154
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),6,   Recreational goods and vehicles,357404,372392,385474
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),7,   Other durable goods,202835,211060,219586
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),8,  Nondurable goods,2668629,2661591,2706105
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),9,   Food and beverages purchased for off-premises consumption,884403,898957,915074
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),10,   Clothing and footwear,375954,385461,393654
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),11,   Gasoline and other energy goods,397788,305138,273722
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),12,   Other nondurable goods,1010484,1072035,1123655
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),13, Services,7893216,8299100,8699275
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),14,  Household consumption expenditures (for services),7579623,7969655,8340423
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),15,  Housing and utilities,2143466,2235414,2331526
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),16,  Health care,1949934,2061247,2163744
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),17,  Transportation services,357455,374249,392459
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),18,  Recreation services,452503,470992,492637
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),19,  Food services and accommodations,754096,808152,849211
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),20,  Financial services and insurance,888435,947202,984748
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),21,  Other services,1033734,1072399,1126098
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),22, Final consumption expenditures of nonprofit institutions serving households (NPISHs),313593,329445,358852
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),23, Gross output of nonprofit institutions,1274635,1339190,1411338
0,United States,,Total personal consumption expenditures (PCE) by state (millions of dollars),24, Less: Receipts from sales of goods and services by nonprofit institutions,961042,1009745,1052486
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),1,Personal consumption expenditures,144674,148418,152397
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),2, Goods,55760,56034,56573
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),3,  Durable goods,17364,18176,18683
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),4,   Motor vehicles and parts,6949,7339,7489
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),5,   Furnishings and durable household equipment,3595,3799,3982
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),6,   Recreational goods and vehicles,4126,4274,4400
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),7,   Other durable goods,2694,2764,2812
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),8,  Nondurable goods,38396,37858,37890
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),9,   Food and beverages purchased for off-premises consumption,11979,12079,12306
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),10,   Clothing and footwear,4792,4942,5045
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),11,   Gasoline and other energy goods,6349,4806,4246
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),12,   Other nondurable goods,15276,16031,16292
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),13, Services,88915,92384,95824
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),14,  Household consumption expenditures (for services),86889,90268,93363
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),15,  Housing and utilities,23704,24203,25086
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),16,  Health care,25354,26612,27386
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),17,  Transportation services,2997,3091,3192
1000,Alabama,5,Total personal consumption expenditures (PCE) by state (millions of dollars),18,  Recreation services,4662,4754,4912
