year,state,New Private Housing Units Authorized by Building Permits: 1-Unit Structures _y,New Private Housing Units Authorized by Building Permits _x,Durable Manufacturing Earnings ,Nondurable Manufacturing Earnings ,Homeownership Rate ,Home Vacancy Rate ,Median Household Income ,All-Transactions House Price Index ,Total Investment Securities at Book Value for Commercial Banks  (DISCONTINUED),"Job Losers and Persons Who Completed Temporary Jobs, as a Percent of the Civilian Labor Force ",Durable Manufacturing Wages and Salaries ,Nondurable Manufacturing Wages and Salaries 
1992,al,820.6,1230.0,,,70.3,1.3,25808.0,156.15,11553259.0,,,
1993,al,947.9,1115.0,,,70.2,1.4,25082.0,161.79,12051861.0,,,
1994,al,1147.6,1478.0,,,68.5,1.4,27196.0,168.89,,,,
1995,al,1070.4,1429.0,,,70.1,1.5,25991.0,173.47,,,,
1996,al,1169.9,1220.0,,,71.0,1.8,30302.0,184.27,,,,
1997,al,1172.4,1195.0,,,71.3,1.7,31939.0,188.69,,,,
1998,al,1093.6,1051.0,7597520.0,5967556.0,72.9,2.7,36266.0,198.8,,,6105920.0,4962720.0
1999,al,1239.4,1392.0,7998148.0,6043900.0,74.8,2.3,36251.0,205.68,,,6524776.0,5013528.0
2000,al,1298.1,1368.0,8331516.0,6132948.0,73.2,2.3,35424.0,209.29,,,6841680.0,5078564.0
2001,al,1345.1,1658.0,8208260.0,6270724.0,73.2,2.4,35160.0,221.69,,,6598060.0,5109188.0
2002,al,1584.4,1806.0,8276308.0,5650744.0,73.7,2.5,37603.0,227.17,,,6523252.0,4591704.0
2003,al,1544.9,1702.0,8180676.0,5574164.0,76.2,2.0,37255.0,236.76,,,6493336.0,4484204.0
2004,al,1857.9,2377.0,8512396.0,5445736.0,78.0,2.5,36629.0,244.39,,2.9,6664140.0,4287592.0
2005,al,1983.8,2986.0,9615332.0,5624404.0,76.6,2.0,37150.0,257.53,,2.4,7536736.0,4474320.0
2006,al,2292.5,2485.0,10546220.0,5608484.0,74.2,2.8,37952.0,280.07,,1.8,8325156.0,4448420.0
2007,al,1769.4,2200.0,10858032.0,5598652.0,73.3,2.9,42212.0,296.86,,1.8,8610572.0,4387356.0
2008,al,1183.0,1558.0,10988544.0,5580468.0,73.0,3.3,44476.0,305.99,,2.1,8634960.0,4406108.0
2009,al,488.2,871.0,9750268.0,4868108.0,74.1,3.0,39980.0,306.26,,4.1,7613904.0,3827244.0
2010,al,774.3,881.0,9320020.0,4938540.0,73.2,2.9,40933.0,290.47,,6.9,7280988.0,3883536.0
2011,al,577.7,992.0,9854084.0,5130384.0,72.9,2.8,42590.0,280.02,,5.7,7771620.0,4024836.0
2012,al,608.5,874.0,10117812.0,5172876.0,71.9,2.1,43464.0,277.91,,5.3,8065796.0,4059472.0
2013,al,757.1,912.0,10494256.0,5261980.0,72.7,2.0,47320.0,275.68,,4.3,8348188.0,4151032.0
2014,al,604.5,835.0,11138056.0,5667748.0,72.1,2.5,42278.0,276.75,,3.9,8832140.0,4401836.0
2015,al,902.5,1025.0,11856244.0,5603268.0,70.0,2.7,44509.0,285.18,,3.1,9332628.0,4296620.0
2016,al,881.0,1221.0,12309628.0,5763896.0,69.7,2.5,47221.0,291.92,,2.5,9646816.0,4460592.0
2017,al,923.0,1083.0,12519256.0,5959184.0,70.0,2.2,51113.0,301.65,,2.6,9834976.0,4642024.0
2018,al,1065.4,1212.0,13089582.0,6245292.0,,,,313.59,,1.8,10269967.0,4858495.0
1992,ak,78.2,37.0,,,55.5,1.5,41802.0,131.26,1952687.0,,,
1993,ak,98.5,44.0,,,55.4,1.2,42931.0,133.88,1995240.0,,,
1994,ak,110.8,51.0,,,58.8,1.3,45367.0,138.66,,,,
1995,ak,180.4,73.0,,,60.9,1.3,47954.0,145.28,,,,
1996,ak,150.0,84.0,,,62.9,1.7,52779.0,151.96,,,,
1997,ak,150.0,69.0,,,67.2,1.3,47994.0,156.93,,,,
1998,ak,161.6,93.0,90120.0,469552.0,66.3,2.7,50692.0,160.98,,,66024.0,367888.0
1999,ak,125.8,87.0,88432.0,438364.0,66.4,1.8,51396.0,166.89,,,64948.0,344804.0
2000,ak,145.3,91.0,93836.0,405952.0,66.4,1.5,52847.0,170.13,,,69948.0,319900.0
2001,ak,152.9,128.0,,,65.3,1.1,57363.0,176.77,,,,
2002,ak,224.8,156.0,,,67.1,1.0,52774.0,186.21,,,,
2003,ak,90.0,77.0,94448.0,462240.0,70.0,1.7,51837.0,193.58,,,66680.0,343176.0
2004,ak,150.0,91.0,108100.0,494156.0,67.2,1.8,55063.0,210.25,,3.9,74796.0,363384.0
2005,ak,138.3,90.0,124836.0,528272.0,66.0,1.5,55891.0,234.34,,3.6,83512.0,394448.0
2006,ak,141.5,94.0,139344.0,566008.0,67.2,1.7,56418.0,263.72,,3.3,86956.0,422352.0
2007,ak,101.5,80.0,149552.0,547588.0,66.6,2.6,62993.0,280.89,,3.2,99604.0,407524.0
2008,ak,79.4,78.0,168212.0,557528.0,66.4,2.0,63989.0,281.82,,3.3,105556.0,413256.0
2009,ak,32.3,15.0,155040.0,510536.0,66.8,1.6,61604.0,281.94,,3.4,108584.0,374904.0
2010,ak,50.0,24.0,142836.0,550080.0,65.7,1.9,57848.0,275.23,,4.4,99520.0,403064.0
2011,ak,106.0,54.0,144468.0,642596.0,64.4,1.3,57431.0,279.87,,4.1,98976.0,478244.0
2012,ak,52.8,34.0,163484.0,724360.0,63.7,1.4,63648.0,279.86,,4.0,115048.0,529408.0
2013,ak,95.0,56.0,201484.0,721772.0,64.6,1.7,72472.0,287.76,,3.9,140328.0,506256.0
2014,ak,115.2,79.0,171740.0,780168.0,64.9,2.2,67629.0,290.03,,3.8,117256.0,546912.0
2015,ak,64.4,54.0,184292.0,783024.0,62.3,1.9,75112.0,301.6,,3.5,132636.0,545092.0
2016,ak,100.3,90.0,190324.0,834208.0,65.2,1.3,75723.0,311.37,,3.7,133992.0,608696.0
2017,ak,86.3,70.0,161060.0,822404.0,65.5,1.4,72231.0,315.48,,3.8,114000.0,610976.0
2018,ak,134.4,111.0,166658.0,800572.0,,,,320.98,,4.2,117899.0,594762.0
1992,az,2296.5,2074.0,,,69.3,2.1,29358.0,140.06,5973379.0,,,
1993,az,1993.0,2111.0,,,69.1,1.3,30510.0,141.43,8644331.0,,,
1994,az,3578.0,3964.0,,,67.7,1.5,31293.0,148.12,,,,
1995,az,3005.4,3113.0,,,62.9,1.9,30863.0,155.55,,,,
1996,az,3720.8,4485.0,,,62.0,1.7,31637.0,165.94,,,,
1997,az,3941.6,5101.0,,,63.0,2.8,32740.0,170.95,,,,
1998,az,3472.9,3775.0,8810372.0,1545620.0,64.3,2.8,37090.0,180.06,,,7380364.0,1230416.0
1999,az,4531.2,5296.0,8796884.0,1617272.0,66.3,1.9,36995.0,188.58,,,7377812.0,1279120.0
2000,az,3963.3,4093.0,10434112.0,1747680.0,68.0,1.6,39783.0,200.03,,,8892000.0,1396584.0
2001,az,4169.4,3845.0,10859608.0,1649200.0,68.1,2.1,42704.0,212.9,,,9080108.0,1300692.0
2002,az,4221.9,3918.0,9937180.0,1565968.0,65.6,2.2,39734.0,224.52,,,8064148.0,1194704.0
2003,az,4719.2,4306.0,9395440.0,1620860.0,67.0,2.1,41166.0,236.82,,,7566492.0,1259964.0
2004,az,5131.6,5061.0,10110288.0,1675788.0,68.7,1.6,43846.0,255.47,,2.5,7964728.0,1267008.0
2005,az,6368.0,6104.0,10662924.0,1592804.0,71.1,1.2,45245.0,309.41,,2.0,8496432.0,1282948.0
2006,az,6489.7,6927.0,11352376.0,1741316.0,71.6,3.0,46657.0,410.63,,1.8,9151400.0,1371796.0
2007,az,4116.8,3619.0,11894580.0,1796144.0,70.4,3.8,47215.0,424.58,,1.4,9308504.0,1392336.0
2008,az,1851.7,2670.0,12018392.0,1799152.0,69.1,3.8,46914.0,390.65,,2.0,9509248.0,1365964.0
2009,az,696.7,743.0,10548036.0,1735216.0,68.9,3.4,45739.0,327.74,,4.0,8558988.0,1249720.0
2010,az,1240.0,1258.0,10125128.0,1584816.0,66.6,3.2,46896.0,271.97,,7.1,8241628.0,1217936.0
2011,az,766.9,697.0,10864672.0,1676980.0,66.0,3.2,48621.0,241.37,,6.2,9168548.0,1302412.0
2012,az,1085.2,1204.0,11677664.0,1748776.0,65.3,2.4,47044.0,235.01,,4.9,9549540.0,1352316.0
2013,az,1584.0,1780.0,11687132.0,1834964.0,65.1,2.4,52611.0,261.98,,3.9,9541800.0,1416096.0
2014,az,1571.3,1735.0,11654340.0,2029396.0,63.5,2.7,49254.0,296.87,,3.7,9638832.0,1542568.0
2015,az,1500.5,1712.0,12014536.0,2139132.0,61.7,2.1,52248.0,311.63,,2.8,9905760.0,1577748.0
2016,az,1955.4,2773.0,12165308.0,2299644.0,61.9,1.8,57100.0,334.66,,2.8,9972684.0,1702476.0
2017,az,2092.1,2484.0,12301752.0,2391332.0,64.4,2.1,61125.0,360.8,,2.1,10115160.0,1806516.0
2018,az,2617.9,3531.0,13565012.0,2621740.0,,,,394.25,,2.0,11156220.0,1984016.0
1992,ar,471.7,442.0,,,70.3,1.7,23882.0,135.06,9376749.0,,,
1993,ar,559.8,564.0,,,70.5,0.9,23039.0,138.81,9766335.0,,,
1994,ar,698.4,1302.0,,,68.1,1.2,25565.0,148.16,,,,
1995,ar,532.2,611.0,,,67.2,1.5,25814.0,153.08,,,,
1996,ar,668.6,601.0,,,66.6,1.4,27123.0,162.49,,,,
1997,ar,635.5,797.0,,,66.7,1.4,26162.0,165.77,,,,
1998,ar,516.4,985.0,4981628.0,3476076.0,66.7,2.0,27665.0,172.2,,,3605824.0,2824216.0
1999,ar,636.8,768.0,5001768.0,3583388.0,65.6,2.4,29682.0,177.65,,,3708724.0,2917992.0
2000,ar,642.7,591.0,5350496.0,3716664.0,68.9,2.4,29697.0,180.15,,,4031724.0,3029092.0
2001,ar,581.4,553.0,5304732.0,3911144.0,71.2,2.5,33339.0,190.0,,,3941164.0,3179440.0
2002,ar,700.3,1459.0,5120348.0,3787252.0,70.3,1.7,32387.0,195.88,,,3682904.0,3044752.0
2003,ar,726.4,788.0,4956060.0,3853128.0,69.6,2.2,32002.0,203.9,,,3604428.0,3073992.0
2004,ar,811.4,1112.0,4854404.0,3863208.0,69.1,2.3,34984.0,213.47,,2.7,3660024.0,3078720.0
2005,ar,913.6,1402.0,4956924.0,3995672.0,69.2,2.3,36658.0,227.61,,2.8,3816328.0,3190292.0
2006,ar,1055.7,1379.0,5191560.0,4114048.0,70.8,1.9,37057.0,244.86,,2.1,4054860.0,3287084.0
2007,ar,657.3,750.0,5140596.0,4064300.0,69.5,2.2,40795.0,255.32,,2.4,4017656.0,3233136.0
2008,ar,501.3,655.0,5016324.0,4111208.0,68.9,2.9,39586.0,257.57,,2.7,3848056.0,3241436.0
2009,ar,266.1,634.0,4252020.0,3775948.0,68.5,3.3,36538.0,257.24,,3.3,3276048.0,2978180.0
2010,ar,384.1,411.0,4062232.0,3921500.0,67.9,3.1,38587.0,245.39,,4.9,3107092.0,3100276.0
2011,ar,287.3,470.0,4510000.0,3972848.0,67.6,3.0,41302.0,241.79,,5.1,3487504.0,3213312.0
2012,ar,383.2,362.0,4476896.0,4005672.0,66.0,3.3,39018.0,242.93,,4.3,3489732.0,3189140.0
2013,ar,401.6,365.0,4523308.0,4120564.0,65.4,3.0,39376.0,246.5,,3.8,3525372.0,3233212.0
2014,ar,356.6,347.0,4587316.0,4387376.0,65.4,3.3,44922.0,248.49,,3.5,3592120.0,3328908.0
2015,ar,434.9,694.0,4704932.0,4574728.0,67.1,2.7,42798.0,253.49,,2.8,3702124.0,3400788.0
2016,ar,521.5,615.0,4569340.0,4765912.0,67.6,3.4,45907.0,258.96,,2.2,3671812.0,3557508.0
2017,ar,633.2,754.0,4487524.0,4864820.0,65.0,2.3,48829.0,270.68,,1.7,3799436.0,3773584.0
2018,ar,631.0,1278.0,4659753.0,5099539.0,,,,280.61,,1.9,3943816.0,3945743.0
1992,ca,6557.5,6818.0,,,55.3,2.1,34903.0,227.81,32146076.0,,,
1993,ca,6032.0,6433.0,,,56.0,1.7,34073.0,219.41,41366945.0,,,
1994,ca,6304.5,5585.0,,,55.5,2.0,35331.0,212.25,,,,
1995,ca,5171.0,4504.0,,,55.4,2.1,37009.0,199.77,,,,
1996,ca,6381.5,6074.0,,,55.0,2.0,38812.0,203.64,,,,
1997,ca,6256.2,5875.0,,,55.7,1.8,39694.0,202.74,,,,
1998,ca,6708.9,6346.0,71092820.0,27102604.0,56.0,1.7,40934.0,217.07,,,59043396.0,21386464.0
1999,ca,7981.0,9373.0,74683016.0,28320248.0,55.7,1.5,43629.0,235.49,,,62147568.0,22461448.0
2000,ca,8437.1,10430.0,93245548.0,31655980.0,57.1,1.2,46816.0,261.12,,,79129584.0,25156072.0
2001,ca,11057.4,14219.0,89595932.0,30667588.0,58.2,1.1,47262.0,296.72,,,74363776.0,23665688.0
2002,ca,9060.7,10549.0,78239908.0,29689924.0,57.7,1.2,47437.0,325.07,,,62918148.0,22842184.0
2003,ca,13361.9,13406.0,73794380.0,30698376.0,58.9,1.2,49300.0,367.21,,,58882500.0,23307064.0
2004,ca,13021.2,14027.0,78612136.0,33505360.0,59.7,0.9,49222.0,424.59,,3.8,61851548.0,24926636.0
2005,ca,11406.8,14078.0,82091568.0,33150132.0,59.7,1.2,51755.0,538.48,,3.1,65063784.0,24766496.0
2006,ca,10690.3,11771.0,91808400.0,35534028.0,60.2,1.9,55319.0,637.6,,2.5,73661416.0,26093160.0
2007,ca,7880.7,9621.0,86942848.0,37078876.0,58.3,2.3,55734.0,632.34,,2.3,70298516.0,27412256.0
2008,ca,3176.8,5043.0,86550048.0,36572176.0,57.5,3.1,57014.0,542.26,,3.0,69222332.0,26580840.0
2009,ca,1409.4,2012.0,78030176.0,42881728.0,57.0,2.2,56134.0,440.31,,4.9,62832404.0,32207224.0
2010,ca,2330.3,3022.0,77756328.0,34311408.0,56.1,2.5,54283.0,409.45,,7.6,63383224.0,25707084.0
2011,ca,1953.2,2486.0,86152608.0,34672096.0,55.3,2.1,53367.0,391.47,,7.8,70471468.0,26074160.0
2012,ca,1828.1,2116.0,87535316.0,36923880.0,54.5,1.6,57020.0,380.78,,6.8,71524476.0,27194648.0
2013,ca,3030.9,4972.0,85377520.0,38128776.0,54.3,1.2,60794.0,406.74,,5.5,69464048.0,28195788.0
2014,ca,3612.8,4221.0,89970960.0,41580108.0,54.2,1.1,60487.0,475.0,,4.6,74062940.0,30459184.0
2015,ca,3399.3,7312.0,95739576.0,41512224.0,54.3,1.2,63636.0,507.61,,3.6,78556076.0,30124252.0
2016,ca,3306.3,6962.0,100903060.0,44591720.0,53.8,1.0,66637.0,548.83,,2.9,82675164.0,31856780.0
2017,ca,3651.6,5376.0,106813020.0,44349060.0,54.4,1.0,69759.0,589.99,,2.6,88226632.0,32827528.0
2018,ca,5720.4,8730.0,114044773.0,43744651.0,,,,639.25,,2.3,94320678.0,32137862.0
1992,co,1345.2,1192.0,,,60.9,1.8,32484.0,138.24,8440763.0,,,
1993,co,1890.6,1600.0,,,61.8,1.5,34488.0,149.79,10884838.0,,,
1994,co,2578.1,2099.0,,,62.9,0.8,37833.0,166.59,,,,
1995,co,2280.4,2564.0,,,64.6,0.9,40706.0,183.18,,,,
1996,co,2572.1,2651.0,,,64.5,0.9,40950.0,195.9,,,,
1997,co,2539.7,2876.0,,,64.1,0.6,43233.0,205.84,,,,
1998,co,2697.6,3230.0,6678964.0,2585308.0,65.2,0.7,46599.0,218.24,,,5604348.0,2078072.0
1999,co,3164.2,3254.0,7052664.0,2568568.0,68.1,1.0,48177.0,231.95,,,5895736.0,2058536.0
2000,co,3087.9,3911.0,7692176.0,2793196.0,68.3,1.6,48240.0,260.78,,,6490888.0,2223128.0
2001,co,3435.3,3781.0,8194256.0,3011264.0,68.5,2.0,49397.0,288.29,,,6777360.0,2354144.0
2002,co,2543.9,3319.0,7610428.0,2874240.0,68.9,1.9,48294.0,305.65,,,6121356.0,2232524.0
2003,co,2987.5,2831.0,7022956.0,2876996.0,71.3,2.1,49940.0,316.18,,,5626724.0,2227244.0
2004,co,2922.8,3039.0,7171312.0,2822412.0,71.1,2.8,50886.0,325.11,,3.1,5728972.0,2170864.0
2005,co,3395.1,3281.0,7209632.0,2956864.0,71.0,2.7,50449.0,338.81,,2.8,5827600.0,2252788.0
2006,co,3525.7,3150.0,7566888.0,3111204.0,70.1,3.0,55697.0,353.27,,2.0,6152012.0,2271340.0
2007,co,2006.4,2114.0,7711764.0,3308388.0,70.2,3.1,61141.0,360.68,,1.8,6214724.0,2404216.0
2008,co,1254.8,1650.0,7653228.0,3264824.0,69.0,3.1,60943.0,361.55,,1.8,6089796.0,2449628.0
2009,co,558.0,489.0,6974608.0,3013880.0,68.4,3.0,55930.0,359.68,,3.1,5612120.0,2296676.0
2010,co,807.9,673.0,6552884.0,2879476.0,68.5,2.7,60233.0,340.99,,4.7,5269788.0,2256692.0
2011,co,678.1,643.0,6874988.0,3057632.0,65.9,2.4,58629.0,331.71,,5.6,5823404.0,2277076.0
2012,co,933.0,989.0,7379428.0,3086072.0,65.3,1.7,57255.0,330.33,,5.0,5961332.0,2276908.0
2013,co,1342.4,1878.0,7543304.0,3261892.0,64.4,1.4,67912.0,344.45,,4.1,6008712.0,2395760.0
2014,co,1514.6,1539.0,7742244.0,3565248.0,65.0,1.2,60940.0,370.69,,3.2,6306440.0,2529460.0
2015,co,1436.9,1489.0,8527072.0,3952556.0,63.6,1.1,66596.0,404.89,,2.1,6968048.0,2724188.0
2016,co,1687.2,2149.0,8308672.0,4067220.0,62.4,1.0,70566.0,453.76,,1.7,6817388.0,2853300.0
2017,co,1890.1,3146.0,8632420.0,3885048.0,63.7,0.7,74172.0,500.56,,1.6,7211072.0,2962704.0
2018,co,2907.2,3875.0,8877871.0,3990706.0,,,,551.39,,1.3,7438066.0,3035834.0
1992,ct,598.4,502.0,,,66.1,1.4,40841.0,237.77,8360857.0,,,
1993,ct,634.2,367.0,,,64.5,1.1,39516.0,230.21,9406769.0,,,
1994,ct,596.7,349.0,,,63.8,1.4,41097.0,229.5,,,,
1995,ct,694.8,466.0,,,68.2,1.8,40243.0,217.48,,,,
1996,ct,461.1,285.0,,,69.0,2.0,42119.0,228.85,,,,
1997,ct,689.8,435.0,,,68.1,1.5,43985.0,225.24,,,,
1998,ct,759.1,1205.0,10650416.0,4173304.0,69.3,0.8,46508.0,236.75,,,8755236.0,2938644.0
1999,ct,892.5,736.0,11145388.0,4515168.0,69.1,1.7,50593.0,246.8,,,9151716.0,3090728.0
2000,ct,598.4,785.0,11343052.0,4904156.0,70.0,0.7,50172.0,262.64,,,9417336.0,3372368.0
2001,ct,726.8,846.0,11603640.0,5504572.0,71.8,0.9,53347.0,286.23,,,9386336.0,3702400.0
2002,ct,767.5,590.0,10920140.0,5621072.0,71.5,1.6,53387.0,311.29,,,8578872.0,3448728.0
2003,ct,595.1,609.0,10735812.0,4922312.0,73.0,1.7,54965.0,340.03,,,8438420.0,3263712.0
2004,ct,703.8,718.0,10998944.0,4591184.0,71.7,0.9,55100.0,373.19,,3.4,8578916.0,3273024.0
