,GeoName,irp,RPP,gdp,personal income,person consumption expenditure
0,Alabama,95.6,86.6,819445.0,189161974.0,152397.0
1,Alaska,116.4,105.4,202852.0,41283275.0,36758.0
2,Arizona,106.0,95.9,1211807.0,280120037.0,239680.0
3,Arkansas,96.0,86.9,482755.0,118697988.0,92984.0
4,California,126.4,114.4,10410688.0,2212691221.0,1641724.0
5,Colorado,113.7,103.0,1294767.0,288103337.0,236296.0
6,Connecticut,120.1,108.7,1053515.0,247886635.0,173447.0
7,Delaware,110.7,100.2,281548.0,45574410.0,40813.0
8,District of Columbia,128.0,115.9,507261.0,51842801.0,38720.0
9,Florida,110.2,99.7,3707267.0,947207472.0,796537.0
10,Georgia,101.8,92.1,2101442.0,434677178.0,357332.0
11,Hawaii,130.8,118.4,335666.0,71946077.0,64460.0
12,Idaho,102.8,93.0,269101.0,66433410.0,56642.0
13,Illinois,109.3,98.9,3166429.0,663338023.0,534750.0
14,Indiana,99.8,90.3,1367635.0,285863662.0,236353.0
15,Iowa,99.6,90.2,715061.0,144195709.0,115999.0
16,Kansas,100.0,90.5,613030.0,137305437.0,104615.0
17,Kentucky,96.9,87.8,788174.0,172713808.0,147697.0
18,Louisiana,99.8,90.4,940435.0,198025102.0,160025.0
19,Maine,108.7,98.4,237099.0,58655433.0,57281.0
20,Maryland,120.9,109.5,1513119.0,349266576.0,269223.0
21,Massachusetts,119.1,107.8,2031650.0,437551353.0,354085.0
22,Michigan,103.0,93.3,1948956.0,439361467.0,390497.0
23,Minnesota,107.7,97.5,1340588.0,287249809.0,242489.0
24,Mississippi,95.4,86.4,430720.0,106052785.0,90261.0
25,Missouri,98.8,89.5,1203564.0,261547770.0,228648.0
26,Montana,104.0,94.1,183978.0,44772870.0,42956.0
27,Nebraska,99.9,90.5,461381.0,95411344.0,74320.0
28,Nevada,107.6,97.4,589901.0,128089633.0,106364.0
29,New Hampshire,116.9,105.9,311422.0,74687026.0,65151.0
30,New Jersey,125.0,113.2,2324490.0,549835795.0,438030.0
31,New Mexico,103.4,93.6,373185.0,80064958.0,74290.0
32,New York,127.7,115.6,5951992.0,1176080244.0,926168.0
33,North Carolina,100.4,90.9,2071614.0,428638808.0,342753.0
34,North Dakota,101.1,91.5,208357.0,41404978.0,36552.0
35,Ohio,98.6,89.3,2502861.0,517918190.0,434951.0
36,Oklahoma,98.3,89.0,731750.0,167502814.0,129390.0
37,Oregon,110.2,99.8,907281.0,185839645.0,162684.0
38,Pennsylvania,108.7,98.4,2899743.0,648694472.0,522697.0
39,Rhode Island,110.0,99.6,229730.0,53272444.0,44850.0
40,South Carolina,99.8,90.3,838865.0,196049325.0,165036.0
41,South Dakota,97.6,88.3,192555.0,41398241.0,34164.0
42,Tennessee,99.6,90.2,1315080.0,288169968.0,227596.0
43,Texas,107.1,96.9,6467203.0,1289310024.0,1018027.0
44,Utah,107.5,97.3,625408.0,124871199.0,107142.0
45,Vermont,112.3,101.6,124367.0,31219885.0,29761.0
46,Virginia,113.0,102.3,1977396.0,445461657.0,350198.0
47,Washington,116.6,105.5,1878958.0,397772297.0,312817.0
48,West Virginia,96.7,87.6,293494.0,67061987.0,63022.0
49,Wisconsin,102.5,92.8,1238146.0,270225982.0,224143.0
50,Wyoming,106.9,96.7,151431.0,32270465.0,23611.0
