"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"23000","Maine","1","SA25N 1/","10","...","Total employment (number of jobs)",748561,763169,784046,787598,790826,794987,808448,810302,818669,829608,825403,803275,791969,795260,797294,803983,811622,817356,827579
"23000","Maine","1","SA25N 1/","20","...","  Wage and salary employment",591011,606692,624123,627313,626505,627618,633100,628750,633688,636876,636890,615673,608555,609684,612168,615536,619810,625249,631914
"23000","Maine","1","SA25N 1/","40","...","  Proprietors employment",157550,156477,159923,160285,164321,167369,175348,181552,184981,192732,188513,187602,183414,185576,185126,188447,191812,192107,195665
"23000","Maine","1","SA25N 1/","50","...","    Farm proprietors employment",6836,6822,6707,7038,7099,6909,6731,6619,6472,7323,7309,7315,7381,7519,7450,7545,7548,7560,7556
"23000","Maine","1","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",150714,149655,153216,153247,157222,160460,168617,174933,178509,185409,181204,180287,176033,178057,177676,180902,184264,184547,188109
"23000","Maine","1","SA25N 1/","70","111-112","  Farm employment",10549,10495,10528,10888,10922,10811,9945,9711,9283,10024,10252,10158,10189,10590,11082,11700,11715,11712,11431
"23000","Maine","1","SA25N 1/","80","...","  Nonfarm employment",738012,752674,773518,776710,779904,784176,798503,800591,809386,819584,815151,793117,781780,784670,786212,792283,799907,805644,816148
"23000","Maine","1","SA25N 1/","90","113-814","    Private nonfarm employment",634384,647654,665802,667324,668843,671926,686086,688699,696774,706715,702195,681475,670946,675939,678084,685304,693159,699455,709465
"23000","Maine","1","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",18882,17881,16932,15813,16943,14284,15604,15971,15800,15375,"(D)","(D)",14109,14009,"(D)",15302,15485,14850,14399
"23000","Maine","1","SA25N 1/","101","113","        Forestry and logging",6207,6240,5770,5888,5511,5021,5342,5746,5684,5554,5589,5023,4667,4836,5569,5494,5174,5384,5376
"23000","Maine","1","SA25N 1/","102","114","        Fishing, hunting and trapping",10214,9296,8955,7786,9073,7209,8089,8109,7995,7545,7254,"(D)",6965,6736,6925,7361,7598,6860,6507
