"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"38000","North Dakota","4","SA25N 1/","10","...","Total employment (number of jobs)",434907,435735,440648,445422,442651,443989,453565,462201,471759,483245,493035,494174,504246,530451,567672,587615,608694,599613,581079
"38000","North Dakota","4","SA25N 1/","20","...","  Wage and salary employment",336527,340001,342387,344675,346027,347702,356081,362277,369822,375895,384175,383754,392470,413535,447582,463457,481028,471619,451059
"38000","North Dakota","4","SA25N 1/","40","...","  Proprietors employment",98380,95734,98261,100747,96624,96287,97484,99924,101937,107350,108860,110420,111776,116916,120090,124158,127666,127994,130020
"38000","North Dakota","4","SA25N 1/","50","...","    Farm proprietors employment",32745,31944,31865,31963,28244,26833,26249,26127,25615,26776,26927,26856,26923,27000,26710,26956,26533,26404,26213
"38000","North Dakota","4","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",65635,63790,66396,68784,68380,69454,71235,73797,76322,80574,81933,83564,84853,89916,93380,97202,101133,101590,103807
"38000","North Dakota","4","SA25N 1/","70","111-112","  Farm employment",38221,37674,36887,37265,33129,30517,31094,31347,30227,31900,32137,31238,31652,32316,32970,33563,33825,31553,31062
"38000","North Dakota","4","SA25N 1/","80","...","  Nonfarm employment",396686,398061,403761,408157,409522,413472,422471,430854,441532,451345,460898,462936,472594,498135,534702,554052,574869,568060,550017
"38000","North Dakota","4","SA25N 1/","90","113-814","    Private nonfarm employment",320331,322149,327028,330956,330240,333064,341493,350120,359908,370124,380381,379902,387812,413959,449129,467936,488989,480473,460722
"38000","North Dakota","4","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",4293,3982,3932,3256,3557,3228,3336,3336,3241,3541,3848,4159,4414,4510,4637,4665,4968,4578,4528
"38000","North Dakota","4","SA25N 1/","101","113","        Forestry and logging","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"38000","North Dakota","4","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
