"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"91000","New England","1","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",6988761,7120778,7282848,7291544,7205817,7131619,7149516,7173418,7237973,7305183,7302341,7046273,7001570,7065271,7178416,7261699,7367394,7472302,7555226
"91000","New England","1","SA27N 1/","70","111-112","  Farm wage and salary employment",19022,18951,19852,20140,20134,20544,16912,16261,14780,14191,15463,14937,14756,16134,17408,19916,19970,19898,18570
"91000","New England","1","SA27N 1/","80","...","  Nonfarm wage and salary employment",6969739,7101827,7262996,7271404,7185683,7111075,7132604,7157157,7223193,7290992,7286878,7031336,6986814,7049137,7161008,7241783,7347424,7452404,7536656
"91000","New England","1","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",5974831,6089262,6226383,6221384,6125164,6060524,6095124,6117262,6175515,6234577,6220657,5971209,5927728,6003803,6113974,6193184,6292657,6400201,6486456
"91000","New England","1","SA27N 1/","100","113-115","      Forestry, fishing, and related activities",11155,11266,11293,"(D)","(D)",11780,11930,11757,11809,11637,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"91000","New England","1","SA27N 1/","101","113","        Forestry and logging",3909,3833,3965,"(D)",3475,3444,3504,3554,3579,3429,3338,3255,"(D)","(D)","(D)",3167,"(D)","(D)","(D)"
"91000","New England","1","SA27N 1/","102","114","        Fishing, hunting and trapping",2438,2384,2269,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",3211,"(D)",3698,3607,3396,2937,"(D)","(D)","(D)"
"91000","New England","1","SA27N 1/","103","115","        Support activities for agriculture and forestry",4808,5049,5059,4823,4882,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",5198,4378,"(D)","(D)",4845,4900,4758
"91000","New England","1","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",3559,3570,3666,"(D)","(D)",3990,4152,4178,4272,4100,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"91000","New England","1","SA27N 1/","201","211","        Oil and gas extraction",23,12,11,0,"(D)","(D)",18,19,10,16,"(D)","(D)","(L)",11,"(D)","(D)","(D)","(D)","(D)"
"91000","New England","1","SA27N 1/","202","212","        Mining (except oil and gas)",3303,3321,3411,3812,"(D)",3867,4000,4063,4202,3903,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"91000","New England","1","SA27N 1/","203","213","        Support activities for mining",233,237,244,"(D)",73,"(D)",134,96,60,181,182,156,"(D)","(D)",231,"(D)",268,263,250
"91000","New England","1","SA27N 1/","300","22","      Utilities",31330,30019,29668,"(D)","(D)",26932,25977,25467,23563,23832,23944,24125,23995,23582,23171,23048,23281,22535,22578
"91000","New England","1","SA27N 1/","400","23","      Construction",252567,271575,289143,305679,"(D)",307008,315327,315879,320647,314937,300703,255993,240442,247011,252469,261819,272623,287695,299625
"91000","New England","1","SA27N 1/","401","236","        Construction of buildings",57234,61411,65113,69321,"(D)",72896,75597,76201,76559,73869,68937,56802,52917,54300,54785,56226,58714,62498,65003
"91000","New England","1","SA27N 1/","402","237","        Heavy and civil engineering construction",32533,35559,36436,37889,"(D)",34309,32326,30823,30462,29511,28227,25798,26130,26775,27878,28289,29079,30799,31627
"91000","New England","1","SA27N 1/","403","238","        Specialty trade contractors",162800,174605,187594,198469,197803,199803,207404,208855,213626,211557,203539,173393,161395,165936,169806,177304,184830,194398,202995
"91000","New England","1","SA27N 1/","500","31-33","      Manufacturing",970122,946599,940124,902572,818846,766239,748600,734488,721013,711484,691971,624647,608125,609524,606092,603252,599568,598566,592182
"91000","New England","1","SA27N 1/","510","321,327-339","        Durable goods manufacturing",661675,643490,643623,623562,558328,517649,"(D)",502112,493858,490356,479762,431209,418360,421590,418558,415108,411210,409058,405066
"91000","New England","1","SA27N 1/","511","321","          Wood product manufacturing",20337,20686,20970,19389,"(D)",17627,"(D)","(D)","(D)",16202,"(D)",11688,"(D)","(D)","(D)",12072,12184,"(D)","(D)"
"91000","New England","1","SA27N 1/","512","327","          Nonmetallic mineral product manufacturing",18818,19308,19881,18495,17180,15947,16057,16422,16613,16456,15316,13106,12712,12819,12736,12736,13175,13589,13921
"91000","New England","1","SA27N 1/","513","331","          Primary metal manufacturing",22256,21575,21118,19784,17200,15945,15789,15503,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",11132,10800,10576
"91000","New England","1","SA27N 1/","514","332","          Fabricated metal product manufacturing",121989,117877,117163,111815,101645,95821,96889,96486,95648,94887,94122,84085,81933,84219,85679,87292,87314,85559,84625
"91000","New England","1","SA27N 1/","515","333","          Machinery manufacturing",79629,75801,75945,72076,61632,56101,55578,54589,53475,54040,53334,47662,45783,47298,46900,45523,45190,45039,43935
"91000","New England","1","SA27N 1/","516","334","          Computer and electronic product manufacturing",174995,169668,175344,171766,144400,130561,125648,122033,119827,119266,116096,106229,103242,102026,97765,96654,94644,93588,91865
"91000","New England","1","SA27N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",41329,39877,41429,41043,"(D)",32877,31276,30467,30395,31697,30894,27069,25999,26270,25918,25036,24457,"(D)",23299
"91000","New England","1","SA27N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",14588,14441,14052,12675,11188,10212,10565,"(D)",8907,"(D)","(D)",6070,5706,5651,5730,"(D)","(D)",6937,"(D)"
"91000","New England","1","SA27N 1/","519","3364-3369","          Other transportation equipment manufacturing",77200,74814,69608,70735,"(D)",66268,65599,"(D)","(D)","(D)","(D)",66084,65118,65011,65067,64584,62957,64193,"(D)"
