"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"33000","New Hampshire","1","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",604077,620478,637473,640651,636208,637840,644811,649969,656964,660440,658979,635883,630596,634658,640890,647438,656097,666962,677409
"33000","New Hampshire","1","SA27N 1/","70","111-112","  Farm wage and salary employment",1671,1615,1640,1612,1561,1587,1302,1248,1131,1082,1179,1139,1125,1230,1451,1660,1664,1658,1547
"33000","New Hampshire","1","SA27N 1/","80","...","  Nonfarm wage and salary employment",602406,618863,635833,639039,634647,636253,643509,648721,655833,659358,657800,634744,629471,633428,639439,645778,654433,665304,675862
"33000","New Hampshire","1","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",521244,536000,549167,550996,543406,542888,551634,556807,562215,564645,562135,538473,531746,538117,544521,551094,559373,570423,580743
"33000","New Hampshire","1","SA27N 1/","100","113-115","      Forestry, fishing, and related activities",985,1006,1075,1082,1020,966,954,923,852,805,807,795,765,737,751,788,827,828,803
"33000","New Hampshire","1","SA27N 1/","101","113","        Forestry and logging",574,578,645,553,487,470,482,509,478,459,451,447,447,424,434,442,477,474,453
"33000","New Hampshire","1","SA27N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)",13,11,15,10,"(L)","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"33000","New Hampshire","1","SA27N 1/","103","115","        Support activities for agriculture and forestry",399,416,417,518,518,486,463,410,370,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"33000","New Hampshire","1","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",240,262,251,471,473,486,526,565,587,681,607,510,490,494,500,531,532,526,556
"33000","New Hampshire","1","SA27N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",0,0,0,0,0,0,0,0,0,0,"(D)",0,0,0,0,0
"33000","New Hampshire","1","SA27N 1/","202","212","        Mining (except oil and gas)",178,201,190,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",399,413,433,446,442,472
"33000","New Hampshire","1","SA27N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",87,98,86,84,84
"33000","New Hampshire","1","SA27N 1/","300","22","      Utilities",3087,2873,2796,2786,2740,2609,2546,2523,2519,2521,2454,2532,2513,2472,2454,2481,2320,2183,2136
