"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"94000","Plains","4","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",9948328,10122057,10253595,10233694,10163116,10129892,10217232,10331400,10474663,10582703,10606381,10276426,10180693,10282733,10449465,10590377,10734424,10875716,10949243
"94000","Plains","4","SA27N 1/","70","111-112","  Farm wage and salary employment",83824,82564,79703,81053,77144,75918,74890,78081,71918,70597,70776,72948,79475,80531,78779,78275,73949,85414,81579
"94000","Plains","4","SA27N 1/","80","...","  Nonfarm wage and salary employment",9864504,10039493,10173892,10152641,10085972,10053974,10142342,10253319,10402745,10512106,10535605,10203478,10101218,10202202,10370686,10512102,10660475,10790302,10867664
"94000","Plains","4","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",8189290,8342271,8445041,8414978,8331715,8294381,8381534,8487711,8618551,8715164,8720936,8371122,8269001,8394205,8569064,8710419,8859695,8988077,9058040
"94000","Plains","4","SA27N 1/","100","113-115","      Forestry, fishing, and related activities",26150,25891,25557,24097,22921,23589,24824,25671,25654,25880,27114,29365,31309,32233,34127,35920,35230,35197,35358
"94000","Plains","4","SA27N 1/","101","113","        Forestry and logging",1916,1984,1932,1439,1386,1381,1414,1409,1340,1279,1242,1215,1218,1311,1262,1213,1231,"(D)",1356
"94000","Plains","4","SA27N 1/","102","114","        Fishing, hunting and trapping",970,920,972,144,152,180,198,198,217,215,222,211,199,211,210,216,262,"(D)",241
"94000","Plains","4","SA27N 1/","103","115","        Support activities for agriculture and forestry",23264,22987,22653,22514,21383,22028,23212,24064,24097,24386,25650,27939,29892,30711,32655,34491,33737,33576,33761
"94000","Plains","4","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",28077,26698,26502,25517,23823,23540,24669,26139,27762,28579,31353,27773,32230,39504,48457,50591,54376,45698,35183
"94000","Plains","4","SA27N 1/","201","211","        Oil and gas extraction",3516,3083,3232,3069,"(D)",2806,2659,2694,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",5541,5092
"94000","Plains","4","SA27N 1/","202","212","        Mining (except oil and gas)",19761,19300,18779,17602,"(D)",15922,16217,16627,16444,15976,16293,14791,15580,16221,16884,"(D)","(D)",17147,16220
"94000","Plains","4","SA27N 1/","203","213","        Support activities for mining",4800,4315,4491,4846,4608,4812,5793,6818,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",23010,13871
"94000","Plains","4","SA27N 1/","300","22","      Utilities",48120,48269,47984,47934,47779,46121,45663,45020,45167,45851,46852,47537,47037,46915,46442,46172,46018,44886,44280
"94000","Plains","4","SA27N 1/","400","23","      Construction",440007,471291,482316,486949,486575,492030,505828,511293,519495,515464,500162,442966,406586,407843,423135,442759,466733,487195,496678
"94000","Plains","4","SA27N 1/","401","236","        Construction of buildings",107538,113830,115107,114922,"(D)",115807,119450,120954,122850,121539,117018,98744,89954,89520,91060,95434,101694,105640,107718
"94000","Plains","4","SA27N 1/","402","237","        Heavy and civil engineering construction",64849,68772,68576,69278,"(D)",67342,68631,67951,68800,69438,69687,67867,62288,62781,66749,69367,73817,75637,74511
"94000","Plains","4","SA27N 1/","403","238","        Specialty trade contractors",267620,288689,298633,302749,304013,308881,317747,322388,327845,324487,313457,276355,254344,255542,265326,277958,291222,305918,314449
"94000","Plains","4","SA27N 1/","500","31-33","      Manufacturing",1403034,1397385,1390321,1333739,1261941,1216020,1221480,1233876,1238249,1229878,1210862,1081791,1048854,1072302,1090344,1101906,1114414,1122775,1120124
"94000","Plains","4","SA27N 1/","510","321,327-339","        Durable goods manufacturing",870730,867264,866669,823636,766988,734611,748758,763772,770214,762304,746265,640095,617894,638301,653540,662255,673179,678311,668637
"94000","Plains","4","SA27N 1/","511","321","          Wood product manufacturing",46223,48312,49548,47446,47457,46840,47892,48696,48513,45089,40884,34712,32864,"(D)","(D)","(D)","(D)","(D)","(D)"
"94000","Plains","4","SA27N 1/","512","327","          Nonmetallic mineral product manufacturing",39415,40311,41708,40215,39166,37478,38639,38705,39134,38352,36611,32226,30643,30777,31485,31453,32373,34312,34720
"94000","Plains","4","SA27N 1/","513","331","          Primary metal manufacturing",34082,33825,33214,"(D)","(D)","(D)","(D)",30016,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"94000","Plains","4","SA27N 1/","514","332","          Fabricated metal product manufacturing",140271,139296,139832,131151,121636,117217,120308,123513,125923,128597,127703,110012,107322,112433,118549,122462,123414,123418,121110
"94000","Plains","4","SA27N 1/","515","333","          Machinery manufacturing",160745,157643,157027,149146,135092,129648,131410,137095,140959,143492,145855,126172,124410,133252,140413,141026,142261,140923,136154
"94000","Plains","4","SA27N 1/","516","334","          Computer and electronic product manufacturing",121778,118612,117050,110027,98997,92269,91457,92717,93808,91666,91461,82771,80244,80815,80334,79682,80719,81034,78942
"94000","Plains","4","SA27N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",52228,52510,53727,47930,42931,40279,40271,38980,38671,37714,36134,31809,29955,30872,30945,30661,30629,30447,30325
"94000","Plains","4","SA27N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",88673,90114,90069,"(D)","(D)","(D)","(D)",80266,"(D)","(D)","(D)",48264,"(D)",52440,53245,"(D)",58266,61753,62100
"94000","Plains","4","SA27N 1/","519","3364-3369","          Other transportation equipment manufacturing",83079,81309,77429,78811,71715,"(D)","(D)",70876,72898,74808,76488,"(D)","(D)",60870,61739,65440,65054,64431,62939
"94000","Plains","4","SA27N 1/","521","337","          Furniture and related product manufacturing",47673,49633,51327,48854,46629,45999,47306,48524,48398,46448,42582,33407,30780,29545,29087,30266,"(D)","(D)","(D)"
"94000","Plains","4","SA27N 1/","522","339","          Miscellaneous manufacturing",56563,55699,55738,54350,53049,53101,53844,54384,55258,55672,54891,51008,48922,49245,48487,48256,49258,50089,"(D)"
"94000","Plains","4","SA27N 1/","530","311-316,322-326","        Nondurable goods manufacturing",532304,530121,523652,510103,494953,481409,472722,470104,468035,467574,464597,441696,430960,434001,436804,439651,441235,444464,451487
"94000","Plains","4","SA27N 1/","531","311","          Food manufacturing",218113,220520,221734,222702,218872,215517,211348,209071,209030,210897,211540,211955,209062,210743,211695,212757,213246,215844,219800
"94000","Plains","4","SA27N 1/","532","312","          Beverage and tobacco product manufacturing",11070,11205,11073,11905,11613,10877,10708,11099,10871,11192,10991,10194,9855,10376,11195,11426,11863,12632,13652
"94000","Plains","4","SA27N 1/","533","313","          Textile mills",2234,2258,2139,"(D)","(D)","(D)","(D)",1333,1481,1551,1464,1319,1181,1105,1062,1086,1081,1016,1040
"94000","Plains","4","SA27N 1/","534","314","          Textile product mills",10204,10207,10025,9403,9379,8863,8195,8118,8253,8865,9022,7838,7460,7665,7604,7432,7345,7360,7475
"94000","Plains","4","SA27N 1/","535","315","          Apparel manufacturing",20562,17414,14306,12084,"(D)","(D)",8765,8316,7814,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",4410,4213
"94000","Plains","4","SA27N 1/","536","316","          Leather and allied product manufacturing",7862,7320,6791,5923,"(D)",5034,"(D)","(D)","(D)",4082,3714,3458,2548,3127,3224,"(D)",3333,"(D)","(D)"
"94000","Plains","4","SA27N 1/","537","322","          Paper manufacturing",39735,39478,38276,"(D)","(D)","(D)","(D)","(D)","(D)",29713,"(D)","(D)","(D)","(D)",26123,25494,24351,"(D)","(D)"
"94000","Plains","4","SA27N 1/","538","323","          Printing and related support activities",87713,86103,85035,80474,78035,76571,75568,75867,75173,"(D)",71344,63606,59294,58289,57579,57718,56688,54775,54025
"94000","Plains","4","SA27N 1/","539","324","          Petroleum and coal products manufacturing",6648,6666,7055,6954,6775,6437,6246,6484,6244,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"94000","Plains","4","SA27N 1/","541","325","          Chemical manufacturing",51799,51486,50597,48686,47622,46645,47037,48115,48803,50291,52633,50791,49879,50205,50520,51763,53297,54199,56711
"94000","Plains","4","SA27N 1/","542","326","          Plastics and rubber products manufacturing",76364,77464,76621,71836,69771,67265,66219,66130,65805,63450,61989,53460,53195,54258,56393,57830,59006,59916,60992
"94000","Plains","4","SA27N 1/","600","42","      Wholesale trade",462800,462847,462584,461344,455049,449754,452802,458966,463372,468468,474125,455260,447512,452969,461450,468472,476276,473376,468311
"94000","Plains","4","SA27N 1/","700","44-45","      Retail trade",1151011,1173493,1186586,1178238,1161542,1154945,1156200,1159310,1158959,1161624,1146895,1112403,1097103,1107349,1116868,1124187,1135753,1156042,1168901
"94000","Plains","4","SA27N 1/","701","441","        Motor vehicle and parts dealers",138311,142735,143813,144005,145365,143510,143846,142456,141305,140022,136752,127742,127163,131825,135231,137966,142202,146375,148853
"94000","Plains","4","SA27N 1/","702","442","        Furniture and home furnishings stores",35416,37357,39395,38529,38831,40328,41546,41124,40926,39773,37455,32837,31782,32227,32534,33042,33431,34077,34574
"94000","Plains","4","SA27N 1/","703","443","        Electronics and appliance stores",36915,39073,38991,38146,36873,36247,36705,36149,36470,35978,37199,34972,35100,36510,34072,32956,31602,33685,33416
