"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"49000","Utah","7","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",1070842,1097247,1124807,1130753,1126431,1127612,1159748,1202004,1260326,1310044,1311365,1247431,1236311,1264381,1304870,1343013,1382464,1429709,1479019
"49000","Utah","7","SA27N 1/","70","111-112","  Farm wage and salary employment",4481,4597,4765,4872,4047,5007,4786,4930,5063,4486,4706,4542,4745,4476,4495,4798,4502,4373,4618
"49000","Utah","7","SA27N 1/","80","...","  Nonfarm wage and salary employment",1066361,1092650,1120042,1125881,1122384,1122605,1154962,1197074,1255263,1305558,1306659,1242889,1231566,1259905,1300375,1338215,1377962,1425336,1474401
"49000","Utah","7","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",872544,895266,916325,918818,909637,908112,937498,976860,1032445,1080062,1078081,1011265,997121,1020488,1059033,1097208,1135311,1180675,1224280
"49000","Utah","7","SA27N 1/","100","113-115","      Forestry, fishing, and related activities",2011,1885,1741,1196,1175,1176,1162,1180,1220,1330,1362,1371,1382,1411,1399,1457,1534,1580,1620
"49000","Utah","7","SA27N 1/","101","113","        Forestry and logging","(T)","(T)","(T)",92,75,57,45,47,43,47,51,40,44,45,45,"(D)",61,"(D)",77
"49000","Utah","7","SA27N 1/","102","114","        Fishing, hunting and trapping",398,354,239,109,122,114,71,79,98,146,145,153,168,170,171,"(D)",188,"(D)",218
"49000","Utah","7","SA27N 1/","103","115","        Support activities for agriculture and forestry",1459,1370,1338,995,978,1005,1046,1054,1079,1137,1166,1178,1170,1196,1183,1229,1285,1309,1325
"49000","Utah","7","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",7611,7193,7359,7207,6900,6690,7157,8473,10128,11129,12538,10662,10369,11591,12491,12129,12183,10321,8463
"49000","Utah","7","SA27N 1/","201","211","        Oil and gas extraction",545,516,530,551,563,645,733,820,1095,1276,1413,1373,1407,1589,1802,1935,2023,1739,1467
"49000","Utah","7","SA27N 1/","202","212","        Mining (except oil and gas)",5197,5103,4926,4320,4077,3863,3854,4259,4768,4960,5232,5131,4751,5018,5140,4808,4730,4550,4099
"49000","Utah","7","SA27N 1/","203","213","        Support activities for mining",1869,1574,1903,2336,2260,2182,2570,3394,4265,4893,5893,4158,4211,4984,5549,5386,5430,4032,2897
"49000","Utah","7","SA27N 1/","300","22","      Utilities",4827,4508,4462,4219,4037,3892,3908,3943,4042,4116,4152,4139,4062,4019,4019,3908,3888,3915,3856
"49000","Utah","7","SA27N 1/","400","23","      Construction",70906,75168,74835,74094,70493,70537,75864,84889,98787,107450,94059,73800,67530,67266,71313,75629,80860,87042,94094
"49000","Utah","7","SA27N 1/","401","236","        Construction of buildings",16814,17106,16835,16794,15710,15500,16798,18862,21983,23075,19257,14805,12950,12744,14211,15368,16497,18430,19723
"49000","Utah","7","SA27N 1/","402","237","        Heavy and civil engineering construction",8924,9339,9421,9024,8713,7774,8108,8607,9953,11845,10750,9340,9787,9867,9512,9182,9392,9652,9317
"49000","Utah","7","SA27N 1/","403","238","        Specialty trade contractors",45168,48723,48579,48276,46070,47263,50958,57420,66851,72530,64052,49655,44793,44655,47590,51079,54971,58960,65054
"49000","Utah","7","SA27N 1/","500","31-33","      Manufacturing",127399,126313,125370,121373,112864,113456,116403,118604,122312,127051,125304,112331,110393,113016,115985,118052,120071,122994,125292
"49000","Utah","7","SA27N 1/","510","321,327-339","        Durable goods manufacturing",87741,86759,86520,83909,76012,76094,77912,80434,83099,87183,84642,73502,71733,74019,76623,77818,79088,81598,82524
"49000","Utah","7","SA27N 1/","511","321","          Wood product manufacturing",2510,2626,2676,2554,2522,2700,2784,3107,3589,4172,3482,2008,"(D)","(D)",1799,1969,2180,2353,2585
"49000","Utah","7","SA27N 1/","512","327","          Nonmetallic mineral product manufacturing",5115,5200,5119,4923,4581,4497,4603,5007,5707,6448,5910,4664,4532,4576,4796,4807,5015,4948,4825
"49000","Utah","7","SA27N 1/","513","331","          Primary metal manufacturing",6983,5525,5650,5451,3590,3191,3334,3495,3673,3915,3888,3462,3607,4132,4436,4366,4195,4238,4038
"49000","Utah","7","SA27N 1/","514","332","          Fabricated metal product manufacturing",11087,11481,11728,11478,10972,10509,11028,11541,12126,12384,12598,11400,11231,11475,12242,12756,12894,13476,13699
"49000","Utah","7","SA27N 1/","515","333","          Machinery manufacturing",6782,6343,6109,6361,5712,5367,5236,5650,5762,6047,6176,5457,5293,5547,5497,5524,5588,5710,5507
"49000","Utah","7","SA27N 1/","516","334","          Computer and electronic product manufacturing",13951,14132,14558,15315,11495,10711,10844,10961,11271,12675,13216,12760,13218,14158,14421,13826,12937,12712,12566
"49000","Utah","7","SA27N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",1179,1180,1056,985,957,909,986,1046,1117,1265,1347,1238,1291,1400,1521,1620,1848,1886,1872
"49000","Utah","7","SA27N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",9152,8897,8521,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",5127,5373,5639,6160,6444
