"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"51000","Virginia","5","SA30","10","...","Personal income (thousands of dollars)",7440662,7949262,8203703,8742058,9432316,10144104,11196658,12090905,13087668,14316699,15835573,17870733,19388149,21429018,23779311,26598871,29484465,32413393,35757182,39623172,44964233,50089196,56563481,63482516,68641647,74262375,82639957,89530895,96590314,104293767,114134538,123358111,129544409,135044850,143870747,151326509,159147104,166955610,175267502,186787562,200056075,214416625,232452949,245204706,250408311,265269500,284567184,305504952,327318432,345335541,358043492,350577657,363888979,385615411,403880401,400660395,417173337,436655248,445461657
"51000","Virginia","5","SA30","45","...","Net earnings by place of residence",6096507,6475158,6638151,7006134,7541541,8073930,8923252,9594103,10401419,11331252,12587975,14114269,14953355,16338934,18118696,20127836,22019688,23794489,26395832,29297046,33187056,36779446,40748926,44785092,47682702,51522921,57408711,62339817,67484620,73723560,80655154,86105486,90043712,93402314,99480955,104157561,108996287,113552435,118949288,127476014,137983106,150477365,163250982,172492876,175854097,186052141,202226844,216216963,227658532,237357266,243449295,239631513,248890122,261653515,271070738,268103160,276471296,288558026,293958628
"51000","Virginia","5","SA30","50","...","Personal current transfer receipts",330841,360994,372537,427698,452426,484887,511639,560037,610391,734205,854630,978762,1179529,1413308,1621864,1937558,2301499,2947622,3228928,3462452,3823629,4387613,5224314,6028627,6586210,7120331,7531310,8047627,8531237,8859796,9473788,10376265,11262568,12441844,13993460,14799656,15672805,16974549,17939584,18563591,19213360,20249150,21690014,24131403,25577926,27442651,28980470,31463441,34410288,36648142,42234510,45274070,49402098,51295646,51826969,53812898,56087519,59466528,61446326
"51000","Virginia","5","SA30","60","...","  Income maintenance benefits 1/",21070,23246,24234,27976,28320,29461,30765,32479,34873,40721,46059,63261,101179,137010,160813,170496,235440,307304,348770,349801,346235,424191,562966,638636,635767,664072,665367,675299,701314,688050,770774,847284,944016,1121436,1369166,1476465,1616431,1756252,1879989,1812137,1820948,1928209,1981301,1913314,2166027,2918145,3164671,3589365,3872044,3743709,3904795,4498779,4954811,5114707,5213057,5370421,5319723,5291422,5250532
"51000","Virginia","5","SA30","70","...","  Unemployment insurance compensation",38310,31979,24445,32900,20354,18810,17586,13612,9820,11894,10874,11577,20469,33104,25646,21804,38821,182423,144194,126854,114236,112678,188248,191498,255912,260709,153748,155159,146248,136220,139284,132290,188775,321044,467664,386348,258363,218288,203839,182132,179826,178375,197237,376445,922249,792787,447080,381766,381431,421315,641662,1677067,1599983,1252361,1032175,754624,510358,403058,394390
"51000","Virginia","5","SA30","80","...","  Retirement and other",271461,305769,323858,366822,403752,436616,463288,513946,565698,681590,797697,903924,1057881,1243194,1435405,1745258,2027238,2457895,2735964,2985797,3363158,3850744,4473100,5198493,5694531,6195550,6712195,7217169,7683675,8035526,8563730,9396691,10129777,10999364,12156630,12936843,13798011,15000009,15855756,16569322,17212586,18142566,19511476,21841644,22489650,23731719,25368719,27492310,30156813,32483118,37688053,39098224,42847304,44928578,45581737,47687853,50257438,53772048,55801404
"51000","Virginia","5","SA30","90","...","Dividends, interest, and rent",1013314,1113110,1193015,1308226,1438349,1585287,1761767,1936765,2075858,2251242,2392968,2777702,3255265,3676776,4038751,4533477,5163278,5671282,6132422,6863674,7953548,8922137,10590241,12668797,14372735,15619123,17699936,19143451,20574457,21710411,24005596,26876360,28238129,29200692,30396332,32369292,34478012,36428626,38378630,40747957,42859609,43690110,47511953,48580427,48976288,51774708,53359870,57824548,65249612,71330133,72359687,65672074,65596759,72666250,80982694,78744337,84614522,88630694,90056703
"51000","Virginia","5","SA30","91","...","  Personal dividend income",186047,208116,233309,248072,271876,286084,336945,375717,387879,392786,425240,447928,463174,490603,540219,617827,701230,719461,850289,973288,1116710,1276240,1426347,1642408,1699072,1884730,2072288,2222917,2450375,2670760,3198420,3895196,4206511,4567831,4796209,5284296,6241470,6762511,7745236,8482117,8713876,8567975,9767131,9532079,10808193,12534275,14936804,15671007,19397300,21395527,21225262,14653409,14332190,17312674,22256586,20138794,23533277,24906654,23480125
"51000","Virginia","5","SA30","92","...","  Personal interest income",583642,651013,689037,767870,848713,963572,1078092,1202391,1316826,1470743,1584273,1916844,2383314,2743466,3044506,3466962,4013924,4513168,4883168,5589572,6537879,7362976,8830416,10605918,12269527,13265478,15138982,16415779,17759645,18719829,20330331,22517896,23439397,23767028,24109532,24822189,25466180,26607441,27148552,28662871,30030892,30600679,33184207,33975765,32837695,33132478,31548422,35458285,40183788,45173854,44127262,41484050,39381079,40732635,42880834,41481663,42758835,44222023,45708308
"51000","Virginia","5","SA30","93","...","    Imputed interest receipts 2/",420123,474974,496270,549629,599552,681030,761075,834305,907395,1009382,1098389,1333836,1696696,1973807,2189281,2433021,2749291,3154995,3365206,3790177,4468204,4787766,5432871,6067155,6915246,8014313,8651256,9708200,10731891,11712828,12543433,13481713,14198216,14961783,15935097,16918708,17541411,18364135,18688204,19972453,19950570,20850729,22108075,22530560,23092807,23705840,24159466,25249817,27124134,29188927,29825674,29965271,29901461,30755550,31578089,31851145,32439368,33836875,35084078
