"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"05000","Arkansas","5","SA35","1000","...","Personal current transfer receipts (thousands of dollars)",13142,13672,27612,19803,17174,15898,14956,29259,15508,13740,14819,17983,18231,17772,19109,25742,51517,125053,126010,125764,135000,165355,136079,132504,134320,141720,154081,160357,187392,209093,225117,240132,268679,288234,309722,326140,357435,391395,467809,525072,584019,683709,801792,893282,1083373,1315207,1669438,1829429,1941876,2131921,2444162,2899657,3280376,3566584,3858820,4043731,4281686,4512337,4643500,4884635,5399026,5846815,6483132,7189351,7586750,7963316,8590383,9101580,9501991,9818266,10121228,10741397,11910610,12819815,13391280,14350766,15413493,16832093,18200219,20299156,22010323,23611520,24096981,24330307,24730928,26171875,27319768,28348398
"05000","Arkansas","5","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",118333,127528,155526,123171,118709,123711,135168,146120,151655,177669,199411,214523,229555,257392,275142,294003,306699,336908,370968,442316,495618,540051,640928,758892,844852,1026734,1246242,1572998,1725773,1853469,2013980,2306522,2752291,3109856,3395286,3673497,3793964,4010099,4228970,4386637,4624535,5111870,5570680,6242592,6954924,7363657,7743810,8314681,8782650,9217183,9466592,9686595,10219368,11334133,12351285,12987708,14031049,15008267,16462379,17745333,19776357,21454347,23013127,23427973,23721592,24137256,25535174,26619967,27609767
"05000","Arkansas","5","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",5732,6728,8710,15101,18650,25492,31294,41560,48320,65133,77874,96150,106587,122254,142527,153272,161901,183823,203238,220436,255600,277889,334336,397252,450261,560221,647758,738444,848355,951033,1049638,1189339,1373614,1586875,1765342,1874669,1959924,2072320,2178759,2261792,2396742,2543639,2710994,2938431,3138225,3320803,3485392,3642862,3807114,3972884,4108387,4214290,4421171,4673096,4943354,5152725,5436213,5784644,6284702,6687698,7059030,7737195,8010068,8230174,8733321,9073602,9408408,9761918,9964582
"05000","Arkansas","5","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2968,3536,5279,11430,13678,20004,25258,35207,41336,57273,69375,86463,95542,110627,130112,140308,148533,169793,188308,203895,236482,257333,310379,368491,417610,518075,601917,684826,789573,886345,978964,1107964,1284067,1487219,1657412,1761149,1841895,1949412,2055749,2135643,2268559,2420035,2583299,2804489,2999718,3178516,3338742,3492794,3653377,3817373,3947848,4050153,4253798,4498236,4755175,4955686,5232205,5570011,6057433,6450425,6812010,7483184,7752679,7967672,8454063,8790702,9116062,9461962,9667874
"05000","Arkansas","5","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2764,3192,3431,3671,4972,5488,6036,6353,6984,7860,8499,9687,11045,11627,12415,12964,13368,14030,14930,16541,19118,20556,23957,28761,32651,42146,45841,53618,58782,64688,70674,81375,89547,99656,107930,113520,118029,122908,123010,126149,128183,123604,127695,133942,138507,142287,146650,150068,153737,155511,160539,164137,167373,174860,188179,197039,204008,214633,227269,237273,247020,254011,257389,262502,279258,282900,292346,299956,296708
"05000","Arkansas","5","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2627,3042,3199,3372,4643,5082,5620,5914,6521,7373,7960,9161,10572,11133,11871,12384,12774,13426,14249,15782,18270,19537,22150,25483,27953,33555,36859,43444,47730,51338,54250,58811,65811,72818,79436,82678,84761,86616,85633,89194,89882,96056,98420,102861,105771,107731,110595,112993,116684,119655,122954,124144,127551,132664,140900,146782,153350,160687,170502,179719,188548,199489,207124,210641,219259,224528,229061,234553,236574
"05000","Arkansas","5","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",124,124,204,284,316,390,403,426,451,477,526,513,461,480,529,566,588,598,675,753,841,1012,1247,1526,1762,1956,2788,3964,4617,6945,9501,11041,12021,15306,17398,19524,22251,25558,26664,26440,27497,17476,19346,21357,22856,24607,26613,28221,28181,28177,30298,31992,33219,35770,38325,39713,40082,42110,44871,46802,48565,45647,41332,43112,51538,51917,53248,52813,53457
"05000","Arkansas","5","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",560,1752,2936,6635,6194,6210,6435,6405,6923,11523,11715,11532,11096,11318,11017,10734,10713,10515,10804,10072,9929,9724,9880,9949,9442,8854,8872,7679,7287,8001,6603,6426,8954,10544,10576,11836,11896,10752,9907,8875,8933,8749,8461,6455,10037,12590,6677
"05000","Arkansas","5","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1091,1392,1628,1987,2336,2569,3769,5152,5830,7047,9134,10971,13146,15890,24658,52224,68787,78420,69651,79306,94059,148989,192235,244602,303545,348346,411868,484545,597442,707926,776108,909020,995015,1076050,1159078,1214745,1291442,1541907,1744018,2074260,2339990,2511836,2737690,3048569,3204463,3410821,3484160,3560599,3789772,4453125,4914861,5180616,5905059,6350022,7175303,7844597,8266798,8755220,9292901,9728176,9908968,10064839,11244024,11890732,12692629
"05000","Arkansas","5","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",8386,39093,45994,51674,60346,65064,74444,84420,104107,123397,160896,192859,224296,274282,340119,425046,485775,548608,617874,661190,709336,764005,802948,961982,1062156,1244182,1336288,1414309,1605687,1782396,1910707,2033674,2041866,2017869,2124273,2407727,2560464,2750449,3047569,3332052,4115049,4473610,4724967,4994387,5177101,5373858,5512064,5622339,5823189,6087525,6299510
