"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"04000","Arizona","6","SA35","1000","...","Personal current transfer receipts (thousands of dollars)",3384,3889,8771,7067,6663,7710,8203,11152,7425,10013,10837,12133,12139,12483,12042,14883,25019,44930,50813,51402,57822,72825,61577,64411,73901,81767,91643,99792,117352,134953,152934,166061,193905,211810,230912,249580,282189,304929,377143,435425,491894,592046,709731,815975,983180,1187963,1660226,1828012,1927572,2172497,2472375,2975893,3495636,3901700,4271276,4577983,4968051,5450399,5953841,6535772,7580048,8402999,9383258,10684403,11524979,12306431,13116719,13969395,14577465,15130035,16115609,17027888,19315151,21494559,23478027,25701440,28737448,31425166,34117970,39756262,44421949,48316104,48322923,48070799,49804214,53409419,56392670,58071967
"04000","Arizona","6","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",47976,54610,68596,56135,57765,68299,78153,86651,93007,109279,126525,143542,156249,182922,198839,215819,230933,261875,285290,351396,405160,452529,552392,668937,768241,925228,1115468,1558814,1716543,1830954,2040641,2313230,2800545,3287704,3686967,4033815,4249127,4597785,5049795,5578161,6144611,7138207,7972554,9001739,10305449,11156849,11934059,12636275,13402295,14060265,14477782,15294164,16023080,18178244,20554254,22656880,25039946,27881219,30630215,33127079,38607007,43197586,46996085,46842463,46711067,48466274,51959189,54781565,56348464
"04000","Arizona","6","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6699,7738,9501,13021,15578,21213,24607,31782,37132,47337,55706,70669,81492,95334,112776,125021,136815,160169,179394,196601,234048,258985,310363,375363,433434,546422,630608,753553,878801,1017782,1163976,1335255,1585881,1851501,2070809,2301309,2487114,2681173,2891639,3156565,3481203,3765261,4081343,4397425,4758975,5114555,5485038,5808719,6153983,6491997,6782215,7063032,7541155,8130837,8697972,9178238,9783283,10699858,11431528,12216867,12931314,14134853,14684320,15227738,16371586,17288021,18217102,19221597,19944471
"04000","Arizona","6","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1852,2338,3432,7170,8578,12307,15301,21702,26052,35204,42042,55380,63626,75771,90919,101927,111329,131740,147923,162897,194849,217235,268005,327971,382774,488047,565341,678268,795083,929068,1063325,1219116,1455602,1711628,1914302,2136328,2315002,2497732,2694353,2861418,3115772,3411891,3702852,4069060,4418069,4755291,5093882,5437754,5761734,6099822,6420858,6709192,7168764,7716195,8250128,8691426,9288894,10040305,10781383,11485443,12169563,13462312,14134244,14750345,15907165,16822506,17727415,18714318,19459251
"04000","Arizona","6","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",4847,5400,6069,5851,7000,8906,9306,10080,11080,12133,13664,15289,17866,19563,21857,23094,25486,28429,31471,33704,39199,41750,42358,47392,50660,58375,65267,75285,83718,88714,100651,116139,130279,139873,156507,164981,172112,183441,197286,295147,365431,353370,378491,328365,340906,359264,391156,370965,392249,392175,361357,353840,372391,414642,447844,486812,494389,659553,650145,731424,761751,672541,550076,477393,464421,465515,489687,507279,485220
"04000","Arizona","6","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1208,1472,1586,1643,2504,2754,3163,3435,3751,4293,4897,5656,7038,7266,8103,8756,8932,9764,10502,11550,13208,14405,17022,20168,22387,27559,31048,36908,41497,46517,50675,56653,64483,72119,78796,82787,84018,88616,91439,95194,99893,105262,112309,117329,121753,123967,128390,130926,133078,135844,139758,142052,145103,148285,152862,155635,159763,164039,169397,173347,176957,186702,187395,190563,199824,205838,210822,217254,220707
"04000","Arizona","6","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",3626,3902,4455,4191,4477,6129,6126,6627,7310,7822,8746,9613,10806,12273,13730,14313,16542,18654,20960,22145,25981,27335,25189,26575,27181,28582,32051,36184,39917,39826,47213,54672,60845,62833,72889,77042,82870,89095,99739,193586,258125,241878,259797,204796,212009,227798,255464,232649,250869,249648,214562,202819,220936,259562,280639,310655,311297,463231,439551,520507,550133,454213,328636,251307,229573,233610,235453,234147,236461
"04000","Arizona","6","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",147,649,1092,2234,2168,2193,2304,2371,2763,4814,4951,4921,4822,5152,5224,5730,6108,6367,7413,6230,6385,6240,7144,7499,7302,7390,8302,6683,7037,8969,6352,6795,14343,20522,23329,32283,41197,37570,34661,31626,34045,35523,35024,26067,43412,55878,28052
"04000","Arizona","6","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",0,0,0,0,0,0,0,0,0,"(L)","(L)",322,650,887,9516,42522,53656,60468,65236,76414,85758,100334,127820,228226,267622,326268,393659,447419,532588,681378,725334,854787,970108,1098476,1226832,1391817,1575267,2080400,2414402,2857920,3443598,3840627,4215671,4478415,4793179,5070496,5150723,5596440,5752671,6952853,8083152,9319052,10908162,12474608,14325259,15531760,17418467,19244710,19962459,19712218,19759041,20447301,22616486,24253843,25077793
"04000","Arizona","6","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",8420,39253,48462,53847,59741,69219,76966,90223,117406,157984,183102,226379,278436,315684,391379,521146,568417,635393,723623,826410,943160,1077557,1198093,1438386,1602340,1795148,1922291,2138026,2378349,2632787,2882168,3056085,3058736,3110882,3296774,3664418,4031541,4452675,5074213,5715578,7111574,7768763,8416947,8998738,9444888,9932351,10398270,10811228,11454313,12232341,12658661
"04000","Arizona","6","SA35","2220","...","      Public assistance medical care benefits 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",0,0,0,0,0,0,0,0,0,"(L)","(L)",322,650,887,1096,1015,1962,2477,0,0,0,0,0,59000,73235,87387,101542,115697,123373,139421,132850,191917,215025,235614,244941,264416,317279,576954,738558,985187,1442958,1633349,1776248,1787023,1851448,1953716,2024274,2409185,2365781,3181544,3922660,4687620,5620971,6288113,6636385,7126453,8290803,9463778,9682347,8900580,8313810,8659019,10164846,11034709,11482140
"04000","Arizona","6","SA35","2221","...","        Medicaid 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",0,0,0,0,0,0,0,0,0,0,0,0,12064,84276,92409,103858,112901,131999,200885,446541,569649,812716,1201600,1411047,1587380,1614112,1688427,1774244,1858083,2208237,2154313,2914750,3694700,4407942,5110761,5884416,6310198,6763034,7784326,8940345,9342088,8695939,8125049,8395141,9923945,10797516,11239253
